  Appendix 1: Target and Contraindicated Drugs,,,
,,,
,,,
,,,
Category,Target Medication,Contraindicated Medication,
Acitretin,Acitretin,Norethindrone,
Itraconazole,Itraconazole,Pimozide,Guanidine
,,Levacetylmethadol,Dofetilide
MAO Inhibitors,Furazolidone,Tricyclic Antidepressants Medications: ,"Clomipramine, Imipramine, Doxepin, Amitriptyline"
,Isocarboxazid ,,
,Phenelzine,Serotonergic Medications: ,"Buspirone, Citalopram, Dextromethorphan, Duloxetine, Escitalopram, Fluoxetine, Fluvoxamine, Meperidine, Mirtazapine, Paroxetine, Sertraline, Sibutramine, Tramadol, Trazodone, Venlafaxine"
,Tranylcypromine,Sympathomimetics: ,"Amphetamines, Benzphetamine, Cocaine, Dextroamphetamine, Diethylpropion, Dopamine, Ephedrine, Isometheptene, Mazindol, Metaraminol, Methylphenidate, Phentermine, Phenylephrine, Pseudoephedrine"
Nitrates,Isosorbide Dinitrate,Sildenafil,
,Nitroglycerin,Tadalafil,
,Isosorbide Mononitrate,Vardenafil,
Pimozide,Pimozide,Azole Antifungals:,"Fluconazole, Itraconazole, Ketoconazole, Voriconazole"
,,Macrolide Antibiotics: ,"Clarithromycin, Erythromycin, Troleandromycin"
,,,"Amprenavir, Atazanavir, Cyclosporine, Delaviridine, Diltiazem, Fluvoxamine, Grapefruit, Indinavir, Nelfinavir, Quinupristin, Ritonavir, Saquinavir, Sertraline, Telithromycin, Verapamil, Fluoxetine"
Rifampin,Rifampin,Antiarrhythmic Medications: ,"Amiodarone, Bepridil, Flecainide, Propafenone, Quinidine"
,,Antimigraine Medications: ,"Dihydroergotamiine, Ergotamine"
,,Sedative/Hypnotic Medications: ,"Midazolam, Triazolam"
,,Neuroleptic Medications: ,Pimozide
Tizandidine,Tizandidine (Zanaflex),Fluvoxamine,
,,Ciprofloxacin,
Voriconazole,Voriconazole,Ritonavir,
