CY2010 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,
  * See next worksheet for technical notes.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Part D,,,,,,,,,,Part C,,,,,,,,,,,,,,
,,,Access,,,Call Center,,,Complaints,Patient Safety,,Plan Finder,Call Center,,1/1/2008 - 12/31/2008,1/1/2008 - 12/31/2008,1/1/2008 - 12/31/2008,,,,,,,,,,
,,,1/1/2009 - 7/31/2009,1/1/2009 - 7/31/2009,3/13/2009 - 7/10/2009,1/1/2009 - 6/30/2009,01/01/2009 - 6/30/2009,1/1/2009 - 3/31/2009,,1/1/2008 - 12/31/2008,1/1/2008 - 12/31/2008,1/1/2009 - 9/10/2009,1/1/2008 - 12/31/2008,2/1/2009 - 6/30/2009,,,,,,,,,,,,,
,,,Timely Receipt of Case Files for Appeals,Timely Effectuation of Appeals,Timely Enrollment Processing,Calls Disconnected When Customer Calls Drug Plan ,Calls Disconnected When Pharmacist Calls Drug Plan,Call Center - CSR Understandability,"Appropriate Complaint Resolution (data coming soon, not available at this point)",Drug-Drug Interactions ,Diabetes Medication Dosing,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website,Call Answer Timeliness,Call Center Understandability,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge),"Antidepressant Medication Management 
(6 months)",Continuous Beta Blocker Treatment,,,,,,,,,,
H0046,ProSalud Medicare Esencial Activo,PROSALUD HMO CORPORATION,Not measured,Not measured,36.00%,1.49%,1.54%,87.27%,,Not measured,Not measured,68.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H0084,Care Improvement PPO,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,Not measured,Not measured,Not measured,3.25%,2.08%,97.06%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H0104,Blue Cross Blue Shield of Alabama,BLUE CROSS AND BLUE SHIELD OF ALABAMA,0.00%,Not measured,88.45%,0.74%,0.00%,92.86%,,2.21%,1.85%,100.00%,83.14%,91.00%,36.48%,41.67%,76.74%,,,,,,,,,,
H0108,"Humana Health Plan of California, Inc.","HUMANA HEALTH PLAN OF CALIFORNIA, INC.",Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H0117,WellCare,"WELLCARE OF OHIO, INC.",Not measured,Not measured,Not measured,2.21%,0.00%,89.13%,,1.65%,1.93%,100.00%,85.30%,86.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H0141,CareSource,CARESOURCE MICHIGAN,Not measured,Not measured,Not measured,1.44%,0.67%,97.50%,,0.00%,0.00%,100.00%,Plan too small to be measured,88.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H0150,"Healthspring of Alabama, Inc.","HEALTHSPRING OF ALABAMA, INC.",Not measured,Not measured,89.75%,0.83%,1.09%,100.00%,,1.72%,1.74%,100.00%,76.05%,88.00%,50.79%,44.97%,78.81%,,,,,,,,,,
H0151,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF ALABAMA, INC.",Not measured,Not measured,93.24%,2.95%,1.87%,95.24%,,2.07%,2.12%,100.00%,70.16%,88.00%,57.98%,44.74%,75.82%,,,,,,,,,,
H0154,VIVA Medicare Plus,"VIVA HEALTH, INC.",100.00%,100.00%,94.92%,0.00%,0.81%,98.57%,,1.41%,2.10%,100.00%,78.10%,88.00%,35.85%,38.69%,81.15%,,,,,,,,,,
H0248,Humana Insurance Company,HUMANA INSURANCE COMPANY,75.00%,100.00%,57.98%,1.67%,0.29%,85.71%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H0251,AmeriChoice Secure Plus Complete,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",83.33%,100.00%,98.52%,2.34%,0.88%,95.18%,,1.06%,2.13%,100.00%,74.40%,84.00%,53.33%,66.67%,Not enough data available to calculate measure,,,,,,,,,,
H0302,Banner Health MediSun,"BANNER MEDISUN, INC.",Not measured,100.00%,94.15%,0.00%,0.00%,98.33%,,0.00%,1.14%,100.00%,90.30%,85.00%,52.24%,61.71%,84.85%,,,,,,,,,,
H0303,SecureHorizons by UnitedHealthcare,"PACIFICARE OF ARIZONA, INC",100.00%,0.00%,84.11%,1.95%,1.59%,95.06%,,0.30%,1.17%,100.00%,70.16%,87.00%,62.55%,53.20%,80.77%,,,,,,,,,,
H0307,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",80.00%,100.00%,80.15%,2.77%,0.84%,89.33%,,0.17%,0.63%,100.00%,78.20%,80.00%,45.90%,45.71%,71.11%,,,,,,,,,,
H0316,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF ARIZONA,  INC.",Not measured,Not measured,80.10%,1.36%,1.59%,95.06%,,0.40%,1.89%,100.00%,70.16%,87.00%,Not enough data available to calculate measure,46.88%,Not enough data available to calculate measure,,,,,,,,,,
H0317,Humana Insurance Company,HUMANA INSURANCE COMPANY,100.00%,100.00%,76.89%,2.77%,0.84%,86.96%,,0.00%,2.10%,100.00%,78.20%,80.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H0318,Aetna Medicare,AETNA HEALTH INC.,Not measured,Not measured,85.71%,0.00%,0.00%,94.37%,,2.91%,0.76%,100.00%,Plan too small to be measured,83.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H0319,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,58.17%,0.63%,1.59%,94.19%,,1.18%,1.82%,100.00%,70.16%,86.00%,31.91%,57.41%,Not enough data available to calculate measure,,,,,,,,,,
H0320,Desert Canyon Community Care,"ARCADIAN HEALTH PLAN, INC.",Not measured,Not measured,77.27%,0.93%,0.00%,83.33%,,0.00%,1.83%,100.00%,97.53%,69.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H0321,APIPA Personal Care Plus,"ARIZONA PHYSICIANS IPA, INC.",0.00%,Not measured,92.91%,2.27%,1.94%,88.33%,,0.46%,1.24%,100.00%,73.95%,94.00%,66.50%,45.99%,84.44%,,,,,,,,,,
H0332,KelseyCare Advantage,"KS PLAN ADMINISTRATORS, LLC",Not measured,Not measured,89.80%,1.44%,0.00%,92.65%,,0.00%,0.94%,100.00%,94.30%,90.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H0351,"Health Net of Arizona, Inc.","HEALTH NET OF ARIZONA, INC.",36.36%,83.33%,68.05%,1.48%,2.20%,96.10%,,0.30%,1.34%,100.00%,82.35%,89.00%,79.32%,49.34%,78.35%,,,,,,,,,,
H0354,CIGNA Medicare Select,"CIGNA HEALTHCARE OF ARIZONA, INC.",100.00%,66.67%,93.16%,3.76%,0.80%,100.00%,,0.44%,1.06%,95.00%,72.53%,95.00%,42.59%,50.37%,78.15%,,,,,,,,,,
H0370,Coventry Health and Life Insurance Company,COVENTRY HEALTH AND LIFE INSURANCE CO. (SOUTH DAKO,Not measured,Not measured,Not measured,0.00%,2.21%,89.29%,,Not measured,Not measured,100.00%,Plan not required to report measure,81.00%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H0401,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF ARKANSAS, INC.",Not measured,Not measured,91.67%,1.87%,1.87%,95.81%,,2.84%,4.28%,100.00%,Plan too small to be measured,86.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H0408,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,Not measured,1.92%,1.87%,95.35%,,0.00%,0.00%,100.00%,Plan too small to be measured,84.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H0423,MetroPlus Health Plan,"METROPLUS HEALTH PLAN, INC.",Not measured,Not measured,61.68%,3.65%,3.85%,92.31%,,0.00%,0.39%,100.00%,Plan too small to be measured,87.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H0474,Essence Healthcare,"ESSENCE HEALTHCARE OF NEW YORK, INC.",Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H0490,Molina Healthcare of Ohio,MOLINA HEALTHCARE OF OHIO,Not measured,Not measured,50.00%,0.00%,2.05%,96.83%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H0502,Contra Costa Health Plan,CONTRA COSTA HEALTH PLAN,,,,,,,,,,,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H0504,Blue Shield of California,CALIFORNIA PHYSICIANS' SERVICE,0.00%,100.00%,91.22%,3.68%,0.00%,94.74%,,0.52%,2.11%,100.00%,Plan not required to report measure,86.00%,27.78%,44.13%,75.93%,,,,,,,,,,
H0523,Aetna Medicare,"AETNA HEALTH OF CALIFORNIA,INC.",100.00%,100.00%,73.79%,0.00%,0.00%,92.75%,,0.86%,1.82%,100.00%,78.06%,82.00%,9.86%,52.47%,81.11%,,,,,,,,,,
H0524,Kaiser Permanente Senior Advantage,"KAISER FOUNDATION HP, INC.",83.33%,71.43%,76.62%,0.95%,0.00%,94.03%,,0.23%,2.14%,100.00%,79.99%,86.00%,76.32%,72.40%,91.49%,,,,,,,,,,
H0532,Western Health Advantage,WESTERN HEALTH ADVANTAGE,Not measured,Not measured,90.00%,0.00%,1.97%,100.00%,,0.00%,0.65%,100.00%,99.72%,89.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H0540,Unicare Life & Health Ins. Company,UNICARE LIFE AND HEALTH INS. COMPANY,50.00%,80.00%,0.00%,1.45%,5.94%,Not measured,,0.67%,1.42%,100.00%,67.16%,Not enough data available to calculate measure,59.20%,50.96%,59.46%,,,,,,,,,,
H0543,SecureHorizons by UnitedHealthcare,PACIFICARE OF CALIFORNIA/SECURE HORIZONS,85.00%,81.82%,79.23%,1.60%,1.34%,93.71%,,0.32%,1.29%,100.00%,70.16%,87.00%,26.16%,51.27%,81.83%,,,,,,,,,,
H0544,CareMore Health Plan,CAREMORE HEALTH PLAN,75.00%,100.00%,86.42%,5.83%,0.00%,97.62%,,0.39%,1.71%,95.00%,88.83%,91.00%,67.39%,50.00%,90.51%,,,,,,,,,,
H0545,Inter Valley Health Plan,"INTER VALLEY HEALTH PLAN, INC.",100.00%,100.00%,83.44%,0.00%,0.00%,97.50%,,0.19%,1.44%,95.00%,86.51%,91.00%,Not enough data available to calculate measure,48.78%,65.12%,,,,,,,,,,
H0562,Health Net of CA,HEALTH NET_OF CA,100.00%,100.00%,73.57%,0.78%,2.25%,94.94%,,0.23%,1.29%,100.00%,71.78%,88.00%,54.95%,46.17%,78.25%,,,,,,,,,,
H0564,Anthem Blue Cross,BLUE CROSS OF CALIFORNIA,0.00%,50.00%,Not measured,7.69%,4.89%,Not measured,,0.40%,1.56%,100.00%,81.24%,Not enough data available to calculate measure,46.34%,48.09%,68.52%,,,,,,,,,,
H0571,Chinese Community Health Plan,CHINESE COMMUNITY HEALTH PLAN,100.00%,Not measured,97.34%,0.00%,0.00%,96.30%,,0.00%,0.91%,95.00%,98.50%,85.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H0609,AARP MedicareComplete from SecureHorizons,"PACIFICARE OF COLORADO, INC",50.00%,Not measured,83.50%,2.37%,1.86%,96.10%,,0.48%,1.41%,100.00%,70.16%,87.00%,56.56%,55.97%,82.19%,,,,,,,,,,
H0620,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,90.57%,1.82%,1.86%,94.25%,,1.56%,1.33%,100.00%,70.16%,85.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H0621,Colorado Access,COLORADO ACCESS,Not measured,Not measured,87.28%,0.00%,0.69%,93.94%,,1.58%,1.22%,100.00%,89.00%,87.00%,82.86%,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H0623,Humana Insurance Company,HUMANA INSURANCE COMPANY,66.67%,100.00%,82.83%,2.77%,0.83%,88.06%,,0.00%,2.51%,100.00%,78.20%,79.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H0624,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,100.00%,62.61%,0.90%,1.86%,94.25%,,0.00%,1.50%,100.00%,70.16%,85.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H0630,Kaiser Permanente Senior Advantage,KAISER FOUNDATION HP OF CO,0.00%,100.00%,58.36%,3.88%,0.00%,96.63%,,0.13%,0.87%,100.00%,75.75%,91.00%,100.00%,79.07%,84.38%,,,,,,,,,,
H0657,San Luis Valley HMO,COLORADO CHOICE HEALTH PLANS,,,,,,,,,,,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H0710,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,77.03%,0.98%,1.88%,94.94%,,0.83%,1.23%,100.00%,70.16%,87.00%,58.33%,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H0712,WellCare,"WELLCARE OF CONNECTICUT, INC.",Not measured,Not measured,Not measured,2.17%,0.00%,87.80%,,0.00%,1.50%,100.00%,87.62%,90.00%,30.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H0747,Educators Mutual Insurance Association,EDUCATORS MUTUAL INSURANCE ASSOCIATION,Not measured,Not measured,85.19%,0.77%,1.94%,80.95%,,0.00%,1.54%,100.00%,Plan not required to report measure,69.00%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H0752,AARP MedicareComplete from SecureHorizons,"OXFORD HEALTH PLANS (CT), INC.",Not measured,Not measured,82.01%,2.92%,1.88%,97.30%,,0.00%,3.25%,100.00%,76.48%,88.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H0755,Health Net of Connecticut,HEALTH NET OF CONNECTICUT,88.89%,70.00%,63.59%,3.68%,2.08%,98.82%,,0.38%,1.67%,100.00%,82.71%,91.00%,70.55%,55.56%,84.34%,,,,,,,,,,
H0806,Altius Advantra,"ALTIUS HEALTH PLANS, INC. (WYOMING)",Not measured,Not measured,Not measured,1.49%,1.94%,90.41%,,Not measured,0.00%,100.00%,Plan too small to be measured,82.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H0838,Brand New Day,HMO CALIFORNIA,Not measured,Not measured,97.99%,0.00%,0.00%,88.17%,,0.00%,3.90%,95.00%,Plan reported a Biased Rate,87.00%,73.55%,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H0901,Aetna Medicare,AETNA HEALTH INC.,Not measured,Not measured,Not measured,0.00%,0.00%,96.92%,,0.00%,0.00%,100.00%,Plan too small to be measured,85.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H0908,Advantage by Buckeye Community Health Plan,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Not measured,Not measured,64.71%,0.00%,2.01%,94.37%,,0.00%,0.00%,84.00%,Plan too small to be measured,79.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H0913,WellCare,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC.",100.00%,Not measured,Not measured,1.81%,0.00%,85.19%,,0.00%,0.71%,100.00%,87.01%,87.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H0974,Blue Plus,HMO MINNESOTA D/B/A BLUE PLUS,Not measured,Not measured,Not measured,0.73%,0.00%,96.15%,,0.00%,1.77%,100.00%,Plan too small to be measured,87.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H0979,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.",Not measured,Not measured,54.32%,0.00%,0.00%,98.18%,,0.00%,0.00%,95.00%,Plan too small to be measured,88.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H1013,"Vista Healthplan of South Florida, Inc.","VISTA HEALTHPLAN OF SOUTH FLORIDA, INC.",100.00%,100.00%,69.95%,0.78%,0.47%,86.05%,,0.34%,1.20%,100.00%,75.33%,81.00%,24.66%,44.26%,81.97%,,,,,,,,,,
H1016,AvMed Medicare Preferred,"AVMED, INC",66.67%,0.00%,99.05%,2.17%,0.45%,96.67%,,0.09%,85.02%,100.00%,75.76%,84.00%,58.33%,37.91%,83.02%,,,,,,,,,,
H1019,"CarePlus Health Plans, Inc.",CARE PLUS HEALTH PLAN,81.82%,100.00%,98.12%,3.35%,0.00%,93.97%,,0.11%,1.05%,100.00%,74.02%,84.00%,39.08%,42.71%,85.55%,,,,,,,,,,
H1026,"Health Options, Inc / Blue Cross Blue Shield of FL","HEALTH OPTIONS, INC",100.00%,Not measured,60.74%,1.72%,1.69%,91.94%,,0.36%,1.60%,100.00%,Plan reported a Biased Rate,85.00%,75.00%,33.85%,59.26%,,,,,,,,,,
H1032,WellCare,"WELL CARE OF FLORIDA, INC.",66.67%,Not measured,Not measured,0.00%,0.00%,72.55%,,0.58%,1.48%,100.00%,91.31%,88.00%,47.80%,38.26%,74.28%,,,,,,,,,,
H1035,"Florida Health Care Plan, Inc.","FLORIDA HEALTH CARE PLAN, INC.",100.00%,100.00%,93.95%,0.00%,5.79%,81.16%,,0.45%,0.70%,100.00%,87.24%,83.00%,73.47%,45.41%,84.21%,,,,,,,,,,
H1036,"Humana Medical Plan, Inc.","HUMANA MEDICAL PLAN, INC",91.43%,88.89%,84.84%,2.56%,0.79%,90.74%,,0.30%,1.17%,100.00%,78.20%,79.00%,45.28%,39.32%,83.11%,,,,,,,,,,
H1045,"Preferred Care Partners, Inc.",PREFERRED CARE PARTNERS INC.,100.00%,100.00%,50.73%,1.46%,2.17%,95.00%,,0.12%,1.31%,100.00%,81.24%,89.00%,47.54%,45.98%,73.47%,,,,,,,,,,
H1076,"Vista Healthplan, Inc.","VISTA HEALTHPLAN, INC.",Not measured,Not measured,69.33%,0.00%,0.68%,86.05%,,0.00%,1.86%,95.00%,82.64%,81.00%,44.68%,48.39%,Not enough data available to calculate measure,,,,,,,,,,
H1080,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF FLORIDA, INC.",66.67%,75.00%,88.08%,1.94%,1.88%,96.08%,,0.39%,1.20%,100.00%,70.16%,88.00%,52.78%,35.90%,85.22%,,,,,,,,,,
H1099,Health First Medicare Plans,"HEALTH FIRST HEALTH PLANS, INC.",100.00%,Not measured,96.60%,0.77%,0.00%,98.81%,,0.12%,2.29%,100.00%,66.77%,93.00%,84.44%,57.02%,80.43%,,,,,,,,,,
H1108,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,100.00%,66.55%,1.96%,1.88%,96.08%,,0.47%,1.54%,100.00%,70.16%,88.00%,46.15%,63.64%,73.33%,,,,,,,,,,
H1109,Aetna Medicare,AETNA HEALTH INC.(GEORGIA),Not measured,Not measured,85.83%,0.00%,0.00%,96.92%,,2.61%,1.18%,100.00%,78.06%,85.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H1110,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,Not measured,Not measured,77.78%,0.00%,0.00%,96.92%,,0.00%,10.94%,100.00%,Plan too small to be measured,85.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H1111,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF GEORGIA, INC.",Not measured,Not measured,77.38%,1.94%,1.88%,96.08%,,1.58%,2.15%,100.00%,70.16%,88.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H1112,WellCare,"WELLCARE OF GEORGIA, INC.",Not measured,Not measured,Not measured,0.00%,0.00%,91.67%,,0.15%,0.83%,100.00%,89.06%,73.00%,47.92%,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H1170,Kaiser Permanente Senior Advantage,"KAISER FOUNDATION HP OF GA, INC.",Not measured,Not measured,64.16%,2.92%,0.00%,98.67%,,0.83%,0.87%,100.00%,76.96%,86.00%,35.35%,38.00%,54.02%,,,,,,,,,,
H1200,Kaiser Permanente Medicare Cost,"KAISER FOUNDATION HP, INC.",,,,,,,,,,,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H1216,WellCare,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",Not measured,Not measured,Not measured,1.44%,0.00%,77.50%,,0.00%,3.46%,100.00%,89.71%,87.00%,36.59%,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H1230,Kaiser Permanente Senior Advantage,"KAISER FOUNDATION HP, INC.",Not measured,Not measured,76.50%,0.83%,0.00%,95.00%,,0.08%,0.86%,100.00%,95.60%,93.00%,Not enough data available to calculate measure,62.92%,77.50%,,,,,,,,,,
H1254,UPMC Health Plan,"UPMC HEALTH BENEFITS, INC.",,,,,,,,,,,Plan not required to report measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H1264,WellCare,"WELLCARE OF TEXAS, INC.",Not measured,100.00%,Not measured,2.17%,0.00%,90.38%,,0.48%,1.54%,100.00%,89.18%,83.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H1286,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,82.54%,1.52%,1.34%,93.71%,,0.00%,0.82%,100.00%,70.16%,87.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H1302,Blue Cross of Idaho,BLUE CROSS OF IDAHO HLTH SERVICES INC,Not measured,Not measured,100.00%,0.00%,0.00%,97.89%,,0.00%,0.00%,100.00%,Plan too small to be measured,85.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H1303,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,100.00%,83.65%,1.35%,1.86%,95.12%,,0.45%,3.04%,100.00%,70.16%,86.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H1304,Regence BlueShield Of Idaho,REGENCE BLUE SHIELD OF IDAHO,Not measured,100.00%,66.88%,0.00%,0.00%,93.94%,,0.37%,0.91%,100.00%,72.07%,82.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H1350,Blue Cross of Idaho,"BLUE CROSS OF IDAHO HEALTH SERVICES, INC",Not measured,100.00%,84.89%,0.00%,0.00%,97.89%,,0.64%,2.06%,100.00%,77.98%,85.00%,40.00%,52.02%,78.13%,,,,,,,,,,
H1355,Bravo Health,"BRAVO HEALTH INSURANCE COMPANY, INC.",Not measured,Not measured,Not measured,0.00%,2.21%,95.29%,,Not measured,Not measured,95.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H1364,Unison Advantage,"UNISON HEALTH PLAN OF OHIO, INC.",Not measured,Not measured,Not measured,1.61%,1.72%,80.70%,,Not measured,Not measured,100.00%,Plan too small to be measured,89.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H1365,Martin's Point Generations Advantage,"MARTIN'S POINT GENERATIONS, LLC",Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H1406,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",100.00%,66.67%,80.52%,2.51%,0.80%,89.83%,,0.18%,1.14%,100.00%,78.20%,78.00%,51.22%,42.86%,73.26%,,,,,,,,,,
H1415,"HealthSpring, Inc.","HEALTHSPRING OF TENNESSEE, INC.",100.00%,100.00%,88.98%,1.13%,0.87%,100.00%,,0.00%,1.01%,100.00%,69.30%,75.00%,20.93%,31.34%,75.68%,,,,,,,,,,
H1416,WellCare,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",Not measured,Not measured,Not measured,1.47%,0.00%,93.33%,,0.00%,1.52%,100.00%,85.36%,89.00%,22.95%,30.00%,78.26%,,,,,,,,,,
H1417,Health Alliance Medical Plans,HEALTH ALLIANCE MEDICAL PLANS,Not measured,Not measured,60.98%,0.00%,0.00%,98.92%,,0.00%,3.48%,100.00%,76.06%,92.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H1418,Humana Insurance Company,HUMANA INSURANCE COMPANY,62.50%,100.00%,83.14%,2.51%,0.80%,89.83%,,1.31%,1.11%,100.00%,78.20%,78.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
