2010 Data View: Medicare Part D Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drug Plan Customer Service,,,,,,,"Drug Plan Member Complaints, Members Who Choose to Leave, and Medicare Audit Findings",,,,Member Experience with Drug Plan,,,Drug Pricing and Patient Safety,,,,,,,,
,,,01/01/09 - 05/30/09,,02/01/09-06/30/09,,01/01/09-06/30/09,,03/13/09-07/10/09,01/01/09 - 06/30/09,,01/01/08 - 12/31/08,,02/01/09 - 06/30/09,,,01/01/09 - 06/30/09,12/08-06/09 ,1/08-10/08,01/01/08 - 12/31/08,,,,,
Contract Number,Organization Marketing Name,Contract Name,Time on Hold When Customer Calls Drug Plan (minutes:seconds),Time on Hold When Pharmacist Calls Drug Plan (minutes:seconds),Accuracy of Information Members Get When They Call the Drug Plan,Availability of TTY/TDD Services and Foreign Language Interpretation When Members Call the Drug Plan,"Drug Plan’s Timeliness in Giving a Decision for Members Who Make an Appeal (for every 10,000 members)","Fairness of Drug Plan’s Denials to Member Appeals, Based on an Independent Reviewer",Drug Plan Provides Pharmacists with Up-to-Date and Complete Enrollment Information about Plan Members,"Complaints about Joining and Leaving the Drug Plan (for every 1,000 members)","All Other Complaints about the Drug Plan (for every 1,000 members)",Members Choosing to Leave the Drug Plan (lower percentages are better because they mean fewer members choose to leave the plan),Seriousness of Problems Medicare Found During an Audit of the Drug Plan (on a scale from 0 to 100; lower numbers are better because they mean fewer serious problems),Drug Plan Provides Information or Help When Members Need It,Members’ Overall Rating of Drug Plan,Members’ Ability to Get Prescriptions Filled Easily When Using the Drug Plan,Completeness of the Drug Plan’s Information on Members Who Need Extra Help,Drug Plan Prices that Don’t Increase More Than Expected During the Year,Drug Plan Prices on Medicare’s Website Are Similar to the Prices Members Pay at the Pharmacy  ,"Drug Plan Members 65 and Older Who Receive Prescriptions for Certain Drugs with a High Risk of Side Effects, When There May Be Safer Drug Choices",Using the Kind of Blood Pressure Medication That Is Recommended for People with Diabetes,,,,
H0046,ProSalud Medicare Esencial Activo,PROSALUD HMO CORPORATION,0:31,0:40,71.3%,18.8%,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,84.6%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,
H0084,Care Improvement PPO,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,1:04,0:31,74.3%,55.2%,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,42.1%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,
H0104,Blue Cross Blue Shield of Alabama,BLUE CROSS AND BLUE SHIELD OF ALABAMA,0:13,0:01,79.6%,29.4%,0.7,Not enough data available to calculate measure,76.8%,0.33,0.25,4.0%,0,85.9%,89.9%,94.8%,98.4%,83.0%,8.5,34.2%,80.2%,,,,
H0108,"Humana Health Plan of California, Inc.","HUMANA HEALTH PLAN OF CALIFORNIA, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,
H0117,WellCare,"WELLCARE OF OHIO, INC.",0:51,0:30,74.4%,22.2%,4.3,No appeals required review,75.0%,1.5,0.78,24.6%,12,72.0%,80.7%,87.1%,99.6%,85.2%,15.3,18.5%,87.7%,,,,
H0141,CareSource,CARESOURCE MICHIGAN,0:46,0:33,79.8%,76.1%,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.6%,72.4%,Not enough data available to calculate measure,Not enough data available to calculate measure,84.2%,,,,
H0150,"Healthspring of Alabama, Inc.","HEALTHSPRING OF ALABAMA, INC.",0:07,0:23,75.2%,59.1%,1.7,Not enough data available to calculate measure,89.7%,0.2,0.08,12.4%,No data available,87.5%,88.0%,92.6%,99.5%,83.0%,24.8,35.0%,80.4%,,,,
H0151,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF ALABAMA, INC.",0:38,0:38,74.1%,59.6%,3,100.0%,76.7%,0.32,0.16,6.5%,No data available,77.0%,83.9%,91.4%,99.4%,77.0%,13.5,28.1%,78.7%,,,,
H0154,VIVA Medicare Plus,"VIVA HEALTH, INC.",0:15,1:19,90.4%,82.8%,0.8,20.0%,81.3%,0.09,0.04,5.4%,No data available,83.8%,85.2%,93.2%,99.9%,78.4%,14.2,30.6%,83.7%,,,,
H0248,Humana Insurance Company,HUMANA INSURANCE COMPANY,0:34,0:17,67.3%,52.9%,0,Not enough data available to calculate measure,80.0%,1.09,0.36,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,95.0%,80.7%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,
H0251,AmeriChoice Secure Plus Complete,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",0:56,0:46,75.3%,40.8%,12.3,85.7%,100.0%,0.29,0.72,Not enough data available to calculate measure,No data available,79.8%,90.7%,89.2%,99.9%,79.8%,19.4,36.9%,81.3%,,,,
H0302,Banner Health MediSun,"BANNER MEDISUN, INC.",0:22,0:31,82.0%,75.0%,0,Not enough data available to calculate measure,0.0%,0.04,0.04,2.6%,No data available,88.7%,84.4%,92.1%,99.8%,81.3%,22.2,19.6%,81.6%,,,,
H0303,SecureHorizons by UnitedHealthcare,"PACIFICARE OF ARIZONA, INC",0:41,0:37,75.3%,52.4%,1.6,92.9%,71.9%,0.27,0.15,6.5%,No data available,81.4%,83.4%,91.1%,98.9%,77.1%,12.7,18.7%,85.4%,,,,
H0307,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",0:36,0:20,69.3%,57.5%,11.9,33.3%,63.6%,0.12,0.18,6.2%,No data available,82.2%,85.7%,92.7%,99.9%,80.5%,19.6,20.0%,84.6%,,,,
H0316,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF ARIZONA,  INC.",0:47,0:37,75.3%,52.0%,1.5,Not enough data available to calculate measure,84.6%,0.59,0.18,13.2%,No data available,74.7%,80.5%,87.6%,99.0%,77.0%,12.7,14.9%,85.6%,,,,
H0317,Humana Insurance Company,HUMANA INSURANCE COMPANY,0:36,0:20,67.5%,53.5%,9.2,40.0%,53.3%,0.28,0.52,18.8%,No data available,81.7%,82.2%,89.0%,99.8%,80.5%,19.5,19.4%,84.3%,,,,
H0318,Aetna Medicare,AETNA HEALTH INC.,0:47,0:16,65.6%,48.3%,0,No appeals required review,Not enough data available to calculate measure,0.42,0.7,16.0%,43,81.2%,79.8%,88.0%,98.2%,80.5%,14.7,7.4%,86.1%,,,,
H0319,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,0:49,0:37,76.9%,41.5%,4.1,Not enough data available to calculate measure,76.5%,0.27,0.31,Not enough data available to calculate measure,No data available,80.4%,81.8%,88.5%,99.1%,76.7%,20.0,25.1%,84.5%,,,,
