2010 Domain Star View: Medicare Part D Report Card Master Table,,,,,,
,,,,,,
Medicare Part D Report Card Master Table,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Drug Plan Customer Service,"Drug Plan Member Complaints, Members Who Choose to Leave, and Medicare Audit Findings",Member Experience with Drug Plan,Drug Pricing and Patient Safety
H0046,ProSalud Medicare Esencial Activo,PROSALUD HMO CORPORATION,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H0084,Care Improvement PPO,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H0104,Blue Cross Blue Shield of Alabama,BLUE CROSS AND BLUE SHIELD OF ALABAMA,4,4,5,3
H0108,"Humana Health Plan of California, Inc.","HUMANA HEALTH PLAN OF CALIFORNIA, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0117,WellCare,"WELLCARE OF OHIO, INC.",3,2,2,4
H0141,CareSource,CARESOURCE MICHIGAN,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3
H0150,"Healthspring of Alabama, Inc.","HEALTHSPRING OF ALABAMA, INC.",4,3,5,2
H0151,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF ALABAMA, INC.",4,3,4,2
H0154,VIVA Medicare Plus,"VIVA HEALTH, INC.",4,5,4,3
H0248,Humana Insurance Company,HUMANA INSURANCE COMPANY,4,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H0251,AmeriChoice Secure Plus Complete,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",3,Not enough data to calculate stars for this category,4,3
H0302,Banner Health MediSun,"BANNER MEDISUN, INC.",4,5,5,3
H0303,SecureHorizons by UnitedHealthcare,"PACIFICARE OF ARIZONA, INC",4,3,3,3
H0307,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",3,4,4,3
H0316,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF ARIZONA,  INC.",4,3,2,3
H0317,Humana Insurance Company,HUMANA INSURANCE COMPANY,3,2,3,3
H0318,Aetna Medicare,AETNA HEALTH INC.,3,2,2,4
H0319,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,3,Not enough data to calculate stars for this category,3,2
H0320,Desert Canyon Community Care,"ARCADIAN HEALTH PLAN, INC.",3,2,4,3
H0321,APIPA Personal Care Plus,"ARIZONA PHYSICIANS IPA, INC.",4,4,2,3
H0332,KelseyCare Advantage,"KS PLAN ADMINISTRATORS, LLC",3,2,4,4
H0351,"Health Net of Arizona, Inc.","HEALTH NET OF ARIZONA, INC.",3,4,2,4
H0354,CIGNA Medicare Select,"CIGNA HEALTHCARE OF ARIZONA, INC.",4,5,5,4
H0370,Coventry Health and Life Insurance Company,COVENTRY HEALTH AND LIFE INSURANCE CO. (SOUTH DAKO,3,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
