CY2011 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,
  * See next worksheet for technical notes.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Part D,,,,,,,,1/1/2009 - 12/31/2009,Part C,,,,,,,,,,,,,,
,,,Access,,,Call Center,Patient Safety,,,Plan Finder,,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,,,,,,,,,,
,,,1/1/2010 - 6/30/2010,1/1/2010 - 6/30/2010,4/9/2010 - 10/8/2010,1/1/2010 - 6/30/2010,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2010 - 6/30/2010,,,,,,,,,,,,,,,,
,,,Timely Receipt of Case Files for Appeals,Timely Effectuation of Appeals,Timely Enrollment Processing,Calls Disconnected When Customer Calls Drug Plan ,Drug-Drug Interactions ,Diabetes Medication Dosing,Adherence - Proportion of Days Covered (PDC),Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website,Voluntary Disenrollment,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge),Call Answer Timeliness,Antidepressant Medication Management (6 months),"Continuous Beta Blocker Treatment
(6 months)",Adult BMI Assessment,,,,,,,,,,
H0084,Care Improvement Plus,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,100.00%,Not measured,92.01%,0.00%,0.00%,0.00%,0.00%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H0104,Blue Cross and Blue Shield of Alabama,BLUE CROSS AND BLUE SHIELD OF ALABAMA,0.00%,Not measured,95.42%,5.00%,11.06%,2.22%,57.59%,100.00%,30.64%,37.90%,81.62%,37.87%,69.82%,1.31%,,,,,,,,,,
H0108,"Humana Health Plan of California, Inc.","HUMANA HEALTH PLAN OF CALIFORNIA, INC.",Not measured,Not measured,89.57%,1.31%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H0117,WellCare,"WELLCARE OF OHIO, INC.",Not measured,Not measured,99.32%,1.25%,7.11%,3.13%,53.32%,100.00%,31.06%,29.55%,90.78%,Not enough data available to calculate measure,Not enough data available to calculate measure,35.48%,,,,,,,,,,
H0141,CareSource,CARESOURCE MICHIGAN,Not measured,Not measured,66.67%,4.17%,5.43%,0.00%,50.86%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H0150,"Healthspring of Alabama, Inc.","HEALTHSPRING OF ALABAMA, INC.",100.00%,100.00%,95.31%,0.00%,10.83%,1.73%,50.37%,100.00%,11.65%,35.75%,81.17%,40.54%,78.81%,2.85%,,,,,,,,,,
H0151,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF ALABAMA, INC.",50.00%,Not measured,96.49%,0.51%,10.71%,1.99%,50.95%,91.67%,10.71%,54.95%,85.29%,42.86%,80.42%,14.81%,,,,,,,,,,
H0154,VIVA Medicare Plus,"VIVA HEALTH, INC.",50.00%,100.00%,96.28%,0.83%,10.09%,2.09%,51.60%,100.00%,6.97%,26.32%,79.30%,40.60%,77.52%,8.76%,,,,,,,,,,
H0248,Humana Insurance Company,HUMANA INSURANCE COMPANY,100.00%,100.00%,85.29%,1.49%,5.45%,2.49%,54.93%,100.00%,11.74%,Not enough data available to calculate measure,97.42%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H0251,UnitedHealthcare Community Plan,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",100.00%,100.00%,96.75%,0.83%,9.97%,1.78%,55.64%,91.67%,22.11%,70.94%,89.90%,38.37%,90.63%,30.17%,,,,,,,,,,
H0302,Banner MediSun,"BANNER MEDISUN, INC.",100.00%,100.00%,95.27%,0.00%,6.08%,0.82%,65.93%,100.00%,5.45%,60.00%,92.77%,65.97%,81.82%,61.07%,,,,,,,,,,
H0303,SecureHorizons by UnitedHealthcare,"PACIFICARE OF ARIZONA, INC",44.44%,100.00%,93.45%,1.94%,7.99%,1.16%,60.25%,91.67%,11.18%,83.72%,85.29%,54.28%,79.95%,33.10%,,,,,,,,,,
H0307,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",100.00%,100.00%,84.77%,1.73%,7.38%,0.60%,55.94%,100.00%,15.51%,27.12%,97.42%,45.45%,94.23%,40.63%,,,,,,,,,,
H0316,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF ARIZONA,  INC.",100.00%,Not measured,93.39%,1.41%,6.31%,2.24%,58.66%,91.67%,15.88%,Not enough data available to calculate measure,85.29%,50.00%,Not enough data available to calculate measure,28.84%,,,,,,,,,,
H0317,Humana Insurance Company,HUMANA INSURANCE COMPANY,100.00%,100.00%,89.53%,1.73%,6.84%,1.11%,60.53%,100.00%,33.47%,Not enough data available to calculate measure,97.42%,Not enough data available to calculate measure,Not enough data available to calculate measure,48.18%,,,,,,,,,,
H0318,Aetna Medicare,AETNA HEALTH INC.,Not measured,100.00%,Not measured,0.00%,8.99%,0.97%,57.12%,100.00%,18.13%,Not enough data available to calculate measure,72.28%,Not enough data available to calculate measure,Not enough data available to calculate measure,17.92%,,,,,,,,,,
H0319,Evercare« by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0.00%,Not measured,67.07%,2.17%,8.38%,1.27%,57.04%,91.67%,39.09%,36.59%,85.29%,50.91%,78.95%,27.78%,,,,,,,,,,
H0320,Desert Canyon Community Care,"ARCADIAN HEALTH PLAN, INC.",Not measured,Not measured,91.09%,2.27%,8.53%,1.16%,58.56%,100.00%,8.03%,Not enough data available to calculate measure,79.33%,Not enough data available to calculate measure,Not enough data available to calculate measure,24.24%,,,,,,,,,,
H0321,UnitedHealthcare Community Plan,"ARIZONA PHYSICIANS IPA, INC.",100.00%,100.00%,96.74%,0.88%,7.50%,1.20%,50.07%,91.67%,7.10%,65.67%,76.04%,44.44%,72.73%,28.95%,,,,,,,,,,
H0332,KelseyCare Advantage,"KS PLAN ADMINISTRATORS, LLC",Not measured,100.00%,97.59%,0.00%,5.97%,1.50%,59.33%,100.00%,4.66%,Not enough data available to calculate measure,94.09%,62.50%,Not enough data available to calculate measure,96.84%,,,,,,,,,,
H0351,"Health Net of Arizona, Inc.","HEALTH NET OF ARIZONA, INC.",28.57%,100.00%,93.89%,0.00%,7.56%,1.41%,55.89%,100.00%,23.30%,84.46%,74.87%,48.07%,82.45%,51.76%,,,,,,,,,,
H0354,CIGNA HealthCare of Arizona,"CIGNA HEALTHCARE OF ARIZONA, INC.",Not measured,0.00%,95.22%,0.83%,7.35%,1.30%,66.06%,100.00%,4.42%,30.77%,85.66%,56.52%,89.43%,73.48%,,,,,,,,,,
H0370,Coventry Health Care,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Not measured,Not measured,95.08%,0.00%,Not measured,Not measured,Not measured,100.00%,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H0401,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF ARKANSAS, INC.",Not measured,Not measured,93.21%,0.63%,6.29%,2.15%,59.51%,91.67%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H0408,Evercare« by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,Not measured,0.83%,0.00%,0.00%,70.86%,91.67%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H0410,Erickson Advantage,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,Not measured,Not measured,7.33%,0.00%,72.54%,100.00%,,,,,,,,,,,,,,,,
H0423,MetroPlus Health Plan,"METROPLUS HEALTH PLAN, INC.",Not measured,Not measured,87.26%,0.83%,4.01%,1.25%,47.68%,100.00%,19.99%,Not enough data available to calculate measure,0 - Plan reported a Biased Rate,Not enough data available to calculate measure,Not enough data available to calculate measure,81.27%,,,,,,,,,,
H0474,Essence Healthcare,"ESSENCE HEALTHCARE OF NEW YORK, INC.",Not measured,Not measured,71.34%,5.00%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H0490,Molina Healthcare of Ohio,MOLINA HEALTHCARE OF OHIO,Not measured,Not measured,83.33%,1.67%,0.00%,0.00%,54.17%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H0496,SummaCare,SUMMA INSURANCE COMPANY,Not measured,Not measured,Not measured,Not measured,0.00%,0.00%,60.57%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H0502,Contra Costa Health Plan,CONTRA COSTA HEALTH PLAN,,,,,,,,Not measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H0504,Blue Shield of California,CALIFORNIA PHYSICIANS' SERVICE,80.00%,75.00%,93.21%,0.00%,8.81%,1.58%,60.82%,100.00%,8.33%,37.70%,0 - Plan reported a Biased Rate,45.65%,84.56%,31.48%,,,,,,,,,,
H0523,Aetna Medicare,"AETNA HEALTH OF CALIFORNIA,INC.",100.00%,80.00%,Not measured,0.00%,10.04%,1.56%,61.58%,100.00%,9.77%,25.00%,72.28%,47.97%,77.78%,35.85%,,,,,,,,,,
H0524,Kaiser Permanente Senior Advantage,"KAISER FOUNDATION HP, INC.",76.19%,83.33%,84.22%,0.00%,4.04%,2.04%,73.69%,100.00%,1.65%,78.35%,82.30%,75.63%,90.17%,98.51%,,,,,,,,,,
H0532,Western Health Advantage,WESTERN HEALTH ADVANTAGE,Not measured,Not measured,Not measured,0.00%,8.98%,1.43%,67.35%,100.00%,40.40%,Not enough data available to calculate measure,99.80%,Not enough data available to calculate measure,Not enough data available to calculate measure,71.53%,,,,,,,,,,
H0540,Unicare Life & Health Ins. Company,UNICARE LIFE AND HEALTH INS. COMPANY,100.00%,100.00%,91.09%,0.00%,6.85%,1.39%,60.21%,100.00%,42.45%,47.33%,75.86%,55.23%,76.57%,Plan not required to report measure,,,,,,,,,,
H0543,SecureHorizons by UnitedHealthcare,PACIFICARE OF CALIFORNIA,53.33%,100.00%,91.78%,1.55%,8.20%,1.25%,63.32%,91.67%,9.87%,23.48%,85.29%,50.85%,80.46%,51.04%,,,,,,,,,,
