,2011 Part D & Part C Display Measures Technical Notes:,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Topic,,Measure,Proposed Metric/Definition of Measure,General Trend,Data Date Range,Data Sources,Exclusions
General,,1.,"The file includes reporting time periods for each Medicare Part D performance or quality measure shown in the table.  All data are reported at the contract level. The data do not reflect information for National PACE, Cost plans, Employer Group Health plans (EGHPs), Continuing Care Retirement Community demonstrations (CCRCs), End Stage Renal Disease Networks (ESRDs), and Demonstration plans. ",,,,,
,,2.,"Reasons for ""Not measured""may include: Benefit not offered by plan, Not enough data available to calculate measure, Plan not required to report measure, Plan too new to be measured, Plan too small to be measured, Plan elected not to report data, Plan reported a Biased Rate.",,,,,
Part D,Access,1.,Timely Receipt of Case Files for Appeals ,"This measure is defined as the percent of case files that were requested by the IRE that were received timely from the plan.  (Timely is defined as files being received from the plan within 48 hours for Standard appeals, and within 24 hours for Expedited appeals.)  

Numerator = The number of case files requested that were received in the required timeframe.

Denominator = The number of case files requested by the IRE.

This is calculated as:  [(The number of case files received in the required timeframe) / (The number of case files requested by the IRE)] * 100.",Higher is better,January 1 to June 30 2010,"Data were obtained from the IRE contracted by CMS for Part D reconsiderations.

These data are limited to appeal cases requested by beneficiaries and the IRE requests files from the plans.   Cases auto-forwarded to the IRE are excluded from these data.  ",None.
,,2.,Timely Effectuation of Appeals,"This measure is defined as the percent of appeals that required effectuation that the plan effectuated in a timely manner (Timely is  defined as within one day of decision notification for Expedited appeals, or three days of decision notification for Standard appeals.).

Numerator = The number of the appeals that were effectuated timely.

Denominator = The number of the dispositions which required effectuation. Appeals with a Disposition of “Fully Reverse Plan” or “Partially Reverse Plan” require effectuation. This measure looks at the most recent proceeding where effectuation is required in the event of ALJ’s or Reopenings.

This is calculated as:  [(The number of the appeals that were effectuated timely) / (The number of the dispositions which required effectuation)] * 100.",Higher is better,January 1 to June 30 2010,"Data were obtained from the IRE contracted by CMS for Part D reconsiderations.

Timely is defined as within one day of decision notification for Expedited appeals, or three days of decision notification for Standard appeals.  For appeals involving plans making payments, timely is defined as payment being made within 30 calendar days of decision notification.",None.
,,3.,Timely Enrollment Processing,"This measure is defined as the percent of plan generated enrollment transactions submitted to CMS within 7 days of the application date.

Numerator = The number of plan generated enrollment transactions submitted to CMS within 7 days of the application date

Denominator = The total number of plan generated enrollment transactions submitted to CMS

This is calculated as: [(The number of plan generated enrollment transactions submitted to CMS within 7 days of the application date) / (The total number of plan generated enrollment transactions submitted to CMS)] * 100",Higher is better,April 9 to October 8 2010,Medicare Advantage Prescription Drug System (MARx)  ,"Contracts with a total of 5 or fewer transactions in the measurement period are excluded from this data set.

Beneficiaries of ICEP will be excluded from the measurement."
,Call Center,1.,Calls Disconnected When Customer Calls Drug Plan ,"This measure is defined as the percent of member services calls disconnected.

Numerator = The member services calls disconnected.

Denominator = The total member services calls received.

This is calculated as:  [(The member services calls disconnected) / (The total member services calls received)] * 100.",Lower is better,January 1 to June 30 2010,Call center surveillance monitoring data collected by CMS.  The “Customer Service for Current Members – Part D” phone number associated with each contract was monitored. This measure is based on calls to the current enrollee call center.,Data were not collected from MA-PDs and PDPs under sanction or from organizations that did not have a phone number accessible to the survey callers.
,Patient Safety,1.,Drug-Drug Interactions ,"This measure is defined as the percent of patients who received a prescription for a target medication during the measurement period and who were dispensed a prescription for a contraindicated medication with or subsequent to the initial prescription.

Numerator = Number of member-years of beneficiaries enrolled during the measurement period who were dispensed a target medication with at least one day overlap with a contraindicated medication.

Denominator = Number of member-years of beneficiaries enrolled during the measurement period who were dispensed a target medication.

This is calculated as: [(Number of member-years of beneficiaries enrolled during the measurement period who were dispensed a target medication) / (Number of member-years of beneficiaries enrolled during the measurement period who were dispensed a target medication with at least one day overlap with a contraindicated medication)]*100.",Lower is better,"January 1, 2009 to December 31, 2009","Data were obtained from PDE data files submitted by drug plans to Medicare for the reporting period. Please refer to Appendix 1: Medication List for Drug-Drug Interactions (DDI) for a comprehensive list of the target and contraindicated medications used in this analysis from the PQA measure concept specifications.

Based on medical research, when certain medications are taken during the same time, there may be an increased risk of serious side effects.    In some cases, it may be appropriate for a patient to take the two medications at the same time after considering the risks and the benefits.  Doctors and drug plans share a responsibility for providing safe prescription drugs.
",None.
