 Appendix 2: Medication List for Diabetes Medication Dosing (DMD) Measure,,,
Updated by Pharmacy Quality Alliance (PQA) 08.31.10,,,
,,,
"Note: Part D drugs do not include drugs or classes of drugs, or their medical uses, which may be excluded from coverage or otherwise restricted under section 1927(d)(2) of the Act, except for smoking cessation agents.  As such, these drugs which may be included in this list are excluded from CMS analyses.",,,
,,,
,,,
,Table 1A: Biguanide Medications,,
,Biguanides,,
,·    metformin,,
,Biguanide & Sulfonylurea Combination Products,,
,·    glipizide & metformin,·    glyburide & metformin,
,Biguanide & Thiazolinedione Combination Products,,
,·    rosiglitazone & metformin,·    pioglitazone & metformin,
,Biguanide & Meglitinide Combinations,,
,·      repaglinide & metformin,,
,Biguanide & DPP-IV Inhibitor Combinations,,
,·      sitagliptin & metformin,,
,Note: Active ingredients are limited to oral formulations only (includes all dosage forms).,,
,,,
,,,
,Table 1B: Biguanide Medications,,
,Medication,Maximum Dose (component 1),Maximum Dose (component 2)
,metformin IR*,"2,550mg/day",n/a
,metformin ER and XR,"2,000mg/day",n/a
,,"(up to 2,500mg/day for Fortamet)",
,glyburide & metformin,20mg/day (glyburide),"2,000mg/day (metformin)"
,glipizide & metformin,20mg/day (glipizide),"2,000mg/day (metformin)"
,repaglinide & metformin,10mg/day (repaglinide),"2,500mg/day (metformin)"
,sitagliptin & metformin,100mg/day (sitagliptin),"2,000mg/day (metformin)"
,pioglitazone & metformin IR,45mg/day (pioglitazone),"2,550mg/day (metformin IR)"
,pioglitazone & metformin ER,45mg/day (pioglitazone),"2,000mg/day (metformin ER)"
,rosiglitazone & metformin,8mg/day (rosiglitazone),"2,000mg/day (metformin)"
,*IR includes immediate release tablets/solution.  ,,
,"Update Reference: Drug Facts and Comparisons© 2010 by Wolters Kluwer Health, Inc. at www.factsandcomparisons.com (accessed 8/19/2010).",,
,,,
,,,
,Table 2A: Sulfonylurea Medications,,
,Sulfonylureas,,
,·    acetohexamide,·    glyburide,
,·    chlorpropamide,·    tolazamide,
,·    glimepiride,·    tolbutamide,
,·    glipizide,,
,Sulfonylurea & Biguanide Combination Products,,
,·    glipizide & metformin,·    glyburide & metformin,
,Sulfonylurea & Thiazolidinedione Combination Products,,
,·    rosiglitazone & glimepiride,·    pioglitazone & glimepiride,
,Note: Active ingredients are limited to oral formulations only (includes all salts and dosage forms).,,
,,,
,,,
,Table 2B: Sulfonylurea Medications,,
,Medication,Maximum Dose (component 1),Maximum Dose (component 2)
,acetohexamide,1.5g/day,n/a
,chlorpropamide,750mg/day,n/a
,glimepiride,8mg/day,n/a
,glipizide IR,40mg/day,n/a
,glipizide XL,20mg/day,n/a
,glyburide (non-micronized),20mg/day,n/a
,micronized glyburide,12mg/day,n/a
,tolazamide,"1,000mg/day",n/a
,tolbutamide,3g/day,n/a
,glyburide & metformin,20mg/day (glyburide),"2,000mg/day (metformin)"
,glipizide & metformin,20mg/day (glipizide),"2,000mg/day (metformin)"
,pioglitazone & glimepiride,45mg/day (pioglitazone),8mg/day (glimepiride)
,rosiglitazone & glimepiride,8mg/day (rosiglitazone),4mg/day (glimepiride)
,"Update References: Drug Facts and Comparisons© 2010 by Wolters Kluwer Health, Inc. at www.factsandcomparisons.com (accessed 8/19/2010).  Acetohexamide Dosing.  http://www.drugs.com/mmx/acetohexamide.html (accessed 8/19/2010).",,
,,,
,,,
,Table 3A: Thiazolidinedione Medications,,
,Thiazolidinediones,,
,·    pioglitazone,,
,·    rosiglitazone,,
,Thiazolinedione & Biguanide Combination Products,,
,·    rosiglitazone & metformin,·    pioglitazone & metformin,
,Thiazolidinedione & Sulfonylurea Combination Products,,
,·    rosiglitazone & glimepiride,·    pioglitazone & glimepiride,
,Note: Active ingredients are limited to oral formulations only (includes all dosage forms).,,
,,,
,,,
,Table 3B: Thiazolidinedione Medications,,
,Medication,Maximum Dose (component 1),Maximum Dose (component 2)
,pioglitazone,45mg/day,n/a
,pioglitazone & metformin IR*,45mg/day (pioglitazone),"2,550mg/day (metformin IR)"
,pioglitazone & metformin ER,45mg/day (pioglitazone),"2,000mg/day (metformin ER)"
,pioglitazone & glimepiride,45mg/day (pioglitazone),8mg/day (glimepiride)
,rosiglitazone & glimepiride,8m/day (rosiglitazone),4mg/day (glimepiride)
,rosiglitazone & metformin,8mg/day (rosiglitazone),"2,000mg/day (metformin)"
,rosiglitazone,8mg/day,n/a
,"*IR includes immediate release tablets/solution. 
Update References: Drug Facts and Comparisons© 2010 by Wolters Kluwer Health, Inc. at www.factsandcomparisons.com (accessed 8/19/2010).  
",,
