2011 Data View: Medicare Part D Report Card Master Table,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,
,,,Drug Plan Customer Service,,,,,,,Drug Plan Member Complaints and Medicare Audit Findings,,,Member Experience with Drug Plan,,,Drug Pricing and Patient Safety,,,,,
,,,02/08/10-05/28/10,01/11/10-04/30/10,02/01/10 - 06/25/10,,01/01/09-12/31/09,01/01/10-06/30/10,01/09/10-07/09/10,01/01/10 - 06/30/10,,01/01/09-12/31/09,02/01/10 - 06/30/10,,,02/01/10 - 06/30/10,01/01/09-12/31/09,01/01/09 - 12/31/09,,,
Contract Number,Organization Marketing Name,Contract Name,Time on Hold When Customer Calls Drug Plan (minutes:seconds),Time on Hold When Pharmacist Calls Drug Plan (minutes:seconds),Accuracy of Information Members Get When They Call the Drug Plan,Availability of TTY/TDD Services and Foreign Language Interpretation When Members Call the Drug Plan,"Drug Plan’s Timeliness in Giving a Decision for Members Who Make an Appeal (for every 10,000 members)","Fairness of Drug Plan’s Denials to Member  Appeals, Based on an Independent Reviewer",Drug Plan Provides Pharmacists with Up-to-Date and Complete Enrollment Information about Plan Members,"Complaints about Joining and Leaving the Drug Plan (for every 1,000 members)","All Other Complaints about the Drug Plan (for every 1,000 members)",Beneficiary access problems Medicare Found During an Audit of the Plan (on a scale from 0 to 100; lower numbers are better because they mean fewer serious problems),Drug Plan Provides Information or Help When Members Need It,Members’ Overall Rating of Drug Plan,Members’ Ability to Get Prescriptions Filled Easily When Using the Drug Plan,Completeness of the Drug Plan’s Information on Members Who Need Extra Help,Drug Plan Provides Accurate Price Information for Medicare’s Plan Finder Web site and Keeps Drug Prices Stable During the Year (higher scores are better),"Drug Plan Members 65 and Older Who Receive Prescriptions for Certain Drugs with a High Risk of Side Effects, When There May Be Safer Drug Choices",Using the Kind of Blood Pressure Medication That Is Recommended for People with Diabetes,,
H0084,Care Improvement Plus,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,0:36,0:41,69.4%,73.6,Not enough data available to calculate measure,Not enough data available to calculate measure,8.3%,Not enough data available to calculate measure,Not enough data available to calculate measure,8,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,98.4%,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,,
H0104,Blue Cross and Blue Shield of Alabama,BLUE CROSS AND BLUE SHIELD OF ALABAMA,0:02,0:11,66.7%,64.6,1.4,Not enough data available to calculate measure,88.5%,0.54,0.27,No data available,81.9%,84.3%,94.8%,97.8%,99.1,35.2%,82.1%,,
H0108,"Humana Health Plan of California, Inc.","HUMANA HEALTH PLAN OF CALIFORNIA, INC.",1:12,1:13,76.2%,67.9,Plan too new to be measured,No appeals required review,64.3%,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.0%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H0117,WellCare,"WELLCARE OF OHIO, INC.",0:29,0:27,80.7%,80.9,4.3,No appeals required review,100.0%,0.13,1.09,No data available,69.4%,77.3%,83.4%,99.9%,99.8,21.3%,85.5%,,
H0141,CareSource,CARESOURCE MICHIGAN,0:46,0:23,77.6%,85.4,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,43.7%,96.6,36.8%,82.6%,,
H0150,"Healthspring of Alabama, Inc.","HEALTHSPRING OF ALABAMA, INC.",0:14,0:48,78.6%,84.0,2.7,75.0%,63.5%,0.17,0.13,No data available,83.2%,85.1%,91.9%,98.8%,94.8,35.6%,82.6%,,
H0151,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF ALABAMA, INC.",0:36,0:35,64.8%,70.7,3.4,Not enough data available to calculate measure,98.1%,0.20,0.19,20,76.8%,85.5%,92.1%,99.2%,97.8,28.9%,80.4%,,
H0154,VIVA Medicare Plus,"VIVA HEALTH, INC.",0:37,1:03,74.1%,83.3,1.1,Not enough data available to calculate measure,88.5%,0.04,0.06,No data available,88.2%,85.2%,92.5%,84.2%,98.3,30.4%,83.3%,,
