Contract Number,Contract Name,Parent Organization,Organization Type,Part C,,,,,,,,,,Part D,,,,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring for Patients Taking Long Term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary  Hold Time - DMC09,Call Center – Information Accuracy- DMC10,Access,,,Call Center,,,Drug Pricing and Patient Safety,,,Plan Finder
,,,,,,,,,,,,,,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02 ,Drug Plan Provides Pharmacists with Up-to-Date and Complete    Enrollment Information about Plan Members - DMD03,Calls Disconnected When Customer Calls Drug Plan - DMD04 ,Call Center – Beneficiary Hold Time - DMD05 ,Call Center – Information Accuracy - DMD06 ,Drug-Drug Interactions - DMD07  ,Diabetes Medication Dosing - DMD08 ,Completeness of the Drug Plan's Information on Members Who Need Extra Help - DMD09,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD10 
E0654,IBT VOLUNTARY EMPLOYEE BENEFITS TRUST,IBT Voluntary Employee Benefits Trust,Employer/Union Only Direct Contract PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100.00%,100.00%,Not measured,Not measured,Not measured,Not measured,8.6%,1.4%,98.20%,100.00%
E2332,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,National Rural Electric Cooperative Association,Employer/Union Only Direct Contract PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100.00%,100.00%,Not measured,Not measured,Not measured,Not measured,12.2%,1.8%,99.30%,100.00%
E2630,C AND O EMPLOYEES HOSPITAL ASSOCIATION,C & O Employees' Hospital Association,Employer/Union Only Direct Contract PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,9.8%,2.4%,82.80%,100.00%
E2868,CARPENTER'S HEALTH  AND WELFARE TRUST FUND OF STL,Carpenters H&W Trust Fund of St. Louis,Employer/Union Only Direct Contract PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,50.00%,100.00%,Not measured,Not measured,Not measured,Not measured,13.0%,2.1%,97.40%,100.00%
E3014,PSERS HOP PROGRAM,Commonwealth of PA Pub Schools Retirement System,Employer/Union Only Direct Contract PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100.00%,100.00%,Not measured,Not measured,Not measured,Not measured,7.9%,1.2%,99.10%,100.00%
E4744,MO DOT AND MSHP MEDICAL AND LIFE INS PLAN,Missouri  DOT/State Highway Patrol Med & Life Ins,Employer/Union Only Direct Contract PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not measured,100.00%,Not measured,Not measured,Not measured,Not measured,9.6%,1.7%,82.90%,100.00%
E6036,ASOCIACION DE MAESTROS DE PUERTO RICO,Asociacion De Maestros De Puerto Rico,Employer/Union Only Direct Contract PFFS,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,4.8%,1.1%,Not measured,100.00%
E6322,KENTUCKY RETIREMENT SYSTEM,Kentucky Retirement Systems,Employer/Union Only Direct Contract PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,40.00%,100.00%,Not measured,Not measured,Not measured,Not measured,11.7%,1.9%,99.80%,100.00%
E7316,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,Union Pacific Railroad Employes Health Systems,Employer/Union Only Direct Contract PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,9.2%,1.5%,98.80%,100.00%
