2012 Measure Data: Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,
,,,,,Drug Plan Customer Service,,,,,"Member Complaints, Problems Getting Care, and Choosing to Leave the Plan",,,Member Experience with Drug Plan,,,Drug pricing and patient safety,,,,,
,,,,,01/31/11-05/27/11,01/31/11-05/20/11,01/01/10-12/31/10,01/01/11-06/30/11,11/13/10-04/27/11,01/01/11 - 06/30/11,01/01/10 - 02/28/11,01/01/10-12/31/10,02/01/11 - 06/30/11,,,01/01/10 - 12/31/10,,,,,
Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,D01: Time on Hold When Pharmacist Calls Drug Plan (minutes:seconds),D02: Availability of TTY/TDD Services and Foreign Language Interpretation When Members Call the Drug Plan,"D03: Drug Plan Makes Timely Decisions about Appeals (for every 10,000 members)","D04: Fairness of Drug Plan’s Denials to Member Appeals, Based on an Independent Reviewer",D05: Plan handles New Enrollment Requests within 7 days,"D06: Complaints about the Drug Plan (for every 1,000 members)","D07: Problems Medicare Found in Members’ Access to Services and in the Plan’s Performance (on a scale from 0 to 100, higher numbers are better because it means fewer problems)",D08: Members Choosing to Leave the Plan (lower percentages are better because it means fewer members choose to leave the plan),D09: Drug Plan Provides Information or Help When Members Need It,D10: Members’ Overall Rating of Drug Plan,D11: Members’ Ability to Get Prescriptions Filled Easily When Using the Drug Plan,D12: Drug Plan Provides Accurate Price Information for Medicare’s Plan Finder Web site and Keeps Drug Prices Stable During the Year (higher scores are better),"D13: Plan Members 65 and Older Who Received Prescriptions for Certain Drugs with a High Risk of Side Effects, When There May Be Safer Drug Choices",D14: Using the Kind of Blood Pressure Medication That Is Recommended for People with Diabetes,D15: Taking Oral Diabetes Medication as Directed,D16: Taking Blood Pressure Medication as Directed,D17: Taking Cholesterol Medication as Directed
E0654,Employer/Union Only Direct Contract PDP,IBT VOLUNTARY EMPLOYEE BENEFITS TRUST,TEAMStar Medicare Part D Prescription Drug Program,IBT Voluntary Employee Benefits Trust,No data available,No data available,0.6,Not enough data available to calculate measure,Not enough data available to calculate measure,0.10,No data available,Not enough data available to calculate measure,No data available,No data available,No data available,Not enough data available to calculate measure,20.6%,80.8%,74.8%,75.9%,69.6%
E2332,Employer/Union Only Direct Contract PDP,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,National Rural Electric Cooperative Association,National Rural Electric Cooperative Association,No data available,No data available,7.1,Not enough data available to calculate measure,Not enough data available to calculate measure,0.00,No data available,Not enough data available to calculate measure,No data available,No data available,No data available,Not enough data available to calculate measure,26.9%,82.6%,80.9%,81.0%,78.4%
E2630,Employer/Union Only Direct Contract PDP,C AND O EMPLOYEES HOSPITAL ASSOCIATION,C and O Employees Hospital Association,C & O Employees' Hospital Association,No data available,No data available,3.9,No appeals required review,Not enough data available to calculate measure,0.13,No data available,Not enough data available to calculate measure,No data available,No data available,No data available,Not enough data available to calculate measure,27.7%,78.3%,81.2%,78.3%,75.2%
E2868,Employer/Union Only Direct Contract PDP,CARPENTER'S HEALTH  AND WELFARE TRUST FUND OF STL,Carpenters' District Council of Greater St. Louis,Carpenters H&W Trust Fund of St. Louis,No data available,No data available,0.0,Not enough data available to calculate measure,Not enough data available to calculate measure,0.13,No data available,Not enough data available to calculate measure,No data available,No data available,No data available,Not enough data available to calculate measure,24.4%,81.6%,83.3%,80.8%,76.1%
E3014,Employer/Union Only Direct Contract PDP,PSERS HOP PROGRAM,Pennsylvania Public School Employees Retirement Sy,Commonwealth of PA Pub Schools Retirement System,No data available,No data available,0.5,Not enough data available to calculate measure,Not enough data available to calculate measure,0.03,No data available,Not enough data available to calculate measure,No data available,No data available,No data available,Not enough data available to calculate measure,18.4%,80.3%,80.0%,81.6%,76.9%
E4744,Employer/Union Only Direct Contract PDP,MO DOT AND MSHP MEDICAL AND LIFE INS PLAN,MISSOURI DEPARTMENT OF TRANSPORTATION,Missouri  DOT/State Highway Patrol Med & Life Ins,No data available,No data available,22.4,Not enough data available to calculate measure,Not enough data available to calculate measure,0.12,No data available,Not enough data available to calculate measure,No data available,No data available,No data available,Not enough data available to calculate measure,23.9%,83.9%,81.4%,80.7%,75.5%
E6036,Employer/Union Only Direct Contract PFFS,ASOCIACION DE MAESTROS DE PUERTO RICO,PROSSAM Plus,Asociacion De Maestros De Puerto Rico,No data available,No data available,0.0,No appeals required review,Not enough data available to calculate measure,0.37,No data available,Not enough data available to calculate measure,No data available,No data available,No data available,Not enough data available to calculate measure,36.0%,90.9%,62.6%,57.6%,31.1%
E6322,Employer/Union Only Direct Contract PDP,KENTUCKY RETIREMENT SYSTEM,Kentucky Retirement Systems,Kentucky Retirement Systems,No data available,No data available,1.3,0.0%,Not enough data available to calculate measure,0.03,No data available,Not enough data available to calculate measure,No data available,No data available,No data available,Not enough data available to calculate measure,30.9%,82.9%,80.4%,78.8%,73.2%
E7316,Employer/Union Only Direct Contract PDP,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,Union Pacific Railroad  Employes Health Systems,Union Pacific Railroad Employes Health Systems,No data available,No data available,0.0,No appeals required review,Not enough data available to calculate measure,0.01,No data available,Not enough data available to calculate measure,No data available,No data available,No data available,Not enough data available to calculate measure,20.9%,80.6%,68.4%,70.8%,68.5%
E7848,Employer/Union Only Direct Contract PDP,OKLAHOMA STATE AND EDUCATION EMP GRP INS BOARD,HealthChoice,Oklahoma State and Educ Employees Group Ins Board,No data available,No data available,0.6,80.0%,Not enough data available to calculate measure,0.02,No data available,Not enough data available to calculate measure,No data available,No data available,No data available,Not enough data available to calculate measure,31.7%,82.5%,74.6%,76.4%,74.8%
H0084,Local CCP,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,Care Improvement Plus,XLHealth Corporation,0:18,71.9,0.0,No appeals required review,83.83,1.30,60,29%,83%,79%,90%,98.5,23.0%,79.9%,57.1%,65.9%,57.0%
H0104,Local CCP,BLUE CROSS AND BLUE SHIELD OF ALABAMA,Blue Cross and Blue Shield of Alabama,BlueCross BlueShield of Alabama,1:18,74.5,0.5,Not enough data available to calculate measure,81.99,0.86,80,22%,81%,80%,92%,97.7,33.5%,82.1%,72.3%,70.9%,65.2%
H0108,Local CCP,"HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.",Humana Inc.,0:29,84.0,Not enough data available to calculate measure,No appeals required review,68.92,2.54,100,Not enough data available to calculate measure,No data available,No data available,No data available,96.2,14.9%,85.9%,76.2%,67.2%,66.5%
H0117,Local CCP,"WELLCARE OF OHIO, INC.",WellCare,"WellCare Health Plans, Inc.",0:18,86.1,0.0,Not enough data available to calculate measure,97.14,0.52,60,19%,79%,80%,90%,99.3,19.9%,84.4%,66.1%,68.9%,62.7%
H0141,Local CCP,CARESOURCE MICHIGAN,CareSource,CareSource,0:25,No data available,Not enough data available to calculate measure,No appeals required review,87.83,Not enough data available to calculate measure,80,Not enough data available to calculate measure,No data available,No data available,No data available,98.8,32.2%,83.9%,78.7%,68.2%,65.3%
H0150,Local CCP,"HEALTHSPRING OF ALABAMA, INC.","Healthspring of Alabama, Inc.","HealthSpring, Inc.",0:24,81.3,3.3,Not enough data available to calculate measure,91.91,0.22,44,12%,83%,87%,93%,Not enough data available to calculate measure,28.9%,81.5%,65.2%,62.5%,57.6%
H0151,Local CCP,"UNITEDHEALTHCARE OF ALABAMA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",1:02,77.4,0.0,No appeals required review,96.56,0.19,40,10%,83%,88%,93%,97.9,34.2%,80.4%,65.9%,65.3%,60.7%
H0154,Local CCP,"VIVA HEALTH, INC.",VIVA Medicare Plus,UAB Health System,0:35,90.8,1.6,Not enough data available to calculate measure,82.79,0.14,100,6%,83%,85%,92%,99.1,32.4%,83.2%,68.5%,68.7%,63.0%
H0248,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:27,84.1,0.0,No appeals required review,78.49,0.51,100,12%,76%,83%,88%,96.3,12.2%,88.2%,72.3%,69.3%,64.7%
H0251,Local CCP,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",1:06,No data available,1.5,Not enough data available to calculate measure,95.72,0.49,60,13%,79%,86%,91%,98.0,38.2%,83.4%,68.1%,66.3%,66.3%
