,2012 Part D Performance Metrics Threshold for Star Assignments,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,,
,,,Drug Plan Customer Service,,,,,"Member Complaints, Problems Getting Care, and Choosing to Leave the Plan",,,Member Experience with Drug Plan,,,Drug pricing and patient safety,,,,,,,,,
,,,01/31/11-05/27/11,01/31/11-05/20/11,01/01/10-12/31/10,01/01/11-06/30/11,11/13/10-04/27/11,01/01/11 - 06/30/11,01/01/10 - 02/28/11,01/01/10-12/31/10,02/01/11 - 06/30/11,,,01/01/10 - 12/31/10,,,,,,,,,
,Org Type,Number of Stars Displayed on the Plan Finder Tool,D01: Time on Hold When Pharmacist Calls Drug Plan (minutes:seconds),D02: Availability of TTY/TDD Services and Foreign Language Interpretation When Members Call the Drug Plan,"D03: Drug Plan Makes Timely Decisions about Appeals (for every 10,000 members)","D04: Fairness of Drug Plan’s Denials to Member Appeals, Based on an Independent Reviewer",D05: Plan handles New Enrollment Requests within 7 days,"D06: Complaints about the Drug Plan (for every 1,000 members)","D07: Problems Medicare Found in Members’ Access to Services and in the Plan’s Performance (on a scale from 0 to 100, higher numbers are better because it means fewer problems)",D08: Members Choosing to Leave the Plan (lower percentages are better because it means fewer members choose to leave the plan),D09: Drug Plan Provides Information or Help When Members Need It,D10: Members’ Overall Rating of Drug Plan,D11: Members’ Ability to Get Prescriptions Filled Easily When Using the Drug Plan,D12: Drug Plan Provides Accurate Price Information for Medicare’s Plan Finder Web site and Keeps Drug Prices Stable During the Year (higher scores are better),"D13: Plan Members 65 and Older Who Received Prescriptions for Certain Drugs with a High Risk of Side Effects, When There May Be Safer Drug Choices",D14: Using the Kind of Blood Pressure Medication That Is Recommended for People with Diabetes,D15: Taking Oral Diabetes Medication as Directed,D16: Taking Blood Pressure Medication as Directed,D17: Taking Cholesterol Medication as Directed,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,PDP,5,<=0:18,>=85.5,<=0.6,>=81.6%,>=97.26,<=0.13,>80 to <=100,<=9%,>=80%,>=83%,>=91%,>=97.4,<=17.9%,>=83.9%,>=79.2%,>=79.2%,>=75.8%,,,,
,,4,>0:18 to <=0:44,>=82.0 to <85.5,>0.6 to <=1.0,>=68.0% to <81.6%,>=95.32 to <97.26,>0.13 to <=0.17,>60 to <=80,>9% to <=11%,NA*,>=81% to <83%,>=89% to <91%,>=96.1 to <97.4,>17.9% to <=19.3%,>=83.0% to <83.9%,>=75.8% to <79.2%,>=76.4% to <79.2%,>=72.3% to <75.8%,,,,
,,3,>0:44 to <=2:15,>=78.6 to <82.0,>1.0 to <=2.3,>=66.7% to <68.0%,>=90.86 to <95.32,>0.17 to <=0.26,>40 to <=60,>11% to <=14%,>=75% to <80%,>=79% to <81%,>=88% to <89%,>=85.0 to <96.1,>19.3% to <=23.9%,>=81.8% to <83.0%,>=73.6% to <75.8%,>=73.6% to <76.4%,>=67.8% to <72.3%,,,,
,,2,NA,>=69.4 to <78.6,>2.3 to <=4.4,>=43.1% to <66.7%,>=84.62 to <90.86,>0.26 to <=0.47,>20 to <=40,>14% to <=19%,>=73% to <75%,>=77% to <79%,>=87% to <88%,NA,>23.9% to <=27.7%,>=80.9% to <81.8%,>=72.3% to <73.6%,>=71.9% to <73.6%,>=59.9% to <67.8%,,,,
,,1,NA,>=0.0 to <69.4,>4.4 to <=33.4,>=0.0% to <43.1%,>=57.32 to <84.62,>0.47 to <=4.12,>=0 to <=20,>19% to <=36%,<73%,<77%,<87%,NA,>27.7% to <=34.2%,>=76.4% to <80.9%,>=37.7% to <72.3%,>=48.8% to <71.9%,>=27.1% to <59.9%,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,MA-PD,5,<=0:25,>=85.7,<=0.3,>=90.0%,>=96.50,<=0.17,>80 to <=100,<=7%,>=86%,>=86%,>=93%,>=98.3,<=9.3%,>=87.3%,>=78.8%,>=77.9%,>=75.2%,,,,
