2013 Measure Data: Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,,
,,,,,Drug Plan Customer Service,,,,,"Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance",,,,Member Experience with Drug Plan,,,Patient Safety and Accuracy of Drug Pricing ,,,,,
,,,,,02/06/12–05/18/12,01/30/12–05/18/12,01/01/11 - 12/31/11,01/01/12 - 6/30/12,01/01/12- 6/30/12 ,01/01/12 - 6/30/12,01/01/11 - 12/31/11,,, 02/15/12 - 05/31/12,,,01/01/11 - 09/30/11,01/01/11 - 12/31/11,,,,
Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,D01: Call Center – Pharmacy Hold Time,D02: Call Center – Foreign Language Interpreter and TTY/TDD Availability,D03: Appeals Auto–Forward,D04: Appeals Upheld,D05: Enrollment Timeliness,D06: Complaints about the Drug Plan,D07: Beneficiary Access and Performance Problems,D08: Members Choosing to Leave the Plan,D09: Improvement,D10: Getting Information From Drug Plan,D11: Rating of Drug Plan,D12: Getting Needed Prescription Drugs,D13: MPF Price Accuracy,D14: High Risk Medication,D15: Diabetes Treatment,D16: Part D Medication Adherence for Oral Diabetes Medications ,D17: Part D Medication Adherence for Hypertension (RAS antagonists) ,D18: Part D Medication Adherence for Cholesterol (Statins) 
E0654,Employer/Union Only Direct Contract PDP,IBT VOLUNTARY EMPLOYEE BENEFITS TRUST,TEAMStar Medicare Part D Prescription Drug Program,IBT Voluntary Employee Benefits Trust,Not enough data available,Not enough data available,0,Not enough data available,Not enough data available,0.11,100,Not enough data available,Medicare shows only a star rating for this topic,85%,87%,92%,Not enough data available,7.20%,80.60%,77.00%,77.10%,70.80%
E2332,Employer/Union Only Direct Contract PDP,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,National Rural Electric Cooperative Association,National Rural Electric Cooperative Association,Not enough data available,Not enough data available,8.5,Not enough data available,Not enough data available,0.02,100,Not enough data available,Not enough data available,79%,85%,89%,Not enough data available,10.30%,82.80%,80.50%,82.80%,79.10%
E2630,Employer/Union Only Direct Contract PDP,C AND O EMPLOYEES HOSPITAL ASSOCIATION,C and O Employees Hospital Association,C & O Employees' Hospital Association,Not enough data available,Not enough data available,4,Not enough data available,Not enough data available,0,100,Not enough data available,Medicare shows only a star rating for this topic,88%,89%,93%,Not enough data available,8.50%,76.80%,79.80%,79.70%,75.80%
E3014,Employer/Union Only Direct Contract PDP,PSERS HOP PROGRAM,Pennsylvania Public School Employees Retirement Sy,Commonwealth of PA Pub Schools Retirement System,Not enough data available,Not enough data available,0.4,80%,Not enough data available,0.02,100,Not enough data available,Medicare shows only a star rating for this topic,87%,90%,93%,Not enough data available,6.20%,80.20%,80.10%,81.10%,75.80%
E4744,Employer/Union Only Direct Contract PDP,MO DOT AND MSHP MEDICAL AND LIFE INS PLAN,MISSOURI DEPARTMENT OF TRANSPORTATION,Missouri  DOT/State Highway Patrol Med & Life Ins,Not enough data available,Not enough data available,3.6,Not enough data available,Not enough data available,0.03,100,Not enough data available,Medicare shows only a star rating for this topic,80%,83%,90%,Not enough data available,8.80%,82.40%,82.50%,80.00%,75.10%
E6322,Employer/Union Only Direct Contract PDP,KENTUCKY RETIREMENT SYSTEM,Kentucky Retirement Systems,Kentucky Retirement Systems,Not enough data available,Not enough data available,1.3,64%,Not enough data available,0.02,100,Not enough data available,Medicare shows only a star rating for this topic,80%,83%,90%,Not enough data available,12.90%,83.00%,79.50%,78.90%,71.80%
E7316,Employer/Union Only Direct Contract PDP,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,Union Pacific Railroad  Employes Health Systems,Union Pacific Railroad Employes Health Systems,Not enough data available,Not enough data available,0,Not enough data available,Not enough data available,0,100,Not enough data available,Medicare shows only a star rating for this topic,86%,88%,88%,Not enough data available,7.60%,80.10%,68.70%,72.40%,67.50%
E7848,Employer/Union Only Direct Contract PDP,OKLAHOMA STATE AND EDUCATION EMP GRP INS BOARD,HealthChoice,State of Oklahoma,Not enough data available,Not enough data available,1.8,Not enough data available,Not enough data available,0.02,100,Not enough data available,Medicare shows only a star rating for this topic,76%,81%,89%,Not enough data available,13.50%,82.40%,75.30%,77.60%,73.30%
H0028,Local CCP,"CHA HMO, INC.","CHA HMO, Inc.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0084,Local CCP,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,Care Improvement Plus,"UnitedHealth Group, Inc.",0:08,91%,5.8,Not enough data available,91%,0.89,100,24%,Medicare shows only a star rating for this topic,Not enough data available,81%,88%,99,9.10%,76.70%,69.30%,67.00%,58.00%
H0104,Local CCP,BLUE CROSS AND BLUE SHIELD OF ALABAMA,Blue Cross and Blue Shield of Alabama,BlueCross BlueShield of Alabama,0:18,74%,0.9,80%,92%,0.17,80,14%,Medicare shows only a star rating for this topic,82%,82%,92%,98,8.60%,82.50%,73.10%,73.00%,66.90%
H0108,Local CCP,"HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.",Humana Inc.,0:08,97%,2.2,Not enough data available,96%,0.99,67,16%,Medicare shows only a star rating for this topic,81%,84%,88%,97,7.10%,88.10%,72.20%,73.90%,69.10%
H0117,Local CCP,"WELLCARE OF OHIO, INC.",WellCare,"WellCare Health Plans, Inc.",0:15,86%,0,Not enough data available,98%,0.62,80,18%,Medicare shows only a star rating for this topic,83%,85%,92%,99,6.90%,86.20%,64.20%,66.60%,60.90%
H0141,Local CCP,CARESOURCE MICHIGAN,CareSource,CareSource Management Group Co.,0:31,84%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,80,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,98,15.00%,80.70%,70.40%,71.00%,69.80%
H0150,Local CCP,"HEALTHSPRING OF ALABAMA, INC.","Healthspring of Alabama, Inc.",CIGNA,0:32,93%,0.6,Not enough data available,92%,0.26,80,8%,Medicare shows only a star rating for this topic,85%,88%,93%,99,14.30%,82.50%,67.50%,66.60%,60.60%
H0151,Local CCP,"UNITEDHEALTHCARE OF ALABAMA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0:11,91%,0.6,Not enough data available,97%,0.24,0,9%,Medicare shows only a star rating for this topic,Not enough data available,85%,92%,99,14.60%,81.10%,66.90%,66.30%,61.70%
H0154,Local CCP,"VIVA HEALTH, INC.",VIVA Medicare Plus,UAB Health System,0:25,93%,4.6,60%,96%,0.15,80,7%,Medicare shows only a star rating for this topic,Not enough data available,86%,93%,99,14.10%,82.70%,69.00%,69.20%,63.20%
H0248,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:06,97%,2,Not enough data available,92%,0.52,67,15%,Medicare shows only a star rating for this topic,81%,84%,90%,98,4.70%,88.00%,72.40%,72.00%,67.00%
H0251,Local CCP,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",0:13,95%,2,70%,Not enough data available,0.37,12,11%,Medicare shows only a star rating for this topic,Not enough data available,89%,93%,99,20.50%,83.60%,67.00%,66.30%,63.50%
H0294,Local CCP,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,Care Improvement Plus,"UnitedHealth Group, Inc.",0:08,91%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H0302,Local CCP,"BANNER MEDISUN, INC.",Banner MediSun,Banner Health,0:10,78%,5.7,Not enough data available,94%,0.09,80,5%,Medicare shows only a star rating for this topic,84%,84%,91%,98,4.90%,84.30%,79.50%,80.40%,75.30%
H0303,Local CCP,"PACIFICARE OF ARIZONA, INC",UnitedHealthcare,"UnitedHealth Group, Inc.",0:11,90%,0.9,93%,96%,0.23,0,8%,Medicare shows only a star rating for this topic,Not enough data available,84%,91%,99,7.50%,85.30%,73.00%,74.60%,71.10%
H0307,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,0:08,97%,0.7,Not enough data available,95%,0.77,67,14%,Medicare shows only a star rating for this topic,83%,83%,92%,97,7.30%,85.20%,76.00%,76.20%,72.60%
H0316,Local CCP,"UNITEDHEALTHCARE OF ARIZONA,  INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0:11,91%,0.5,Not enough data available,96%,0.32,0,11%,Medicare shows only a star rating for this topic,87%,82%,93%,99,6.20%,84.70%,72.50%,74.00%,69.40%
H0317,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:08,97%,0,Not enough data available,95%,0.85,67,36%,Medicare shows only a star rating for this topic,81%,81%,89%,97,7.50%,83.40%,78.10%,76.70%,72.80%
H0318,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,0:41,89%,0,Not enough data available,86%,1.27,40,12%,Medicare shows only a star rating for this topic,79%,83%,91%,99,3.80%,87.80%,77.20%,79.40%,70.30%
H0319,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:11,87%,0,Not enough data available,Not enough data available,0.46,0,3%,Medicare shows only a star rating for this topic,Not enough data available,Not enough data available,Not enough data available,93,13.70%,69.40%,72.40%,79.20%,76.40%
H0320,Local CCP,"ARCADIAN HEALTH PLAN, INC.",Desert Canyon Community Care,Humana Inc.,0:20,59%,7.8,Not enough data available,98%,0.13,80,8%,Medicare shows only a star rating for this topic,84%,82%,92%,Not enough data available,7.00%,80.20%,68.70%,68.90%,67.90%
H0321,Local CCP,"ARIZONA PHYSICIANS IPA, INC.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",0:11,95%,CMS identified issues with plan’s data,Not enough data available,Not enough data available,0.23,12,6%,Medicare shows only a star rating for this topic,Not enough data available,85%,90%,99,12.30%,85.90%,68.30%,67.80%,63.60%
