CY2014 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Contract Name,Parent Organization,Organization Type,Part C,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,Both Part C & Part D
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring for Patients Taking Long Term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary Hold Time - DMC09,Call Center – Information Accuracy - DMC10,Pneumonia Vaccine - DMC11,Access to Primary Care Doctor Visits - DMC12,Grievance Rate - DMC13,Special Needs Plan (SNP) Care Management - DMC14,Calls Disconnected When Customer Calls Health Plan  - DMC15,Pharmacotherapy Management of COPD Exacerbation - Systemic Corticosteroid - DMC16,Pharmacotherapy Management of COPD Exacerbation - Bronchodilator - DMC17,Initiation of Alcohol or other Drug Treatment - DMC18,Engagement of Alcohol or other Drug Treatment - DMC19,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time- DMD04,Call Center – Information Accuracy- DMD05,Drug-Drug Interactions - DMD06,Diabetes Medication Dosing - DMD07,Completeness of the Drug Plan's Information on Members Who Need Extra Help - DMD08,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD09,MPF - Stability - DMD10,Grievance Rate - DMD11,Medication Therapy Management Program Completion Rate for Comprehensive Medication Reviews - DMD12,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD13,Getting Information from Drug Plan - DMD14,Call Center—Pharmacy Hold Time measures - DMD15,Plan Submitted Higher Prices for Display on MPF - DMD16,Enrollment Timeliness - DME01
E0654,IBT VOLUNTARY EMPLOYEE BENEFITS TRUST,IBT Voluntary Employee Benefits Trust,Employer/Union Only Direct Contract PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100%,100.00%,No data available,No data available,No data available,8.1%,0.16%,99.50%,100%,No data available,0.52,2.5%,22.22%,79%,No data available,No data available,No data available
E2332,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,National Rural Electric Cooperative Association,Employer/Union Only Direct Contract PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100%,No data available,No data available,No data available,No data available,10.3%,0.86%,99.20%,100%,No data available,0.61,6.9%,21.88%,82%,No data available,No data available,No data available
E2630,C AND O EMPLOYEES' HOSPITAL ASSOCIATION,C & O Employees' Hospital Association,Employer/Union Only Direct Contract PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,10.6%,1.59%,99.60%,100%,No data available,0.34,8.0%,8.82%,86%,No data available,No data available,No data available
E3014,PSERS HOP PROGRAM,Commonwealth of PA Pub Schools Retirement System,Employer/Union Only Direct Contract PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100%,100.00%,No data available,No data available,No data available,7.1%,1.12%,98.70%,100%,No data available,0.51,3.6%,22.17%,84%,No data available,No data available,No data available
E4744,MODOT/MSHP MEDICAL AND LIFE INSURANCE PLAN,Missouri Highways and Transportation Commission,Employer/Union Only Direct Contract PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,9.1%,1.19%,99.00%,100%,No data available,0.26,59.0%,32.39%,85%,No data available,No data available,No data available
E6322,KENTUCKY RETIREMENT SYSTEM,Kentucky Retirement Systems,Employer/Union Only Direct Contract PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,10.2%,0.88%,No data available,100%,No data available,0.10,21.1%,22.80%,No data available,No data available,No data available,No data available
E7316,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,Union Pacific Railroad Employes Health Systems,Employer/Union Only Direct Contract PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,8.5%,0.89%,99.50%,100%,No data available,0.92,37.1%,18.07%,87%,No data available,No data available,No data available
E7848,OMES EMPLOYEES GROUP INSURANCE DIVISION,State of Oklahoma,Employer/Union Only Direct Contract PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,50%,100.00%,No data available,No data available,No data available,10.6%,1.60%,100.00%,100%,No data available,CMS Found Issues with Plan's Data,3.4%,21.41%,78%,No data available,No data available,No data available
H0022,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Centene Corporation,Demo,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0028,"CHA HMO, INC.",Humana Inc.,Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,97%
H0084,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,61%,88%,50%,Not enough data available,92%,64%,24%,Not enough data available,0:22,84%,63%,97%,1.36,Plan not required to report measure,0.83%,65%,72%,46%,1%,No data available,100.00%,0.41%,0:30,81%,5.8%,1.00%,99.70%,100%,100,1.36,6.2%,18.18%,Not enough data available,0:11,98,89%
H0104,BLUE CROSS AND BLUE SHIELD OF ALABAMA,BlueCross BlueShield of Alabama,Local CCP,41%,99%,60%,90%,92%,78%,36%,91%,0:14,87%,69%,96%,CMS Found Issues with Plan’s Data,Plan not required to report measure,0.00%,69%,70%,37%,1%,87%,100.00%,0.00%,0:14,83%,8.9%,0.34%,99.20%,100%,99,CMS Found Issues with Plan's Data,5.4%,34.88%,Not enough data available,0:33,98,91%
H0107,"BLUE CROSS AND BLUE SHIELD OF MONTANA, INC.","BLUE CROSS AND BLUE SHIELD OF MONTANA, INC.",Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0108,"HUMANA HEALTH PLAN OF CALIFORNIA, INC.",Humana Inc.,Local CCP,39%,95%,52%,90%,89%,76%,Not enough data available,Not enough data available,0:21,87%,71%,93%,1.59,Plan not required to report measure,1.44%,68%,79%,32%,1%,100%,No data available,1.44%,0:21,92%,6.1%,0.71%,99.60%,100%,101,1.59,15.5%,18.18%,Not enough data available,0:10,97,96%
H0117,"WELLCARE OF OHIO, INC.","WellCare Health Plans, Inc.",Local CCP,63%,85%,56%,Not enough data available,91%,62%,30%,90%,0:32,87%,68%,94%,CMS Found Issues with Plan’s Data,52.8%,0.42%,67%,79%,43%,4%,No data available,No data available,0.42%,0:32,87%,5.9%,0.87%,99.80%,96%,99,CMS Found Issues with Plan's Data,13.0%,27.27%,Not enough data available,0:04,97,93%
H0137,"COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.",Demo,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0141,"MCLAREN HEALTH PLAN, INC.",McLaren Health Care Corporation,Local CCP,Not enough data available,98%,Not enough data available,Not enough data available,86%,No data available,Not enough data available,No data available,0:33,Plan not required to report measure,No data available,91%,CMS Found Issues with Plan’s Data,61.1%,0.83%,Not enough data available,Not enough data available,31%,2%,100%,No data available,0.83%,0:33,Plan not required to report measure,8.6%,0.00%,99.80%,100%,101,CMS Found Issues with Plan's Data,6.6%,No data available,No data available,0:59,98,No data available
H0147,"HEALTHKEEPERS, INC.","WellPoint, Inc.",Demo,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0148,CARE1ST HEALTH PLAN,Care1st Health Plan,Demo,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0150,"HEALTHSPRING OF ALABAMA, INC.",CIGNA,Local CCP,35%,82%,43%,88%,95%,73%,39%,93%,0:14,86%,65%,96%,3.28,CMS Found Issues with Plan’s Data,0.82%,68%,77%,36%,2%,No data available,No data available,0.82%,0:14,80%,9.0%,0.82%,99.40%,100%,99,3.28,43.4%,27.13%,Not enough data available,0:07,98,94%
H0151,"UNITEDHEALTHCARE OF ALABAMA, INC.","UnitedHealth Group, Inc.",Local CCP,53%,76%,46%,88%,92%,65%,33%,91%,0:17,83%,60%,94%,3.09,23.4%,1.99%,65%,77%,34%,2%,100%,No data available,1.99%,0:17,82%,9.3%,0.91%,99.90%,100%,99,3.09,1.1%,26.57%,Not enough data available,0:16,99,98%
