2014 Data View: Medicare Part D Report Card Master Table,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Organization Marketing Name,Contract Name,Parent Organization,DD1: Drug Plan Customer Service,,,"DD2: Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance ",,,,DD3: Member Experience with the Drug Plan,,DD4: Patient Safety and Accuracy of Drug Pricing,,,,,
,,,,,D01: Call Center – Foreign Language Interpreter and TTY Availability,D02: Appeals Auto–Forward,D03: Appeals Upheld,D04: Complaints about the Drug Plan,D05: Beneficiary Access and Performance Problems,D06: Members Choosing to Leave the Plan,D07: Drug Plan Quality Improvement,D08: Rating of Drug Plan,D09: Getting Needed Prescription Drugs,D10: MPF Price Accuracy,D11: High Risk Medication,D12: Diabetes Treatment,D13: Medication Adherence for Diabetes Medications ,D14: Medication Adherence for Hypertension (RAS antagonists) ,D15: Medication Adherence for Cholesterol (Statins) 
,,,,,02/11/2013 – 05/31/2013 (Monday - Friday),01/01/2012 - 12/31/2012,01/01/2013 - 6/30/2013,01/01/2013 - 06/30/2013,01/01/2012 - 12/31/2012,01/01/2012 - 12/31/2012,Not Applicable,02/15/2013 - 05/31/2013,02/15/2013 - 05/31/2013,01/01/2012 - 09/30/2012,01/01/2012 - 12/31/2012,01/01/2012 - 12/31/2012,01/01/2012 - 12/31/2012,01/01/2012 - 12/31/2012,01/01/2012 - 12/31/2012
E0654,Employer/Union Only Direct Contract PDP,TEAMStar Medicare Part D Prescription Drug Program,IBT VOLUNTARY EMPLOYEE BENEFITS TRUST,IBT Voluntary Employee Benefits Trust,No data available,0.0,Not enough data available,0.08,100,No data available,Medicare shows only a Star Rating for this topic,85%,90%,Not enough data available,7%,82%,79%,80%,73%
E2332,Employer/Union Only Direct Contract PDP,National Rural Electric Cooperative Association,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,National Rural Electric Cooperative Association,No data available,4.9,Not enough data available,0.00,100,No data available,Medicare shows only a Star Rating for this topic,86%,91%,Not enough data available,5%,84%,79%,83%,78%
E2630,Employer/Union Only Direct Contract PDP,C and O Employees Hospital Association,C AND O EMPLOYEES' HOSPITAL ASSOCIATION,C & O Employees' Hospital Association,No data available,0.0,No data available,0.00,100,No data available,Medicare shows only a Star Rating for this topic,87%,90%,Not enough data available,9%,77%,78%,80%,77%
E3014,Employer/Union Only Direct Contract PDP,Pennsylvania Public School Employees Retirement Sy,PSERS HOP PROGRAM,Commonwealth of PA Pub Schools Retirement System,No data available,1.2,41%,0.03,100,No data available,Medicare shows only a Star Rating for this topic,90%,93%,Not enough data available,5%,81%,79%,83%,77%
E4744,Employer/Union Only Direct Contract PDP,MISSOURI DEPARTMENT OF TRANSPORTATION,MODOT/MSHP MEDICAL AND LIFE INSURANCE PLAN,Missouri Highways and Transportation Commission,No data available,1.8,No data available,0.00,100,No data available,Medicare shows only a Star Rating for this topic,84%,92%,Not enough data available,4%,83%,83%,82%,79%
E6322,Employer/Union Only Direct Contract PDP,Kentucky Retirement Systems,KENTUCKY RETIREMENT SYSTEM,Kentucky Retirement Systems,No data available,2.8,No data available,Not enough data available,100,No data available,Medicare shows only a Star Rating for this topic,No data available,No data available,Not enough data available,5%,83%,79%,81%,74%
E7316,Employer/Union Only Direct Contract PDP,Union Pacific Railroad  Employes Health Systems,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,Union Pacific Railroad Employes Health Systems,No data available,1.7,No data available,0.00,100,No data available,Medicare shows only a Star Rating for this topic,88%,89%,Not enough data available,7%,80%,70%,75%,70%
E7848,Employer/Union Only Direct Contract PDP,HealthChoice,OMES EMPLOYEES GROUP INSURANCE DIVISION,State of Oklahoma,No data available,0.6,40%,0.01,100,No data available,Medicare shows only a Star Rating for this topic,85%,92%,Not enough data available,13%,82%,73%,79%,74%
H0022,Demo,Buckeye Community Health Plan - MyCareOhio,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0028,Local CCP,"CHA HMO, Inc.","CHA HMO, INC.",Humana Inc.,98%,Plan too new to be measured,No data available,0.85,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0084,Local CCP,Care Improvement Plus,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,"UnitedHealth Group, Inc.",92%,0.0,Not enough data available,0.74,80,21%,Medicare shows only a Star Rating for this topic,84%,91%,99,8%,85%,69%,69%,65%
H0104,Local CCP,Blue Advantage (PPO),BLUE CROSS AND BLUE SHIELD OF ALABAMA,BlueCross BlueShield of Alabama,81%,2.7,64%,0.09,73,7%,Medicare shows only a Star Rating for this topic,84%,93%,99,11%,83%,75%,77%,70%
H0107,Local CCP,Blue Cross and Blue Shield of Montana,"BLUE CROSS AND BLUE SHIELD OF MONTANA, INC.","BLUE CROSS AND BLUE SHIELD OF MONTANA, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0108,Local CCP,"Humana Health Plan of California, Inc.","HUMANA HEALTH PLAN OF CALIFORNIA, INC.",Humana Inc.,98%,1.5,Not enough data available,0.79,100,20%,Medicare shows only a Star Rating for this topic,83%,88%,98,1%,90%,72%,74%,68%
H0117,Local CCP,WellCare,"WELLCARE OF OHIO, INC.","WellCare Health Plans, Inc.",98%,4.3,No data available,0.34,80,21%,Medicare shows only a Star Rating for this topic,82%,90%,99,5%,86%,67%,68%,63%
H0137,Demo,"Commonwealth Care Alliance, Inc.","COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0141,Local CCP,McLarenAdvantage,"MCLAREN HEALTH PLAN, INC.",McLaren Health Care Corporation,89%,Not enough data available,Not enough data available,Not enough data available,100,Not enough data available,Not enough data available,No data available,No data available,98,6%,85%,75%,73%,67%
H0147,Demo,Anthem HealthKeepers,"HEALTHKEEPERS, INC.","WellPoint, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0148,Demo,Care1st Health Plan,CARE1ST HEALTH PLAN,Care1st Health Plan,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0150,Local CCP,Cigna-HealthSpring,"HEALTHSPRING OF ALABAMA, INC.",CIGNA,86%,0.8,No data available,0.14,80,8%,Medicare shows only a Star Rating for this topic,89%,94%,99,9%,87%,67%,68%,63%
H0151,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE OF ALABAMA, INC.","UnitedHealth Group, Inc.",93%,0.8,100%,0.22,0,8%,Medicare shows only a Star Rating for this topic,85%,93%,99,13%,83%,68%,69%,64%
