2014 Star View: Medicare Part D Report Card Master Table,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Organization Marketing Name,Contract Name,Parent Organization,DD1: Drug Plan Customer Service,,,"DD2: Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance ",,,,DD3: Member Experience with the Drug Plan,,DD4: Patient Safety and Accuracy of Drug Pricing,,,,,
,,,,,D01: Call Center – Foreign Language Interpreter and TTY Availability,D02: Appeals Auto–Forward,D03: Appeals Upheld,D04: Complaints about the Drug Plan,D05: Beneficiary Access and Performance Problems,D06: Members Choosing to Leave the Plan,D07: Drug Plan Quality Improvement,D08: Rating of Drug Plan,D09: Getting Needed Prescription Drugs,D10: MPF Price Accuracy,D11: High Risk Medication,D12: Diabetes Treatment,D13: Medication Adherence for Diabetes Medications ,D14: Medication Adherence for Hypertension (RAS antagonists) ,D15: Medication Adherence for Cholesterol (Statins) 
,,,,,02/11/2013 – 05/31/2013 (Monday - Friday),01/01/2012 - 12/31/2012,01/01/2013 - 6/30/2013,01/01/2013 - 06/30/2013,01/01/2012 - 12/31/2012,01/01/2012 - 12/31/2012,Not Applicable,02/15/2013 - 05/31/2013,02/15/2013 - 05/31/2013,01/01/2012 - 09/30/2012,01/01/2012 - 12/31/2012,01/01/2012 - 12/31/2012,01/01/2012 - 12/31/2012,01/01/2012 - 12/31/2012,01/01/2012 - 12/31/2012
E0654,Employer/Union Only Direct Contract PDP,TEAMStar Medicare Part D Prescription Drug Program,IBT VOLUNTARY EMPLOYEE BENEFITS TRUST,IBT Voluntary Employee Benefits Trust,No data available,5,Not enough data available,5,5,No data available,4,4,4,Not enough data available,3,3,4,4,3
E2332,Employer/Union Only Direct Contract PDP,National Rural Electric Cooperative Association,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,National Rural Electric Cooperative Association,No data available,1,Not enough data available,5,5,No data available,3,5,4,Not enough data available,4,5,4,5,5
E2630,Employer/Union Only Direct Contract PDP,C and O Employees Hospital Association,C AND O EMPLOYEES' HOSPITAL ASSOCIATION,C & O Employees' Hospital Association,No data available,5,No data available,5,5,No data available,3,5,4,Not enough data available,2,1,3,4,5
E3014,Employer/Union Only Direct Contract PDP,Pennsylvania Public School Employees Retirement Sy,PSERS HOP PROGRAM,Commonwealth of PA Pub Schools Retirement System,No data available,3,1,5,5,No data available,3,5,5,Not enough data available,4,2,4,5,5
E4744,Employer/Union Only Direct Contract PDP,MISSOURI DEPARTMENT OF TRANSPORTATION,MODOT/MSHP MEDICAL AND LIFE INSURANCE PLAN,Missouri Highways and Transportation Commission,No data available,3,No data available,5,5,No data available,4,4,5,Not enough data available,4,4,5,5,5
E6322,Employer/Union Only Direct Contract PDP,Kentucky Retirement Systems,KENTUCKY RETIREMENT SYSTEM,Kentucky Retirement Systems,No data available,2,No data available,Not enough data available,5,No data available,3,No data available,No data available,Not enough data available,4,4,4,5,4
E7316,Employer/Union Only Direct Contract PDP,Union Pacific Railroad  Employes Health Systems,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,Union Pacific Railroad Employes Health Systems,No data available,3,No data available,5,5,No data available,4,5,4,Not enough data available,3,2,1,2,2
E7848,Employer/Union Only Direct Contract PDP,HealthChoice,OMES EMPLOYEES GROUP INSURANCE DIVISION,State of Oklahoma,No data available,4,1,5,5,No data available,3,4,5,Not enough data available,1,3,2,4,4
H0022,Demo,Buckeye Community Health Plan - MyCareOhio,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0028,Local CCP,"CHA HMO, Inc.","CHA HMO, INC.",Humana Inc.,5,Plan too new to be measured,No data available,1,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0084,Local CCP,Care Improvement Plus,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,"UnitedHealth Group, Inc.",3,5,Not enough data available,1,4,1,4,4,4,4,3,3,2,2,2
H0104,Local CCP,Blue Advantage (PPO),BLUE CROSS AND BLUE SHIELD OF ALABAMA,BlueCross BlueShield of Alabama,1,2,2,5,4,5,5,4,5,4,2,2,4,4,3
H0107,Local CCP,Blue Cross and Blue Shield of Montana,"BLUE CROSS AND BLUE SHIELD OF MONTANA, INC.","BLUE CROSS AND BLUE SHIELD OF MONTANA, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0108,Local CCP,"Humana Health Plan of California, Inc.","HUMANA HEALTH PLAN OF CALIFORNIA, INC.",Humana Inc.,5,3,Not enough data available,1,5,2,3,3,2,4,5,5,3,3,3
H0117,Local CCP,WellCare,"WELLCARE OF OHIO, INC.","WellCare Health Plans, Inc.",5,1,No data available,2,4,1,3,2,3,4,4,4,2,2,2
H0137,Demo,"Commonwealth Care Alliance, Inc.","COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0141,Local CCP,McLarenAdvantage,"MCLAREN HEALTH PLAN, INC.",McLaren Health Care Corporation,2,Not enough data available,Not enough data available,Not enough data available,5,Not enough data available,Not enough data available,No data available,No data available,4,3,3,4,3,2
H0147,Demo,Anthem HealthKeepers,"HEALTHKEEPERS, INC.","WellPoint, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0148,Demo,Care1st Health Plan,CARE1ST HEALTH PLAN,Care1st Health Plan,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0150,Local CCP,Cigna-HealthSpring,"HEALTHSPRING OF ALABAMA, INC.",CIGNA,1,4,No data available,4,4,5,4,5,5,4,2,5,2,2,2
H0151,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE OF ALABAMA, INC.","UnitedHealth Group, Inc.",3,4,5,3,1,5,5,4,4,4,1,2,2,2,2
H0154,Local CCP,VIVA Medicare,"VIVA HEALTH, INC.",UAB Health System,2,1,2,5,4,5,4,4,4,4,2,2,2,2,2
H0192,Demo,Amerihealth VIP Care Plus,"AMERIHEALTH MICHIGAN, INC.",Independence Blue Cross,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0248,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,5,5,Not enough data available,1,5,1,4,3,2,4,5,5,4,4,3
