Medicare Part C Display Measures,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Colorectal Cancer Screening - C01,Cardiovascular Care – Cholesterol Screening - C02,Diabetes Care – Cholesterol Screening - C03,Adult BMI Assessment - C08,Care for Older Adults – Medication Review - C10,Care for Older Adults – Functional Status Assessment - C11,Care for Older Adults – Pain Assessment - C12,Osteoporosis Management in Women who had a Fracture - C13,Diabetes Care – Eye Exam - C14,Diabetes Care – Kidney Disease Monitoring - C15,Diabetes Care – Blood Sugar Controlled - C16,Diabetes Care – Cholesterol Controlled - C17,Controlling Blood Pressure - C18,Rheumatoid Arthritis Management - C19,Plan All-Cause Readmissions - C22
H0141,McLarenAdvantage,"MCLAREN HEALTH PLAN, INC.",McLaren Health Care Corporation,52%,Not enough data available,81%,87.62,83%,58.33,77.50,Not enough data available,64%,87%,56%,40%,63%,Not enough data available,4.59
H0319,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",20%,Not enough data available,93%,93.33,93%,91.43,91.43,Not enough data available,97%,93%,78%,68%,Not enough data available,Not enough data available,5.82
H0408,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H0435,GLOBALHEALTH MEDICARE,"GLOBALHEALTH, INC.","Kinderhook Capital Fund III, L.P.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H0490,Molina Healthcare of Ohio,"MOLINA HEALTHCARE OF OHIO, INC.","Molina Healthcare, Inc.,",55%,Not enough data available,86%,87.80,80%,53.70,79.63,Not enough data available,50%,90%,66%,52%,59%,Not enough data available,Not enough data available
H0502,Contra Costa Health Plan,THE CONTRA COSTA HEALTH PLAN,Contra Costa Health Services,48%,Not enough data available,78%,85.31,Not enough data available,Not enough data available,Not enough data available,Benefit not offered by plan ,67%,87%,80%,52%,54%,Benefit not offered by plan ,Not enough data available
H0657,Colorado Choice Health Plans,COLORADO CHOICE HEALTH PLANS,Colorado Choice Health Plans,36%,Not enough data available,51%,80.24,Not enough data available,Not enough data available,Not enough data available,Not enough data available,45%,76%,63%,26%,52%,Not enough data available,0.00
H0879,CrestPoint Health Insurance Company,CRESTPOINT HEALTH INSURANCE COMPANY,Mountain States Health Alliance,Not enough data available,Not enough data available,90%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,43%,90%,80%,53%,60%,Not enough data available,Not enough data available
H0901,Aetna Medicare,"AETNA HEALTH, INC. (PA)",Aetna Inc.,63%,Not enough data available,85%,71.43,Not enough data available,Not enough data available,Not enough data available,Not enough data available,66%,92%,57%,45%,50%,Not enough data available,12.50
H1291,Humana Insurance Company of New York,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Inc.,54%,94%,87%,86.25,Not enough data available,Not enough data available,Not enough data available,Not enough data available,49%,86%,65%,35%,59%,Not enough data available,16.31
H1419,Aetna Medicare,"AETNA HEALTH,  INC. (PA)",Aetna Inc.,60%,Not enough data available,94%,86.67,Not enough data available,Not enough data available,Not enough data available,Not enough data available,69%,94%,74%,53%,61%,Not enough data available,10.11
H1444,Total Medicare Plus,"TOTAL HEALTH CARE, INC.","Total Health Care, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0 - Plan reported a Biased Rate,Not enough data available,Not enough data available
H1537,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,"UnitedHealth Group, Inc.",69%,Not enough data available,97%,77.24,Not enough data available,Not enough data available,Not enough data available,Not enough data available,72%,94%,78%,61%,62%,Not enough data available,9.55
H1666,Blue Cross Blue Shield of Texas,HCSC INSURANCE SERVICES COMPANY,Health Care Service Corporation,Not enough data available,Not enough data available,81%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,37%,89%,58%,30%,56%,Not enough data available,Not enough data available
H1717,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",23%,Not enough data available,Not enough data available,100.00,98%,99.05,99.05,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,5.44
H1846,MediGold,MOUNT CARMEL HEALTH INSURANCE COMPANY,CHE Trinity Health,41%,80%,85%,76.33,Not enough data available,Not enough data available,Not enough data available,Not enough data available,54%,92%,70%,58%,56%,Not enough data available,9.45
H2034,Community Care,"COMMUNITY CARE HEALTH PLAN, INC.","Community Care, Inc.",64%,Not enough data available,89%,98.81,100%,100.00,100.00,Not enough data available,72%,87%,52%,39%,Not enough data available,Not enough data available,4.98
H2161,Upper Peninsula Health Plan,"UPPER PENINSULA HEALTH PLAN, LLC",Marquette General Hospital,59%,Not enough data available,92%,90.34,79%,84.75,95.76,Not enough data available,81%,91%,78%,56%,75%,Not enough data available,9.37
H2241,Golden State Medicare Health Plan,GOLDEN STATE MEDICARE HEALTH PLAN,Golden State Medicare Health Plan,45%,Not enough data available,57%,68.78,Not enough data available,Not enough data available,Not enough data available,Not enough data available,42%,87%,35%,20%,19%,Not enough data available,19.80
H2323,Fidelis SecureCare Of Michigan,FIDELIS SECURECARE OF MICHIGAN,"Fidelis SeniorCare, Inc.",21%,Not enough data available,76%,11.39,69%,84.61,80.51,Not enough data available,33%,63%,0%,0%,18%,Not enough data available,12.82
H2411,Fallon Health,FALLON COMMUNITY HEALTH PLAN,Fallon Community Health Plan,82%,Not enough data available,Not enough data available,42.62,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,67%,Not enough data available,13.67
H2417,Itasca Medical Care/IMCare Classic,ITASCA MEDICAL CARE,Itasca County Health & Human Services,66%,Not enough data available,80%,89.58,75%,91.67,94.19,Not enough data available,73%,83%,85%,55%,66%,Not enough data available,0 - Plan reported a Biased Rate
H2457,MHP,METROPOLITAN HEALTH PLAN,Metropolitan Health Plan,51%,Not enough data available,89%,96.20,92%,82.48,82.24,Not enough data available,74%,91%,77%,61%,72%,Not enough data available,15.55
H2676,Cigna-HealthSpring,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,Not enough data available,Not enough data available,82%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,45%,90%,13%,8%,15%,Not enough data available,Not enough data available
H2773,QUALITY HEALTH PLANS,"QUALITY HEALTH PLANS OF NEW YORK, INC.","QHP Financial Group, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H2792,Geisinger Gold,"GEISINGER QUALITY OPTIONS, INC.",Geisinger Health System,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,49%,Not enough data available,Not enough data available
H2926,PrimeWest Health,PRIMEWEST CTRL COUNTY-BASED PURCHASING INTIATIVE,PrimeWest Central County-Based Purchasing Initiati,67%,Not enough data available,73%,88.70,Not enough data available,Not enough data available,Not enough data available,Not enough data available,83%,83%,58%,42%,77%,Not enough data available,Not enough data available
H2962,Ultimate Health Plans,"ULTIMATE HEALTH PLANS, INC.","ULTIMATE HEALTH PLAN, INC.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,66%,Not enough data available,Not enough data available
H3113,UnitedHealthcare,"OXFORD HEALTH PLANS (NJ), INC.","UnitedHealth Group, Inc.",23%,Not enough data available,91%,Not enough data available,98%,99.36,99.36,Not enough data available,89%,83%,79%,62%,Not enough data available,Not enough data available,6.12
H3132,AHF,"AHF MCO OF FLORIDA, INC.",AIDS Healthcare Foundation,57%,93%,94%,91.24,89%,58.16,88.65,Not enough data available,49%,79%,63%,55%,63%,Not enough data available,16.00
