AGED -- REPRICING ADJUSTMENTS TO THE 2008-2012 REIMSURSEMENT DATA FOR FEE-FOR-SERVICE DURABLE MEDICAL EQUIPMENT,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,
,,,"2,008","2,009","2,010","2,011","2,012",
01000,ALABAMA                  ,AUTAUGA,-956,0,-356,-962,-691,
01010,ALABAMA                  ,BALDWIN,0,0,0,0,0,
01020,ALABAMA                  ,BARBOUR,0,0,0,0,0,
01030,ALABAMA                  ,BIBB,"-166,679","-130,587","-127,009","-131,960","-129,472",
01040,ALABAMA                  ,BLOUNT,"-332,360","-251,763","-285,549","-309,323","-292,003",
01050,ALABAMA                  ,BULLOCK,0,0,0,0,0,
01060,ALABAMA                  ,BUTLER,0,0,0,0,0,
01070,ALABAMA                  ,CALHOUN,0,0,0,0,0,
01080,ALABAMA                  ,CHAMBERS,0,0,0,0,0,
01090,ALABAMA                  ,CHEROKEE,0,0,0,0,0,
01100,ALABAMA                  ,CHILTON,"-281,769","-198,630","-214,029","-207,189","-207,033",
01110,ALABAMA                  ,CHOCTAW,0,0,0,0,0,
01120,ALABAMA                  ,CLARKE,0,0,0,0,0,
01130,ALABAMA                  ,CLAY,0,0,0,0,0,
01140,ALABAMA                  ,CLEBURNE,0,0,0,0,0,
01150,ALABAMA                  ,COFFEE,0,0,0,0,0,
01160,ALABAMA                  ,COLBERT,0,0,0,0,0,
01170,ALABAMA                  ,CONECUH,0,0,0,0,0,
01180,ALABAMA                  ,COOSA,"-2,534","-2,553",-781,-770,0,
01190,ALABAMA                  ,COVINGTON,0,0,0,0,0,
01200,ALABAMA                  ,CRENSHAW,0,0,0,0,0,
01210,ALABAMA                  ,CULLMAN,0,0,0,0,0,
01220,ALABAMA                  ,DALE,0,0,0,0,0,
01230,ALABAMA                  ,DALLAS,0,0,0,0,0,
01240,ALABAMA                  ,DEKALB,0,0,0,0,0,
01250,ALABAMA                  ,ELMORE,0,0,0,0,0,
01260,ALABAMA                  ,ESCAMBIA,0,0,0,0,0,
01270,ALABAMA                  ,ETOWAH,0,-41,0,0,-67,
01280,ALABAMA                  ,FAYETTE,"-3,308","-1,066",-839,"-1,738","-3,547",
01290,ALABAMA                  ,FRANKLIN,0,0,0,0,0,
01300,ALABAMA                  ,GENEVA,0,0,0,0,0,
01310,ALABAMA                  ,GREENE,0,0,0,0,0,
01320,ALABAMA                  ,HALE,0,0,0,0,0,
01330,ALABAMA                  ,HENRY,0,0,0,0,0,
01340,ALABAMA                  ,HOUSTON,0,0,0,0,0,
01350,ALABAMA                  ,JACKSON,0,0,0,0,0,
01360,ALABAMA                  ,JEFFERSON,"-3,449,513","-2,648,034","-2,810,455","-2,895,557","-2,923,201",
01370,ALABAMA                  ,LAMAR,0,0,0,0,0,
01380,ALABAMA                  ,LAUDERDALE,0,0,0,0,0,
01390,ALABAMA                  ,LAWRENCE,0,0,0,0,0,
01400,ALABAMA                  ,LEE,0,0,0,0,0,
01410,ALABAMA                  ,LIMESTONE,0,0,0,0,0,
01420,ALABAMA                  ,LOWNDES,0,0,0,0,0,
01430,ALABAMA                  ,MACON,0,0,0,0,0,
01440,ALABAMA                  ,MADISON,0,0,0,0,0,
01450,ALABAMA                  ,MARENGO,0,0,0,0,0,
01460,ALABAMA                  ,MARION,0,0,0,0,0,
01470,ALABAMA                  ,MARSHALL,0,0,0,-652,0,
01480,ALABAMA                  ,MOBILE,0,0,0,0,0,
01490,ALABAMA                  ,MONROE,0,0,0,0,0,
01500,ALABAMA                  ,MONTGOMERY,0,0,0,0,0,
01510,ALABAMA                  ,MORGAN,0,0,0,0,0,
01520,ALABAMA                  ,PERRY,"-1,768",-977,-364,-405,-158,
01530,ALABAMA                  ,PICKENS,0,0,0,0,0,
01540,ALABAMA                  ,PIKE,0,0,0,0,0,
01550,ALABAMA                  ,RANDOLPH,0,0,0,0,0,
01560,ALABAMA                  ,RUSSELL,0,0,0,0,0,
01570,ALABAMA                  ,ST. CLAIR,"-500,052","-387,323","-404,212","-423,464","-449,755",
01580,ALABAMA                  ,SHELBY,"-779,752","-595,662","-681,039","-810,440","-838,524",
01590,ALABAMA                  ,SUMTER,0,0,0,0,0,
01600,ALABAMA                  ,TALLADEGA,0,0,0,0,0,
01610,ALABAMA                  ,TALLAPOOSA,0,0,0,0,0,
01620,ALABAMA                  ,TUSCALOOSA,"-5,427","-3,172","-1,173","-2,304","-2,264",
01630,ALABAMA                  ,WALKER,"-745,086","-541,754","-559,089","-543,032","-554,317",
01640,ALABAMA                  ,WASHINGTON,0,0,0,0,0,
01650,ALABAMA                  ,WILCOX,0,0,0,0,0,
01660,ALABAMA                  ,WINSTON,"-17,596","-11,280","-11,752","-9,244","-9,958",
02010,ALASKA                   ,ALEUTIANS ISLANDS,0,0,0,0,0,
02020,ALASKA                   ,ANCHORAGE,0,0,0,0,0,
02040,ALASKA                   ,BARROW DIVISION,0,0,0,0,0,
02050,ALASKA                   ,BETHEL,0,0,0,0,0,
02060,ALASKA                   ,BRISTOL BAY,0,0,0,0,0,
02070,ALASKA                   ,DILLINGHAM,0,0,0,0,0,
02080,ALASKA                   ,CORDOVA-MC CARTHY,0,0,0,0,0,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,0,0,0,0,0,
02100,ALASKA                   ,HAINES,0,0,0,0,0,
02110,ALASKA                   ,JUNEAU,0,0,0,0,0,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,0,0,0,0,0,
02130,ALASKA                   ,KETCHIKAN GATEWAY,0,0,0,0,0,
02140,ALASKA                   ,KOBUK,0,0,0,0,0,
02150,ALASKA                   ,KODIAK ISLAND,0,0,0,0,0,
02160,ALASKA                   ,KUSKOKWIN DIVISION,0,0,0,0,0,
02170,ALASKA                   ,MATANUSKA-SUSITNA,0,0,0,0,0,
02180,ALASKA                   ,NOME,0,0,0,0,0,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,0,0,0,0,0,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,0,0,0,0,0,
02210,ALASKA                   ,SEWARD,0,0,0,0,0,
02220,ALASKA                   ,SITKA,0,0,0,0,0,
02230,ALASKA                   ,SKAGWAY,0,0,0,0,0,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,0,0,0,0,0,
02250,ALASKA                   ,UPPER YUKON DIVISION,0,0,0,0,0,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,0,0,0,0,0,
02270,ALASKA                   ,WADE HAMPTON,0,0,0,0,0,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,0,0,0,0,0,
02290,ALASKA                   ,YUKON-KOYUKUK,0,0,0,0,0,
03000,ARIZONA                  ,APACHE,0,0,0,0,0,
03010,ARIZONA                  ,COCHISE,0,0,0,0,0,
03020,ARIZONA                  ,COCONINO,0,0,0,0,0,
03030,ARIZONA                  ,GILA,0,0,0,0,0,
03040,ARIZONA                  ,GRAHAM,0,0,0,0,0,
03050,ARIZONA                  ,GREENLEE,0,0,0,0,0,
03055,ARIZONA                  ,LA PAZ,0,0,0,0,0,
03060,ARIZONA                  ,MARICOPA,"-11,520,220","-9,327,927","-9,759,867","-10,567,323","-10,936,697",
03070,ARIZONA                  ,MOHAVE,0,0,0,0,0,
03080,ARIZONA                  ,NAVAJO,0,0,0,0,0,
03090,ARIZONA                  ,PIMA,"-3,869,572","-2,969,595","-2,981,791","-3,192,982","-3,250,108",
03100,ARIZONA                  ,PINAL,"-679,108","-703,044","-1,123,879","-1,225,463","-1,312,565",
