AGED -- REPRICING ADJUSTMENTS TO THE 2008-2012 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,
,,,"2,008","2,009","2,010","2,011","2,012",,
01000,ALABAMA                  ,AUTAUGA,"-565,441","-641,082","-787,645","-759,526","-511,962",,
01010,ALABAMA                  ,BALDWIN,"-1,996,769","-1,658,403","-1,551,961","-1,371,830","-983,591",,
01020,ALABAMA                  ,BARBOUR,"-9,633","-175,904","-159,462","-96,641","69,713",,
01030,ALABAMA                  ,BIBB,"-143,278","-123,478","-106,175","-116,631","-59,390",,
01040,ALABAMA                  ,BLOUNT,"-414,369","-324,378","-201,672","-187,424","-106,375",,
01050,ALABAMA                  ,BULLOCK,"-88,726","-113,140","-117,980","-90,107","-70,599",,
01060,ALABAMA                  ,BUTLER,"-590,562","-581,488","-508,737","-428,548","-294,982",,
01070,ALABAMA                  ,CALHOUN,"-2,238,009","-1,892,345","-1,127,541","-1,397,297","-1,362,904",,
01080,ALABAMA                  ,CHAMBERS,"-610,749","-458,217","-464,610","-513,588","-217,200",,
01090,ALABAMA                  ,CHEROKEE,"-167,069","-109,009","-90,763","92,557","85,128",,
01100,ALABAMA                  ,CHILTON,"-402,045","-327,163","-183,715","-208,982","-90,449",,
01110,ALABAMA                  ,CHOCTAW,"-141,121","-139,667","-166,858","-155,887","-130,308",,
01120,ALABAMA                  ,CLARKE,"-374,421","-269,657","-232,231","-249,001","-174,249",,
01130,ALABAMA                  ,CLAY,"-282,906","-242,932","-148,721","-130,732","-94,098",,
01140,ALABAMA                  ,CLEBURNE,"-273,348","-211,934","-115,196","-163,796","-111,378",,
01150,ALABAMA                  ,COFFEE,"-254,567","-533,196","-414,917","-247,814","115,041",,
01160,ALABAMA                  ,COLBERT,"-547,229","-647,669","-748,136","-825,660","-361,778",,
01170,ALABAMA                  ,CONECUH,"-287,007","-223,734","-189,562","-158,693","-90,000",,
01180,ALABAMA                  ,COOSA,"-176,440","-167,057","-133,175","-114,118","-44,927",,
01190,ALABAMA                  ,COVINGTON,"-555,580","-624,591","-537,383","-385,570","-40,461",,
01200,ALABAMA                  ,CRENSHAW,"-246,877","-284,430","-276,737","-255,150","-155,734",,
01210,ALABAMA                  ,CULLMAN,"-1,211,286","-913,636","-651,234","-617,607","-416,165",,
01220,ALABAMA                  ,DALE,"-94,373","-649,176","-572,778","-224,583","305,026",,
01230,ALABAMA                  ,DALLAS,"-326,997","-447,949","-580,843","-489,021","-277,804",,
01240,ALABAMA                  ,DEKALB,"-389,576","-269,378","-307,795","-176,536","-149,189",,
01250,ALABAMA                  ,ELMORE,"-1,052,136","-1,154,580","-1,465,339","-1,313,477","-970,854",,
01260,ALABAMA                  ,ESCAMBIA,"-647,953","-595,058","-445,032","-438,464","-256,305",,
01270,ALABAMA                  ,ETOWAH,"-355,595","-269,933","-641,304","103,776","-424,710",,
01280,ALABAMA                  ,FAYETTE,"-51,684","3,740","-16,522","-35,497","18,062",,
01290,ALABAMA                  ,FRANKLIN,"-336,793","-342,577","-401,398","-466,171","-184,633",,
01300,ALABAMA                  ,GENEVA,"1,548","-267,125","-302,878","-142,786","133,920",,
01310,ALABAMA                  ,GREENE,"9,323","-33,436","-60,144","-69,865","-34,149",,
01320,ALABAMA                  ,HALE,"37,772","-58,515","-115,464","-149,836","-70,842",,
01330,ALABAMA                  ,HENRY,"49,452","-164,674","-148,029","-14,905","168,540",,
01340,ALABAMA                  ,HOUSTON,"288,293","-759,044","-768,710","-206,294","852,516",,
01350,ALABAMA                  ,JACKSON,"-605,617","-462,244","-473,549","-497,068","-244,648",,
01360,ALABAMA                  ,JEFFERSON,"-5,670,638","-4,011,445","-2,439,516","-2,561,487","-1,295,473",,
01370,ALABAMA                  ,LAMAR,"-122,108","-45,331","-72,474","-67,541","-6,193",,
01380,ALABAMA                  ,LAUDERDALE,"-854,409","-1,004,920","-1,195,667","-1,282,152","-541,660",,
01390,ALABAMA                  ,LAWRENCE,"-697,947","-654,562","-589,534","-613,211","-366,565",,
01400,ALABAMA                  ,LEE,"-1,040,369","-885,461","-837,496","-1,097,621","-1,220,123",,
01410,ALABAMA                  ,LIMESTONE,"-995,083","-854,340","-833,973","-871,715","-571,205",,
01420,ALABAMA                  ,LOWNDES,"-117,301","-181,077","-171,650","-171,369","-98,272",,
01430,ALABAMA                  ,MACON,"-224,196","-288,345","-290,589","-346,685","-280,039",,
01440,ALABAMA                  ,MADISON,"-3,623,914","-3,183,009","-3,344,943","-3,588,916","-2,136,252",,
01450,ALABAMA                  ,MARENGO,"-83,068","-86,323","-95,378","-110,418","-64,318",,
01460,ALABAMA                  ,MARION,"-318,617","-155,890","-124,666","-111,113","-1,997",,
01470,ALABAMA                  ,MARSHALL,"-1,862,286","-1,647,714","-1,528,979","-1,035,277","-668,856",,
01480,ALABAMA                  ,MOBILE,"-3,306,398","-2,004,811","-2,042,140","-2,248,927","-1,972,795",,
01490,ALABAMA                  ,MONROE,"-170,558","-116,174","-105,004","-123,366","-120,870",,
01500,ALABAMA                  ,MONTGOMERY,"-2,586,444","-3,136,880","-3,817,077","-3,743,574","-2,357,062",,
01510,ALABAMA                  ,MORGAN,"-3,812,873","-3,479,420","-3,354,874","-3,114,683","-2,072,401",,
01520,ALABAMA                  ,PERRY,"-38,072","-69,210","-89,550","-90,172","-42,067",,
01530,ALABAMA                  ,PICKENS,"21,712","-49,216","-120,686","-136,240","-56,649",,
01540,ALABAMA                  ,PIKE,"-441,382","-570,837","-655,564","-617,907","-337,851",,
01550,ALABAMA                  ,RANDOLPH,"-268,835","-201,840","-155,865","-196,376","-176,549",,
01560,ALABAMA                  ,RUSSELL,"-929,332","-762,555","-739,603","-890,977","-790,779",,
01570,ALABAMA                  ,ST. CLAIR,"-530,387","-415,511","-261,220","-259,698","-159,161",,
01580,ALABAMA                  ,SHELBY,"-812,362","-666,593","-393,778","-431,648","-218,156",,
01590,ALABAMA                  ,SUMTER,"-71,115","-85,578","-128,172","-99,258","-75,261",,
01600,ALABAMA                  ,TALLADEGA,"-1,218,563","-1,204,699","-941,747","-775,183","-287,604",,
01610,ALABAMA                  ,TALLAPOOSA,"-597,992","-577,027","-511,393","-508,292","-396,988",,
01620,ALABAMA                  ,TUSCALOOSA,"231,901","-413,296","-1,043,194","-1,170,357","-594,921",,
01630,ALABAMA                  ,WALKER,"-1,070,336","-755,818","-479,960","-502,033","-249,427",,
01640,ALABAMA                  ,WASHINGTON,"-168,088","-129,058","-121,280","-130,293","-144,043",,
01650,ALABAMA                  ,WILCOX,"-106,261","-104,235","-86,598","-140,247","-88,478",,
01660,ALABAMA                  ,WINSTON,"-317,744","-243,198","-191,577","-177,983","-95,858",,
02010,ALASKA                   ,ALEUTIANS ISLANDS,"6,525","8,974","10,708","6,194","2,798",,
02020,ALASKA                   ,ANCHORAGE,"4,100,326","4,373,082","4,018,961","2,641,968","2,247,479",,
02040,ALASKA                   ,BARROW DIVISION,"13,719","28,221","16,748","15,438","2,538",,
02050,ALASKA                   ,BETHEL,"29,274","36,071","29,317","11,569","24,813",,
02060,ALASKA                   ,BRISTOL BAY,"123,973","134,552","143,387","111,336","56,050",,
02070,ALASKA                   ,DILLINGHAM,"29,752","14,284","11,210","11,327","7,057",,
02080,ALASKA                   ,CORDOVA-MC CARTHY,"41,655","39,702","36,222","15,234","16,371",,
