AGED -- REPRICING ADJUSTMENTS TO THE 2008-2012 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,,
,,,"2,008","2,009","2,010","2,011","2,012",,,,,,
01000,ALABAMA                  ,AUTAUGA,"-96,802","-124,257","-158,894","-173,897","-145,559",,,,,,
01010,ALABAMA                  ,BALDWIN,"-508,796","-484,326","-487,751","-432,194","-337,496",,,,,,
01020,ALABAMA                  ,BARBOUR,"4,484","-25,167","-21,221","-22,421","-17,028",,,,,,
01030,ALABAMA                  ,BIBB,"-20,177","-19,938","-22,943","-26,221","-14,840",,,,,,
01040,ALABAMA                  ,BLOUNT,"-79,557","-68,104","-48,778","-45,708","-27,838",,,,,,
01050,ALABAMA                  ,BULLOCK,"-16,796","-14,737","-20,401","-22,801","-20,053",,,,,,
01060,ALABAMA                  ,BUTLER,"-79,504","-78,467","-93,541","-97,976","-78,554",,,,,,
01070,ALABAMA                  ,CALHOUN,"-350,272","-291,941","-249,549","-336,137","-394,186",,,,,,
01080,ALABAMA                  ,CHAMBERS,"-102,881","-89,859","-112,244","-134,622","-96,540",,,,,,
01090,ALABAMA                  ,CHEROKEE,"-31,871","-31,774","-29,054","13,973","21,312",,,,,,
01100,ALABAMA                  ,CHILTON,"-72,447","-53,665","-43,688","-41,754","-26,149",,,,,,
01110,ALABAMA                  ,CHOCTAW,"-27,856","-39,372","-47,065","-47,775","-36,383",,,,,,
01120,ALABAMA                  ,CLARKE,"-61,344","-53,247","-57,364","-55,654","-38,200",,,,,,
01130,ALABAMA                  ,CLAY,"-47,072","-41,676","-31,953","-31,372","-28,049",,,,,,
01140,ALABAMA                  ,CLEBURNE,"-37,946","-33,436","-24,989","-35,465","-28,245",,,,,,
01150,ALABAMA                  ,COFFEE,"-32,952","-97,240","-97,566","-64,041","35,854",,,,,,
01160,ALABAMA                  ,COLBERT,"-101,033","-137,153","-192,672","-207,129","-105,561",,,,,,
01170,ALABAMA                  ,CONECUH,"-35,627","-31,295","-32,521","-37,320","-20,013",,,,,,
01180,ALABAMA                  ,COOSA,"-40,583","-39,594","-38,406","-30,785","-18,876",,,,,,
01190,ALABAMA                  ,COVINGTON,"-84,362","-104,212","-103,487","-79,006","-28,947",,,,,,
01200,ALABAMA                  ,CRENSHAW,"-36,789","-37,014","-50,492","-49,099","-32,247",,,,,,
01210,ALABAMA                  ,CULLMAN,"-238,623","-204,183","-177,398","-147,261","-140,115",,,,,,
01220,ALABAMA                  ,DALE,"-8,998","-121,356","-121,183","-58,418","110,214",,,,,,
01230,ALABAMA                  ,DALLAS,"-45,999","-68,130","-93,080","-76,817","-57,374",,,,,,
01240,ALABAMA                  ,DEKALB,"-267,480","-259,008","-232,796","-103,664","-55,163",,,,,,
01250,ALABAMA                  ,ELMORE,"-162,175","-199,947","-293,930","-287,876","-249,081",,,,,,
01260,ALABAMA                  ,ESCAMBIA,"-117,421","-109,995","-116,546","-102,791","-70,708",,,,,,
01270,ALABAMA                  ,ETOWAH,"-74,000","-67,686","-116,707","17,885","-113,461",,,,,,
01280,ALABAMA                  ,FAYETTE,"-16,487","3,321","5,634","-4,636","8,319",,,,,,
01290,ALABAMA                  ,FRANKLIN,"-51,367","-64,198","-85,886","-80,251","-40,698",,,,,,
01300,ALABAMA                  ,GENEVA,"-15,966","-62,519","-69,263","-31,204","53,908",,,,,,
01310,ALABAMA                  ,GREENE,-239,"-4,405","-12,299","-14,519","-9,989",,,,,,
01320,ALABAMA                  ,HALE,-558,"-11,322","-26,013","-29,367","-16,096",,,,,,
01330,ALABAMA                  ,HENRY,"13,783","-31,246","-32,320","-11,644","50,169",,,,,,
01340,ALABAMA                  ,HOUSTON,"63,702","-170,677","-184,785","-39,371","285,528",,,,,,
01350,ALABAMA                  ,JACKSON,"-92,796","-115,974","-151,684","-140,956","15,342",,,,,,
01360,ALABAMA                  ,JEFFERSON,"-950,674","-718,654","-498,708","-561,891","-313,542",,,,,,
01370,ALABAMA                  ,LAMAR,"-19,571","-8,657","-11,543","-14,392",976,,,,,,
01380,ALABAMA                  ,LAUDERDALE,"-140,134","-193,229","-276,250","-281,519","-125,309",,,,,,
01390,ALABAMA                  ,LAWRENCE,"-106,090","-102,274","-120,914","-132,684","-84,534",,,,,,
01400,ALABAMA                  ,LEE,"-224,918","-212,595","-241,485","-357,934","-437,578",,,,,,
01410,ALABAMA                  ,LIMESTONE,"-178,386","-178,314","-229,601","-269,593","-173,421",,,,,,
01420,ALABAMA                  ,LOWNDES,"-15,001","-24,890","-27,559","-29,059","-20,972",,,,,,
01430,ALABAMA                  ,MACON,"-31,816","-39,683","-48,157","-58,472","-64,513",,,,,,
01440,ALABAMA                  ,MADISON,"-648,263","-672,016","-842,567","-1,008,259","-683,852",,,,,,
01450,ALABAMA                  ,MARENGO,"-25,849","-26,479","-30,091","-33,448","-18,912",,,,,,
01460,ALABAMA                  ,MARION,"-53,610","-23,733","-12,798","-14,417","6,605",,,,,,
01470,ALABAMA                  ,MARSHALL,"-402,248","-384,756","-366,935","-306,999","-222,238",,,,,,
01480,ALABAMA                  ,MOBILE,"-570,968","-385,152","-428,951","-460,212","-470,761",,,,,,
01490,ALABAMA                  ,MONROE,"-53,352","-42,323","-39,628","-45,979","-34,649",,,,,,
01500,ALABAMA                  ,MONTGOMERY,"-387,596","-462,654","-661,578","-690,538","-565,047",,,,,,
01510,ALABAMA                  ,MORGAN,"-584,142","-516,532","-614,288","-675,009","-478,612",,,,,,
01520,ALABAMA                  ,PERRY,"-8,556","-12,372","-19,405","-16,074","-11,199",,,,,,
01530,ALABAMA                  ,PICKENS,"-6,696","-15,699","-23,209","-26,925","-1,148",,,,,,
01540,ALABAMA                  ,PIKE,"-69,448","-88,183","-117,184","-139,373","-103,262",,,,,,
01550,ALABAMA                  ,RANDOLPH,"-60,791","-46,713","-46,526","-61,322","-58,912",,,,,,
01560,ALABAMA                  ,RUSSELL,"-155,914","-179,501","-185,669","-248,173","-262,550",,,,,,
01570,ALABAMA                  ,ST. CLAIR,"-104,224","-69,498","-54,657","-55,027","-36,417",,,,,,
01580,ALABAMA                  ,SHELBY,"-152,343","-120,225","-92,407","-94,764","-56,144",,,,,,
01590,ALABAMA                  ,SUMTER,"-18,618","-19,886","-33,102","-28,783","-21,904",,,,,,
01600,ALABAMA                  ,TALLADEGA,"-243,603","-257,381","-245,560","-218,893","-94,377",,,,,,
01610,ALABAMA                  ,TALLAPOOSA,"-157,134","-149,063","-139,521","-135,421","-137,722",,,,,,
01620,ALABAMA                  ,TUSCALOOSA,"19,726","-62,593","-173,325","-221,033","-126,967",,,,,,
01630,ALABAMA                  ,WALKER,"-166,710","-141,399","-95,760","-108,613","-65,357",,,,,,
01640,ALABAMA                  ,WASHINGTON,"-33,656","-22,176","-32,475","-34,965","-37,059",,,,,,
01650,ALABAMA                  ,WILCOX,"-24,471","-29,248","-33,449","-40,272","-12,716",,,,,,
01660,ALABAMA                  ,WINSTON,"-55,957","-54,092","-46,646","-50,412","-26,505",,,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,366,176,"4,339","1,402","1,294",,,,,,
02020,ALASKA                   ,ANCHORAGE,"557,375","766,739","719,314","475,360","460,956",,,,,,
02040,ALASKA                   ,BARROW DIVISION,"1,881","4,226","2,205","5,177","1,190",,,,,,
02050,ALASKA                   ,BETHEL,"1,347","2,922","2,214","2,361","1,863",,,,,,
02060,ALASKA                   ,BRISTOL BAY,"22,865","26,528","29,338","21,365","13,050",,,,,,
02070,ALASKA                   ,DILLINGHAM,"2,420","4,222","2,717","2,106","3,000",,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,"4,463","5,984","3,932","2,006","1,736",,,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"224,703","331,606","313,707","201,471","197,477",,,,,,
02100,ALASKA                   ,HAINES,"6,810","6,978","8,117","5,389","3,145",,,,,,
02110,ALASKA                   ,JUNEAU,"68,342","64,137","78,460","69,447","58,466",,,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"212,444","250,008","274,211","179,922","182,679",,,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,"5,307","3,351","7,581","4,182","5,066",,,,,,
02140,ALASKA                   ,KOBUK,"1,130","2,106","7,050","2,597","2,115",,,,,,
02150,ALASKA                   ,KODIAK ISLAND,"4,761","5,160","3,423","3,752","7,483",,,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,"2,386",898,"1,162","1,306",534,,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"214,860","254,508","282,527","190,505","183,633",,,,,,
02180,ALASKA                   ,NOME,"4,646","6,177","1,515","5,061","1,344",,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,"1,477",-49,365,"2,216","1,224",,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,"2,201","3,183","1,378","1,031","1,046",,,,,,
02210,ALASKA                   ,SEWARD,"5,360","7,053","10,698","14,203","7,525",,,,,,
02220,ALASKA                   ,SITKA,"2,847","2,259","4,218","5,040","8,142",,,,,,
02230,ALASKA                   ,SKAGWAY,"5,462","3,280","7,383","4,771","3,642",,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,"13,698","21,307","20,599","15,028","9,865",,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,"5,653","8,601","7,311","4,071","4,477",,,,,,
