AGED -- REPRICING ADJUSTMENTS TO THE 2008-2012 PHYSICIAN REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT GEOGRAPHIC PRACTICE COST INDEX,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,,
,,,"2,008","2,009","2,010","2,011","2,012",,,,,,
01000,ALABAMA                  ,AUTAUGA,"84,492","95,425","-132,808","-162,404","37,990",,,,,,
01010,ALABAMA                  ,BALDWIN,"437,479","514,290","-692,340","-816,262","152,740",,,,,,
01020,ALABAMA                  ,BARBOUR,"45,787","58,650","-78,140","-98,879","21,938",,,,,,
01030,ALABAMA                  ,BIBB,"33,075","38,623","-54,092","-59,515","16,083",,,,,,
01040,ALABAMA                  ,BLOUNT,"65,026","86,184","-111,793","-127,928","33,480",,,,,,
01050,ALABAMA                  ,BULLOCK,"15,246","14,750","-23,461","-22,809","5,847",,,,,,
01060,ALABAMA                  ,BUTLER,"43,795","54,748","-72,812","-80,199","21,191",,,,,,
01070,ALABAMA                  ,CALHOUN,"278,077","383,085","-470,464","-549,843","142,641",,,,,,
01080,ALABAMA                  ,CHAMBERS,"65,919","85,765","-106,440","-117,502","28,637",,,,,,
01090,ALABAMA                  ,CHEROKEE,"47,315","56,220","-80,578","-98,990","15,782",,,,,,
01100,ALABAMA                  ,CHILTON,"67,507","85,691","-102,430","-124,847","29,745",,,,,,
01110,ALABAMA                  ,CHOCTAW,"19,877","16,818","-78,052","-94,813","-1,053",,,,,,
01120,ALABAMA                  ,CLARKE,"49,064","63,407","-90,829","-103,967","23,576",,,,,,
01130,ALABAMA                  ,CLAY,"33,498","43,536","-53,157","-54,526","15,088",,,,,,
01140,ALABAMA                  ,CLEBURNE,"25,996","37,274","-43,350","-53,259","11,737",,,,,,
01150,ALABAMA                  ,COFFEE,"123,607","142,493","-181,581","-213,475","50,927",,,,,,
01160,ALABAMA                  ,COLBERT,"170,232","211,076","-264,855","-305,355","70,776",,,,,,
01170,ALABAMA                  ,CONECUH,"32,830","35,078","-54,200","-54,465","9,160",,,,,,
01180,ALABAMA                  ,COOSA,"28,521","35,622","-44,728","-50,649","12,055",,,,,,
01190,ALABAMA                  ,COVINGTON,"139,703","143,612","-189,889","-221,902","38,142",,,,,,
01200,ALABAMA                  ,CRENSHAW,"33,060","35,829","-52,971","-59,664","13,263",,,,,,
01210,ALABAMA                  ,CULLMAN,"205,852","247,847","-316,009","-397,832","89,519",,,,,,
01220,ALABAMA                  ,DALE,"126,872","163,034","-210,012","-241,324","57,865",,,,,,
01230,ALABAMA                  ,DALLAS,"109,706","127,589","-154,651","-176,639","41,632",,,,,,
01240,ALABAMA                  ,DEKALB,"131,993","157,430","-212,551","-244,446","55,135",,,,,,
01250,ALABAMA                  ,ELMORE,"143,708","166,579","-243,082","-274,586","67,307",,,,,,
01260,ALABAMA                  ,ESCAMBIA,"86,046","81,587","-125,670","-151,124","3,700",,,,,,
01270,ALABAMA                  ,ETOWAH,"238,541","302,360","-388,492","-452,760","121,818",,,,,,
01280,ALABAMA                  ,FAYETTE,"34,395","41,558","-52,118","-67,471","18,005",,,,,,
01290,ALABAMA                  ,FRANKLIN,"84,457","106,901","-142,243","-145,323","34,130",,,,,,
01300,ALABAMA                  ,GENEVA,"72,596","86,363","-115,516","-139,181","32,184",,,,,,
01310,ALABAMA                  ,GREENE,"19,661","25,666","-29,384","-30,704","8,545",,,,,,
01320,ALABAMA                  ,HALE,"34,936","46,493","-56,610","-72,979","18,031",,,,,,
01330,ALABAMA                  ,HENRY,"33,885","45,404","-60,877","-71,191","17,656",,,,,,
01340,ALABAMA                  ,HOUSTON,"180,507","231,807","-311,331","-390,489","96,573",,,,,,
01350,ALABAMA                  ,JACKSON,"134,521","142,857","-235,845","-279,447","53,700",,,,,,
01360,ALABAMA                  ,JEFFERSON,"1,066,702","1,310,006","-1,659,606","-1,909,341","478,265",,,,,,
01370,ALABAMA                  ,LAMAR,"36,682","38,822","-81,615","-93,581","9,751",,,,,,
01380,ALABAMA                  ,LAUDERDALE,"268,980","328,346","-411,046","-459,376","107,814",,,,,,
01390,ALABAMA                  ,LAWRENCE,"62,223","79,974","-108,909","-124,029","30,485",,,,,,
01400,ALABAMA                  ,LEE,"143,281","183,055","-224,142","-275,761","63,508",,,,,,
01410,ALABAMA                  ,LIMESTONE,"141,815","181,582","-218,841","-259,801","64,376",,,,,,
01420,ALABAMA                  ,LOWNDES,"18,047","19,938","-26,924","-30,403","6,676",,,,,,
01430,ALABAMA                  ,MACON,"27,827","38,845","-45,844","-50,574","14,418",,,,,,
01440,ALABAMA                  ,MADISON,"704,039","883,005","-1,076,525","-1,288,862","317,152",,,,,,
01450,ALABAMA                  ,MARENGO,"45,419","45,619","-67,999","-86,467","19,700",,,,,,
01460,ALABAMA                  ,MARION,"69,933","78,367","-120,955","-145,792","27,663",,,,,,
01470,ALABAMA                  ,MARSHALL,"225,950","271,402","-325,989","-384,381","108,378",,,,,,
01480,ALABAMA                  ,MOBILE,"563,391","723,391","-935,562","-1,109,298","279,057",,,,,,
01490,ALABAMA                  ,MONROE,"48,110","54,399","-65,873","-83,656","18,443",,,,,,
01500,ALABAMA                  ,MONTGOMERY,"395,968","458,011","-653,011","-777,807","169,974",,,,,,
01510,ALABAMA                  ,MORGAN,"274,845","348,428","-471,095","-552,777","135,023",,,,,,
01520,ALABAMA                  ,PERRY,"22,932","24,394","-34,495","-39,767","9,061",,,,,,
01530,ALABAMA                  ,PICKENS,"46,188","51,322","-77,834","-91,734","18,558",,,,,,
01540,ALABAMA                  ,PIKE,"56,323","72,512","-95,045","-111,783","26,096",,,,,,
01550,ALABAMA                  ,RANDOLPH,"37,917","52,224","-64,814","-70,842","14,714",,,,,,
01560,ALABAMA                  ,RUSSELL,"99,436","114,014","-164,730","-204,805","10,478",,,,,,
01570,ALABAMA                  ,ST. CLAIR,"98,069","129,948","-166,042","-197,715","51,600",,,,,,
01580,ALABAMA                  ,SHELBY,"186,040","227,440","-284,312","-334,134","85,568",,,,,,
01590,ALABAMA                  ,SUMTER,"12,633","12,976","-47,736","-54,930",484,,,,,,
01600,ALABAMA                  ,TALLADEGA,"152,275","192,578","-237,335","-272,827","70,212",,,,,,
01610,ALABAMA                  ,TALLAPOOSA,"109,457","139,490","-171,462","-188,230","49,535",,,,,,
01620,ALABAMA                  ,TUSCALOOSA,"328,608","390,689","-513,642","-655,568","170,407",,,,,,
01630,ALABAMA                  ,WALKER,"216,002","253,353","-312,087","-345,869","81,289",,,,,,
01640,ALABAMA                  ,WASHINGTON,"34,489","39,835","-61,333","-69,313","18,320",,,,,,
01650,ALABAMA                  ,WILCOX,"21,690","23,696","-32,226","-43,405","9,306",,,,,,
01660,ALABAMA                  ,WINSTON,"73,838","85,691","-111,093","-126,153","29,526",,,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,"6,455",439,246,-17,340,,,,,,
02020,ALASKA                   ,ANCHORAGE,"4,207,427","24,028","-2,227","-23,120","269,256",,,,,,
