AGED -- REPRICING ADJUSTMENTS TO THE 2008-2012 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,
,,,"2,008","2,009","2,010","2,011","2,012",,,,,,
01000,ALABAMA                  ,AUTAUGA,"-232,502","-255,727","-340,783","-264,937","-212,797",,,,,,
01010,ALABAMA                  ,BALDWIN,"41,801","65,108","198,953","-39,578","-327,824",,,,,,
01020,ALABAMA                  ,BARBOUR,"-67,897","-83,852","-84,980","-128,121","-122,068",,,,,,
01030,ALABAMA                  ,BIBB,"-123,557","-61,914","-35,442","-19,523","-26,404",,,,,,
01040,ALABAMA                  ,BLOUNT,"22,442","96,309","145,871","132,643","86,815",,,,,,
01050,ALABAMA                  ,BULLOCK,"-20,827","-36,253","-24,387","23,942","28,767",,,,,,
01060,ALABAMA                  ,BUTLER,"-480,255","-423,861","-332,957","-256,208","-232,396",,,,,,
01070,ALABAMA                  ,CALHOUN,"-475,217","-523,736","-306,842","-330,905","-424,456",,,,,,
01080,ALABAMA                  ,CHAMBERS,"-334,331","-334,977","-332,282","-420,330","-299,064",,,,,,
01090,ALABAMA                  ,CHEROKEE,"-94,672","-63,459","-90,253","-123,137","-171,800",,,,,,
01100,ALABAMA                  ,CHILTON,"20,982","38,818","-10,695","40,695","51,849",,,,,,
01110,ALABAMA                  ,CHOCTAW,"-139,341","-103,922","-139,907","-91,636","-65,568",,,,,,
01120,ALABAMA                  ,CLARKE,"-32,131","93,355","138,745","116,340","147,476",,,,,,
01130,ALABAMA                  ,CLAY,"-38,990","-16,168","-22,549","-55,053","-53,839",,,,,,
01140,ALABAMA                  ,CLEBURNE,"-109,134","-101,178","-75,800","-61,204","-113,939",,,,,,
01150,ALABAMA                  ,COFFEE,"-206,266","-129,044","-164,087","-121,303","-80,011",,,,,,
01160,ALABAMA                  ,COLBERT,"-420,041","-243,944","-205,875","-398,554","-403,753",,,,,,
01170,ALABAMA                  ,CONECUH,"-187,459","-108,553","-98,008","-56,664","-31,728",,,,,,
01180,ALABAMA                  ,COOSA,"-112,926","-99,075","-99,554","-106,546","-68,209",,,,,,
01190,ALABAMA                  ,COVINGTON,"-722,224","-581,420","-533,270","-489,053","-400,886",,,,,,
01200,ALABAMA                  ,CRENSHAW,"-166,136","-230,680","-245,027","-205,552","-159,353",,,,,,
01210,ALABAMA                  ,CULLMAN,"-1,156,529","-1,005,717","-1,005,553","-1,140,360","-1,171,266",,,,,,
01220,ALABAMA                  ,DALE,"-256,119","-207,354","-231,446","-288,672","-148,855",,,,,,
01230,ALABAMA                  ,DALLAS,"-1,468,922","-1,519,628","-1,421,234","-1,589,934","-1,027,911",,,,,,
01240,ALABAMA                  ,DEKALB,"-364,930","-225,848","-306,331","-149,192","-321,823",,,,,,
01250,ALABAMA                  ,ELMORE,"-469,427","-410,415","-450,908","-225,652","-202,470",,,,,,
01260,ALABAMA                  ,ESCAMBIA,"7,533","56,422","151,392","160,534","102,311",,,,,,
01270,ALABAMA                  ,ETOWAH,"289,966","547,926","409,935","359,246","56,884",,,,,,
01280,ALABAMA                  ,FAYETTE,"-248,222","-192,350","-130,101","-118,506","-155,904",,,,,,
01290,ALABAMA                  ,FRANKLIN,"-321,375","-187,045","-184,942","-240,800","-226,317",,,,,,
01300,ALABAMA                  ,GENEVA,"-225,584","-198,836","-135,564","-215,480","-100,938",,,,,,
01310,ALABAMA                  ,GREENE,"-71,229","-91,952","-29,495","31,239","-18,257",,,,,,
01320,ALABAMA                  ,HALE,"-199,762","-146,864","-110,963","-50,273","-114,117",,,,,,
01330,ALABAMA                  ,HENRY,"-109,130","-98,986","-111,627","-123,650","-76,101",,,,,,
01340,ALABAMA                  ,HOUSTON,"-472,738","-399,843","-499,087","-527,644","-423,582",,,,,,
01350,ALABAMA                  ,JACKSON,"-125,164","-107,180","-182,262","-231,960","-114,555",,,,,,
01360,ALABAMA                  ,JEFFERSON,"2,806,635","3,273,081","3,505,210","3,110,207","2,678,622",,,,,,
01370,ALABAMA                  ,LAMAR,"-306,319","-185,137","-241,560","-139,603","-179,272",,,,,,
01380,ALABAMA                  ,LAUDERDALE,"-390,464","-116,769","-257,960","-371,826","-207,345",,,,,,
01390,ALABAMA                  ,LAWRENCE,"-315,599","-220,421","-194,226","-214,379","-162,196",,,,,,
01400,ALABAMA                  ,LEE,"-432,609","-253,586","-177,984","-369,105","-547,993",,,,,,
01410,ALABAMA                  ,LIMESTONE,"-296,692","-289,702","-447,418","-495,857","-485,504",,,,,,
01420,ALABAMA                  ,LOWNDES,"-46,134","-89,898","-73,699","-95,438","-28,469",,,,,,
01430,ALABAMA                  ,MACON,"-82,614","-97,056","-49,322","-95,951","-96,710",,,,,,
01440,ALABAMA                  ,MADISON,"737,676","145,258","-1,029,031","-1,314,790","-1,045,450",,,,,,
01450,ALABAMA                  ,MARENGO,"39,816","81,686","93,428","141,599","20,869",,,,,,
01460,ALABAMA                  ,MARION,"-389,845","-200,566","-222,400","-87,843","-125,993",,,,,,
01470,ALABAMA                  ,MARSHALL,"-189,069","-207,700","-544,870","-541,783","-1,540,474",,,,,,
01480,ALABAMA                  ,MOBILE,"1,177,122","1,598,404","1,596,973","1,095,570","1,422,370",,,,,,
01490,ALABAMA                  ,MONROE,"-130,761","-7,294","-62,731","-37,691","-44,698",,,,,,
01500,ALABAMA                  ,MONTGOMERY,"-531,857","-448,133","-692,440","-286,069","97,842",,,,,,
01510,ALABAMA                  ,MORGAN,"-860,585","-676,115","-545,181","-522,106","-894,582",,,,,,
01520,ALABAMA                  ,PERRY,"-294,114","-184,712","-203,680","-209,501","-124,397",,,,,,
01530,ALABAMA                  ,PICKENS,"-298,443","-249,476","-285,856","-130,990","-155,247",,,,,,
01540,ALABAMA                  ,PIKE,"-198,682","-211,615","-310,995","-243,725","-138,224",,,,,,
01550,ALABAMA                  ,RANDOLPH,"-178,174","-178,860","-151,108","-202,769","-139,559",,,,,,
01560,ALABAMA                  ,RUSSELL,"228,495","317,052","515,048","249,541","474,579",,,,,,
01570,ALABAMA                  ,ST. CLAIR,"357,720","396,402","369,970","324,914","301,539",,,,,,
01580,ALABAMA                  ,SHELBY,"315,241","340,282","331,469","265,377","247,689",,,,,,
01590,ALABAMA                  ,SUMTER,"-142,101","-59,513","-91,488","-40,869","-84,884",,,,,,
01600,ALABAMA                  ,TALLADEGA,"-429,307","-389,647","-368,411","-364,740","-240,406",,,,,,
01610,ALABAMA                  ,TALLAPOOSA,"-512,831","-518,228","-381,891","-501,952","-548,395",,,,,,
01620,ALABAMA                  ,TUSCALOOSA,"-1,762,049","-1,460,311","-1,397,502","-339,784","-1,287,029",,,,,,
01630,ALABAMA                  ,WALKER,"-262,970","-64,082","-38,711","-158,349","-352,286",,,,,,
