AGED -- 2012  REIMBURSEMENT FOR COST CONTRACTS FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,
 CODE , STATE , COUNTY ,PART A TOTAL REIMBURSEMENT,PART A REIMBURSEMENT W/O IME/DSH/GME,PART B TOTAL REIMBURSEMENT,,,,,,
01000,ALABAMA                  ,AUTAUGA,0,0,0,,,,,,
01010,ALABAMA                  ,BALDWIN,"32,584","31,640","17,138",,,,,,
01020,ALABAMA                  ,BARBOUR,0,0,38,,,,,,
01030,ALABAMA                  ,BIBB,"100,377","96,416","63,160",,,,,,
01040,ALABAMA                  ,BLOUNT,"194,022","179,248","29,583",,,,,,
01050,ALABAMA                  ,BULLOCK,0,0,0,,,,,,
01060,ALABAMA                  ,BUTLER,0,0,0,,,,,,
01070,ALABAMA                  ,CALHOUN,"2,055","2,055",62,,,,,,
01080,ALABAMA                  ,CHAMBERS,0,0,0,,,,,,
01090,ALABAMA                  ,CHEROKEE,0,0,0,,,,,,
01100,ALABAMA                  ,CHILTON,"17,559","16,741","11,402",,,,,,
01110,ALABAMA                  ,CHOCTAW,0,0,0,,,,,,
01120,ALABAMA                  ,CLARKE,0,0,53,,,,,,
01130,ALABAMA                  ,CLAY,0,0,0,,,,,,
01140,ALABAMA                  ,CLEBURNE,0,0,0,,,,,,
01150,ALABAMA                  ,COFFEE,0,0,0,,,,,,
01160,ALABAMA                  ,COLBERT,0,0,0,,,,,,
01170,ALABAMA                  ,CONECUH,0,0,0,,,,,,
01180,ALABAMA                  ,COOSA,0,0,0,,,,,,
01190,ALABAMA                  ,COVINGTON,0,0,"3,198",,,,,,
01200,ALABAMA                  ,CRENSHAW,0,0,0,,,,,,
01210,ALABAMA                  ,CULLMAN,"41,632","39,524","71,425",,,,,,
01220,ALABAMA                  ,DALE,0,0,0,,,,,,
01230,ALABAMA                  ,DALLAS,"4,781","4,200",0,,,,,,
01240,ALABAMA                  ,DEKALB,"2,519","2,151","5,710",,,,,,
01250,ALABAMA                  ,ELMORE,0,0,"10,434",,,,,,
01260,ALABAMA                  ,ESCAMBIA,0,0,"1,325",,,,,,
01270,ALABAMA                  ,ETOWAH,0,0,53,,,,,,
01280,ALABAMA                  ,FAYETTE,"106,516","95,762","25,573",,,,,,
01290,ALABAMA                  ,FRANKLIN,0,0,0,,,,,,
01300,ALABAMA                  ,GENEVA,0,0,0,,,,,,
01310,ALABAMA                  ,GREENE,0,0,0,,,,,,
01320,ALABAMA                  ,HALE,0,0,587,,,,,,
01330,ALABAMA                  ,HENRY,0,0,0,,,,,,
01340,ALABAMA                  ,HOUSTON,0,0,0,,,,,,
01350,ALABAMA                  ,JACKSON,"21,597","18,974","1,341",,,,,,
01360,ALABAMA                  ,JEFFERSON,"1,917,911","1,715,135","556,919",,,,,,
01370,ALABAMA                  ,LAMAR,0,0,988,,,,,,
01380,ALABAMA                  ,LAUDERDALE,"4,407","4,130","3,963",,,,,,
01390,ALABAMA                  ,LAWRENCE,0,0,229,,,,,,
01400,ALABAMA                  ,LEE,46,46,0,,,,,,
01410,ALABAMA                  ,LIMESTONE,"20,294","18,940","14,324",,,,,,
01420,ALABAMA                  ,LOWNDES,0,0,0,,,,,,
01430,ALABAMA                  ,MACON,"11,474","10,866","2,259",,,,,,
01440,ALABAMA                  ,MADISON,"5,889","5,007","23,416",,,,,,
01450,ALABAMA                  ,MARENGO,0,0,0,,,,,,
01460,ALABAMA                  ,MARION,"81,077","76,086","23,625",,,,,,
01470,ALABAMA                  ,MARSHALL,"19,594","18,586","5,033",,,,,,
01480,ALABAMA                  ,MOBILE,"10,188","9,140","11,426",,,,,,
01490,ALABAMA                  ,MONROE,0,0,475,,,,,,
01500,ALABAMA                  ,MONTGOMERY,"75,453","66,976","30,231",,,,,,
01510,ALABAMA                  ,MORGAN,"11,838","11,240","7,284",,,,,,
01520,ALABAMA                  ,PERRY,0,0,0,,,,,,
01530,ALABAMA                  ,PICKENS,0,0,480,,,,,,
01540,ALABAMA                  ,PIKE,0,0,0,,,,,,
01550,ALABAMA                  ,RANDOLPH,0,0,0,,,,,,
01560,ALABAMA                  ,RUSSELL,0,0,51,,,,,,
01570,ALABAMA                  ,ST. CLAIR,"161,185","155,847","7,142",,,,,,
01580,ALABAMA                  ,SHELBY,"297,231","278,388","66,044",,,,,,
01590,ALABAMA                  ,SUMTER,"11,422","9,971","4,768",,,,,,
01600,ALABAMA                  ,TALLADEGA,0,0,"3,934",,,,,,
01610,ALABAMA                  ,TALLAPOOSA,0,0,0,,,,,,
01620,ALABAMA                  ,TUSCALOOSA,"237,842","208,002","57,383",,,,,,
01630,ALABAMA                  ,WALKER,"1,577,842","1,388,102","588,639",,,,,,
01640,ALABAMA                  ,WASHINGTON,0,0,0,,,,,,
01650,ALABAMA                  ,WILCOX,0,0,0,,,,,,
01660,ALABAMA                  ,WINSTON,"21,565","18,785","14,651",,,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,0,0,0,,,,,,
02020,ALASKA                   ,ANCHORAGE,"20,357","19,400",645,,,,,,
02040,ALASKA                   ,BARROW DIVISION,0,0,0,,,,,,
02050,ALASKA                   ,BETHEL,0,0,0,,,,,,
02060,ALASKA                   ,BRISTOL BAY,0,0,0,,,,,,
02070,ALASKA                   ,DILLINGHAM,0,0,0,,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,0,0,"3,906",,,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"57,519","38,176","8,176",,,,,,
02100,ALASKA                   ,HAINES,0,0,0,,,,,,
02110,ALASKA                   ,JUNEAU,0,0,0,,,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,0,0,135,,,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,0,0,0,,,,,,
02140,ALASKA                   ,KOBUK,0,0,0,,,,,,
02150,ALASKA                   ,KODIAK ISLAND,0,0,0,,,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,0,0,0,,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"57,605","52,382","21,758",,,,,,
02180,ALASKA                   ,NOME,0,0,0,,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,0,0,0,,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,0,0,0,,,,,,
02210,ALASKA                   ,SEWARD,0,0,0,,,,,,
02220,ALASKA                   ,SITKA,0,0,0,,,,,,
02230,ALASKA                   ,SKAGWAY,0,0,0,,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,0,0,0,,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,0,0,0,,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,0,0,0,,,,,,
02270,ALASKA                   ,WADE HAMPTON,0,0,0,,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,0,0,0,,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,0,0,0,,,,,,
03000,ARIZONA                  ,APACHE,0,0,0,,,,,,
03010,ARIZONA                  ,COCHISE,"73,798","66,813","44,066",,,,,,
03020,ARIZONA                  ,COCONINO,"184,028","167,728","44,884",,,,,,
03030,ARIZONA                  ,GILA,"11,993","10,935","15,718",,,,,,
03040,ARIZONA                  ,GRAHAM,0,0,635,,,,,,
03050,ARIZONA                  ,GREENLEE,0,0,0,,,,,,
03055,ARIZONA                  ,LA PAZ,"19,919","19,774","70,150",,,,,,
03060,ARIZONA                  ,MARICOPA,"1,274,419","1,177,926","1,045,754",,,,,,
03070,ARIZONA                  ,MOHAVE,"333,709","305,141","292,189",,,,,,
03080,ARIZONA                  ,NAVAJO,"422,062","380,093","348,082",,,,,,
03090,ARIZONA                  ,PIMA,"266,125","220,590","296,381",,,,,,
03100,ARIZONA                  ,PINAL,"391,937","355,567","293,769",,,,,,
03110,ARIZONA                  ,SANTA CRUZ,0,0,0,,,,,,
03120,ARIZONA                  ,YAVAPAI,"128,162","122,949","140,501",,,,,,
03130,ARIZONA                  ,YUMA,"166,277","143,695","109,034",,,,,,
04000,ARKANSAS                 ,ARKANSAS,0,0,0,,,,,,
04010,ARKANSAS                 ,ASHLEY,0,0,"1,844",,,,,,
04020,ARKANSAS                 ,BAXTER,"91,406","89,409","49,744",,,,,,
04030,ARKANSAS                 ,BENTON,"32,754","31,229","413,740",,,,,,
04040,ARKANSAS                 ,BOONE,0,0,"1,318",,,,,,
04050,ARKANSAS                 ,BRADLEY,0,0,0,,,,,,
04060,ARKANSAS                 ,CALHOUN,0,0,0,,,,,,
04070,ARKANSAS                 ,CARROLL,0,0,"2,820",,,,,,
04080,ARKANSAS                 ,CHICOT,"36,850","36,277","19,140",,,,,,
04090,ARKANSAS                 ,CLARK,"12,766","12,267","37,736",,,,,,
04100,ARKANSAS                 ,CLAY,0,0,0,,,,,,
04110,ARKANSAS                 ,CLEBURNE,"18,534","18,199","47,473",,,,,,
04120,ARKANSAS                 ,CLEVELAND,0,0,"15,035",,,,,,
04130,ARKANSAS                 ,COLUMBIA,0,0,0,,,,,,
04140,ARKANSAS                 ,CONWAY,"22,401","21,127","10,916",,,,,,
04150,ARKANSAS                 ,CRAIGHEAD,0,0,"2,674",,,,,,
04160,ARKANSAS                 ,CRAWFORD,"12,311","11,019","12,694",,,,,,
04170,ARKANSAS                 ,CRITTENDEN,0,0,922,,,,,,
04180,ARKANSAS                 ,CROSS,"15,907","14,710","14,186",,,,,,
04190,ARKANSAS                 ,DALLAS,0,0,0,,,,,,
04200,ARKANSAS                 ,DESHA,"15,970","14,549","34,765",,,,,,
04210,ARKANSAS                 ,DREW,0,0,260,,,,,,
04220,ARKANSAS                 ,FAULKNER,"289,408","276,208","236,581",,,,,,
04230,ARKANSAS                 ,FRANKLIN,"175,632","162,936","29,233",,,,,,
04240,ARKANSAS                 ,FULTON,0,0,0,,,,,,
04250,ARKANSAS                 ,GARLAND,"28,379","25,827","47,478",,,,,,
04260,ARKANSAS                 ,GRANT,0,0,"10,602",,,,,,
04270,ARKANSAS                 ,GREENE,"27,783","24,636","42,030",,,,,,
04280,ARKANSAS                 ,HEMPSTEAD,"7,698","6,815","4,523",,,,,,
04290,ARKANSAS                 ,HOT SPRING,"34,513","32,324","26,639",,,,,,
04300,ARKANSAS                 ,HOWARD,0,0,0,,,,,,
04310,ARKANSAS                 ,INDEPENDENCE,0,0,"4,233",,,,,,
04320,ARKANSAS                 ,IZARD,-100,-100,"5,374",,,,,,
04330,ARKANSAS                 ,JACKSON,0,0,"5,703",,,,,,
04340,ARKANSAS                 ,JEFFERSON,"149,002","128,373","84,461",,,,,,
04350,ARKANSAS                 ,JOHNSON,"136,451","123,704","32,267",,,,,,
04360,ARKANSAS                 ,LAFAYETTE,0,0,"1,253",,,,,,
04370,ARKANSAS                 ,LAWRENCE,"41,126","33,110","11,560",,,,,,
04380,ARKANSAS                 ,LEE,0,0,0,,,,,,
04390,ARKANSAS                 ,LINCOLN,0,0,0,,,,,,
04400,ARKANSAS                 ,LITTLE RIVER,0,0,"52,144",,,,,,
04410,ARKANSAS                 ,LOGAN,"22,282","21,878","8,595",,,,,,
04420,ARKANSAS                 ,LONOKE,"86,555","78,035","105,285",,,,,,
