"AGED - HOSPICE - 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,,
 CODE , STATE , COUNTY ,PART A ENROLLMENT ,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME ,PART A DSH ,PART A GME ,PART B ENROLLMENT ,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA ,
01000,ALABAMA                  ,AUTAUGA                ,4751,2314344,487.13,2314344,487.13,0,0,0,4404,0,0,
01010,ALABAMA                  ,BALDWIN                ,23434,11871507,506.59,11871507,506.59,0,0,0,21793,0,0,
01020,ALABAMA                  ,BARBOUR                ,3164,1984060,627.07,1984060,627.07,0,0,0,3022,0,0,
01030,ALABAMA                  ,BIBB                   ,2013,1048836,521.03,1048837,521.03,0,0,0,1899,0,0,
01040,ALABAMA                  ,BLOUNT                 ,4120,2630255,638.41,2630256,638.41,0,0,0,3822,0,0,
01050,ALABAMA                  ,BULLOCK                ,864,541169,626.35,541170,626.35,0,0,0,812,0,0,
01060,ALABAMA                  ,BUTLER                 ,2807,2338197,832.99,2338198,832.99,0,0,0,2712,0,0,
01070,ALABAMA                  ,CALHOUN                ,16769,9513469,567.32,9513469,567.32,0,0,0,15602,0,0,
01080,ALABAMA                  ,CHAMBERS               ,4997,2324635,465.21,2324636,465.21,0,0,0,4795,0,0,
01090,ALABAMA                  ,CHEROKEE               ,3137,1820819,580.43,1820819,580.43,0,0,0,3004,0,0,
01100,ALABAMA                  ,CHILTON                ,3325,2725650,819.74,2725650,819.74,0,0,0,3136,0,0,
01110,ALABAMA                  ,CHOCTAW                ,2238,2692225,1202.96,2692225,1202.96,0,0,0,2216,0,0,
01120,ALABAMA                  ,CLARKE                 ,3710,3331870,898.08,3331870,898.08,0,0,0,3567,0,0,
01130,ALABAMA                  ,CLAY                   ,2017,445765,221,445764,221,0,0,0,1929,0,0,
01140,ALABAMA                  ,CLEBURNE               ,2027,1196857,590.46,1196857,590.46,0,0,0,1931,0,0,
01150,ALABAMA                  ,COFFEE                 ,6429,4150105,645.53,4150104,645.53,0,0,0,6151,0,0,
01160,ALABAMA                  ,COLBERT                ,8414,5548054,659.38,5548055,659.38,0,0,0,8159,0,0,
01170,ALABAMA                  ,CONECUH                ,1940,1181824,609.19,1181824,609.19,0,0,0,1862,0,0,
