"DISABLED -- 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN PARTS A AND/OR B, PUERTO RICO BENEFICIARIES ENROLLED IN BOTH PARTS A AND B ONLY, REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,,,,,,
01000,ALABAMA                  ,AUTAUGA                ,"1,199","2,464,029",171.26,"2,090,035",145.26,"77,101","266,105","30,786","1,019","4,150,098",339.39,0.911,,,,,,
01010,ALABAMA                  ,BALDWIN                ,"4,330","11,523,817",221.78,"10,550,090",203.04,"200,094","704,604","69,028","3,791","17,963,816",394.88,0.929,,,,,,
01020,ALABAMA                  ,BARBOUR                ,"1,134","2,831,849",208.10,"2,547,030",187.17,"29,363","243,855","11,600","1,044","3,625,881",289.42,0.952,,,,,,
01030,ALABAMA                  ,BIBB                   ,900,"2,442,150",226.13,"2,065,063",191.21,"98,968","244,233","33,885",786,"2,948,198",312.57,0.958,,,,,,
01040,ALABAMA                  ,BLOUNT                 ,"1,101","3,165,919",239.62,"2,767,601",209.48,"116,582","226,805","54,931",931,"3,941,213",352.78,0.915,,,,,,
01050,ALABAMA                  ,BULLOCK                ,298,"560,141",156.64,"495,134",138.46,"12,779","46,962","5,264",265,"827,767",260.30,0.964,,,,,,
01060,ALABAMA                  ,BUTLER                 ,"1,035","3,188,462",256.72,"2,736,308",220.31,"65,637","364,082","22,433",960,"4,163,999",361.46,1.021,,,,,,
01070,ALABAMA                  ,CALHOUN                ,"5,967","19,489,661",272.19,"17,521,867",244.71,"299,122","1,560,479","108,191","5,338","21,753,285",339.60,1.000,,,,,,
01080,ALABAMA                  ,CHAMBERS               ,"1,998","4,896,027",204.21,"4,257,960",177.59,"52,793","569,806","15,467","1,878","7,233,520",320.98,0.983,,,,,,
01090,ALABAMA                  ,CHEROKEE               ,"1,040","3,615,303",289.69,"3,235,611",259.26,"54,549","300,791","24,351",938,"4,220,132",374.92,0.976,,,,,,
01100,ALABAMA                  ,CHILTON                ,996,"3,557,556",297.65,"3,168,907",265.14,"99,359","251,707","37,581",838,"3,954,215",393.22,0.982,,,,,,
01110,ALABAMA                  ,CHOCTAW                ,825,"2,172,731",219.47,"1,906,207",192.55,"53,203","199,424","13,897",777,"2,943,612",315.70,0.914,,,,,,
01120,ALABAMA                  ,CLARKE                 ,"1,430","3,420,650",199.34,"2,999,213",174.78,"103,622","290,425","27,389","1,304","3,850,040",246.04,0.901,,,,,,
01130,ALABAMA                  ,CLAY                   ,675,"1,917,816",236.77,"1,707,923",210.85,"41,010","140,579","28,303",617,"2,172,121",293.37,0.979,,,,,,
01140,ALABAMA                  ,CLEBURNE               ,674,"2,528,734",312.65,"2,293,045",283.51,"28,808","198,372","8,508",625,"2,665,832",355.44,0.965,,,,,,
01150,ALABAMA                  ,COFFEE                 ,"1,659","5,443,433",273.43,"4,829,294",242.58,"130,979","457,957","25,200","1,517","6,081,841",334.09,0.946,,,,,,
01160,ALABAMA                  ,COLBERT                ,"2,496","7,425,127",247.90,"6,633,563",221.47,"122,141","630,948","38,473","2,310","11,591,519",418.16,0.988,,,,,,
01170,ALABAMA                  ,CONECUH                ,835,"2,335,577",233.09,"2,076,225",207.21,"27,446","224,204","7,701",789,"2,979,667",314.71,0.975,,,,,,
01180,ALABAMA                  ,COOSA                  ,714,"1,794,741",209.47,"1,583,949",184.87,"25,147","171,520","14,123",647,"2,634,741",339.35,0.939,,,,,,
01190,ALABAMA                  ,COVINGTON              ,"2,017","5,838,625",241.23,"5,159,884",213.18,"60,158","599,212","19,370","1,833","7,271,027",330.56,0.996,,,,,,
01200,ALABAMA                  ,CRENSHAW               ,565,"1,839,344",271.29,"1,568,782",231.38,"39,042","218,943","12,576",524,"2,092,859",332.83,0.932,,,,,,
01210,ALABAMA                  ,CULLMAN                ,"2,868","8,266,745",240.20,"7,250,748",210.68,"223,218","711,606","81,171","2,558","11,927,370",388.56,1.004,,,,,,
01220,ALABAMA                  ,DALE                   ,"2,219","6,608,106",248.16,"6,000,013",225.33,"59,244","523,434","25,413","2,013","8,191,873",339.12,0.951,,,,,,
01230,ALABAMA                  ,DALLAS                 ,"2,739","9,641,118",293.33,"7,594,218",231.05,"347,567","1,576,376","122,956","2,540","8,959,147",293.94,1.084,,,,,,
01240,ALABAMA                  ,DEKALB                 ,"2,495","8,747,805",292.18,"7,686,929",256.74,"236,294","763,900","60,681","2,285","10,314,586",376.17,0.955,,,,,,
01250,ALABAMA                  ,ELMORE                 ,"1,993","5,025,709",210.14,"4,251,249",177.76,"133,401","595,575","45,483","1,712","6,237,655",303.62,0.907,,,,,,
01260,ALABAMA                  ,ESCAMBIA               ,"1,730","5,052,719",243.39,"4,605,642",221.85,"45,527","385,439","16,109","1,596","6,885,153",359.50,0.997,,,,,,
01270,ALABAMA                  ,ETOWAH                 ,"4,994","17,468,178",291.49,"15,662,224",261.35,"339,294","1,364,421","102,236","4,512","19,636,469",362.67,0.989,,,,,,
01280,ALABAMA                  ,FAYETTE                ,876,"2,257,631",214.77,"1,948,841",185.39,"72,453","210,848","25,488",801,"3,146,075",327.31,1.002,,,,,,
01290,ALABAMA                  ,FRANKLIN               ,"1,448","5,383,242",309.81,"4,841,876",278.65,"70,870","449,749","20,746","1,364","6,584,718",402.29,0.989,,,,,,
01300,ALABAMA                  ,GENEVA                 ,"1,284","3,912,495",253.93,"3,573,221",231.91,"31,108","296,932","11,232","1,191","4,309,803",301.55,0.980,,,,,,
01310,ALABAMA                  ,GREENE                 ,607,"2,361,719",324.23,"2,097,066",287.90,"49,909","195,651","19,091",565,"2,258,583",333.12,1.049,,,,,,
01320,ALABAMA                  ,HALE                   ,"1,289","3,151,799",203.76,"2,693,522",174.14,"106,188","311,165","40,922","1,180","4,077,378",287.95,0.905,,,,,,
01330,ALABAMA                  ,HENRY                  ,756,"1,869,084",206.03,"1,707,407",188.21,"7,002","152,773","1,900",690,"2,500,046",301.94,0.935,,,,,,
