DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 HOME HEALTH  REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,
,,,2008,2009,2010,2011,2012,,2008,2009,2010,2011,2012,
01000,ALABAMA                  ,AUTAUGA,"-3,236","-5,571","-6,490","-6,955","-4,171",,"-7,695","-11,933","-11,619","-15,000","-8,726",
01010,ALABAMA                  ,BALDWIN,"-11,927","-18,030","-9,514","-11,437","-4,699",,"-19,655","-28,365","-13,548","-18,691","-7,425",
01020,ALABAMA                  ,BARBOUR,"-3,826","-2,514","-1,852","-2,767","-1,260",,"-6,413","-9,267","-3,208","-3,795","-1,159",
01030,ALABAMA                  ,BIBB,"-4,499","-4,191","-2,325","-2,431",-581,,"-8,226","-7,143","-3,696","-4,308","-1,123",
01040,ALABAMA                  ,BLOUNT,"-4,115","-4,813","-2,005","-2,244",-298,,"-8,103","-9,966","-3,725","-2,829",-549,
01050,ALABAMA                  ,BULLOCK,-787,-982,-498,-569,-168,,-346,-428,-233,-417,-114,
01060,ALABAMA                  ,BUTLER,"-4,863","-5,785","-2,460","-2,756",-807,,"-11,557","-13,257","-4,686","-6,112","-2,326",
01070,ALABAMA                  ,CALHOUN,"-25,212","-33,355","-17,419","-38,080","-42,531",,"-33,767","-38,749","-23,457","-44,769","-41,445",
01080,ALABAMA                  ,CHAMBERS,"-5,724","-5,209","-1,799","-1,813","-1,248",,"-3,178","-3,423","-3,108","-1,103","-1,219",
01090,ALABAMA                  ,CHEROKEE,"-3,581","-3,538","-1,392","-2,545","-1,009",,"-2,961","-3,618","-1,950","-1,042","-1,334",
01100,ALABAMA                  ,CHILTON,"-5,105","-5,053","-1,985","-4,993",-685,,"-8,863","-7,569","-4,433","-6,655","-2,013",
01110,ALABAMA                  ,CHOCTAW,"-2,255","-2,056",-549,"-1,054",-490,,"-1,649","-2,535",-874,"-1,739",-879,
01120,ALABAMA                  ,CLARKE,"-3,814","-6,417","-2,647","-2,605",-985,,"-9,058","-9,782","-3,390","-2,826","-2,103",
01130,ALABAMA                  ,CLAY,"-2,829","-2,683","-1,209","-1,646",-320,,"-2,791","-4,636","-1,521","-1,697",-400,
01140,ALABAMA                  ,CLEBURNE,"-3,733","-3,727","-1,576","-1,413","-1,966",,"-4,314","-6,034","-2,732","-4,079","-3,619",
01150,ALABAMA                  ,COFFEE,"-6,692","-7,709","-2,496","-3,998","-2,453",,"-8,168","-9,164","-3,935","-5,060","-2,063",
01160,ALABAMA                  ,COLBERT,"-2,191","-9,940","-13,024","-16,967","-5,828",,"-2,545","-12,215","-24,052","-31,964","-8,352",
01170,ALABAMA                  ,CONECUH,"-3,071","-3,625","-1,289","-1,838",-485,,"-4,306","-3,720","-1,945","-2,439",-893,
01180,ALABAMA                  ,COOSA,-535,"-2,092",-986,"-1,638",-704,,"-3,222","-3,994","-1,122","-1,789",-961,
01190,ALABAMA                  ,COVINGTON,"-7,262","-9,686","-5,117","-6,051","-2,304",,"-12,337","-12,851","-6,007","-9,007","-4,322",
01200,ALABAMA                  ,CRENSHAW,"-2,493","-3,181","-1,050","-1,026",-680,,"-2,442","-2,962","-1,347","-1,498",-726,
01210,ALABAMA                  ,CULLMAN,"-9,603","-9,585","-3,885","-4,950","-2,510",,"-13,677","-17,368","-6,576","-8,793","-2,438",
01220,ALABAMA                  ,DALE,"-5,766","-10,362","-6,204","-6,318","-3,994",,"-7,677","-7,074","-4,942","-5,156","-2,264",
