DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,
,,,2008,2009,2010,2011,2012,,,,,,
01000,ALABAMA                  ,AUTAUGA,"-143,984","-152,496","-153,740","-140,150","-81,168",,,,,,
01010,ALABAMA                  ,BALDWIN,"-305,830","-294,556","-281,340","-245,290","-173,098",,,,,,
01020,ALABAMA                  ,BARBOUR,"-3,274","-42,839","-55,769","-26,887","29,523",,,,,,
01030,ALABAMA                  ,BIBB,"-51,448","-36,125","-39,383","-40,654","-20,056",,,,,,
01040,ALABAMA                  ,BLOUNT,"-79,426","-65,366","-56,780","-46,595","-25,810",,,,,,
01050,ALABAMA                  ,BULLOCK,"-27,118","-29,612","-27,988","-25,743","-10,575",,,,,,
01060,ALABAMA                  ,BUTLER,"-177,105","-192,751","-149,110","-128,224","-83,472",,,,,,
01070,ALABAMA                  ,CALHOUN,"-595,471","-512,310","-328,433","-440,979","-391,321",,,,,,
01080,ALABAMA                  ,CHAMBERS,"-170,164","-129,632","-115,788","-154,665","-81,395",,,,,,
01090,ALABAMA                  ,CHEROKEE,"-49,366","-42,687","-33,857","19,296","19,118",,,,,,
01100,ALABAMA                  ,CHILTON,"-97,343","-78,887","-44,418","-55,421","-26,762",,,,,,
01110,ALABAMA                  ,CHOCTAW,"-35,191","-37,437","-44,954","-50,577","-26,075",,,,,,
01120,ALABAMA                  ,CLARKE,"-93,400","-84,035","-64,848","-61,251","-48,236",,,,,,
01130,ALABAMA                  ,CLAY,"-70,144","-54,707","-36,091","-41,132","-28,383",,,,,,
01140,ALABAMA                  ,CLEBURNE,"-75,165","-61,946","-43,686","-59,988","-45,629",,,,,,
01150,ALABAMA                  ,COFFEE,"-70,295","-110,417","-82,564","-48,185","25,924",,,,,,
01160,ALABAMA                  ,COLBERT,"-145,750","-181,305","-222,874","-208,996","-105,665",,,,,,
01170,ALABAMA                  ,CONECUH,"-113,376","-86,880","-65,772","-66,111","-38,408",,,,,,
01180,ALABAMA                  ,COOSA,"-58,521","-52,158","-39,645","-37,041","-22,266",,,,,,
01190,ALABAMA                  ,COVINGTON,"-149,737","-180,539","-146,065","-96,329","-16,104",,,,,,
01200,ALABAMA                  ,CRENSHAW,"-64,239","-79,294","-76,059","-54,216","-38,723",,,,,,
01210,ALABAMA                  ,CULLMAN,"-236,082","-216,610","-162,114","-140,916","-119,916",,,,,,
