DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 PHYSICIAN REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT GEOGRAPHIC PRACTICE COST INDEX,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,,,,,,,
,,,2008,2009,2010,2011,2012,,,,,,,,,,,
01000,ALABAMA                  ,AUTAUGA,"15,828","19,154","-21,842","-27,665","6,452",,,,,,,,,,,
01010,ALABAMA                  ,BALDWIN,"55,332","70,962","-100,573","-118,142","26,917",,,,,,,,,,,
01020,ALABAMA                  ,BARBOUR,"10,330","14,845","-19,536","-22,657","5,950",,,,,,,,,,,
01030,ALABAMA                  ,BIBB,"10,215","13,222","-16,125","-20,578","5,229",,,,,,,,,,,
01040,ALABAMA                  ,BLOUNT,"12,056","17,019","-22,769","-24,165","6,702",,,,,,,,,,,
01050,ALABAMA                  ,BULLOCK,"3,297","4,486","-6,665","-7,596","1,304",,,,,,,,,,,
01060,ALABAMA                  ,BUTLER,"10,160","15,052","-17,487","-18,752","5,321",,,,,,,,,,,
01070,ALABAMA                  ,CALHOUN,"71,952","104,391","-126,792","-151,257","40,887",,,,,,,,,,,
01080,ALABAMA                  ,CHAMBERS,"19,787","27,605","-34,287","-40,510","10,019",,,,,,,,,,,
01090,ALABAMA                  ,CHEROKEE,"13,320","18,791","-24,628","-26,713","5,260",,,,,,,,,,,
01100,ALABAMA                  ,CHILTON,"16,299","20,006","-24,406","-28,207","7,167",,,,,,,,,,,
01110,ALABAMA                  ,CHOCTAW,"6,056","5,706","-21,057","-25,876",94,,,,,,,,,,,
01120,ALABAMA                  ,CLARKE,"12,055","17,491","-19,885","-23,958","6,583",,,,,,,,,,,
01130,ALABAMA                  ,CLAY,"8,394","11,054","-13,566","-16,333","4,270",,,,,,,,,,,
01140,ALABAMA                  ,CLEBURNE,"7,536","11,182","-12,762","-16,250","3,630",,,,,,,,,,,
01150,ALABAMA                  ,COFFEE,"20,980","26,398","-31,744","-39,934","11,059",,,,,,,,,,,
01160,ALABAMA                  ,COLBERT,"49,012","58,734","-77,979","-85,206","19,836",,,,,,,,,,,
01170,ALABAMA                  ,CONECUH,"9,389","11,659","-13,691","-20,267","3,829",,,,,,,,,,,
01180,ALABAMA                  ,COOSA,"9,139","11,709","-14,173","-17,141","4,698",,,,,,,,,,,
01190,ALABAMA                  ,COVINGTON,"28,040","34,569","-41,410","-47,779","9,336",,,,,,,,,,,
01200,ALABAMA                  ,CRENSHAW,"8,987","9,792","-12,232","-11,069","2,803",,,,,,,,,,,
01210,ALABAMA                  ,CULLMAN,"41,068","54,642","-66,605","-81,214","20,458",,,,,,,,,,,
01220,ALABAMA                  ,DALE,"27,220","36,649","-44,433","-54,905","15,558",,,,,,,,,,,
01230,ALABAMA                  ,DALLAS,"35,130","44,202","-53,808","-64,585","16,522",,,,,,,,,,,
01240,ALABAMA                  ,DEKALB,"32,691","43,569","-54,696","-62,453","17,215",,,,,,,,,,,
01250,ALABAMA                  ,ELMORE,"25,012","29,940","-43,146","-43,876","11,236",,,,,,,,,,,
01260,ALABAMA                  ,ESCAMBIA,"19,879","18,742","-34,496","-38,331","1,719",,,,,,,,,,,
01270,ALABAMA                  ,ETOWAH,"59,963","83,623","-104,643","-126,639","35,953",,,,,,,,,,,
01280,ALABAMA                  ,FAYETTE,"10,178","13,906","-15,220","-20,288","5,458",,,,,,,,,,,
01290,ALABAMA                  ,FRANKLIN,"21,204","29,783","-41,031","-45,130","10,452",,,,,,,,,,,
01300,ALABAMA                  ,GENEVA,"18,474","19,054","-25,229","-34,977","7,709",,,,,,,,,,,
01310,ALABAMA                  ,GREENE,"6,147","8,760","-12,087","-14,141","3,815",,,,,,,,,,,
01320,ALABAMA                  ,HALE,"11,852","18,074","-22,477","-27,598","7,048",,,,,,,,,,,
01330,ALABAMA                  ,HENRY,"8,892","11,591","-15,827","-15,661","4,271",,,,,,,,,,,
01340,ALABAMA                  ,HOUSTON,"40,077","59,735","-73,792","-93,246","28,075",,,,,,,,,,,
01350,ALABAMA                  ,JACKSON,"31,028","42,104","-58,418","-73,478","15,520",,,,,,,,,,,
01360,ALABAMA                  ,JEFFERSON,"165,751","222,136","-288,592","-335,261","94,420",,,,,,,,,,,
01370,ALABAMA                  ,LAMAR,"9,475","11,045","-20,753","-24,559","3,687",,,,,,,,,,,
01380,ALABAMA                  ,LAUDERDALE,"58,212","81,077","-105,059","-120,956","28,902",,,,,,,,,,,
01390,ALABAMA                  ,LAWRENCE,"18,039","22,571","-31,292","-37,123","9,416",,,,,,,,,,,
01400,ALABAMA                  ,LEE,"32,253","44,143","-56,989","-69,185","16,440",,,,,,,,,,,
01410,ALABAMA                  ,LIMESTONE,"29,875","43,295","-51,105","-58,240","15,221",,,,,,,,,,,
01420,ALABAMA                  ,LOWNDES,"4,307","5,648","-7,394","-8,327","1,852",,,,,,,,,,,
01430,ALABAMA                  ,MACON,"6,300","10,748","-14,365","-18,464","4,398",,,,,,,,,,,
01440,ALABAMA                  ,MADISON,"89,494","121,426","-158,122","-197,810","55,748",,,,,,,,,,,
01450,ALABAMA                  ,MARENGO,"11,739","16,698","-27,736","-27,854","6,877",,,,,,,,,,,
01460,ALABAMA                  ,MARION,"17,079","20,299","-30,607","-41,413","8,556",,,,,,,,,,,
01470,ALABAMA                  ,MARSHALL,"51,907","72,580","-82,719","-98,452","27,822",,,,,,,,,,,
01480,ALABAMA                  ,MOBILE,"122,187","165,735","-219,621","-250,254","66,693",,,,,,,,,,,
01490,ALABAMA                  ,MONROE,"10,689","14,189","-18,383","-23,639","4,985",,,,,,,,,,,
01500,ALABAMA                  ,MONTGOMERY,"65,217","81,266","-106,423","-125,148","31,323",,,,,,,,,,,
01510,ALABAMA                  ,MORGAN,"56,110","74,662","-99,170","-122,671","34,180",,,,,,,,,,,
01520,ALABAMA                  ,PERRY,"7,517","8,036","-14,627","-14,570","3,623",,,,,,,,,,,
01530,ALABAMA                  ,PICKENS,"13,690","17,919","-23,854","-31,153","7,702",,,,,,,,,,,
01540,ALABAMA                  ,PIKE,"12,747","15,155","-19,535","-25,576","5,912",,,,,,,,,,,
01550,ALABAMA                  ,RANDOLPH,"8,976","13,808","-18,119","-19,689","4,538",,,,,,,,,,,
01560,ALABAMA                  ,RUSSELL,"20,632","26,179","-37,211","-45,577","2,924",,,,,,,,,,,
01570,ALABAMA                  ,ST. CLAIR,"19,407","27,530","-36,005","-42,876","11,374",,,,,,,,,,,
