"DISABLED -- PUERTO RICO 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN  PART A AND/OR PART B, REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,
40010,PUERTO RICO              ,ADJUNTAS               ,248,"174,566",58.66,"157,000",52.76,"4,316","7,009","6,240",52,"59,812",95.85,0.995,
40020,PUERTO RICO              ,AGUADA                 ,673,"251,358",31.12,"225,535",27.93,"5,351","13,292","7,178",173,"350,618",168.89,0.874,
40030,PUERTO RICO              ,AGUADILLA              ,"1,151","1,202,953",87.09,"1,091,428",79.02,"49,787","46,796","14,941",347,"587,852",141.17,0.949,
40040,PUERTO RICO              ,AGUAS BUENAS           ,437,"159,594",30.43,"148,168",28.25,"2,228","6,334","2,863",102,"200,350",163.68,0.944,
40050,PUERTO RICO              ,AIBONITO               ,666,"441,819",55.28,"402,597",50.38,"4,279","29,560","5,382",190,"317,300",139.17,0.961,
40060,PUERTO RICO              ,ANASCO                 ,308,"263,632",71.33,"245,001",66.29,"7,009","3,662","7,959",84,"158,334",157.08,0.916,
40070,PUERTO RICO              ,ARECIBO                ,"2,478","1,190,561",40.04,"1,085,746",36.51,"20,573","74,672","9,568",703,"1,183,878",140.34,0.916,
40080,PUERTO RICO              ,ARROYO                 ,265,"97,292",30.59,"78,157",24.58,"6,378","5,783","6,974",72,"94,179",109.00,1.009,
40090,PUERTO RICO              ,BARCELONETA            ,701,"484,240",57.57,"410,646",48.82,"20,173","39,714","13,705",236,"457,224",161.45,0.982,
40100,PUERTO RICO              ,BARRANQUITAS           ,578,"230,651",33.25,"206,008",29.70,"2,522","18,314","3,805",166,"302,995",152.11,0.948,
40110,PUERTO RICO              ,BAYAMON                ,"3,112","1,628,641",43.61,"1,472,139",39.42,"45,888","74,571","36,041",907,"1,819,077",167.13,1.015,
40120,PUERTO RICO              ,CABO ROJO              ,354,"320,539",75.46,"285,093",67.11,"12,756","11,683","11,005",123,"385,874",261.43,0.922,
40130,PUERTO RICO              ,CAGUAS                 ,"2,375","1,750,039",61.40,"1,626,395",57.07,"26,705","75,565","21,373",720,"1,423,905",164.80,1.000,
40140,PUERTO RICO              ,CAMUY                  ,505,"179,188",29.57,"158,037",26.08,"5,561","11,151","4,438",126,"249,706",165.15,0.857,
40145,PUERTO RICO              ,CANOVANAS              ,1,0,0.00,0,0.00,0,0,0,1,0,0.00,0.924,
40150,PUERTO RICO              ,CAROLINA               ,"1,912","1,445,046",62.98,"1,250,585",54.51,"52,809","56,560","85,090",614,"1,436,119",194.91,0.969,
40160,PUERTO RICO              ,CATANO                 ,923,"634,981",57.33,"589,342",53.21,"11,723","23,348","10,566",259,"589,768",189.76,0.943,
40170,PUERTO RICO              ,CAYEY                  ,"1,295","939,493",60.46,"866,658",55.77,"8,712","55,753","8,368",361,"636,338",146.89,0.945,
40180,PUERTO RICO              ,CEIBA                  ,151,"29,232",16.13,"24,397",13.46,831,"2,177","1,826",57,"90,874",132.86,0.994,
40190,PUERTO RICO              ,CIALES                 ,417,"159,677",31.91,"134,320",26.84,"6,392","13,997","4,966",132,"310,820",196.22,0.986,
40200,PUERTO RICO              ,CIDRA                  ,826,"434,717",43.86,"388,813",39.23,"9,164","26,523","10,215",266,"538,315",168.65,0.939,
40210,PUERTO RICO              ,COAMO                  ,555,"526,453",79.05,"440,152",66.09,"25,160","34,849","26,291",138,"369,645",223.22,0.943,
40220,PUERTO RICO              ,COMERIO                ,327,"71,618",18.25,"58,392",14.88,"3,417","5,056","4,752",79,"146,904",154.96,0.988,
40230,PUERTO RICO              ,COROZAL                ,589,"338,244",47.86,"312,978",44.28,"4,764","14,989","5,510",165,"238,500",120.45,0.945,
40240,PUERTO RICO              ,CULEBRA                ,15,"64,687",359.37,"52,050",289.17,"1,112","10,863",662,6,"28,812",400.17,0.754,
40250,PUERTO RICO              ,DORADO                 ,347,"192,007",46.11,"174,362",41.87,"2,412","12,150","3,081",121,"209,837",144.52,0.884,
40260,PUERTO RICO              ,FAJARDO                ,471,"203,690",36.04,"178,431",31.57,"6,924","7,487","10,847",144,"259,926",150.42,0.969,
40265,PUERTO RICO              ,FLORIDA                ,1,0,0.00,0,0.00,0,0,0,1,0,0.00,0.992,
40270,PUERTO RICO              ,GUANICA                ,191,"156,752",68.39,"144,079",62.86,"2,290","7,473","2,909",51,"134,862",220.36,0.918,
40280,PUERTO RICO              ,GUAYAMA                ,546,"244,655",37.34,"213,901",32.65,"4,307","20,129","6,316",151,"269,897",148.95,0.901,
40290,PUERTO RICO              ,GUAYANILLA             ,276,"223,447",67.47,"184,660",55.75,"11,895","18,381","8,509",78,"135,064",144.30,0.947,
40300,PUERTO RICO              ,GUAYNABO               ,726,"325,233",37.33,"300,894",34.54,"5,914","8,962","9,462",204,"491,453",200.76,0.994,
40310,PUERTO RICO              ,GURABO                 ,509,"172,464",28.24,"164,831",26.99,24,"7,608",0,149,"296,858",166.03,0.999,
40320,PUERTO RICO              ,HATILLO                ,575,"344,310",49.90,"308,209",44.67,"5,025","27,234","3,840",159,"377,999",198.11,0.922,
40330,PUERTO RICO              ,HORMIGUEROS            ,339,"369,035",90.72,"329,084",80.90,"8,282","20,311","11,357",106,"291,198",228.93,0.984,
40340,PUERTO RICO              ,HUMACAO                ,"1,303","806,232",51.56,"718,477",45.95,"10,014","67,392","10,348",381,"665,812",145.63,0.880,
40350,PUERTO RICO              ,ISABELA                ,549,"231,635",35.16,"210,960",32.02,"3,155","13,686","3,833",135,"170,252",105.09,0.937,
40360,PUERTO RICO              ,JAYUYA                 ,296,"231,364",65.14,"195,791",55.12,"11,486","18,154","5,931",51,"54,018",88.26,0.832,
40370,PUERTO RICO              ,JUANA DIAZ             ,443,"381,901",71.84,"327,023",61.52,"11,268","26,780","16,828",109,"208,091",159.09,0.933,
40380,PUERTO RICO              ,JUNCOS                 ,555,"384,243",57.69,"320,025",48.05,"24,959","36,345","2,914",174,"256,573",122.88,0.935,
