"ESRD -- 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN PARTS A AND/OR B, REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL,PART A REIMBURSEMENT,PART A PER CAPITA,PART A,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL,PART B PER CAPITA,,,,,,,
01000,ALABAMA                  ,AUTAUGA                ,69,"1,203,888","1,453.97",1020423,"1,232.39","33,246","142,382","7,837",68,"1,964,921","2,407.99",,,,,,,
01010,ALABAMA                  ,BALDWIN                ,192,"3,211,098","1,393.71",2841606,"1,233.34","96,315","236,615","36,562",184,"6,212,219","2,813.50",,,,,,,
01020,ALABAMA                  ,BARBOUR                ,73,"1,028,091","1,173.62",894632,"1,021.27","19,316","110,959","3,184",72,"2,991,866","3,462.81",,,,,,,
01030,ALABAMA                  ,BIBB                   ,29,"351,601","1,010.35",305231,877.10,"11,345","31,695","3,330",28,"962,183","2,863.64",,,,,,,
01040,ALABAMA                  ,BLOUNT                 ,27,"584,692","1,804.60",484840,"1,496.42","36,579","47,662","15,611",24,"1,025,607","3,561.14",,,,,,,
01050,ALABAMA                  ,BULLOCK                ,28,"685,339","2,039.70",618440,"1,840.60","3,641","62,526",732,28,"1,117,055","3,324.57",,,,,,,
01060,ALABAMA                  ,BUTLER                 ,58,"845,987","1,215.50",664009,954.04,"22,276","153,195","6,507",54,"2,220,879","3,427.28",,,,,,,
01070,ALABAMA                  ,CALHOUN                ,229,"4,436,146","1,614.32",4025482,"1,464.88","46,219","352,978","11,467",215,"9,296,207","3,603.18",,,,,,,
01080,ALABAMA                  ,CHAMBERS               ,84,"1,358,995","1,348.21",1212085,"1,202.47","10,334","133,547","3,029",81,"3,210,868","3,303.36",,,,,,,
01090,ALABAMA                  ,CHEROKEE               ,40,"726,599","1,513.75",676242,"1,408.84","12,984","33,467","3,906",39,"1,694,725","3,621.21",,,,,,,
01100,ALABAMA                  ,CHILTON                ,45,"653,783","1,210.71",570390,"1,056.28","26,945","41,897","14,551",43,"1,741,550","3,375.10",,,,,,,
01110,ALABAMA                  ,CHOCTAW                ,38,"1,056,216","2,316.26",1010761,"2,216.58","2,102","42,192","1,161",38,"1,458,997","3,199.55",,,,,,,
01120,ALABAMA                  ,CLARKE                 ,93,"1,365,395","1,223.47",1189372,"1,065.75","38,353","121,349","16,321",93,"3,224,221","2,889.09",,,,,,,
01130,ALABAMA                  ,CLAY                   ,14,"126,827",754.92,114104,679.19,865,"11,331",527,15,"538,190","2,989.94",,,,,,,
01140,ALABAMA                  ,CLEBURNE               ,17,"294,184","1,442.08",265742,"1,302.66","2,570","24,672","1,200",17,"793,634","3,890.36",,,,,,,
