ADJUSTMENTS TO THE 2012-2014 REIMBURSEMENT COMBINED DATA FOR AGED AND DISABLED PARTS A AND B FOR SHARED SAVING PAYMENTS AND SHARED LOSSES MADE TO ACCOUNTABLE CARE ORGANISATIONS.                                                                                                                          (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,2012,2013,2014,,
01000,ALABAMA,AUTAUGA,0,"1,704",474,,
01010,ALABAMA,BALDWIN,244,"3,526","7,747",,
01020,ALABAMA,BARBOUR,330,"1,028","1,109",,
01030,ALABAMA,BIBB,0,0,151,,
01040,ALABAMA,BLOUNT,0,0,576,,
01050,ALABAMA,BULLOCK,0,266,151,,
01060,ALABAMA,BUTLER,0,0,0,,
01070,ALABAMA,CALHOUN,0,"3,611","4,149",,
01080,ALABAMA,CHAMBERS,0,"1,523",664,,
01090,ALABAMA,CHEROKEE,0,"3,120","1,490",,
01100,ALABAMA,CHILTON,0,461,552,,
01110,ALABAMA,CHOCTAW,330,610,"1,914",,
01120,ALABAMA,CLARKE,0,"1,217","1,636",,
01130,ALABAMA,CLAY,0,"1,015",317,,
01140,ALABAMA,CLEBURNE,0,"2,791","1,007",,
01150,ALABAMA,COFFEE,0,994,"1,590",,
01160,ALABAMA,COLBERT,262,"1,508","1,764",,
01170,ALABAMA,CONECUH,0,228,176,,
01180,ALABAMA,COOSA,0,705,201,,
01190,ALABAMA,COVINGTON,0,"1,079","1,446",,
01200,ALABAMA,CRENSHAW,0,0,567,,
01210,ALABAMA,CULLMAN,345,"2,330","1,509",,
01220,ALABAMA,DALE,0,486,"2,886",,
01230,ALABAMA,DALLAS,0,734,"2,202",,
01240,ALABAMA,DE KALB,0,"1,711",740,,
01250,ALABAMA,ELMORE,642,567,645,,
01260,ALABAMA,ESCAMBIA,0,"1,775",602,,
01270,ALABAMA,ETOWAH,696,"1,849","1,105",,
01280,ALABAMA,FAYETTE,0,0,221,,
01290,ALABAMA,FRANKLIN,0,"1,089",201,,
01300,ALABAMA,GENEVA,0,190,101,,
01310,ALABAMA,GREENE,0,254,503,,
01320,ALABAMA,HALE,0,963,792,,
01330,ALABAMA,HENRY,0,228,0,,
01340,ALABAMA,HOUSTON,0,"3,063","4,347",,
01350,ALABAMA,JACKSON,330,"2,776","1,460",,
01360,ALABAMA,JEFFERSON,330,"9,683","12,633",,
