"IPPS and OPPS Provider Indices by Fiscal Year — Note: ""A"" and ""B"" designation indicate that there was a mid-year change in the index due to change in claims processor during the year.",,,,,,,,,,,
Provider Number,CBSA 2016,SSA Code,State,County,IPPS Provider  2010 A,IPPS Provider  2010 B,IPPS Provider  2011,IPPS Provider  2012,IPPS Provider  2013,IPPS Provider  2014,IPPS Provider  2016
010108,33860,01000,AL,AUTAUGA,0.8459,0.8459,0.8579,0.8196,0.7798,0.7403,0.7487
010083,19300,01010,AL,BALDWIN,0.8068,0.8068,0.7981,0.7831,0.7644,0.7542,0.7514
010129,19300,01010,AL,BALDWIN,0.7523,0.7523,0.7589,0.743,0.7224,0.7243,0.7514
010100,19300,01010,AL,BALDWIN,0.8068,0.8068,0.7981,0.7831,0.7644,0.7575,0.737
010069,NA,01020,AL,BARBOUR,0.7389,0.7389,0.7436,0.9041,0.8507,0.7987,0.6872
010058,13820,01030,AL,BIBB,0.8512,0.8512,0.8587,0.8365,0.8458,0.8294,0.8182
010050,13820,01040,AL,BLOUNT,0.8512,0.8512,0.8587,0.8365,0.8458,0.8294,0.8182
010110,NA,01050,AL,BULLOCK,0.7604,0.7604,0.7886,0.7727,0.7521,0.7216,0.6994
010150,NA,01060,AL,BUTLER,0.7516,0.8454,0.7702,0.7543,0.7337,0.7166,0.7487
010047,NA,01060,AL,BUTLER,0.7516,0.7516,0.7702,0.7543,0.7337,0.7166,0.6944
010038,11500,01070,AL,CALHOUN,0.765,0.765,0.7864,0.8057,0.7485,0.7337,0.7114
010146,11500,01070,AL,CALHOUN,0.765,0.765,0.7864,0.8057,0.7485,0.7337,0.7114
010078,11500,01070,AL,CALHOUN,0.765,0.765,0.7864,0.8057,0.7485,0.7337,0.7114
010025,NA,01080,AL,CHAMBERS,0.8454,0.8454,0.8567,0.7666,0.7355,0.7987,0.8052
010022,NA,01090,AL,CHEROKEE,0.9581,0.9581,0.9522,0.9374,0.9474,0.9399,0.9061
010043,13820,01100,AL,CHILTON,0.8512,0.8512,0.8587,0.8365,0.8458,0.8294,0.8182
010128,NA,01120,AL,CLARKE,0.7435,0.7435,0.7491,0.7332,0.7126,0.7149,0.7426
010091,NA,01120,AL,CLARKE,0.7435,0.7435,0.7491,0.7332,0.7126,0.7149,0.6927
010073,NA,01130,AL,CLAY,0.7389,0.7389,0.7436,0.7277,0.7071,0.7094,0.6872
010049,NA,01150,AL,COFFEE,0.7415,0.7415,0.7462,0.7277,0.7102,0.7125,0.6943
010027,NA,01150,AL,COFFEE,0.7415,0.7415,0.7462,0.7277,0.7102,0.7125,0.6943
010157,22520,01160,AL,COLBERT,0.7932,0.7932,0.8112,0.7691,0.7477,0.7436,0.6872
010019,22520,01160,AL,COLBERT,0.7932,0.7932,0.8112,0.7691,0.7477,0.7436,0.6872
010148,NA,01170,AL,CONECUH,0.7389,0.7389,0.7436,0.7277,0.7071,0.7094,0.6872
010007,NA,01190,AL,COVINGTON,0.7389,0.7389,0.7436,0.7277,0.7071,0.7094,0.6872
010036,NA,01190,AL,COVINGTON,0.7389,0.7389,0.7436,0.7277,0.7071,0.7094,0.6872
010066,NA,01190,AL,COVINGTON,0.7389,0.7389,0.7436,0.7277,0.7071,0.7094,0.6872
010008,NA,01200,AL,CRENSHAW,0.7563,0.7563,0.7801,0.7642,0.7436,0.7193,0.6971
010035,NA,01210,AL,CULLMAN,0.8512,0.8512,0.8409,0.8422,0.8295,0.815,0.827
010021,NA,01220,AL,DALE,0.7441,0.7441,0.7488,0.7277,0.7133,0.7156,0.7013
010118,NA,01230,AL,DALLAS,0.8512,0.8512,0.8409,0.8365,0.8301,0.8168,0.8073
010012,NA,01240,AL,DE KALB,0.8665,0.8665,0.7613,0.7454,0.7248,0.7311,0.7089
010034,33860,01250,AL,ELMORE,0.8459,0.8459,0.8579,0.8196,0.7798,0.7403,0.7487
010097,33860,01250,AL,ELMORE,0.8459,0.8459,0.8579,0.8196,0.7798,0.7403,0.7487
010169,NA,01260,AL,ESCAMBIA,,,,,0.7071,0.7094,0.7123
010099,NA,01260,AL,ESCAMBIA,0.7389,0.7389,0.7436,0.7277,0.7071,0.7094,0.7123
010046,23460,01270,AL,ETOWAH,0.8411,0.8411,0.8409,0.8365,0.8301,0.7902,0.7248
010040,23460,01270,AL,ETOWAH,0.8411,0.8411,0.7497,0.8365,0.8301,0.8294,0.8073
010045,NA,01280,AL,FAYETTE,0.7611,0.7611,0.7811,0.7652,0.8152,0.8168,0.7923
010158,NA,01290,AL,FRANKLIN,0.7932,0.7932,0.8112,0.7691,0.7477,0.7559,0.7312
010062,20020,01300,AL,GENEVA,0.7499,0.7499,0.7515,0.7277,0.7441,0.7136,0.6938
010051,NA,01310,AL,GREENE,0.8942,0.8942,0.9061,0.8834,0.8753,0.8703,0.9316
010095,46220,01320,AL,HALE,0.8942,0.8942,0.9061,0.8834,0.8753,0.8703,0.8353
010055,20020,01340,AL,HOUSTON,0.832,0.832,0.8108,0.7277,0.8126,0.7719,0.6938
010001,20020,01340,AL,HOUSTON,0.8387,0.8387,0.8357,0.7277,0.7997,0.8106,0.6938
010061,NA,01350,AL,JACKSON,0.8676,0.8676,0.8635,0.7852,0.7646,0.8497,0.8625
010103,13820,01360,AL,JEFFERSON,0.8512,0.8512,0.8587,0.8365,0.8458,0.8294,0.8182
010139,13820,01360,AL,JEFFERSON,0.8512,0.8512,0.8587,0.8365,0.8458,0.8294,0.8182
010056,13820,01360,AL,JEFFERSON,0.8512,0.8512,0.8587,0.8365,0.8458,0.8294,0.8182
010137,13820,01360,AL,JEFFERSON,0.8512,0.8512,0.8587,0.8365,0.8458,0.8294,0.8182
010033,13820,01360,AL,JEFFERSON,0.8512,0.8512,0.8587,0.8365,0.8458,0.8294,0.8182
010011,13820,01360,AL,JEFFERSON,0.8512,0.8512,0.8587,0.8365,0.8458,0.8294,0.8182
010104,13820,01360,AL,JEFFERSON,0.8512,0.8512,0.8587,0.8365,0.8458,0.8294,0.8182
010114,13820,01360,AL,JEFFERSON,0.8512,0.8512,0.8587,0.8365,0.8458,0.8294,0.8182
010018,13820,01360,AL,JEFFERSON,0.8512,0.8512,0.8587,0.8365,0.8458,0.8294,0.8182
010006,22520,01380,AL,LAUDERDALE,0.7932,0.7932,0.8112,0.7691,0.7477,0.7436,0.6872
010059,19460,01390,AL,LAWRENCE,0.8558,0.8558,0.862,0.8422,0.8295,0.815,0.7164
010029,12220,01400,AL,LEE,0.8454,0.8454,0.8567,0.8626,0.8507,0.7987,0.8052
010079,26620,01410,AL,LIMESTONE,0.8924,0.8924,0.9033,0.8789,0.8457,0.8381,0.8627
010131,26620,01440,AL,MADISON,0.8924,0.8924,0.9033,0.8789,0.8457,0.8381,0.8627
010039,26620,01440,AL,MADISON,0.8924,0.8924,0.9033,0.8789,0.8457,0.8381,0.8627
010112,NA,01450,AL,MARENGO,0.7389,0.7389,0.7436,0.7277,0.7071,0.7094,0.6872
010086,NA,01460,AL,MARION,0.7389,0.7389,0.7436,0.7277,0.7071,0.7094,0.6872
010044,NA,01460,AL,MARION,0.7389,0.7389,0.7436,0.7277,0.8301,0.8294,0.8073
010010,NA,01470,AL,MARSHALL,0.8512,0.8512,0.7762,0.7603,0.7397,0.7357,0.7135
010005,NA,01470,AL,MARSHALL,0.8558,0.8558,0.862,0.8365,0.8301,0.815,0.827
010144,33660,01480,AL,MOBILE,0.7735,0.7735,0.7889,0.8041,0.7506,0.7542,0.7426
010087,33660,01480,AL,MOBILE,0.7735,0.7735,0.7889,0.8041,0.7506,0.7542,0.7426
010090,33660,01480,AL,MOBILE,0.8156,0.8156,0.7889,0.8041,0.7506,0.7542,0.7426
010152,33660,01480,AL,MOBILE,0.7735,0.7735,0.7889,0.8041,0.7506,0.7542,0.7426
010113,33660,01480,AL,MOBILE,0.7735,0.7735,0.7889,0.8041,0.7506,0.7542,0.7426
010120,NA,01490,AL,MONROE,0.7389,0.7389,0.7436,0.7277,0.7071,0.7094,0.6872
010149,33860,01500,AL,MONTGOMERY,0.8459,0.8459,0.8579,0.8196,0.7798,0.7403,0.7487
010024,33860,01500,AL,MONTGOMERY,0.8459,0.8459,0.8579,0.8196,0.7798,0.7403,0.7487
010023,33860,01500,AL,MONTGOMERY,0.8459,0.8459,0.8579,0.8196,0.7798,0.7403,0.7487
