Physician Geographic Practice Cost Indices by Calendar Year,,,,,,,,,,,,,,,,,,,,,,,,,
County Code,State,County Name,Carrier 2016,Locality 2016,GPCI WK 2010,GPCI WK 2011,GPCI WK 2012,GPCI WK 2013,GPCI WK 2014,GPCI WK 2015,GPCI WK 2016,GPCI PE 2010,GPCI PE 2011,GPCI PE 2012,GPCI PE 2013,GPCI PE 2014,GPCI PE 2015,GPCI PE 2016,GPCI MP 2010,GPCI MP 2011,GPCI MP 2012,GPCI MP 2013,GPCI MP 2014,GPCI MP 2015,GPCI MP 2016
01000,ALABAMA,Autauga,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01010,ALABAMA,Baldwin,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01020,ALABAMA,Barbour,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01030,ALABAMA,Bibb,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01040,ALABAMA,Blount,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01050,ALABAMA,Bullock,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01060,ALABAMA,Butler,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01070,ALABAMA,Calhoun,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01080,ALABAMA,Chambers,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01090,ALABAMA,Cherokee,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01100,ALABAMA,Chilton,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01110,ALABAMA,Choctaw,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01120,ALABAMA,Clarke,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01130,ALABAMA,Clay,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01140,ALABAMA,Cleburne,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01150,ALABAMA,Coffee,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01160,ALABAMA,Colbert,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01170,ALABAMA,Conecuh,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01180,ALABAMA,Coosa,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01190,ALABAMA,Covington,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01200,ALABAMA,Crenshaw,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01210,ALABAMA,Cullman,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01220,ALABAMA,Dale,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01230,ALABAMA,Dallas,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01240,ALABAMA,DeKalb,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01250,ALABAMA,Elmore,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01260,ALABAMA,Escambia,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
