AGED -- REPRICING ADJUSTMENTS TO THE 2010-2014 REIMSURSEMENT DATA FOR FEE-FOR-SERVICE DURABLE MEDICAL EQUIPMENT - NON-CBA          (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART B  2010,PART B  2011,PART B  2012,PART B  2013,PART B  2014
01000,ALABAMA,AUTAUGA,"-92,443","-101,979","-121,052","-113,754","-110,631"
01010,ALABAMA,BALDWIN,"-393,436","-408,497","-486,857","-509,515","-520,526"
01020,ALABAMA,BARBOUR,"-50,323","-54,267","-61,563","-62,277","-73,892"
01030,ALABAMA,BIBB,-774,-405,-255,0,-191
01040,ALABAMA,BLOUNT,"-6,350","-5,810","-5,131","-4,552","-3,922"
01050,ALABAMA,BULLOCK,"-20,424","-18,914","-18,905","-24,082","-23,444"
01060,ALABAMA,BUTLER,"-62,524","-58,666","-78,485","-88,176","-88,084"
01070,ALABAMA,CALHOUN,"-394,318","-386,872","-428,110","-422,830","-381,557"
01080,ALABAMA,CHAMBERS,"-106,188","-111,618","-111,288","-106,909","-107,477"
01090,ALABAMA,CHEROKEE,"-47,558","-50,348","-57,128","-62,630","-67,791"
01100,ALABAMA,CHILTON,-170,-549,-7,-14,-95
01110,ALABAMA,CHOCTAW,"-40,827","-41,335","-50,313","-48,418","-43,860"
01120,ALABAMA,CLARKE,"-76,718","-74,160","-82,842","-77,555","-73,314"
01130,ALABAMA,CLAY,"-33,781","-24,850","-25,973","-29,034","-31,789"
01140,ALABAMA,CLEBURNE,"-42,125","-42,619","-48,133","-49,604","-49,054"
01150,ALABAMA,COFFEE,"-117,858","-113,476","-139,350","-144,734","-151,231"
01160,ALABAMA,COLBERT,"-171,831","-180,314","-202,301","-205,010","-199,559"
01170,ALABAMA,CONECUH,"-45,178","-42,217","-54,526","-57,934","-62,782"
01180,ALABAMA,COOSA,"-31,394","-31,741","-39,095","-37,858","-37,319"
01190,ALABAMA,COVINGTON,"-110,271","-116,861","-138,066","-140,641","-144,674"
01200,ALABAMA,CRENSHAW,"-36,496","-39,303","-45,771","-49,290","-54,176"
01210,ALABAMA,CULLMAN,"-250,814","-267,229","-308,245","-296,285","-282,287"
01220,ALABAMA,DALE,"-153,213","-143,736","-167,862","-180,960","-185,838"
01230,ALABAMA,DALLAS,"-166,172","-159,095","-185,220","-170,309","-166,323"
01240,ALABAMA,DE KALB,"-155,978","-150,879","-165,254","-164,549","-148,221"
01250,ALABAMA,ELMORE,"-163,746","-185,522","-197,829","-195,945","-182,127"
01260,ALABAMA,ESCAMBIA,"-99,657","-104,170","-104,589","-106,398","-107,988"
01270,ALABAMA,ETOWAH,"-330,788","-345,445","-357,671","-375,600","-349,978"
01280,ALABAMA,FAYETTE,"-34,257","-38,413","-51,108","-46,137","-47,873"
01290,ALABAMA,FRANKLIN,"-105,041","-108,864","-114,570","-105,093","-108,446"
01300,ALABAMA,GENEVA,"-98,632","-102,239","-116,821","-111,731","-121,206"
01310,ALABAMA,GREENE,"-23,043","-26,499","-30,408","-24,614","-24,013"
01320,ALABAMA,HALE,"-46,517","-53,334","-60,379","-61,256","-58,475"
01330,ALABAMA,HENRY,"-54,818","-65,973","-68,872","-64,388","-66,228"
01340,ALABAMA,HOUSTON,"-243,182","-259,196","-307,037","-353,597","-374,764"
01350,ALABAMA,JACKSON,"-151,059","-149,794","-164,231","-164,731","-157,520"
01360,ALABAMA,JEFFERSON,"-29,734","-30,329","-30,569","-32,900","-26,881"
01370,ALABAMA,LAMAR,"-49,667","-51,155","-60,748","-57,652","-53,291"
