AGED -- REPRICING ADJUSTMENTS TO THE 2010-2014 REIMSURSEMENT DATA FOR FEE-FOR-SERVICE DURABLE MEDICAL EQUIPMENT (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART B  2010,PART B  2011,PART B  2012,PART B  2013,PART B  2014
01000,ALABAMA,AUTAUGA,"-81,210","-82,514","-81,332","-38,376",0
01010,ALABAMA,BALDWIN,"-337,105","-341,656","-326,540","-137,522",0
01020,ALABAMA,BARBOUR,"-94,303","-105,780","-88,340","-40,541",0
01030,ALABAMA,BIBB,"-127,394","-132,108","-136,750","-54,785",0
01040,ALABAMA,BLOUNT,"-264,727","-287,877","-273,042","-129,199",0
01050,ALABAMA,BULLOCK,"-34,879","-38,570","-30,732","-11,725",0
01060,ALABAMA,BUTLER,"-91,323","-86,681","-77,721","-32,690",0
01070,ALABAMA,CALHOUN,"-406,814","-400,099","-353,190","-145,405",0
01080,ALABAMA,CHAMBERS,"-125,842","-123,095","-105,331","-38,773",0
01090,ALABAMA,CHEROKEE,"-66,814","-73,454","-68,077","-28,704",0
01100,ALABAMA,CHILTON,"-217,563","-208,966","-209,129","-88,775",0
01110,ALABAMA,CHOCTAW,"-98,220","-103,483","-79,450","-35,064",0
01120,ALABAMA,CLARKE,"-116,489","-104,637","-90,118","-36,510",0
01130,ALABAMA,CLAY,"-41,618","-39,991","-39,670","-14,410",0
01140,ALABAMA,CLEBURNE,"-52,402","-52,445","-46,500","-22,875",0
01150,ALABAMA,COFFEE,"-129,787","-123,407","-104,408","-43,754",0
01160,ALABAMA,COLBERT,"-185,983","-182,489","-152,218","-62,848",0
01170,ALABAMA,CONECUH,"-91,943","-82,249","-60,872","-20,633",0
01180,ALABAMA,COOSA,"-35,309","-35,238","-31,210","-14,676",0
01190,ALABAMA,COVINGTON,"-125,651","-119,485","-111,991","-46,510",0
01200,ALABAMA,CRENSHAW,"-37,222","-35,866","-37,059","-16,014",0
01210,ALABAMA,CULLMAN,"-183,939","-167,126","-149,430","-60,778",0
01220,ALABAMA,DALE,"-177,948","-173,398","-159,486","-64,939",0
01230,ALABAMA,DALLAS,"-166,286","-145,557","-130,216","-53,331",0
01240,ALABAMA,DE KALB,"-144,301","-142,298","-126,127","-54,034",0
01250,ALABAMA,ELMORE,"-133,931","-126,632","-120,929","-50,132",0
01260,ALABAMA,ESCAMBIA,"-176,479","-164,797","-131,025","-56,871",0
01270,ALABAMA,ETOWAH,"-287,995","-291,653","-253,711","-107,480",0
01280,ALABAMA,FAYETTE,"-52,707","-50,159","-50,640","-22,826",0
01290,ALABAMA,FRANKLIN,"-100,797","-96,725","-86,530","-38,806",0
01300,ALABAMA,GENEVA,"-95,957","-93,972","-83,023","-31,994",0
01310,ALABAMA,GREENE,"-61,300","-57,629","-45,415","-21,190",0
01320,ALABAMA,HALE,"-76,572","-76,160","-63,004","-25,141",0
01330,ALABAMA,HENRY,"-69,075","-69,099","-58,798","-22,246",0
01340,ALABAMA,HOUSTON,"-252,507","-261,348","-232,060","-100,116",0
01350,ALABAMA,JACKSON,"-147,997","-160,487","-141,484","-58,714",0
01360,ALABAMA,JEFFERSON,"-3,166,925","-3,289,048","-3,400,482","-1,476,298",0
01370,ALABAMA,LAMAR,"-66,131","-63,930","-56,002","-23,337",0
01380,ALABAMA,LAUDERDALE,"-207,702","-212,714","-183,533","-77,723",0
01390,ALABAMA,LAWRENCE,"-80,767","-74,827","-71,001","-28,905",0
01400,ALABAMA,LEE,"-191,108","-197,049","-190,802","-76,069",0
01410,ALABAMA,LIMESTONE,"-154,781","-151,376","-136,164","-58,546",0
01420,ALABAMA,LOWNDES,"-28,034","-27,752","-26,374","-11,134",0
01430,ALABAMA,MACON,"-68,326","-62,490","-50,212","-20,431",0
01440,ALABAMA,MADISON,"-569,563","-537,700","-501,265","-206,954",0
01450,ALABAMA,MARENGO,"-66,848","-61,422","-54,941","-24,063",0
01460,ALABAMA,MARION,"-96,491","-94,593","-85,888","-34,915",0
01470,ALABAMA,MARSHALL,"-241,828","-236,964","-206,450","-85,364",0
01480,ALABAMA,MOBILE,"-695,409","-685,027","-591,695","-247,647",0
01490,ALABAMA,MONROE,"-110,219","-104,795","-88,624","-37,550",0
01500,ALABAMA,MONTGOMERY,"-390,973","-398,931","-346,767","-159,280",0
01510,ALABAMA,MORGAN,"-264,986","-266,621","-249,443","-104,767",0
01520,ALABAMA,PERRY,"-46,538","-44,395","-39,638","-15,829",0
01530,ALABAMA,PICKENS,"-59,343","-61,230","-61,038","-27,651",0
01540,ALABAMA,PIKE,"-91,254","-94,798","-89,350","-37,399",0
01550,ALABAMA,RANDOLPH,"-95,764","-81,544","-75,295","-28,031",0
01560,ALABAMA,RUSSELL,"-166,223","-165,406","-152,371","-68,407",0
01570,ALABAMA,ST. CLAIR,"-373,220","-379,390","-407,357","-187,102",0
01580,ALABAMA,SHELBY,"-529,049","-625,094","-631,767","-281,752",0
01590,ALABAMA,SUMTER,"-58,661","-59,232","-54,904","-24,644",0
01600,ALABAMA,TALLADEGA,"-286,160","-275,226","-243,420","-105,219",0
01610,ALABAMA,TALLAPOOSA,"-148,365","-144,378","-127,276","-56,708",0
01620,ALABAMA,TUSCALOOSA,"-328,576","-347,755","-327,348","-134,565",0
01630,ALABAMA,WALKER,"-610,468","-600,605","-623,395","-257,635",0
01640,ALABAMA,WASHINGTON,"-60,065","-59,640","-53,824","-24,021",0
01650,ALABAMA,WILCOX,"-52,068","-54,534","-50,941","-21,731",0
01660,ALABAMA,WINSTON,"-92,094","-86,635","-82,300","-32,929",0
02010,ALASKA,ALEUTIANS ISLANDS,-443,"-1,463","-1,087",-358,0
02020,ALASKA,ANCHORAGE,"-193,175","-199,230","-188,071","-73,511",0
02040,ALASKA,BARROW DIVISION,-579,-172,-132,-190,0
02050,ALASKA,BETHEL,"-2,169",-451,-256,0,0
02060,ALASKA,BRISTOL BAY BOROUGH,"-3,697","-2,096","-2,769",-900,0
02070,ALASKA,DILLINGHAM,"-1,027","-1,145",-665,0,0
02080,ALASKA,CORDOVA-MC CARTHY,"-1,466","-1,743","-1,666",-750,0
02090,ALASKA,FAIRBANKS NORTH STAR,"-37,262","-34,446","-31,867","-12,071",0
02100,ALASKA,HAINES,"-3,529","-4,154","-3,067",-515,0
02110,ALASKA,JUNEAU,"-16,831","-19,087","-13,654","-5,756",0
02120,ALASKA,KENAI-COOK INLET DIVISION,"-52,728","-55,357","-52,345","-22,807",0
02130,ALASKA,KETCHIKAN GATEWAY,"-13,151","-10,720","-8,482","-3,208",0
02140,ALASKA,KOBUK,-184,-97,-44,0,0
02150,ALASKA,KODIAK ISLAND BOROUGH,"-2,680","-3,425","-1,413",-844,0
02160,ALASKA,KUSKOKWIN,-297,-357,-222,-190,0
02170,ALASKA,MATANUSKA-SUSITNA,"-51,107","-52,337","-57,079","-23,771",0
02180,ALASKA,NOME,-703,-849,-383,-274,0
02190,ALASKA,OUTER KETCHIKAN DIVISION,"-1,619","-1,036",-732,-265,0
02200,ALASKA,PRINCE OF WALES,"-2,731","-2,906","-1,259",-260,0
02210,ALASKA,SEWARD,"-3,266","-3,417","-2,005",-582,0
02220,ALASKA,SITKA BOROUGH,"-4,934","-3,345","-4,051","-1,378",0
