AGED -- REPRICING ADJUSTMENTS TO THE 2010-2014 HOME HEALTH  REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,,,,,,
CODE,STATE,COUNTY,PART A  2010,PART A  2011,PART A  2012,PART A  2013,PART A  2014,PART B  2010,PART B  2011,PART B  2012,PART B  2013,PART B  2014
01000,ALABAMA,AUTAUGA,"-46,887","-77,967","-43,674","-23,536","4,742","-74,007","-85,423","-48,769","-28,469","5,169"
01010,ALABAMA,BALDWIN,"-19,381","-42,724","12,261","85,148","56,770","-33,981","-67,963","19,303","121,848","83,426"
01020,ALABAMA,BARBOUR,"-29,141","-33,359","-28,369","-14,496","-18,635","-49,461","-55,617","-38,338","-22,257","-28,008"
01030,ALABAMA,BIBB,"-14,357","-22,969","-8,935","-8,970","-5,267","-44,322","-52,681","-29,332","-22,279","-15,965"
01040,ALABAMA,BLOUNT,"-29,202","-33,728","-16,583","-18,211","-12,221","-36,249","-39,231","-18,209","-19,379","-14,991"
01050,ALABAMA,BULLOCK,"-6,500","-8,742","-4,197","-2,968","-3,611","-11,374","-9,038","-8,609","-4,631","-7,337"
01060,ALABAMA,BUTLER,"-29,724","-41,481","-27,780","-14,998","-19,359","-82,754","-80,467","-59,179","-36,690","-40,989"
01070,ALABAMA,CALHOUN,"-267,333","-328,479","-365,056","-205,937","-129,838","-410,082","-538,541","-470,804","-249,306","-165,047"
01080,ALABAMA,CHAMBERS,"-39,552","-39,781","-25,536","-17,509","-21,190","-43,695","-45,906","-32,900","-20,999","-26,341"
01090,ALABAMA,CHEROKEE,"-30,830","-32,677","-21,195","-15,869","-18,932","-63,047","-62,456","-46,228","-31,332","-37,906"
01100,ALABAMA,CHILTON,"-24,175","-29,928","-14,057","-18,067","-11,983","-57,682","-58,872","-23,797","-25,684","-17,340"
