AGED -- REPRICING ADJUSTMENTS TO THE 2010-2014 PHYSICIAN REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT GEOGRAPHIC PRACTICE COST INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART B  2010,PART B  2011,PART B  2012,PART B  2013,PART B  2014
01000,ALABAMA,AUTAUGA,"-115,209","-132,315","78,548","72,305","37,612"
01010,ALABAMA,BALDWIN,"-640,670","-712,734","313,880","324,587","160,931"
01020,ALABAMA,BARBOUR,"-68,037","-82,143","45,007","43,372","22,069"
01030,ALABAMA,BIBB,"-45,020","-46,240","33,169","31,264","15,775"
01040,ALABAMA,BLOUNT,"-92,705","-101,547","68,654","67,404","33,371"
01050,ALABAMA,BULLOCK,"-20,159","-18,043","12,029","10,575","4,987"
01060,ALABAMA,BUTLER,"-62,059","-64,150","44,022","39,747","19,353"
01070,ALABAMA,CALHOUN,"-395,451","-432,687","291,984","290,715","139,317"
01080,ALABAMA,CHAMBERS,"-90,586","-93,075","58,880","58,258","27,994"
01090,ALABAMA,CHEROKEE,"-73,853","-88,232","31,498","27,409","13,677"
01100,ALABAMA,CHILTON,"-86,160","-99,411","61,056","59,306","28,998"
01110,ALABAMA,CHOCTAW,"-86,227","-100,250",-794,"-1,174","-1,513"
01120,ALABAMA,CLARKE,"-75,371","-82,920","48,092","47,205","22,902"
01130,ALABAMA,CLAY,"-45,160","-42,870","30,876","31,015","15,056"
01140,ALABAMA,CLEBURNE,"-38,092","-44,588","23,571","22,461","10,731"
01150,ALABAMA,COFFEE,"-155,105","-175,504","105,699","102,981","52,116"
01160,ALABAMA,COLBERT,"-229,769","-253,861","145,514","137,471","70,525"
01170,ALABAMA,CONECUH,"-49,028","-47,409","18,971","20,941","10,910"
01180,ALABAMA,COOSA,"-38,271","-39,285","24,803","25,498","12,225"
01190,ALABAMA,COVINGTON,"-171,017","-193,572","80,770","84,145","38,805"
01200,ALABAMA,CRENSHAW,"-45,737","-47,979","27,498","28,301","14,460"
01210,ALABAMA,CULLMAN,"-271,384","-326,922","183,597","177,646","84,879"
01220,ALABAMA,DALE,"-177,093","-193,812","120,079","117,061","59,644"
01230,ALABAMA,DALLAS,"-133,839","-140,790","84,820","81,589","38,640"
01240,ALABAMA,DE KALB,"-188,609","-200,611","112,443","111,436","54,559"
01250,ALABAMA,ELMORE,"-210,215","-222,690","138,527","133,626","69,043"
01260,ALABAMA,ESCAMBIA,"-129,619","-152,709","7,245","8,061","3,321"
01270,ALABAMA,ETOWAH,"-319,280","-350,480","249,223","244,900","114,525"
01280,ALABAMA,FAYETTE,"-44,946","-51,997","36,928","34,891","19,153"
01290,ALABAMA,FRANKLIN,"-122,093","-121,700","70,294","64,366","32,254"
01300,ALABAMA,GENEVA,"-99,980","-111,775","66,805","61,384","34,231"
01310,ALABAMA,GREENE,"-25,611","-24,117","17,507","16,587","8,467"
01320,ALABAMA,HALE,"-49,833","-57,275","37,049","38,460","18,516"
01330,ALABAMA,HENRY,"-51,687","-56,031","36,610","36,587","19,628"
01340,ALABAMA,HOUSTON,"-264,942","-315,783","201,198","203,666","105,067"
01350,ALABAMA,JACKSON,"-215,226","-236,974","111,012","109,743","54,360"
01360,ALABAMA,JEFFERSON,"-1,408,677","-1,532,896","980,588","966,380","480,078"
01370,ALABAMA,LAMAR,"-80,625","-89,488","21,015","20,925","9,400"
01380,ALABAMA,LAUDERDALE,"-365,089","-378,260","221,490","220,023","112,533"
01390,ALABAMA,LAWRENCE,"-91,181","-98,400","63,216","60,750","30,900"
01400,ALABAMA,LEE,"-201,128","-230,286","127,842","128,931","65,260"
01410,ALABAMA,LIMESTONE,"-189,606","-208,471","133,121","133,637","70,886"
01420,ALABAMA,LOWNDES,"-22,324","-24,125","13,764","13,414","7,132"
01430,ALABAMA,MACON,"-39,256","-39,972","29,540","26,300","14,937"
01440,ALABAMA,MADISON,"-939,916","-1,048,400","654,654","676,384","346,781"
01450,ALABAMA,MARENGO,"-62,060","-72,981","40,697","37,621","18,072"
01460,ALABAMA,MARION,"-110,388","-126,377","56,964","54,108","27,642"
01470,ALABAMA,MARSHALL,"-275,188","-301,563","222,650","222,161","108,991"
01480,ALABAMA,MOBILE,"-795,039","-895,114","570,675","570,193","286,206"
01490,ALABAMA,MONROE,"-56,414","-68,866","37,739","33,814","18,362"
01500,ALABAMA,MONTGOMERY,"-563,563","-633,657","350,718","331,478","168,502"
01510,ALABAMA,MORGAN,"-401,649","-444,203","278,731","275,960","139,179"
01520,ALABAMA,PERRY,"-29,738","-31,807","18,665","18,463","9,252"
01530,ALABAMA,PICKENS,"-69,059","-76,291","38,450","38,659","17,518"
01540,ALABAMA,PIKE,"-79,902","-91,017","53,914","50,547","25,477"
01550,ALABAMA,RANDOLPH,"-57,000","-57,896","29,661","28,895","12,961"
01560,ALABAMA,RUSSELL,"-174,097","-209,300","17,242","16,557","5,615"
01570,ALABAMA,ST. CLAIR,"-139,019","-158,933","105,524","107,675","55,130"
01580,ALABAMA,SHELBY,"-243,898","-270,251","177,241","173,984","86,809"
01590,ALABAMA,SUMTER,"-50,633","-56,968","1,779","1,533",404
01600,ALABAMA,TALLADEGA,"-200,549","-211,582","143,483","143,812","71,697"
01610,ALABAMA,TALLAPOOSA,"-145,613","-147,997","101,723","103,875","50,174"
01620,ALABAMA,TUSCALOOSA,"-444,047","-521,807","349,370","342,482","174,976"
01630,ALABAMA,WALKER,"-274,167","-277,288","166,963","158,444","79,360"
01640,ALABAMA,WASHINGTON,"-52,926","-55,713","37,472","35,646","16,931"
01650,ALABAMA,WILCOX,"-26,952","-34,270","18,956","18,874","9,253"
01660,ALABAMA,WINSTON,"-95,074","-102,511","60,872","63,307","32,609"
02010,ALASKA,ALEUTIANS ISLANDS,"1,218",731,700,891,334
02020,ALASKA,ANCHORAGE,"215,084","216,759","518,488","582,742","314,429"
02040,ALASKA,BARROW DIVISION,224,290,"1,819","1,836",726
02050,ALASKA,BETHEL,668,619,573,"1,185",283
02060,ALASKA,BRISTOL BAY BOROUGH,"5,167","5,179","8,391","9,075","3,979"
02070,ALASKA,DILLINGHAM,683,340,"3,011","2,604","1,079"
02080,ALASKA,CORDOVA-MC CARTHY,"1,788",957,"2,494","3,323","1,278"
02090,ALASKA,FAIRBANKS NORTH STAR,"49,877","51,337","97,240","111,431","57,079"
