AGED -- REPRICING ADJUSTMENTS TO THE 2010-2014 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART A  2010,PART A  2011,PART A  2012,PART A  2013,PART A  2014
01000,ALABAMA,AUTAUGA,"-160,266","-207,004","-105,375","-45,836","5,030"
01010,ALABAMA,BALDWIN,"-112,371","-118,365","-15,118","77,589","96,462"
01020,ALABAMA,BARBOUR,"-88,687","-90,893","-53,858","-36,520","-18,279"
01030,ALABAMA,BIBB,"-25,120","-26,868","-13,413","-9,399","-6,325"
01040,ALABAMA,BLOUNT,"-71,603","-74,003","-47,460","-33,409","-13,399"
01050,ALABAMA,BULLOCK,"-49,902","-40,405","-24,636","-12,534","-10,891"
01060,ALABAMA,BUTLER,"-83,044","-112,242","-63,558","-32,707","-31,777"
01070,ALABAMA,CALHOUN,"-574,945","-751,527","-699,639","-371,234","-297,144"
01080,ALABAMA,CHAMBERS,"-57,237","-40,203","-36,592","-10,436","-30,218"
01090,ALABAMA,CHEROKEE,"-60,865","-60,812","-35,984","-26,664","-30,127"
01100,ALABAMA,CHILTON,"-41,020","-49,824","-30,446","-33,547","-7,549"
01110,ALABAMA,CHOCTAW,"-46,747","-51,169","-27,960","-17,971","-12,004"
01120,ALABAMA,CLARKE,"-81,327","-82,355","-43,844","-29,940","-33,091"
01130,ALABAMA,CLAY,"-47,640","-48,783","-33,197","-22,715","-16,890"
01140,ALABAMA,CLEBURNE,"-39,933","-49,473","-37,002","-18,969","-18,831"
01150,ALABAMA,COFFEE,"-113,491","-124,769","-61,131","-53,319","-32,783"
01160,ALABAMA,COLBERT,"-562,390","-681,563","-413,865","-350,982","-393,249"
01170,ALABAMA,CONECUH,"-56,587","-68,747","-49,861","-30,980","-27,240"
01180,ALABAMA,COOSA,"-37,204","-25,242","-17,771","-10,978","-8,647"
01190,ALABAMA,COVINGTON,"-203,107","-193,317","-125,805","-90,886","-66,131"
01200,ALABAMA,CRENSHAW,"-57,441","-66,946","-40,133","-30,092","-19,334"
01210,ALABAMA,CULLMAN,"-315,017","-334,919","-184,216","-119,545","-95,492"
01220,ALABAMA,DALE,"-182,227","-171,060","-94,023","-89,719","-61,410"
01230,ALABAMA,DALLAS,"-194,754","-182,659","-111,731","-83,093","-57,733"
01240,ALABAMA,DE KALB,"-191,617","-207,618","-130,728","-80,390","-71,213"
01250,ALABAMA,ELMORE,"-269,657","-313,470","-157,247","-67,406","4,716"
01260,ALABAMA,ESCAMBIA,"-132,367","-157,127","-99,251","-62,790","-57,390"
01270,ALABAMA,ETOWAH,"-448,004","-88,168","-390,514","-288,351","-356,643"
01280,ALABAMA,FAYETTE,"-31,834","-33,233","-21,272","-21,462","-19,928"
01290,ALABAMA,FRANKLIN,"-125,650","-171,803","-102,273","-96,010","-82,117"
01300,ALABAMA,GENEVA,"-110,244","-132,776","-57,659","-71,384","-34,987"
01310,ALABAMA,GREENE,"-60,141","-78,294","-63,830","-58,010","-60,115"
01320,ALABAMA,HALE,"-63,225","-56,798","-43,358","-41,640","-25,417"
01330,ALABAMA,HENRY,"-40,320","-50,840","-20,149","-29,357","-11,198"
01340,ALABAMA,HOUSTON,"-234,092","-216,194","-136,804","-139,081","-65,003"
01350,ALABAMA,JACKSON,"-116,736","-126,949","-64,616","-43,839","-48,707"
01360,ALABAMA,JEFFERSON,"-920,028","-1,097,023","-609,117","-637,034","-235,509"
01370,ALABAMA,LAMAR,"-73,771","-82,777","-45,714","-27,767","-20,777"
01380,ALABAMA,LAUDERDALE,"-747,715","-826,614","-588,779","-568,039","-542,579"
01390,ALABAMA,LAWRENCE,"-102,733","-92,959","-55,208","-22,260","-1,198"
01400,ALABAMA,LEE,"-92,190","-15,902","-76,197","-7,557","-41,477"
01410,ALABAMA,LIMESTONE,"-141,435","-179,372","-73,109","19,450","73,382"
01420,ALABAMA,LOWNDES,"-28,262","-27,130","-14,128","-7,782",-720
01430,ALABAMA,MACON,"-57,499","-67,117","-55,554","-22,932","-14,295"
01440,ALABAMA,MADISON,"-715,199","-891,759","-404,754","145,474","375,914"
01450,ALABAMA,MARENGO,"-55,587","-54,496","-41,036","-22,934","-18,723"
01460,ALABAMA,MARION,"-118,847","-135,649","-88,826","-56,893","-46,316"
01470,ALABAMA,MARSHALL,"-388,663","-406,624","-269,198","-181,381","-135,632"
01480,ALABAMA,MOBILE,"-718,603","-1,025,538","-693,719","-193,276","-267,395"
01490,ALABAMA,MONROE,"-92,073","-99,710","-56,743","-39,137","-35,666"
01500,ALABAMA,MONTGOMERY,"-728,712","-797,667","-383,291","-168,202","13,652"
01510,ALABAMA,MORGAN,"-425,214","-291,209","-64,909","31,047","125,301"
