"AGED - HOSPICE - 2014 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE          (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A  IME,PART A  DSH,PART A  GME,PART B  ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA
01000,ALABAMA,AUTAUGA,"4,916","2,569,588",43.56,"2,569,589",43.56,0,0,0,"4,549",0,0
01010,ALABAMA,BALDWIN,"24,961","11,129,228",37.16,"11,129,228",37.16,0,0,0,"23,064",0,0
01020,ALABAMA,BARBOUR,"3,285","1,932,924",49.03,"1,932,924",49.03,0,0,0,"3,126",0,0
01030,ALABAMA,BIBB,"2,000","1,030,282",42.93,"1,030,283",42.93,0,0,0,"1,875",0,0
01040,ALABAMA,BLOUNT,"4,291","2,800,489",54.39,"2,800,489",54.39,0,0,0,"3,955",0,0
01050,ALABAMA,BULLOCK,825,"453,056",45.76,"453,057",45.76,0,0,0,776,0,0
01060,ALABAMA,BUTLER,"2,873","1,978,545",57.39,"1,978,545",57.39,0,0,0,"2,766",0,0
01070,ALABAMA,CALHOUN,"17,111","9,259,107",45.09,"9,259,107",45.09,0,0,0,"15,862",0,0
01080,ALABAMA,CHAMBERS,"5,086","2,138,821",35.04,"2,138,821",35.04,0,0,0,"4,865",0,0
01090,ALABAMA,CHEROKEE,"3,244","2,044,444",52.52,"2,044,444",52.52,0,0,0,"3,092",0,0
01100,ALABAMA,CHILTON,"3,350","3,044,164",75.73,"3,044,165",75.73,0,0,0,"3,122",0,0
01110,ALABAMA,CHOCTAW,"2,263","1,829,998",67.39,"1,829,998",67.39,0,0,0,"2,232",0,0
01120,ALABAMA,CLARKE,"3,551","3,808,952",89.39,"3,808,952",89.39,0,0,0,"3,396",0,0
01130,ALABAMA,CLAY,"2,083","786,811",31.48,"786,811",31.48,0,0,0,"1,994",0,0
01140,ALABAMA,CLEBURNE,"2,120","1,477,232",58.07,"1,477,232",58.07,0,0,0,"1,991",0,0
01150,ALABAMA,COFFEE,"6,683","3,794,771",47.32,"3,794,772",47.32,0,0,0,"6,352",0,0
01160,ALABAMA,COLBERT,"8,528","5,930,681",57.95,"5,930,681",57.95,0,0,0,"8,223",0,0
01170,ALABAMA,CONECUH,"1,992","980,005",41.00,"980,005",41.00,0,0,0,"1,911",0,0
01180,ALABAMA,COOSA,"1,561","1,857,616",99.17,"1,857,616",99.17,0,0,0,"1,480",0,0
