"AGED - PUERTO RICO - 2014 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE. (BENEFICIARIES ENROLLED IN PARTS A AND/OR B . REIMBURSEMENTS EXCLUDED FOR HOSPICE AND COST CONTRACTS. DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY)",,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A  IME,PART A  DSH,PART A  GME,PART B  ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA,AGED AND DISABLED MEAN RISK SCORE,
40010,PUERTO RICO,ADJUNTAS,838,"1,220,807",121.40,"1,104,522",109.84,"35,364","7,667","73,253",164,"328,985",167.17,1.009,
40020,PUERTO RICO,AGUADA,"1,558","1,634,141",87.41,"1,567,395",83.84,"16,113","22,121","28,510",436,"802,177",153.32,0.915,
40030,PUERTO RICO,AGUADILLA,"2,943","3,896,150",110.32,"3,696,961",104.68,"75,340","62,909","60,940",1016,"2,670,667",219.05,0.939,
40040,PUERTO RICO,AGUAS BUENAS,952,"710,318",62.18,"701,389",61.40,"1,235","5,866","1,827",231,"438,432",158.16,0.922,
40050,PUERTO RICO,AIBONITO,"1,167","2,209,277",157.76,"2,168,961",154.88,"4,155","29,778","6,382",414,"1,016,541",204.62,1.045,
40060,PUERTO RICO,ANASCO,997,"947,588",79.20,"878,256",73.41,"20,505","4,444","44,382",234,"582,694",207.51,0.934,
40070,PUERTO RICO,ARECIBO,"4,886","6,253,836",106.66,"6,096,003",103.97,"49,132","70,017","38,682",1387,"3,330,089",200.08,0.927,
40080,PUERTO RICO,ARROYO,717,"458,524",53.29,"446,873",51.94,"2,341","5,340","3,969",170,"382,506",187.50,0.942,
40090,PUERTO RICO,BARCELONETA,"1,534","1,690,021",91.81,"1,642,512",89.23,"21,531","18,458","7,518",386,"795,770",171.80,1.019,
40100,PUERTO RICO,BARRANQUITAS,"1,124","1,485,463",110.13,"1,443,167",107.00,"10,554","19,307","12,433",236,"456,672",161.25,1.004,
