"DISABLED - 2014 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE. (BENEFICIARIES ENROLLED IN PARTS A AND/OR B EXCEPT FOR PUERTO RICO WHERE ENROLLED IN BOTH PARTS A AND B. REIMBURSEMENTS EXCLUDED FOR HOSPICE AND COST CONTRACTS. DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY)",,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A  IME,PART A  DSH,PART A  GME,PART B  ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA,AGED AND DISABLED MEAN RISK SCORE,
01000,ALABAMA,AUTAUGA,"1,168","2,955,621",210.87,"2,752,130",196.36,"84,744","91,091","27,654",996,"4,086,377",341.90,0.913,
01010,ALABAMA,BALDWIN,"4,244","11,126,695",218.48,"10,715,147",210.40,"179,210","159,386","72,950","3,714","18,419,095",413.28,0.923,
01020,ALABAMA,BARBOUR,"1,123","3,407,911",252.89,"3,298,789",244.79,"32,746","69,568","6,807","1,053","4,531,092",358.59,0.984,
01030,ALABAMA,BIBB,850,"2,805,149",275.01,"2,584,342",253.37,"109,409","68,753","42,644",762,"3,292,222",360.04,0.953,
01040,ALABAMA,BLOUNT,"1,116","2,725,032",203.48,"2,544,887",190.03,"82,836","50,765","46,543",960,"3,748,685",325.41,0.912,
01050,ALABAMA,BULLOCK,279,"691,877",206.65,"658,350",196.64,"9,982","20,875","2,669",247,"734,292",247.74,0.978,
01060,ALABAMA,BUTLER,"1,022","3,522,083",287.19,"3,310,020",269.90,"80,052","105,719","26,291",961,"4,499,333",390.16,1.001,
01070,ALABAMA,CALHOUN,"5,856","19,120,153",272.09,"18,257,753",259.82,"296,057","443,404","122,937","5,281","23,280,836",367.37,0.981,
01080,ALABAMA,CHAMBERS,"1,908","4,495,981",196.37,"4,264,818",186.27,"77,657","128,785","24,720","1,785","6,721,371",313.79,0.989,
01090,ALABAMA,CHEROKEE,"1,007","3,297,877",272.91,"3,133,379",259.30,"56,641","83,970","23,886",928,"4,186,880",375.98,0.942,
