DISABLED -- REPRICING ADJUSTMENTS TO THE 2010-2014 REIMSURSEMENT DATA FOR FEE-FOR-SERVICE DURABLE MEDICAL EQUIPMENT (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART B  2010,PART B  2011,PART B  2012,PART B  2013,PART B  2014
01000,ALABAMA,AUTAUGA,"-33,907","-31,451","-26,733","-10,207",0
01010,ALABAMA,BALDWIN,"-88,990","-94,904","-76,197","-32,611",0
01020,ALABAMA,BARBOUR,"-38,374","-46,351","-42,507","-14,572",0
01030,ALABAMA,BIBB,"-54,893","-51,635","-48,095","-23,512",0
01040,ALABAMA,BLOUNT,"-76,593","-68,717","-76,818","-40,965",0
01050,ALABAMA,BULLOCK,"-10,669","-12,307","-9,099","-4,399",0
01060,ALABAMA,BUTLER,"-32,299","-37,696","-35,039","-16,289",0
01070,ALABAMA,CALHOUN,"-155,933","-172,201","-141,413","-60,401",0
01080,ALABAMA,CHAMBERS,"-70,264","-70,383","-70,631","-23,899",0
01090,ALABAMA,CHEROKEE,"-25,978","-26,932","-27,376","-10,278",0
01100,ALABAMA,CHILTON,"-66,540","-72,638","-64,799","-28,195",0
01110,ALABAMA,CHOCTAW,"-31,940","-29,603","-25,369","-11,720",0
01120,ALABAMA,CLARKE,"-57,485","-52,228","-47,183","-15,837",0
01130,ALABAMA,CLAY,"-25,059","-27,158","-18,675","-9,005",0
01140,ALABAMA,CLEBURNE,"-23,119","-27,562","-25,414","-10,469",0
01150,ALABAMA,COFFEE,"-48,727","-47,930","-45,782","-19,202",0
01160,ALABAMA,COLBERT,"-77,897","-75,580","-68,402","-25,012",0
01170,ALABAMA,CONECUH,"-39,600","-37,707","-28,636","-11,447",0
01180,ALABAMA,COOSA,"-25,602","-26,748","-22,510","-8,293",0
01190,ALABAMA,COVINGTON,"-54,571","-55,272","-48,859","-21,481",0
01200,ALABAMA,CRENSHAW,"-21,269","-16,397","-15,098","-5,387",0
01210,ALABAMA,CULLMAN,"-67,954","-63,539","-46,065","-20,722",0
01220,ALABAMA,DALE,"-67,808","-73,550","-64,007","-25,218",0
01230,ALABAMA,DALLAS,"-77,748","-76,813","-65,048","-26,115",0
01240,ALABAMA,DE KALB,"-47,917","-49,571","-38,692","-16,614",0
01250,ALABAMA,ELMORE,"-35,059","-40,188","-30,661","-12,420",0
01260,ALABAMA,ESCAMBIA,"-63,567","-70,181","-65,393","-24,906",0
01270,ALABAMA,ETOWAH,"-123,926","-116,398","-99,049","-39,565",0
01280,ALABAMA,FAYETTE,"-21,161","-22,780","-18,648","-7,283",0
01290,ALABAMA,FRANKLIN,"-45,129","-39,209","-34,717","-14,779",0
01300,ALABAMA,GENEVA,"-32,636","-33,639","-31,003","-12,645",0
01310,ALABAMA,GREENE,"-27,245","-31,185","-28,972","-12,457",0
01320,ALABAMA,HALE,"-45,088","-46,353","-37,326","-14,378",0
01330,ALABAMA,HENRY,"-28,113","-25,306","-21,877","-7,681",0
01340,ALABAMA,HOUSTON,"-103,063","-116,924","-109,555","-47,713",0
01350,ALABAMA,JACKSON,"-68,563","-71,568","-61,133","-25,998",0
01360,ALABAMA,JEFFERSON,"-864,506","-937,647","-925,042","-423,900",0
01370,ALABAMA,LAMAR,"-31,851","-30,276","-22,295","-9,381",0
01380,ALABAMA,LAUDERDALE,"-114,876","-111,800","-89,758","-40,834",0
01390,ALABAMA,LAWRENCE,"-40,256","-37,578","-34,084","-12,778",0
01400,ALABAMA,LEE,"-97,347","-93,017","-87,557","-35,943",0
01410,ALABAMA,LIMESTONE,"-52,375","-57,803","-49,495","-18,723",0
01420,ALABAMA,LOWNDES,"-16,183","-15,460","-12,167","-3,708",0
01430,ALABAMA,MACON,"-21,062","-22,860","-17,675","-6,767",0
01440,ALABAMA,MADISON,"-161,724","-173,073","-147,410","-59,792",0
01450,ALABAMA,MARENGO,"-33,272","-32,585","-27,014","-10,150",0
01460,ALABAMA,MARION,"-45,331","-37,547","-33,921","-16,508",0
01470,ALABAMA,MARSHALL,"-104,928","-112,352","-91,318","-40,874",0
01480,ALABAMA,MOBILE,"-258,217","-265,266","-210,036","-83,941",0
01490,ALABAMA,MONROE,"-45,536","-44,317","-41,791","-16,420",0
01500,ALABAMA,MONTGOMERY,"-126,376","-134,300","-121,655","-46,969",0
01510,ALABAMA,MORGAN,"-93,175","-102,597","-98,000","-42,054",0
01520,ALABAMA,PERRY,"-22,440","-23,246","-22,358","-9,581",0
01530,ALABAMA,PICKENS,"-39,644","-54,104","-48,223","-20,044",0
01540,ALABAMA,PIKE,"-37,781","-40,445","-34,921","-13,853",0
01550,ALABAMA,RANDOLPH,"-31,005","-30,774","-26,770","-8,802",0
01560,ALABAMA,RUSSELL,"-64,684","-62,994","-56,736","-20,673",0
01570,ALABAMA,ST. CLAIR,"-108,511","-129,292","-131,967","-57,303",0
01580,ALABAMA,SHELBY,"-128,531","-139,339","-131,158","-58,738",0
