DISABLED -- REPRICING ADJUSTMENTS TO THE 2010-2014 HOME HEALTH  REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,,,,,,
CODE,STATE,COUNTY,PART A  2010,PART A  2011,PART A  2012,PART A  2013,PART A  2014,PART B  2010,PART B  2011,PART B  2012,PART B  2013,PART B  2014
01000,ALABAMA,AUTAUGA,"-6,865","-6,527","-4,344","-3,131",502,"-13,229","-14,431","-8,821","-2,426",642
01010,ALABAMA,BALDWIN,"-2,425","-5,224","1,391","9,763","5,462","-3,792","-8,675","2,342","16,621","7,543"
01020,ALABAMA,BARBOUR,"-5,321","-6,284","-4,561","-2,221","-2,583","-8,548","-8,429","-4,886","-2,473","-4,927"
01030,ALABAMA,BIBB,"-4,356","-4,008","-2,362","-1,922","-1,361","-7,352","-7,418","-4,629","-4,433","-3,693"
01040,ALABAMA,BLOUNT,"-4,038","-4,921","-2,286","-2,803","-2,199","-7,061","-7,369","-3,437","-4,444","-2,603"
01050,ALABAMA,BULLOCK,"-1,516","-1,212",-704,-644,-765,-592,"-1,204",-473,-314,-831
01060,ALABAMA,BUTLER,"-6,261","-6,008","-4,296","-3,331","-5,474","-13,637","-14,589","-9,287","-5,773","-6,726"
01070,ALABAMA,CALHOUN,"-36,468","-63,914","-68,041","-35,312","-22,945","-53,252","-83,311","-72,736","-42,091","-25,529"
01080,ALABAMA,CHAMBERS,"-4,195","-6,319","-5,133","-3,772","-4,496","-7,927","-6,644","-5,447","-2,179","-4,517"
01090,ALABAMA,CHEROKEE,"-3,656","-5,694","-4,815","-2,158","-2,305","-4,972","-7,340","-6,799","-3,255","-3,611"
01100,ALABAMA,CHILTON,"-3,955","-5,642","-3,032","-2,213","-1,926","-9,168","-10,477","-4,682","-3,482","-2,166"
01110,ALABAMA,CHOCTAW,"-1,652","-2,401","-1,893",-497,"-1,579","-2,889","-3,813","-3,729","-2,547","-2,010"
01120,ALABAMA,CLARKE,"-6,964","-5,540","-4,260","-2,888","-3,982","-9,411","-7,272","-8,207","-5,132","-5,653"
