DISABLED -- REPRICING ADJUSTMENTS TO THE 2010-2014 PHYSICIAN REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT GEOGRAPHIC PRACTICE COST INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART B  2010,PART B  2011,PART B  2012,PART B  2013,PART B  2014
01000,ALABAMA,AUTAUGA,"-18,096","-21,799","13,235","13,294","7,299"
01010,ALABAMA,BALDWIN,"-89,530","-100,625","55,594","54,479","25,051"
01020,ALABAMA,BARBOUR,"-16,642","-17,798","12,168","13,529","6,398"
01030,ALABAMA,BIBB,"-12,741","-15,378","10,780","10,210","5,476"
01040,ALABAMA,BLOUNT,"-18,046","-18,731","13,794","13,178","6,612"
01050,ALABAMA,BULLOCK,"-6,068","-6,200","2,632","2,810","1,261"
01060,ALABAMA,BUTLER,"-14,135","-14,629","10,975","11,851","6,419"
01070,ALABAMA,CALHOUN,"-104,533","-116,231","83,164","80,543","40,281"
01080,ALABAMA,CHAMBERS,"-29,061","-32,473","20,710","19,654","9,318"
01090,ALABAMA,CHEROKEE,"-21,805","-23,020","10,817","9,644","4,632"
01100,ALABAMA,CHILTON,"-20,621","-22,021","14,619","14,049","6,650"
01110,ALABAMA,CHOCTAW,"-21,786","-26,222",551,-126,-377
01120,ALABAMA,CLARKE,"-15,845","-19,020","13,440","12,014","6,994"
01130,ALABAMA,CLAY,"-10,864","-12,262","8,745","8,247","4,332"
01140,ALABAMA,CLEBURNE,"-10,773","-13,443","7,300","6,556","3,385"
01150,ALABAMA,COFFEE,"-27,058","-31,732","22,912","22,498","11,481"
01160,ALABAMA,COLBERT,"-65,672","-70,281","40,865","41,457","19,805"
01170,ALABAMA,CONECUH,"-11,694","-16,817","7,782","5,636","3,531"
01180,ALABAMA,COOSA,"-11,375","-12,826","9,699","9,340","5,003"
01190,ALABAMA,COVINGTON,"-36,444","-40,648","19,762","19,837","10,992"
01200,ALABAMA,CRENSHAW,"-9,996","-8,622","5,890","6,531","3,093"
01210,ALABAMA,CULLMAN,"-56,392","-66,345","41,836","42,010","20,386"
01220,ALABAMA,DALE,"-36,868","-41,728","32,181","31,180","15,151"
01230,ALABAMA,DALLAS,"-46,226","-52,336","33,861","31,376","14,636"
01240,ALABAMA,DE KALB,"-45,272","-48,347","35,251","31,880","15,315"
01250,ALABAMA,ELMORE,"-36,379","-34,542","23,002","26,116","12,266"
01260,ALABAMA,ESCAMBIA,"-35,467","-37,809","3,577","2,978","1,664"
01270,ALABAMA,ETOWAH,"-84,470","-97,231","73,538","74,940","34,080"
01280,ALABAMA,FAYETTE,"-12,104","-15,151","11,194","11,571","5,492"
01290,ALABAMA,FRANKLIN,"-34,248","-37,072","21,524","21,044","10,422"
01300,ALABAMA,GENEVA,"-21,561","-27,557","15,623","15,295","7,602"
01310,ALABAMA,GREENE,"-10,063","-11,228","7,917","8,339","3,707"
01320,ALABAMA,HALE,"-18,417","-21,215","14,555","16,227","7,728"
01330,ALABAMA,HENRY,"-13,141","-12,030","8,915","9,212","4,692"
01340,ALABAMA,HOUSTON,"-60,774","-70,260","58,338","58,153","28,817"
01350,ALABAMA,JACKSON,"-50,671","-60,422","31,825","31,720","14,844"
01360,ALABAMA,JEFFERSON,"-232,619","-252,854","193,236","191,255","93,593"
01370,ALABAMA,LAMAR,"-20,111","-21,936","7,721","6,287","3,609"
01380,ALABAMA,LAUDERDALE,"-90,028","-97,772","59,341","58,987","29,830"
01390,ALABAMA,LAWRENCE,"-26,314","-29,597","19,895","18,983","8,548"
01400,ALABAMA,LEE,"-49,834","-57,055","33,391","32,439","16,102"
01410,ALABAMA,LIMESTONE,"-42,751","-45,034","31,224","31,512","17,671"
01420,ALABAMA,LOWNDES,"-5,839","-6,374","3,809","3,376","1,911"
01430,ALABAMA,MACON,"-11,769","-14,377","8,987","8,025","4,265"
01440,ALABAMA,MADISON,"-130,008","-152,565","114,444","111,031","58,698"
01450,ALABAMA,MARENGO,"-25,013","-22,504","13,994","13,149","6,430"
01460,ALABAMA,MARION,"-26,269","-34,201","17,581","15,798","7,418"
01470,ALABAMA,MARSHALL,"-66,650","-73,897","57,181","57,344","28,906"
01480,ALABAMA,MOBILE,"-182,364","-193,587","136,517","130,870","67,267"
01490,ALABAMA,MONROE,"-16,172","-18,768","10,191","10,427","5,415"
01500,ALABAMA,MONTGOMERY,"-88,810","-98,757","63,896","61,882","32,313"
01510,ALABAMA,MORGAN,"-82,692","-95,472","70,260","69,294","33,338"
01520,ALABAMA,PERRY,"-12,191","-11,506","7,462","6,530","3,050"
01530,ALABAMA,PICKENS,"-20,972","-24,312","15,965","14,449","7,107"
01540,ALABAMA,PIKE,"-15,837","-19,953","12,190","11,823","6,019"
01550,ALABAMA,RANDOLPH,"-15,436","-14,803","9,372","9,370","4,133"
01560,ALABAMA,RUSSELL,"-38,586","-45,230","5,006","4,073","1,970"
01570,ALABAMA,ST. CLAIR,"-29,339","-33,030","23,219","23,741","11,779"
01580,ALABAMA,SHELBY,"-39,354","-43,422","30,262","29,073","13,755"
01590,ALABAMA,SUMTER,"-16,624","-20,100","1,883","2,194",598
01600,ALABAMA,TALLADEGA,"-58,384","-65,108","49,375","49,725","24,966"
01610,ALABAMA,TALLAPOOSA,"-36,071","-39,144","30,455","31,312","14,588"
01620,ALABAMA,TUSCALOOSA,"-128,672","-148,583","114,477","112,379","53,854"
01630,ALABAMA,WALKER,"-78,815","-79,897","54,564","50,060","22,911"
01640,ALABAMA,WASHINGTON,"-12,898","-17,753","10,190","9,199","4,403"
01650,ALABAMA,WILCOX,"-12,535","-13,258","9,996","8,867","4,197"
01660,ALABAMA,WINSTON,"-30,595","-31,090","21,099","18,352","9,839"
02010,ALASKA,ALEUTIANS ISLANDS,199,241,167,670,152
02020,ALASKA,ANCHORAGE,"48,317","51,516","115,837","125,139","60,615"
02040,ALASKA,BARROW DIVISION,45,33,70,274,69
02050,ALASKA,BETHEL,89,16,189,163,26
02060,ALASKA,BRISTOL BAY BOROUGH,736,763,"1,488","1,301",648
02070,ALASKA,DILLINGHAM,50,163,212,289,344
02080,ALASKA,CORDOVA-MC CARTHY,190,62,258,335,112
02090,ALASKA,FAIRBANKS NORTH STAR,"7,248","7,815","17,392","19,394","10,182"
02100,ALASKA,HAINES,572,353,-60,328,280
02110,ALASKA,JUNEAU,"5,352","4,200","7,805","8,501","4,691"
02120,ALASKA,KENAI-COOK INLET DIVISION,"10,794","10,482","19,193","23,331","10,085"
02130,ALASKA,KETCHIKAN GATEWAY,"1,944","1,372","1,687","2,035",823
02140,ALASKA,KOBUK,93,49,142,519,76
02150,ALASKA,KODIAK ISLAND BOROUGH,294,323,744,926,445
02160,ALASKA,KUSKOKWIN,-378,-178,81,36,54
02170,ALASKA,MATANUSKA-SUSITNA,"18,988","20,800","43,122","50,270","22,600"
02180,ALASKA,NOME,38,84,197,489,72
02190,ALASKA,OUTER KETCHIKAN DIVISION,-77,58,72,170,6
02200,ALASKA,PRINCE OF WALES,841,260,478,732,-51
02210,ALASKA,SEWARD,397,434,"1,158","1,951","1,241"
02220,ALASKA,SITKA BOROUGH,"1,537",154,"1,290","2,077",814
02230,ALASKA,SKAGWAY-YAKUTAT,306,154,202,347,552
