DISABLED -- REPRICING ADJUSTMENTS TO THE 2010-2014 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART A  2010,PART A  2011,PART A  2012,PART A  2013,PART A  2014
01000,ALABAMA,AUTAUGA,"-11,991","-9,759","-1,934","-3,519",458
01010,ALABAMA,BALDWIN,"-12,737","-11,251","-9,364","5,577","4,883"
01020,ALABAMA,BARBOUR,"-12,100","-11,600","-5,393","-3,782","-1,785"
01030,ALABAMA,BIBB,"-2,354","-1,792",-674,-431,-983
01040,ALABAMA,BLOUNT,"-8,865","-2,815","-2,964","-2,605",-751
01050,ALABAMA,BULLOCK,"-4,162","-3,308","-1,424",-634,-636
01060,ALABAMA,BUTLER,"-4,890","-10,498","-3,978","-3,043","-3,093"
01070,ALABAMA,CALHOUN,"-54,754","-91,441","-73,695","-45,247","-40,068"
01080,ALABAMA,CHAMBERS,"-5,401","-6,998","-5,494","-1,540","-4,071"
01090,ALABAMA,CHEROKEE,"-6,046","-3,749","-3,069","-2,941","-1,896"
01100,ALABAMA,CHILTON,"-3,184","-4,245","-3,800","-2,310",-444
01110,ALABAMA,CHOCTAW,"-3,005","-4,154","-3,355","-2,442","-2,193"
01120,ALABAMA,CLARKE,"-9,098","-3,619","-4,166","-5,536","-2,269"
01130,ALABAMA,CLAY,"-4,983","-2,801","-4,010","-1,729","-2,076"
01140,ALABAMA,CLEBURNE,"-2,805","-2,515","-7,718","-2,863","-3,391"
01150,ALABAMA,COFFEE,"-5,386","-7,576","-5,762","-3,131","-3,750"
01160,ALABAMA,COLBERT,"-53,520","-71,357","-42,121","-37,624","-46,665"
01170,ALABAMA,CONECUH,"-7,047","-7,337","-4,023","-2,758","-2,817"
01180,ALABAMA,COOSA,"-4,441","-4,347","-2,399",-827,"-1,128"
01190,ALABAMA,COVINGTON,"-11,033","-8,251","-9,107","-6,232","-6,160"
01200,ALABAMA,CRENSHAW,"-6,878","-5,335","-4,864","-1,316","-1,415"
01210,ALABAMA,CULLMAN,"-20,131","-22,466","-13,013","-10,716","-6,526"
01220,ALABAMA,DALE,"-17,345","-12,745","-8,754","-9,162","-5,402"
01230,ALABAMA,DALLAS,"-20,252","-20,386","-14,724","-11,315","-8,829"
01240,ALABAMA,DE KALB,"-15,440","-16,261","-11,332","-9,012","-8,655"
01250,ALABAMA,ELMORE,"-27,637","-22,386","-9,418","-4,325",509
01260,ALABAMA,ESCAMBIA,"-16,981","-14,274","-7,360","-5,967","-6,876"
01270,ALABAMA,ETOWAH,"-53,556","-10,761","-48,868","-40,429","-47,519"
01280,ALABAMA,FAYETTE,"-3,743","-3,102","-2,639","-1,731",-924
01290,ALABAMA,FRANKLIN,"-15,660","-11,919","-13,565","-13,188","-9,927"
01300,ALABAMA,GENEVA,"-9,904","-13,374","-3,060","-6,319",-325
01310,ALABAMA,GREENE,"-4,348","-6,074","-6,400","-14,606","-7,233"
01320,ALABAMA,HALE,"-8,362","-6,865","-8,445","-4,490","-2,240"
01330,ALABAMA,HENRY,"-3,119","-4,692","-2,614","-2,913",-947
01340,ALABAMA,HOUSTON,"-18,860","-13,556","-11,948","-10,331","-3,525"
01350,ALABAMA,JACKSON,"-13,535","-13,425","-5,556","-1,256","-3,107"
01360,ALABAMA,JEFFERSON,"-109,208","-142,064","-80,132","-84,243","-34,299"
01370,ALABAMA,LAMAR,"-8,110","-7,586","-2,748","-3,276","-1,268"
01380,ALABAMA,LAUDERDALE,"-82,637","-93,624","-58,101","-64,204","-54,303"
01390,ALABAMA,LAWRENCE,"-11,100","-9,275","-4,765","-4,915","1,555"
01400,ALABAMA,LEE,"-7,163","-1,161","-11,550","-1,947","-2,279"
01410,ALABAMA,LIMESTONE,"-13,034","-11,226","-8,289","1,641","5,099"
01420,ALABAMA,LOWNDES,"-1,762","-2,461","-3,340",0,-25
01430,ALABAMA,MACON,"-11,749","-7,623","-6,990","-2,235","-2,356"
01440,ALABAMA,MADISON,"-62,183","-79,274","-30,948","10,589","28,948"
01450,ALABAMA,MARENGO,"-3,911","-4,524","-4,132","-2,597","-1,743"
