DISABLED -- REPRICING ADJUSTMENTS TO THE 2010-2014 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES (DISPROPORTIONATE SHARE REPRICED TO UNCOMPAENSATED CARE UNTIL SEPTEMBER 2013)                                                                                                                                                      DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY. ,,,,,,,,
CODE,STATE,COUNTY,PART A 2010,PART A 2011,PART A 2012,PART A 2013         (JAN-SEP),PART A 2013   (OCT-DEC),PART A 2014
01000,ALABAMA,AUTAUGA,"-110,793","-98,792","-70,200","-79,844","-17,200","-80,416"
01010,ALABAMA,BALDWIN,"-34,069","-104,187","-87,672","-54,294","-46,239","-95,674"
01020,ALABAMA,BARBOUR,"-56,789","-68,428","-63,389","-58,120","-8,795","-42,680"
01030,ALABAMA,BIBB,"-50,992","-36,245","-64,728","-74,970","-10,100","-65,792"
01040,ALABAMA,BLOUNT,"-27,683","-16,285","-61,204","-53,265","-19,528","-55,054"
01050,ALABAMA,BULLOCK,"-25,537","-25,975","-6,044","-14,051","-3,569","-17,282"
01060,ALABAMA,BUTLER,"-167,568","-182,181","-126,758","-79,633","-23,699","-75,758"
01070,ALABAMA,CALHOUN,"-415,920","-539,099","-494,511","-378,769","-116,985","-417,120"
01080,ALABAMA,CHAMBERS,"-249,194","-313,956","-284,309","-173,629","-57,357","-105,160"
01090,ALABAMA,CHEROKEE,"-67,531","-75,063","-94,370","-99,473","-24,691","-78,236"
01100,ALABAMA,CHILTON,"-25,122","-38,773","-32,795","-10,228","-21,749","-63,045"
01110,ALABAMA,CHOCTAW,"-67,120","-90,285","-80,230","-37,703","-14,848","-95,455"
01120,ALABAMA,CLARKE,"-27,672","-13,131","-37,959","-2,882","-18,400","-75,704"
01130,ALABAMA,CLAY,"-17,772","-29,374","-20,961","-22,008","-6,678","-22,567"
01140,ALABAMA,CLEBURNE,"-66,528","-73,903","-73,809","-52,908","-11,948","-42,441"
01150,ALABAMA,COFFEE,"-106,173","-129,781","-146,588","-70,218","-19,866","-85,425"
01160,ALABAMA,COLBERT,"-183,435","-179,360","-198,536","-154,414","-57,261","-152,053"
01170,ALABAMA,CONECUH,"-78,251","-66,062","-67,704","-32,583","-8,372","-41,865"
01180,ALABAMA,COOSA,"-34,065","-68,574","-52,278","-34,038","-6,221","-37,937"
01190,ALABAMA,COVINGTON,"-237,248","-226,429","-237,516","-152,442","-35,975","-134,218"
01200,ALABAMA,CRENSHAW,"-90,177","-74,764","-85,488","-40,320","-9,122","-35,102"
01210,ALABAMA,CULLMAN,"-242,516","-258,894","-331,191","-250,346","-27,401","-123,110"
01220,ALABAMA,DALE,"-144,171","-125,326","-132,525","-85,513","-27,383","-113,130"
01230,ALABAMA,DALLAS,"-613,143","-756,881","-654,932","-499,792","-53,121","-192,447"
01240,ALABAMA,DE KALB,"-157,492","-183,401","-228,751","-119,946","-49,147","-167,505"
01250,ALABAMA,ELMORE,"-259,686","-211,029","-176,192","-169,117","-43,243","-140,264"
01260,ALABAMA,ESCAMBIA,"-118,693","-123,226","-88,242","-104,250","-38,926","-129,877"
01270,ALABAMA,ETOWAH,"-215,966","-205,425","-369,215","-262,558","-135,240","-537,613"
01280,ALABAMA,FAYETTE,"-63,070","-60,661","-68,508","-85,954","-11,825","-56,623"
01290,ALABAMA,FRANKLIN,"-152,533","-162,872","-159,628","-115,505","-32,967","-109,697"
01300,ALABAMA,GENEVA,"-86,501","-113,709","-78,043","-47,805","-15,256","-68,437"
01310,ALABAMA,GREENE,"-33,688","-16,255","-49,797","-73,231","-14,362","-51,394"
01320,ALABAMA,HALE,"-65,339","-91,761","-84,027","-108,368","-23,881","-73,347"
01330,ALABAMA,HENRY,"-57,425","-56,685","-45,972","-57,887","-9,440","-42,626"
01340,ALABAMA,HOUSTON,"-269,434","-306,553","-313,593","-266,106","-85,948","-323,925"
01350,ALABAMA,JACKSON,"-200,894","-233,460","-218,206","-165,947","-75,393","-239,935"
01360,ALABAMA,JEFFERSON,"-122,052","-357,368","-435,840","-279,711","-395,841","-1,437,869"
01370,ALABAMA,LAMAR,"-62,711","-74,953","-87,654","-38,751","-9,091","-47,884"
01380,ALABAMA,LAUDERDALE,"-237,108","-253,752","-254,830","-231,788","-68,368","-287,264"
01390,ALABAMA,LAWRENCE,"-132,015","-120,367","-130,258","-94,824","-21,794","-73,861"
01400,ALABAMA,LEE,"-248,456","-259,080","-264,994","-189,132","-43,111","-206,663"
01410,ALABAMA,LIMESTONE,"-266,076","-203,997","-238,034","-184,301","-38,662","-189,392"
01420,ALABAMA,LOWNDES,"-54,852","-38,402","-48,989","-11,596","-6,897","-19,898"
01430,ALABAMA,MACON,"-55,238","-72,040","-81,271","-56,088","-15,327","-64,803"
01440,ALABAMA,MADISON,"-471,843","-605,334","-600,281","-330,921","-158,451","-612,145"
01450,ALABAMA,MARENGO,"-26,603","-36,780","-45,409","-21,635","-16,943","-71,149"
01460,ALABAMA,MARION,"-100,559","-142,174","-157,051","-92,152","-14,014","-67,883"
01470,ALABAMA,MARSHALL,"-236,764","-253,752","-451,183","-345,278","-67,835","-283,895"
01480,ALABAMA,MOBILE,"88,289","-46,919","20,575","-11,720","-260,849","-1,012,589"
01490,ALABAMA,MONROE,"-21,054","-39,820","-24,430","-5,653","-14,904","-66,024"
01500,ALABAMA,MONTGOMERY,"-598,106","-490,121","-478,618","-371,119","-132,077","-497,303"
01510,ALABAMA,MORGAN,"-344,010","-314,276","-437,154","-285,433","-101,625","-310,576"
01520,ALABAMA,PERRY,"-95,216","-62,675","-87,774","-39,456","-9,038","-37,316"
01530,ALABAMA,PICKENS,"-32,151","-52,771","-117,467","-96,594","-18,713","-69,635"
01540,ALABAMA,PIKE,"-143,182","-128,288","-137,565","-111,179","-20,963","-56,540"
01550,ALABAMA,RANDOLPH,"-130,800","-145,726","-95,975","-81,724","-14,284","-56,359"
01560,ALABAMA,RUSSELL,"-71,701","-96,472","-114,145","-32,413","-79,537","-304,442"
01570,ALABAMA,ST. CLAIR,"10,303","18,394","-43,004","6,895","-37,137","-112,559"
01580,ALABAMA,SHELBY,"-41,644","-40,621","-59,793","-73,875","-44,695","-149,657"
01590,ALABAMA,SUMTER,"-71,566","-46,786","-50,038","-33,480","-11,796","-55,633"
01600,ALABAMA,TALLADEGA,"-298,118","-365,872","-274,506","-299,741","-60,698","-237,041"
01610,ALABAMA,TALLAPOOSA,"-200,796","-282,005","-262,069","-200,517","-28,835","-114,217"
01620,ALABAMA,TUSCALOOSA,"-545,586","-422,352","-706,849","-629,756","-138,600","-546,926"
01630,ALABAMA,WALKER,"-222,623","-248,462","-276,873","-187,224","-59,914","-230,288"
01640,ALABAMA,WASHINGTON,"-8,137","-20,127","-22,528","-25,036","-14,991","-60,542"
01650,ALABAMA,WILCOX,"-116,517","-108,134","-134,219","-66,749","-11,707","-43,849"
01660,ALABAMA,WINSTON,"-144,922","-157,937","-157,613","-70,121","-17,827","-87,007"
02010,ALASKA,ALEUTIANS ISLANDS,-300,"-2,282","-19,582","-31,791","-1,509","-5,410"
02020,ALASKA,ANCHORAGE,"-696,309","-920,865","-955,168","-662,525","-195,339","-643,442"
02040,ALASKA,BARROW DIVISION,"-19,615","-30,179","-18,000","-10,508","-2,097","-7,294"
02050,ALASKA,BETHEL,"-18,712","-11,500",-769,"3,714","-6,231","-26,766"
