"DISABLED -- 2010 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) ",,,,,,,,,,,,,,
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,,,,
BENEFICIARIES ENROLLED IN PARTS A AND/OR B  ,,,,,,,,,,,,,,
PUERTO RICO BENEFICIARIES ENROLLED IN BOTH PARTS A AND B ONLY,,,,,,,,,,,,,,
REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES
01000,ALABAMA                  ,AUTAUGA,"1,172","3,237,541",230.20,"2,810,999",199.87,"58,174","342,161","26,205","1,005","3,370,930",279.51,0.918
01010,ALABAMA                  ,BALDWIN,"4,051","11,403,813",234.59,"10,566,553",217.37,"187,775","574,360","75,125","3,554","15,658,255",367.15,0.914
01020,ALABAMA                  ,BARBOUR,"1,061","2,990,777",234.90,"2,720,173",213.65,"34,863","207,362","28,377",971,"3,170,370",272.09,0.945
01030,ALABAMA                  ,BIBB,853,"2,611,121",255.09,"2,265,176",221.30,"71,142","239,277","35,524",745,"3,106,910",347.53,0.990
01040,ALABAMA                  ,BLOUNT,"1,081","3,608,041",278.14,"3,203,329",246.94,"114,882","225,810","64,018",901,"3,454,483",319.50,0.916
01050,ALABAMA                  ,BULLOCK,307,"961,945",261.11,"844,161",229.14,"17,912","93,735","6,135",273,"943,489",288.00,0.927
01060,ALABAMA                  ,BUTLER,945,"3,536,981",311.90,"3,097,001",273.10,"37,180","387,427","15,372",867,"3,239,352",311.36,1.022
01070,ALABAMA                  ,CALHOUN,"5,672","18,183,776",267.16,"16,338,349",240.04,"327,413","1,385,693","132,319","5,036","19,245,118",318.46,1.015
01080,ALABAMA                  ,CHAMBERS,"1,832","4,671,477",212.49,"4,058,102",184.59,"51,125","543,403","18,846","1,711","6,149,339",299.50,1.006
01090,ALABAMA                  ,CHEROKEE,"1,024","3,313,350",269.64,"2,972,894",241.93,"59,045","253,698","27,711",914,"3,644,633",332.30,0.962
01100,ALABAMA                  ,CHILTON,986,"2,827,683",238.99,"2,554,018",215.86,"41,805","207,944","23,913",848,"3,701,992",363.80,1.011
01110,ALABAMA                  ,CHOCTAW,804,"2,264,644",234.73,"2,006,845",208.01,"29,233","214,892","13,672",761,"2,463,163",269.73,0.910
01120,ALABAMA                  ,CLARKE,"1,409","3,607,331",213.35,"3,164,398",187.15,"94,464","296,518","51,949","1,282","3,431,604",223.06,0.919
01130,ALABAMA                  ,CLAY,654,"2,070,512",263.83,"1,840,037",234.46,"47,145","153,655","29,675",591,"1,975,503",278.55,1.006
01140,ALABAMA                  ,CLEBURNE,631,"2,350,814",310.46,"2,103,693",277.83,"48,822","185,911","12,386",582,"2,381,420",340.98,0.958
01150,ALABAMA                  ,COFFEE,"1,494","3,565,747",198.89,"3,202,520",178.63,"14,993","339,156","9,077","1,357","4,589,091",281.82,0.944
01160,ALABAMA                  ,COLBERT,"2,467","7,363,488",248.73,"6,619,853",223.61,"99,247","610,974","33,413","2,264","10,380,836",382.10,0.992
01170,ALABAMA                  ,CONECUH,789,"2,514,997",265.63,"2,219,562",234.43,"36,128","242,212","17,093",742,"2,428,507",272.74,0.960
01180,ALABAMA                  ,COOSA,649,"1,546,949",198.63,"1,362,116",174.90,"27,451","140,497","16,884",583,"2,245,548",320.98,0.980
01190,ALABAMA                  ,COVINGTON,"1,836","6,352,098",288.31,"5,632,607",255.66,"53,089","637,888","28,512","1,668","6,343,761",316.93,0.999
01200,ALABAMA                  ,CRENSHAW,572,"1,678,585",244.55,"1,415,581",206.23,"26,190","225,720","11,093",532,"1,858,999",291.20,0.937
01210,ALABAMA                  ,CULLMAN,"2,780","8,161,744",244.66,"7,299,671",218.82,"192,689","569,488","99,895","2,469","9,993,921",337.31,1.027
01220,ALABAMA                  ,DALE,"2,191","6,616,594",251.66,"6,040,702",229.75,"46,355","512,045","17,491","1,991","7,126,241",298.27,0.943
01230,ALABAMA                  ,DALLAS,"2,522","8,363,210",276.34,"6,614,106",218.55,"259,709","1,358,968","130,426","2,357","7,286,960",257.64,1.035
01240,ALABAMA                  ,DEKALB,"2,477","7,728,638",260.01,"6,819,097",229.41,"141,895","707,824","59,821","2,249","8,920,842",330.55,0.954
01250,ALABAMA                  ,ELMORE,"1,950","5,941,780",253.92,"4,998,023",213.59,"151,266","739,067","53,421","1,680","6,090,308",302.10,0.899
01260,ALABAMA                  ,ESCAMBIA,"1,665","6,141,836",307.40,"5,522,205",276.39,"131,386","456,019","32,226","1,530","6,317,999",344.12,0.993
