"DISABLED - HOSPICE - 2010 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) ",,,,,,,,,,,,,,
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,
1000,ALABAMA                  ,AUTAUGA                ,"1,172","148,350",10.55,"148,350",10.55,0,0,0,"1,005",0,0.00,
1010,ALABAMA                  ,BALDWIN                ,"4,051","821,366",16.90,"821,366",16.90,0,0,0,"3,554",0,0.00,
1020,ALABAMA                  ,BARBOUR                ,"1,061","199,833",15.70,"199,833",15.70,0,0,0,971,0,0.00,
1030,ALABAMA                  ,BIBB                   ,853,"259,142",25.32,"259,142",25.32,0,0,0,745,0,0.00,
1040,ALABAMA                  ,BLOUNT                 ,"1,081","121,839",9.39,"121,839",9.39,0,0,0,901,0,0.00,
1050,ALABAMA                  ,BULLOCK                ,307,"33,861",9.19,"33,861",9.19,0,0,0,273,0,0.00,
1060,ALABAMA                  ,BUTLER                 ,945,"70,377",6.21,"70,377",6.21,0,0,0,867,0,0.00,
1070,ALABAMA                  ,CALHOUN                ,"5,672","614,209",9.02,"614,209",9.02,0,0,0,"5,036",0,0.00,
1080,ALABAMA                  ,CHAMBERS               ,"1,832","203,251",9.25,"203,251",9.25,0,0,0,"1,711",0,0.00,
1090,ALABAMA                  ,CHEROKEE               ,"1,024","116,464",9.48,"116,464",9.48,0,0,0,914,0,0.00,
1100,ALABAMA                  ,CHILTON                ,986,"305,770",25.84,"305,770",25.84,0,0,0,848,0,0.00,
1110,ALABAMA                  ,CHOCTAW                ,804,"266,286",27.60,"266,286",27.60,0,0,0,761,0,0.00,
1120,ALABAMA                  ,CLARKE                 ,"1,409","102,640",6.07,"102,640",6.07,0,0,0,"1,282",0,0.00,
1130,ALABAMA                  ,CLAY                   ,654,"48,699",6.21,"48,699",6.21,0,0,0,591,0,0.00,
1140,ALABAMA                  ,CLEBURNE               ,631,"43,741",5.78,"43,741",5.78,0,0,0,582,0,0.00,
1150,ALABAMA                  ,COFFEE                 ,"1,494","169,228",9.44,"169,228",9.44,0,0,0,"1,357",0,0.00,
1160,ALABAMA                  ,COLBERT                ,"2,467","146,822",4.96,"146,822",4.96,0,0,0,"2,264",0,0.00,
1170,ALABAMA                  ,CONECUH                ,789,"86,632",9.15,"86,632",9.15,0,0,0,742,0,0.00,
1180,ALABAMA                  ,COOSA                  ,649,"112,392",14.43,"112,392",14.43,0,0,0,583,0,0.00,
1190,ALABAMA                  ,COVINGTON              ,"1,836","184,853",8.39,"184,853",8.39,0,0,0,"1,668",0,0.00,
1200,ALABAMA                  ,CRENSHAW               ,572,"47,533",6.92,"47,533",6.92,0,0,0,532,0,0.00,
1210,ALABAMA                  ,CULLMAN                ,"2,780","444,701",13.33,"444,701",13.33,0,0,0,"2,469",0,0.00,
1220,ALABAMA                  ,DALE                   ,"2,191","275,902",10.49,"275,902",10.49,0,0,0,"1,991",0,0.00,
1230,ALABAMA                  ,DALLAS                 ,"2,522","160,587",5.31,"160,587",5.31,0,0,0,"2,357",0,0.00,
1240,ALABAMA                  ,DEKALB                 ,"2,477","186,703",6.28,"186,703",6.28,0,0,0,"2,249",0,0.00,
1250,ALABAMA                  ,ELMORE                 ,"1,950","422,532",18.06,"422,532",18.06,0,0,0,"1,680",0,0.00,
1260,ALABAMA                  ,ESCAMBIA               ,"1,665","180,262",9.02,"180,262",9.02,0,0,0,"1,530",0,0.00,
1270,ALABAMA                  ,ETOWAH                 ,"4,620","1,054,150",19.01,"1,054,150",19.01,0,0,0,"4,156",0,0.00,
1280,ALABAMA                  ,FAYETTE                ,803,"64,275",6.67,"64,275",6.67,0,0,0,734,0,0.00,
1290,ALABAMA                  ,FRANKLIN               ,"1,407","75,933",4.50,"75,933",4.50,0,0,0,"1,323",0,0.00,
1300,ALABAMA                  ,GENEVA                 ,"1,226","220,998",15.02,"220,998",15.02,0,0,0,"1,133",0,0.00,
1310,ALABAMA                  ,GREENE                 ,563,"98,801",14.62,"98,801",14.62,0,0,0,530,0,0.00,
1320,ALABAMA                  ,HALE                   ,"1,168","133,712",9.54,"133,712",9.54,0,0,0,"1,069",0,0.00,
1330,ALABAMA                  ,HENRY                  ,724,"121,587",13.99,"121,587",13.99,0,0,0,652,0,0.00,
1340,ALABAMA                  ,HOUSTON                ,"3,662","513,967",11.70,"513,967",11.70,0,0,0,"3,362",0,0.00,
1350,ALABAMA                  ,JACKSON                ,"2,217","480,563",18.06,"480,563",18.06,0,0,0,"2,040",0,0.00,
1360,ALABAMA                  ,JEFFERSON              ,"16,154","2,930,430",15.12,"2,930,430",15.12,0,0,0,"13,309",0,0.00,
1370,ALABAMA                  ,LAMAR                  ,801,"81,533",8.48,"81,533",8.48,0,0,0,737,0,0.00,
1380,ALABAMA                  ,LAUDERDALE             ,"3,709","485,771",10.91,"485,771",10.91,0,0,0,"3,392",0,0.00,
1390,ALABAMA                  ,LAWRENCE               ,"1,212","222,723",15.31,"222,723",15.31,0,0,0,"1,096",0,0.00,
1400,ALABAMA                  ,LEE                    ,"3,077","510,196",13.82,"510,196",13.82,0,0,0,"2,774",0,0.00,
1410,ALABAMA                  ,LIMESTONE              ,"2,014","185,759",7.69,"185,759",7.69,0,0,0,"1,834",0,0.00,
1420,ALABAMA                  ,LOWNDES                ,421,"55,180",10.92,"55,180",10.92,0,0,0,373,0,0.00,
1430,ALABAMA                  ,MACON                  ,843,"97,558",9.64,"97,558",9.64,0,0,0,736,0,0.00,
1440,ALABAMA                  ,MADISON                ,"6,920","719,658",8.67,"719,658",8.67,0,0,0,"6,021",0,0.00,
1450,ALABAMA                  ,MARENGO                ,"1,059","65,199",5.13,"65,199",5.13,0,0,0,972,0,0.00,
1460,ALABAMA                  ,MARION                 ,"1,340","132,835",8.26,"132,835",8.26,0,0,0,"1,233",0,0.00,
1470,ALABAMA                  ,MARSHALL               ,"3,670","548,997",12.47,"548,997",12.47,0,0,0,"3,344",0,0.00,
1480,ALABAMA                  ,MOBILE                 ,"10,201","1,742,608",14.24,"1,742,608",14.24,0,0,0,"8,918",0,0.00,
1490,ALABAMA                  ,MONROE                 ,979,"16,799",1.43,"16,799",1.43,0,0,0,898,0,0.00,
1500,ALABAMA                  ,MONTGOMERY             ,"5,669","645,996",9.50,"645,996",9.50,0,0,0,"4,862",0,0.00,
1510,ALABAMA                  ,MORGAN                 ,"4,107","565,305",11.47,"565,305",11.47,0,0,0,"3,719",0,0.00,
1520,ALABAMA                  ,PERRY                  ,586,"79,639",11.33,"79,639",11.33,0,0,0,553,0,0.00,
1530,ALABAMA                  ,PICKENS                ,"1,235","79,820",5.39,"79,820",5.39,0,0,0,"1,126",0,0.00,
1540,ALABAMA                  ,PIKE                   ,"1,077","77,542",6.00,"77,542",6.00,0,0,0,987,0,0.00,
1550,ALABAMA                  ,RANDOLPH               ,975,"70,361",6.01,"70,361",6.01,0,0,0,900,0,0.00,
1560,ALABAMA                  ,RUSSELL                ,"1,973","289,983",12.25,"289,983",12.25,0,0,0,"1,760",0,0.00,
1570,ALABAMA                  ,ST  CLAIR              ,"1,746","194,531",9.28,"194,531",9.28,0,0,0,"1,437",0,0.00,
1580,ALABAMA                  ,SHELBY                 ,"2,035","291,287",11.93,"291,287",11.93,0,0,0,"1,644",0,0.00,
1590,ALABAMA                  ,SUMTER                 ,748,"109,008",12.14,"109,008",12.14,0,0,0,700,0,0.00,
1600,ALABAMA                  ,TALLADEGA              ,"3,926","453,940",9.64,"453,940",9.64,0,0,0,"3,423",0,0.00,
1610,ALABAMA                  ,TALLAPOOSA             ,"2,149","315,627",12.24,"315,627",12.24,0,0,0,"1,940",0,0.00,
1620,ALABAMA                  ,TUSCALOOSA             ,"6,970","450,304",5.38,"450,304",5.38,0,0,0,"6,238",0,0.00,
1630,ALABAMA                  ,WALKER                 ,"3,314","633,550",15.93,"633,550",15.93,0,0,0,"2,971",0,0.00,
1640,ALABAMA                  ,WASHINGTON             ,809,"105,467",10.86,"105,467",10.86,0,0,0,741,0,0.00,
1650,ALABAMA                  ,WILCOX                 ,865,"158,982",15.32,"158,982",15.32,0,0,0,818,0,0.00,
1660,ALABAMA                  ,WINSTON                ,"1,158","165,700",11.92,"165,700",11.92,0,0,0,"1,083",0,0.00,
2010,ALASKA                   ,ALEUTIAN ISLANDS       ,35,0,0.00,0,0.00,0,0,0,30,0,0.00,
2020,ALASKA                   ,ANCHORAGE              ,"5,104","87,653",1.43,"87,653",1.43,0,0,0,"4,539",0,0.00,
2040,ALASKA                   ,BARROW-NORTH SLOPE     ,66,0,0.00,0,0.00,0,0,0,57,0,0.00,
2050,ALASKA                   ,BETHEL                 ,79,0,0.00,0,0.00,0,0,0,73,0,0.00,
2060,ALASKA                   ,BRISTOL BAY            ,105,0,0.00,0,0.00,0,0,0,91,0,0.00,
2070,ALASKA                   ,DILLINGHAM             ,45,0,0.00,0,0.00,0,0,0,42,0,0.00,
2080,ALASKA                   ,CORDOVA-MC CARTHY      ,28,0,0.00,0,0.00,0,0,0,26,0,0.00,
2090,ALASKA                   ,FAIRBANKS NORTH STAR   ,"1,207",0,0.00,0,0.00,0,0,0,"1,050",0,0.00,
2100,ALASKA                   ,HAINES                 ,44,0,0.00,0,0.00,0,0,0,41,0,0.00,
2110,ALASKA                   ,JUNEAU                 ,584,"27,479",3.92,"27,479",3.92,0,0,0,516,0,0.00,
2120,ALASKA                   ,KENAI-COOK INLET       ,"1,156",640,0.05,640,0.05,0,0,0,"1,038",0,0.00,
2130,ALASKA                   ,KETCHIKAN GATEWAY      ,258,0,0.00,0,0.00,0,0,0,230,0,0.00,
2140,ALASKA                   ,KOBUK                  ,62,0,0.00,0,0.00,0,0,0,52,0,0.00,
2150,ALASKA                   ,KODIAK ISLAND          ,71,0,0.00,0,0.00,0,0,0,58,0,0.00,
2160,ALASKA                   ,KUSKOKWIN              ,25,0,0.00,0,0.00,0,0,0,21,0,0.00,
2170,ALASKA                   ,MATANUSKA-SUSITNA      ,"1,469","5,075",0.29,"5,075",0.29,0,0,0,"1,315",0,0.00,
2180,ALASKA                   ,NOME                   ,85,0,0.00,0,0.00,0,0,0,72,0,0.00,
2190,ALASKA                   ,OUTER KETCHIKAN        ,38,0,0.00,0,0.00,0,0,0,33,0,0.00,
2200,ALASKA                   ,PRINCE OF WALES        ,65,0,0.00,0,0.00,0,0,0,58,0,0.00,
2210,ALASKA                   ,SEWARD                 ,94,0,0.00,0,0.00,0,0,0,82,0,0.00,
2220,ALASKA                   ,SITKA                  ,134,0,0.00,0,0.00,0,0,0,122,0,0.00,
2230,ALASKA                   ,SKAGWAY-YAKUTAT        ,33,0,0.00,0,0.00,0,0,0,31,0,0.00,
2240,ALASKA                   ,SOUTHEAST FAIRBANKS    ,77,0,0.00,0,0.00,0,0,0,68,0,0.00,
2250,ALASKA                   ,UPPER YUKON            ,20,0,0.00,0,0.00,0,0,0,18,0,0.00,
2260,ALASKA                   ,VALDEZ-CHITNA-WHITIER  ,159,0,0.00,0,0.00,0,0,0,141,0,0.00,
2270,ALASKA                   ,WADE HAMPTON           ,66,0,0.00,0,0.00,0,0,0,61,0,0.00,
2280,ALASKA                   ,WRANGELL-PETERSBURG    ,107,0,0.00,0,0.00,0,0,0,96,0,0.00,
2290,ALASKA                   ,YUKON-KOYUKUK          ,61,0,0.00,0,0.00,0,0,0,56,0,0.00,
3000,ARIZONA                  ,APACHE                 ,"1,352","42,230",2.60,"42,230",2.60,0,0,0,"1,181",0,0.00,
3010,ARIZONA                  ,COCHISE                ,"2,561","166,323",5.41,"166,323",5.41,0,0,0,"2,121",0,0.00,
3020,ARIZONA                  ,COCONINO               ,"2,062","175,557",7.09,"175,557",7.09,0,0,0,"1,764",0,0.00,
3030,ARIZONA                  ,GILA                   ,"1,714","461,654",22.45,"461,654",22.45,0,0,0,"1,547",0,0.00,
3040,ARIZONA                  ,GRAHAM                 ,645,"49,360",6.38,"49,360",6.38,0,0,0,561,0,0.00,
3050,ARIZONA                  ,GREENLEE               ,164,"4,053",2.06,"4,053",2.06,0,0,0,146,0,0.00,
3055,ARIZONA                  ,LA PAZ                 ,463,"45,559",8.20,"45,559",8.20,0,0,0,381,0,0.00,
3060,ARIZONA                  ,MARICOPA               ,"40,098","10,299,889",21.41,"10,299,889",21.41,0,0,0,"30,603",0,0.00,
3070,ARIZONA                  ,MOHAVE                 ,"5,455","867,400",13.25,"867,400",13.25,0,0,0,"4,750",0,0.00,
3080,ARIZONA                  ,NAVAJO                 ,"2,341","256,936",9.15,"256,936",9.15,0,0,0,"2,041",0,0.00,
3090,ARIZONA                  ,PIMA                   ,"12,820","2,041,331",13.27,"2,041,331",13.27,0,0,0,"9,847",0,0.00,
3100,ARIZONA                  ,PINAL                  ,"4,879","830,116",14.18,"830,116",14.18,0,0,0,"3,928",0,0.00,
3110,ARIZONA                  ,SANTA CRUZ             ,458,"8,637",1.57,"8,637",1.57,0,0,0,366,0,0.00,
3120,ARIZONA                  ,YAVAPAI                ,"5,711","775,092",11.31,"775,092",11.31,0,0,0,"4,689",0,0.00,
3130,ARIZONA                  ,YUMA                   ,"2,308","289,813",10.46,"289,813",10.46,0,0,0,"2,003",0,0.00,
4000,ARKANSAS                 ,ARKANSAS               ,727,"162,697",18.65,"162,697",18.65,0,0,0,668,0,0.00,
4010,ARKANSAS                 ,ASHLEY                 ,934,"11,441",1.02,"11,441",1.02,0,0,0,854,0,0.00,
4020,ARKANSAS                 ,BAXTER                 ,"1,777","84,193",3.95,"84,193",3.95,0,0,0,"1,618",0,0.00,
4030,ARKANSAS                 ,BENTON                 ,"3,340","318,354",7.94,"318,354",7.94,0,0,0,"2,830",0,0.00,
4040,ARKANSAS                 ,BOONE                  ,"1,702","31,636",1.55,"31,636",1.55,0,0,0,"1,493",0,0.00,
4050,ARKANSAS                 ,BRADLEY                ,515,"17,040",2.76,"17,040",2.76,0,0,0,487,0,0.00,
4060,ARKANSAS                 ,CALHOUN                ,218,601,0.23,601,0.23,0,0,0,199,0,0.00,
4070,ARKANSAS                 ,CARROLL                ,809,"26,780",2.76,"26,780",2.76,0,0,0,708,0,0.00,
4080,ARKANSAS                 ,CHICOT                 ,569,628,0.09,628,0.09,0,0,0,539,0,0.00,
