"ESRD -- 2010 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) ",,,,,,,,,,,,,,
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,,,,
BENEFICIARIES ENROLLED IN PARTS A AND/OR B  ,,,,,,,,,,,,,,
REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,
1000,ALABAMA                  ,AUTAUGA                ,63,"1,543,624","2,041.83","1,341,953",1775.07,"41,152","150,176","10,340",63,"2,077,987","2,748.66",
1010,ALABAMA                  ,BALDWIN                ,197,"2,901,679","1,227.44","2,682,267",1134.63,"41,606","163,405","14,399",190,"7,158,665","3,139.77",
1020,ALABAMA                  ,BARBOUR                ,69,"968,349","1,169.50","857,388",1035.49,"9,730","97,944","3,286",68,"2,650,174","3,247.76",
1030,ALABAMA                  ,BIBB                   ,34,"783,358","1,920.00","703,836",1725.09,"14,217","61,536","3,767",33,"1,313,548","3,317.04",
1040,ALABAMA                  ,BLOUNT                 ,29,"831,261","2,388.68","723,846",2080.02,"39,325","57,420","10,669",29,"962,478","2,765.74",
1050,ALABAMA                  ,BULLOCK                ,26,"387,834","1,243.06","335,195",1074.35,"1,254","51,154",228,26,"1,030,338","3,302.37",
1060,ALABAMA                  ,BUTLER                 ,43,"689,057","1,335.38","579,966",1123.97,"12,778","92,421","3,891",40,"1,563,457","3,257.20",
1070,ALABAMA                  ,CALHOUN                ,224,"4,455,138","1,657.42","3,973,383",1478.19,"71,533","385,225","24,995",217,"8,196,014","3,147.47",
1080,ALABAMA                  ,CHAMBERS               ,84,"1,439,757","1,428.33","1,265,035",1255.00,"12,109","157,230","5,383",83,"3,417,516","3,431.24",
1090,ALABAMA                  ,CHEROKEE               ,35,"409,415",974.80,"367,003",873.82,"7,089","31,510","3,812",33,"1,104,313","2,788.67",
1100,ALABAMA                  ,CHILTON                ,40,"707,477","1,473.91","619,492",1290.61,"27,174","53,082","7,726",36,"1,282,981","2,969.86",
1110,ALABAMA                  ,CHOCTAW                ,41,"981,484","1,994.89","832,766",1692.62,"19,130","120,783","8,804",41,"1,715,569","3,486.93",
1120,ALABAMA                  ,CLARKE                 ,97,"1,009,496",867.26,"869,805",747.26,"30,527","95,247","13,916",94,"3,466,620","3,073.24",
1130,ALABAMA                  ,CLAY                   ,24,"578,555","2,008.87","509,561",1769.32,"13,796","52,595","2,601",24,"1,348,914","4,683.73",
1140,ALABAMA                  ,CLEBURNE               ,18,"573,222","2,653.81","510,108",2361.62,"10,340","48,285","4,487",18,"778,844","3,605.76",
1150,ALABAMA                  ,COFFEE                 ,73,"671,646",766.72,"583,782",666.42,"13,359","68,448","6,055",69,"2,142,855","2,587.99",
1160,ALABAMA                  ,COLBERT                ,100,"1,690,173","1,408.48","1,505,931",1254.94,"26,477","148,517","9,246",97,"3,088,215","2,653.11",
1170,ALABAMA                  ,CONECUH                ,32,"708,137","1,844.11","586,514",1527.39,"15,868","100,657","5,096",32,"1,237,351","3,222.27",
1180,ALABAMA                  ,COOSA                  ,21,"242,660",962.94,"189,834",753.32,"13,581","32,776","6,467",19,"760,095","3,333.75",
1190,ALABAMA                  ,COVINGTON              ,71,"1,756,605","2,061.74","1,578,612",1852.83,"10,500","163,039","4,452",71,"2,998,155","3,518.96",
1200,ALABAMA                  ,CRENSHAW               ,28,"478,506","1,424.13","402,648",1198.37,"8,654","65,440","1,761",27,"1,081,633","3,338.37",
1210,ALABAMA                  ,CULLMAN                ,65,"1,292,099","1,656.54","1,142,827",1465.17,"42,830","91,711","14,729",63,"2,182,713","2,887.19",
1220,ALABAMA                  ,DALE                   ,92,"1,507,832","1,365.79","1,359,008",1230.99,"17,919","123,936","6,969",86,"3,145,344","3,047.81",
1230,ALABAMA                  ,DALLAS                 ,122,"3,784,829","2,585.27","2,941,230",2009.04,"117,294","683,861","42,442",116,"4,639,291","3,332.82",
1240,ALABAMA                  ,DEKALB                 ,52,"1,261,830","2,022.16","1,121,810",1797.78,"28,963","101,286","9,769",51,"1,940,388","3,170.57",
1250,ALABAMA                  ,ELMORE                 ,79,"1,152,323","1,215.53","1,014,663",1070.32,"8,708","125,094","3,856",74,"2,390,001","2,691.44",
1260,ALABAMA                  ,ESCAMBIA               ,77,"1,919,416","2,077.29","1,762,275",1907.23,"28,068","116,750","12,322",75,"2,671,253","2,968.06",
1270,ALABAMA                  ,ETOWAH                 ,196,"3,825,584","1,626.52","3,517,612",1495.58,"44,637","248,997","14,337",185,"6,861,446","3,090.74",
1280,ALABAMA                  ,FAYETTE                ,29,"511,830","1,470.78","422,102",1212.94,"19,900","61,505","8,321",27,"942,311","2,908.37",
1290,ALABAMA                  ,FRANKLIN               ,34,"458,907","1,124.77","386,741",947.90,"21,325","46,606","4,233",31,"1,164,756","3,131.06",
1300,ALABAMA                  ,GENEVA                 ,37,"441,441",994.24,"398,451",897.42,"4,872","35,999","2,117",37,"1,262,519","2,843.51",
1310,ALABAMA                  ,GREENE                 ,30,"685,283","1,903.56","580,396",1612.21,"23,803","74,793","6,290",29,"1,132,843","3,255.30",
1320,ALABAMA                  ,HALE                   ,43,"765,958","1,484.41","653,446",1266.37,"22,836","81,549","8,125",40,"1,525,627","3,178.39",
1330,ALABAMA                  ,HENRY                  ,33,"475,302","1,200.26","427,939",1080.66,"2,940","43,716",705,33,"1,215,502","3,069.45",
1340,ALABAMA                  ,HOUSTON                ,142,"2,792,528","1,638.81","2,462,495",1445.13,"44,382","274,005","11,644",139,"4,760,180","2,853.82",
1350,ALABAMA                  ,JACKSON                ,60,"844,426","1,172.81","738,263",1025.37,"19,818","80,822","5,522",58,"1,703,726","2,447.88",
1360,ALABAMA                  ,JEFFERSON              ,"1,263","24,655,994","1,626.81","20,361,715",1343.48,"1,482,673","2,095,384","716,221","1,178","42,529,177","3,008.57",
1370,ALABAMA                  ,LAMAR                  ,29,"664,977","1,910.85","581,380",1670.64,"18,046","57,773","7,777",29,"926,517","2,662.41",
1380,ALABAMA                  ,LAUDERDALE             ,112,"2,390,799","1,778.87","2,143,916",1595.18,"61,789","170,113","14,979",110,"3,620,376","2,742.71",
1390,ALABAMA                  ,LAWRENCE               ,39,"693,649","1,482.16","633,975",1354.65,"12,461","42,232","4,980",38,"1,336,511","2,930.95",
1400,ALABAMA                  ,LEE                    ,168,"1,977,755",981.03,"1,708,170",847.31,"49,697","206,063","13,823",165,"5,635,680","2,846.30",
1410,ALABAMA                  ,LIMESTONE              ,106,"1,717,051","1,349.88","1,544,020",1213.85,"13,020","154,655","5,354",104,"3,629,797","2,908.49",
1420,ALABAMA                  ,LOWNDES                ,32,"1,073,277","2,794.99","907,128",2362.32,"16,388","144,477","5,283",30,"1,202,316","3,339.77",
1430,ALABAMA                  ,MACON                  ,68,"720,897",883.45,"639,444",783.63,"10,878","68,689","1,885",64,"2,216,131","2,885.59",
1440,ALABAMA                  ,MADISON                ,427,"8,702,342","1,698.35","7,800,848",1522.41,"189,154","663,868","48,471",399,"14,086,744","2,942.09",
1450,ALABAMA                  ,MARENGO                ,45,"1,115,826","2,066.34","931,945",1725.83,"47,354","120,057","16,468",45,"1,703,035","3,153.77",
1460,ALABAMA                  ,MARION                 ,24,"311,524","1,081.68","266,477",925.27,"11,416","29,666","3,963",24,"803,646","2,790.44",
1470,ALABAMA                  ,MARSHALL               ,109,"2,174,229","1,662.25","1,937,533",1481.30,"52,270","168,519","15,906",103,"3,540,563","2,864.53",
1480,ALABAMA                  ,MOBILE                 ,750,"14,662,478","1,629.16","12,046,623",1338.51,"920,360","1,300,710","394,784",721,"27,115,750","3,134.04",
1490,ALABAMA                  ,MONROE                 ,34,"493,831","1,210.37","450,561",1104.32,"6,360","35,081","1,828",33,"1,316,637","3,324.84",
1500,ALABAMA                  ,MONTGOMERY             ,433,"8,414,082","1,619.34","7,001,908",1347.56,"198,932","1,151,411","61,830",409,"14,890,177","3,033.86",
1510,ALABAMA                  ,MORGAN                 ,136,"2,408,183","1,475.60","2,134,522",1307.92,"61,742","200,171","11,746",131,"4,556,508","2,898.54",
