"IPPS and OPPS Wage Indices by Fiscal Year -- Note: ""A"" and ""B"" designation indicate that there was a mid-year change in the index due to change in claims processor during the year.",,,,,,,,,,,,
County code,State,County name,CBSA 2013,IPPS Wage 2007 A,IPPS Wage 2007 B,IPPS Wage 2008,IPPS Wage 2009,IPPS Wage 2010 A,IPPS Wage 2010 B,IPPS Wage 2011,IPPS Wage 2013,
1000,AL,AUTAUGA,33860, 0.7933 , 0.7933 , 0.8112 , 0.8302 , 0.8459 , 0.8459 , 0.8579 , 0.7798 ,
1010,AL,BALDWIN,NA, 0.7664 , 0.7664 , 0.7567 , 0.7618 , 0.7389 , 0.7389 , 0.7436 , 0.7071 ,
1020,AL,BARBOUR,NA, 0.7664 , 0.7664 , 0.7567 , 0.7618 , 0.7389 , 0.7389 , 0.7436 , 0.7071 ,
1030,AL,BIBB,13820, 0.8889 , 0.8889 , 0.8856 , 0.8754 , 0.8512 , 0.8512 , 0.8587 , 0.8458 ,
1040,AL,BLOUNT,13820, 0.8889 , 0.8889 , 0.8856 , 0.8754 , 0.8512 , 0.8512 , 0.8587 , 0.8458 ,
1050,AL,BULLOCK,NA, 0.7664 , 0.7664 , 0.7567 , 0.7618 , 0.7389 , 0.7389 , 0.7436 , 0.7071 ,
1060,AL,BUTLER,NA, 0.7664 , 0.7664 , 0.7567 , 0.7618 , 0.7389 , 0.7389 , 0.7436 , 0.7071 ,
1070,AL,CALHOUN,11500, 0.7997 , 0.7997 , 0.7976 , 0.7978 , 0.7603 , 0.7603 , 0.7864 , 0.7432 ,
1080,AL,CHAMBERS,NA, 0.7664 , 0.7664 , 0.7567 , 0.7618 , 0.7389 , 0.7389 , 0.7436 , 0.7071 ,
1090,AL,CHEROKEE,NA, 0.7664 , 0.7664 , 0.7567 , 0.7618 , 0.7389 , 0.7389 , 0.7436 , 0.7071 ,
1100,AL,CHILTON,13820, 0.8889 , 0.8889 , 0.8856 , 0.8754 , 0.8512 , 0.8512 , 0.8587 , 0.8458 ,
1110,AL,CHOCTAW,NA, 0.7664 , 0.7664 , 0.7567 , 0.7618 , 0.7389 , 0.7389 , 0.7436 , 0.7071 ,
1120,AL,CLARKE,NA, 0.7664 , 0.7664 , 0.7567 , 0.7618 , 0.7389 , 0.7389 , 0.7436 , 0.7071 ,
1130,AL,CLAY,NA, 0.7664 , 0.7664 , 0.7567 , 0.7618 , 0.7389 , 0.7389 , 0.7436 , 0.7071 ,
