AGED -- REPRICING ADJUSTMENTS TO THE 2007-2011 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,Part A Reimbursement Adjustment 2007,Part A Reimbursement Adjustment 2008,Part A Reimbursement Adjustment 2009,Part A Reimbursement Adjustment 2010,Part A Reimbursement Adjustment 2011,,,,,
01000,ALABAMA                  ,AUTAUGA,"-159,365","-279,122","-374,548","-495,597","-479,071",,,,,
01010,ALABAMA                  ,BALDWIN,"-1,423,553","-1,777,274","-1,447,396","-1,331,362","-1,140,100",,,,,
01020,ALABAMA                  ,BARBOUR,"77,495","39,464","-107,733","-94,691","-26,048",,,,,
01030,ALABAMA                  ,BIBB,"-115,101","-84,571","-68,200","-58,177","-65,278",,,,,
01040,ALABAMA                  ,BLOUNT,"-362,824","-290,631","-195,961","-80,443","-67,696",,,,,
01050,ALABAMA                  ,BULLOCK,"-18,521","-39,696","-61,897","-68,380","-50,772",,,,,
01060,ALABAMA                  ,BUTLER,"-357,442","-405,553","-415,121","-350,764","-277,998",,,,,
01070,ALABAMA                  ,CALHOUN,"-1,802,403","-1,676,452","-1,333,967","-602,055","-877,021",,,,,
01080,ALABAMA                  ,CHAMBERS,"-483,875","-593,484","-464,152","-437,515","-479,462",,,,,
01090,ALABAMA                  ,CHEROKEE,"-98,157","-100,301","-50,885","-35,862","144,578",,,,,
01100,ALABAMA                  ,CHILTON,"-298,384","-270,319","-194,395","-71,125","-86,553",,,,,
01110,ALABAMA                  ,CHOCTAW,"-67,546","-62,021","-79,644","-104,849","-76,432",,,,,
01120,ALABAMA                  ,CLARKE,"-362,927","-385,847","-281,712","-242,820","-255,459",,,,,
01130,ALABAMA                  ,CLAY,"-262,244","-235,343","-196,177","-99,248","-92,296",,,,,
01140,ALABAMA                  ,CLEBURNE,"-213,823","-214,502","-156,910","-64,190","-111,565",,,,,
01150,ALABAMA                  ,COFFEE,"-155,829","-157,981","-432,267","-313,776","-150,076",,,,,
01160,ALABAMA                  ,COLBERT,"-620,200","-467,711","-574,103","-669,537","-747,541",,,,,
01170,ALABAMA                  ,CONECUH,"-256,669","-270,756","-214,729","-176,418","-152,624",,,,,
01180,ALABAMA                  ,COOSA,"-55,319","-143,896","-138,183","-98,960","-80,382",,,,,
01190,ALABAMA                  ,COVINGTON,"-551,708","-519,436","-575,405","-479,872","-323,440",,,,,
01200,ALABAMA                  ,CRENSHAW,"-138,901","-139,636","-182,583","-169,248","-157,504",,,,,
01210,ALABAMA                  ,CULLMAN,"-1,184,547","-945,454","-664,814","-380,982","-335,903",,,,,
01220,ALABAMA                  ,DALE,"168,369","94,865","-461,950","-369,842","-27,710",,,,,
01230,ALABAMA                  ,DALLAS,"-151,244","-79,054","-222,435","-345,347","-228,890",,,,,
01240,ALABAMA                  ,DEKALB,"-260,924","-255,847","-166,656","-194,766","-97,302",,,,,
01250,ALABAMA                  ,ELMORE,"-272,403","-503,944","-651,749","-905,420","-822,400",,,,,
01260,ALABAMA                  ,ESCAMBIA,"-496,789","-595,024","-538,001","-395,883","-382,423",,,,,
01270,ALABAMA                  ,ETOWAH,"263,463","258,425","307,518","-59,264","653,594",,,,,
01280,ALABAMA                  ,FAYETTE,"-142,293","-32,486","21,774",-308,"-15,933",,,,,
01290,ALABAMA                  ,FRANKLIN,"-438,383","-328,389","-340,255","-393,489","-449,515",,,,,
01300,ALABAMA                  ,GENEVA,"181,517","113,155","-169,872","-149,598","19,090",,,,,
01310,ALABAMA                  ,GREENE,"-5,050","26,032","-15,481","-50,110","-55,882",,,,,
01320,ALABAMA                  ,HALE,-337,"67,189","-27,571","-84,764","-115,675",,,,,
01330,ALABAMA                  ,HENRY,"151,482","79,086","-130,123","-116,218","18,354",,,,,
01340,ALABAMA                  ,HOUSTON,"648,325","413,504","-636,355","-601,551","-39,203",,,,,
01350,ALABAMA                  ,JACKSON,"-591,075","-601,100","-469,816","-481,194","-513,304",,,,,
01360,ALABAMA                  ,JEFFERSON,"-4,623,816","-3,949,101","-2,381,586","-806,214","-912,536",,,,,
01370,ALABAMA                  ,LAMAR,"-182,781","-109,644","-31,764","-57,576","-54,622",,,,,
01380,ALABAMA                  ,LAUDERDALE,"-918,137","-733,728","-900,226","-1,065,523","-1,154,437",,,,,
01390,ALABAMA                  ,LAWRENCE,"-668,642","-636,095","-584,752","-533,798","-556,617",,,,,
01400,ALABAMA                  ,LEE,"104,785","-176,012","-40,463","-50,433","-226,335",,,,,
01410,ALABAMA                  ,LIMESTONE,"-874,746","-886,171","-752,825","-736,116","-773,846",,,,,
01420,ALABAMA                  ,LOWNDES,"-43,819","-63,692","-109,866","-110,064","-108,339",,,,,
01430,ALABAMA                  ,MACON,"-23,908","-75,971","-112,484","-122,481","-163,551",,,,,
01440,ALABAMA                  ,MADISON,"-3,083,197","-3,173,169","-2,739,464","-2,888,837","-3,122,736",,,,,
01450,ALABAMA                  ,MARENGO,"-59,588","-52,836","-55,817","-64,966","-77,529",,,,,
01460,ALABAMA                  ,MARION,"-427,856","-301,727","-138,119","-99,725","-90,686",,,,,
01470,ALABAMA                  ,MARSHALL,"-1,742,899","-1,559,433","-1,370,364","-1,252,851","-763,166",,,,,
01480,ALABAMA                  ,MOBILE,"-2,741,914","-3,505,318","-2,182,001","-2,219,579","-2,427,259",,,,,
01490,ALABAMA                  ,MONROE,"-148,791","-168,757","-107,760","-100,722","-122,873",,,,,
01500,ALABAMA                  ,MONTGOMERY,"-781,919","-1,274,373","-1,819,708","-2,399,356","-2,350,951",,,,,
01510,ALABAMA                  ,MORGAN,"-3,768,531","-3,738,953","-3,403,433","-3,271,364","-3,024,187",,,,,
01520,ALABAMA                  ,PERRY,"-26,178","4,201","-32,472","-56,843","-50,068",,,,,
01530,ALABAMA                  ,PICKENS,"-12,725","46,812","-27,693","-98,465","-111,087",,,,,
01540,ALABAMA                  ,PIKE,"-97,167","-164,063","-297,824","-368,823","-321,443",,,,,
01550,ALABAMA                  ,RANDOLPH,"-79,962","-128,001","-78,139","-42,353","-70,510",,,,,
01560,ALABAMA                  ,RUSSELL,"148,598","-176,065","-97,463","10,830","-183,495",,,,,
01570,ALABAMA                  ,ST. CLAIR,"-402,368","-355,953","-233,218","-80,159","-75,648",,,,,
01580,ALABAMA                  ,SHELBY,"-699,680","-568,299","-403,124","-136,148","-157,860",,,,,
01590,ALABAMA                  ,SUMTER,"-44,483","-26,224","-44,385","-75,028","-59,554",,,,,
01600,ALABAMA                  ,TALLADEGA,"-825,978","-1,049,463","-1,041,941","-761,674","-605,796",,,,,
01610,ALABAMA                  ,TALLAPOOSA,"-69,743","-375,896","-359,731","-303,667","-305,344",,,,,
01620,ALABAMA                  ,TUSCALOOSA,"24,525","464,715","-187,904","-797,262","-928,330",,,,,
01630,ALABAMA                  ,WALKER,"-887,804","-754,522","-455,279","-167,759","-187,909",,,,,
