AGED -- REPRICING ADJUSTMENTS TO THE 2007-2011 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,
CODE,STATE,COUNTY,Part B Reimbursement Adjustment 2007,Part B Reimbursement Adjustment 2008,Part B Reimbursement Adjustment 2009,Part B Reimbursement Adjustment 2010,Part B Reimbursement Adjustment 2011
01000,ALABAMA                  ,AUTAUGA,"-25,908","-47,613","-71,223","-99,284","-109,509"
01010,ALABAMA                  ,BALDWIN,"-298,578","-448,569","-417,682","-417,710","-354,646"
01020,ALABAMA                  ,BARBOUR,"33,259","27,760","1,095","8,826","11,991"
01030,ALABAMA                  ,BIBB,"-17,233","-12,217","-11,128","-11,520","-14,562"
01040,ALABAMA                  ,BLOUNT,"-58,987","-56,687","-42,099","-20,335","-18,141"
01050,ALABAMA                  ,BULLOCK,"-2,024","-7,383","-7,178","-10,087","-12,747"
01060,ALABAMA                  ,BUTLER,"-46,722","-57,480","-57,767","-68,211","-67,232"
01070,ALABAMA                  ,CALHOUN,"-258,438","-261,948","-205,889","-133,374","-215,581"
01080,ALABAMA                  ,CHAMBERS,"-52,350","-83,992","-61,052","-71,914","-103,807"
01090,ALABAMA                  ,CHEROKEE,"-20,523","-21,790","-21,468","-17,098","26,896"
01100,ALABAMA                  ,CHILTON,"-52,132","-49,245","-32,032","-16,663","-16,120"
01110,ALABAMA                  ,CHOCTAW,"-18,084","-15,243","-22,046","-27,316","-26,353"
01120,ALABAMA                  ,CLARKE,"-54,444","-61,685","-54,391","-60,163","-58,298"
01130,ALABAMA                  ,CLAY,"-25,347","-38,239","-34,211","-22,000","-21,832"
01140,ALABAMA                  ,CLEBURNE,"-29,358","-29,913","-24,127","-13,962","-23,041"
01150,ALABAMA                  ,COFFEE,"-12,940","-18,884","-80,219","-71,824","-34,660"
01160,ALABAMA                  ,COLBERT,"-91,250","-86,278","-122,636","-175,347","-188,162"
01170,ALABAMA                  ,CONECUH,"-32,640","-34,201","-29,546","-30,342","-34,443"
01180,ALABAMA                  ,COOSA,"-3,378","-35,946","-33,348","-31,731","-23,543"
01190,ALABAMA                  ,COVINGTON,"-59,663","-73,914","-92,752","-88,508","-64,532"
01200,ALABAMA                  ,CRENSHAW,"-14,817","-21,681","-23,516","-31,748","-31,229"
01210,ALABAMA                  ,CULLMAN,"-205,575","-184,122","-149,167","-108,176","-86,745"
01220,ALABAMA                  ,DALE,"30,283","15,610","-93,302","-85,309","-16,727"
01230,ALABAMA                  ,DALLAS,"-19,214","-11,252","-34,283","-54,904","-39,715"
01240,ALABAMA                  ,DEKALB,"-211,152","-258,340","-249,831","-226,494","-100,071"
01250,ALABAMA                  ,ELMORE,"-34,327","-78,424","-112,912","-178,600","-175,035"
01260,ALABAMA                  ,ESCAMBIA,"-83,568","-110,936","-103,685","-105,308","-93,014"
01270,ALABAMA                  ,ETOWAH,"10,052","8,066","14,161","-17,059","114,803"
01280,ALABAMA                  ,FAYETTE,"-32,235","-13,596","5,862","8,529",87
01290,ALABAMA                  ,FRANKLIN,"-59,520","-49,443","-61,480","-82,201","-76,482"
01300,ALABAMA                  ,GENEVA,"17,092","5,728","-43,488","-38,261","-1,961"
01310,ALABAMA                  ,GREENE,"-2,294","1,369","-2,436","-9,729","-11,399"
01320,ALABAMA                  ,HALE,"-3,625","3,669","-6,705","-20,497","-24,025"
01330,ALABAMA                  ,HENRY,"21,144","17,113","-27,169","-25,589","-5,698"
01340,ALABAMA                  ,HOUSTON,"120,165","78,212","-153,596","-153,783","-5,534"
01350,ALABAMA                  ,JACKSON,"-138,909","-163,501","-173,417","-244,547","-251,472"
01360,ALABAMA                  ,JEFFERSON,"-684,540","-663,716","-430,651","-164,880","-195,815"
01370,ALABAMA                  ,LAMAR,"-29,088","-18,210","-7,681","-10,037","-12,372"
01380,ALABAMA                  ,LAUDERDALE,"-131,938","-118,592","-171,878","-249,402","-254,510"
01390,ALABAMA                  ,LAWRENCE,"-95,429","-99,059","-94,245","-110,704","-121,807"
01400,ALABAMA                  ,LEE,"25,102","-34,145","-3,629","-1,920","-80,598"
01410,ALABAMA                  ,LIMESTONE,"-140,755","-158,964","-157,389","-202,535","-238,153"
01420,ALABAMA                  ,LOWNDES,"-4,977","-7,622","-15,145","-17,603","-18,211"
01430,ALABAMA                  ,MACON,"-1,564","-10,038","-11,221","-16,601","-23,886"
01440,ALABAMA                  ,MADISON,"-509,665","-569,589","-581,938","-731,083","-883,148"
01450,ALABAMA                  ,MARENGO,"-23,435","-22,314","-21,245","-23,748","-26,077"
01460,ALABAMA                  ,MARION,"-65,002","-51,323","-19,837","-9,799","-9,687"
01470,ALABAMA                  ,MARSHALL,"-400,984","-347,133","-320,715","-303,759","-235,390"
01480,ALABAMA                  ,MOBILE,"-372,865","-603,351","-419,561","-466,421","-496,843"
01490,ALABAMA                  ,MONROE,"-48,588","-53,568","-42,427","-40,411","-47,211"
01500,ALABAMA                  ,MONTGOMERY,"-96,919","-187,949","-267,136","-416,025","-435,620"
01510,ALABAMA                  ,MORGAN,"-521,315","-564,478","-495,625","-589,686","-649,118"
01520,ALABAMA                  ,PERRY,"-9,709","-3,453","-7,010","-12,842","-9,952"
01530,ALABAMA                  ,PICKENS,"-12,332","-3,996","-13,007","-20,153","-22,574"
01540,ALABAMA                  ,PIKE,"-19,173","-28,569","-46,643","-65,943","-74,823"
01550,ALABAMA                  ,RANDOLPH,"-12,807","-29,558","-16,117","-3,928","-22,635"
01560,ALABAMA                  ,RUSSELL,"41,924","-28,475","-22,008","3,629","-51,652"
01570,ALABAMA                  ,ST. CLAIR,"-65,658","-70,053","-39,889","-17,639","-15,873"
01580,ALABAMA                  ,SHELBY,"-107,733","-106,663","-72,490","-33,226","-35,571"
01590,ALABAMA                  ,SUMTER,"-11,873","-12,925","-13,655","-21,069","-18,879"
01600,ALABAMA                  ,TALLADEGA,"-138,957","-217,005","-226,231","-209,580","-181,016"
01610,ALABAMA                  ,TALLAPOOSA,"19,950","-115,993","-101,317","-79,664","-72,094"
01620,ALABAMA                  ,TUSCALOOSA,"-2,185","52,832","-30,193","-132,362","-173,363"
01630,ALABAMA                  ,WALKER,"-132,399","-117,000","-86,089","-33,282","-39,756"
01640,ALABAMA                  ,WASHINGTON,"-23,286","-35,489","-23,931","-34,463","-37,700"
01650,ALABAMA                  ,WILCOX,"-16,516","-19,412","-23,402","-27,663","-31,602"
01660,ALABAMA                  ,WINSTON,"-43,704","-47,274","-43,584","-35,727","-35,023"
02010,ALASKA                   ,ALEUTIANS ISLANDS,157,79,149,"2,180",-35
02020,ALASKA                   ,ANCHORAGE,"242,877","262,949","395,036","322,184","59,536"
02040,ALASKA                   ,BARROW DIVISION,"1,903","1,184","2,144","1,378","1,161"
02050,ALASKA                   ,BETHEL,914,695,"1,590",874,271
02060,ALASKA                   ,BRISTOL BAY,"18,054","10,679","13,741","15,337","3,296"
02070,ALASKA                   ,DILLINGHAM,624,"1,260","2,175","1,108",239
02080,ALASKA                   ,CORDOVA-MC CARTHY,"1,203","2,099","3,343","1,925",300
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"168,427","107,180","177,475","158,504","24,827"
02100,ALASKA                   ,HAINES,"3,095","3,130","3,124","3,719","1,162"
02110,ALASKA                   ,JUNEAU,"40,018","30,032","22,472","27,060","18,325"
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"174,505","100,623","132,367","137,489","24,216"
02130,ALASKA                   ,KETCHIKAN GATEWAY,"6,149","2,167","1,343","4,001","1,795"
02140,ALASKA                   ,KOBUK,"2,148",409,"1,101","3,467",451
02150,ALASKA                   ,KODIAK ISLAND,"2,106","2,395","2,677","1,343",789
02160,ALASKA                   ,KUSKOKWIN DIVISION,386,"1,128",547,739,176
02170,ALASKA                   ,MATANUSKA-SUSITNA,"96,398","102,910","131,215","125,111","24,392"
02180,ALASKA                   ,NOME,"1,430","2,137","3,141",709,886
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,678,659,-400,546,"1,099"
02200,ALASKA                   ,PRINCE OF WALES DIVISION,"1,408","1,366","1,378",932,664
02210,ALASKA                   ,SEWARD,"4,096","2,760","3,825","5,029","1,978"
02220,ALASKA                   ,SITKA,"4,581","1,916","1,757","2,495","2,733"
02230,ALASKA                   ,SKAGWAY,"2,844","2,589","1,292","3,493","1,668"
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,"11,943","6,461","11,035","10,000","1,553"
02250,ALASKA                   ,UPPER YUKON DIVISION,"3,400","2,689","4,580","3,640",513
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,"10,369","6,548","7,659","9,504","1,491"
02270,ALASKA                   ,WADE HAMPTON,988,"1,056",306,867,"1,100"
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,"12,434","7,701","5,489","5,878","4,281"
02290,ALASKA                   ,YUKON-KOYUKUK,"14,965","8,079","11,885","11,843","1,837"
03000,ARIZONA                  ,APACHE,"41,236","110,669","66,131","106,641","88,749"
03010,ARIZONA                  ,COCHISE,"301,616","415,337","401,257","486,645","537,691"
03020,ARIZONA                  ,COCONINO,"84,277","105,371","49,720","-66,328","-69,511"
03030,ARIZONA                  ,GILA,"72,031","83,085","57,436","-22,098","-53,747"
03040,ARIZONA                  ,GRAHAM,"49,480","127,579","85,976","144,860","150,326"
03050,ARIZONA                  ,GREENLEE,"5,280","25,131","11,610","26,639","29,843"
03055,ARIZONA                  ,LA PAZ,"73,520","102,177","92,116","137,961","118,270"
03060,ARIZONA                  ,MARICOPA,"1,765,476","2,205,555","1,641,640","754,394","981,277"
03070,ARIZONA                  ,MOHAVE,"-544,053","816,415","420,902","275,825","305,514"
03080,ARIZONA                  ,NAVAJO,"141,969","268,777","258,110","344,072","362,983"
03090,ARIZONA                  ,PIMA,"1,553,305","1,885,645","1,897,934","1,922,623","2,412,875"
03100,ARIZONA                  ,PINAL,"156,309","236,068","181,254","120,309","146,629"
03110,ARIZONA                  ,SANTA CRUZ,"32,220","40,949","49,279","51,550","89,145"
03120,ARIZONA                  ,YAVAPAI,"784,769","921,793","925,621","602,763","-368,173"
03130,ARIZONA                  ,YUMA,"362,346","250,031","363,739","773,894","773,592"
04000,ARKANSAS                 ,ARKANSAS,"-44,109","-19,929","-23,469","-5,542","-4,662"
04010,ARKANSAS                 ,ASHLEY,"-34,789","-7,993","-11,220","-5,154","-12,630"
04020,ARKANSAS                 ,BAXTER,"-1,782","-29,720","-15,050","-18,093","1,794"
04030,ARKANSAS                 ,BENTON,"100,291","125,365","126,353","281,231","359,308"
04040,ARKANSAS                 ,BOONE,"27,341","29,349","53,607","93,622","88,322"
04050,ARKANSAS                 ,BRADLEY,"-26,360","-9,943","-7,428","-2,465","-3,709"
04060,ARKANSAS                 ,CALHOUN,"-15,411","-2,435","-2,014","-1,636","-3,539"
04070,ARKANSAS                 ,CARROLL,"8,375","7,626","11,980","25,417","29,115"
04080,ARKANSAS                 ,CHICOT,"-15,543","-5,908","-7,593","-1,455","-4,972"
04090,ARKANSAS                 ,CLARK,"-27,641","-14,583","-17,382","-8,957","-17,733"
04100,ARKANSAS                 ,CLAY,"-25,233","-28,276","-25,056","-12,534","-16,037"
04110,ARKANSAS                 ,CLEBURNE,"-90,105","-33,913","-27,682","-8,723","-10,245"
04120,ARKANSAS                 ,CLEVELAND,"-20,933","-8,437","-8,115","-1,592","-3,116"
04130,ARKANSAS                 ,COLUMBIA,"-60,719","-15,563","-16,246","-8,717","-12,907"
04140,ARKANSAS                 ,CONWAY,"-49,261","-20,865","-16,111","-5,534","-7,456"
04150,ARKANSAS                 ,CRAIGHEAD,"-138,489","-141,542","-80,306","-47,819","-65,423"
04160,ARKANSAS                 ,CRAWFORD,"-20,595","-48,027","12,073",-237,"59,814"
04170,ARKANSAS                 ,CRITTENDEN,"-33,872","-38,782","-37,651","-31,212","-45,569"
04180,ARKANSAS                 ,CROSS,"-17,653","-18,110","-15,165","-7,441","-12,322"
