AGED -- 2011  REIMBURSEMENT FOR COST CONTRACTS - FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A REIMBURSEMENT W/O IME/DSH/GME,PART B TOTAL REIMBURSEMENT,,,,,,,,,
01000,ALABAMA                  ,AUTAUGA,0,0,0,,,,,,,,,
01010,ALABAMA                  ,BALDWIN,"85,631","80,182","41,614",,,,,,,,,
01020,ALABAMA                  ,BARBOUR,0,0,88,,,,,,,,,
01030,ALABAMA                  ,BIBB,"152,860","126,627","35,816",,,,,,,,,
01040,ALABAMA                  ,BLOUNT,"297,476","288,389","46,538",,,,,,,,,
01050,ALABAMA                  ,BULLOCK,0,0,0,,,,,,,,,
01060,ALABAMA                  ,BUTLER,0,0,0,,,,,,,,,
01070,ALABAMA                  ,CALHOUN,0,0,0,,,,,,,,,
01080,ALABAMA                  ,CHAMBERS,0,0,0,,,,,,,,,
01090,ALABAMA                  ,CHEROKEE,0,0,0,,,,,,,,,
01100,ALABAMA                  ,CHILTON,"33,791","31,970","19,677",,,,,,,,,
01110,ALABAMA                  ,CHOCTAW,0,0,0,,,,,,,,,
01120,ALABAMA                  ,CLARKE,0,0,535,,,,,,,,,
01130,ALABAMA                  ,CLAY,0,0,0,,,,,,,,,
01140,ALABAMA                  ,CLEBURNE,0,0,0,,,,,,,,,
01150,ALABAMA                  ,COFFEE,0,0,0,,,,,,,,,
01160,ALABAMA                  ,COLBERT,0,0,0,,,,,,,,,
01170,ALABAMA                  ,CONECUH,0,0,0,,,,,,,,,
01180,ALABAMA                  ,COOSA,0,0,0,,,,,,,,,
01190,ALABAMA                  ,COVINGTON,"3,615","2,830","8,689",,,,,,,,,
01200,ALABAMA                  ,CRENSHAW,0,0,141,,,,,,,,,
01210,ALABAMA                  ,CULLMAN,"166,628","151,125","69,536",,,,,,,,,
01220,ALABAMA                  ,DALE,0,0,0,,,,,,,,,
01230,ALABAMA                  ,DALLAS,0,0,122,,,,,,,,,
01240,ALABAMA                  ,DEKALB,"32,816","32,334","10,605",,,,,,,,,
01250,ALABAMA                  ,ELMORE,"15,994","14,096","57,161",,,,,,,,,
01260,ALABAMA                  ,ESCAMBIA,0,0,"1,586",,,,,,,,,
01270,ALABAMA                  ,ETOWAH,0,0,0,,,,,,,,,
01280,ALABAMA                  ,FAYETTE,"61,355","50,997","9,891",,,,,,,,,
01290,ALABAMA                  ,FRANKLIN,0,0,0,,,,,,,,,
01300,ALABAMA                  ,GENEVA,0,0,0,,,,,,,,,
01310,ALABAMA                  ,GREENE,"13,931","13,607","1,349",,,,,,,,,
01320,ALABAMA                  ,HALE,0,0,485,,,,,,,,,
01330,ALABAMA                  ,HENRY,0,0,0,,,,,,,,,
01340,ALABAMA                  ,HOUSTON,0,0,0,,,,,,,,,
01350,ALABAMA                  ,JACKSON,0,0,0,,,,,,,,,
01360,ALABAMA                  ,JEFFERSON,"2,235,776","2,017,886","645,347",,,,,,,,,
01370,ALABAMA                  ,LAMAR,0,0,"1,011",,,,,,,,,
01380,ALABAMA                  ,LAUDERDALE,0,0,"3,217",,,,,,,,,
01390,ALABAMA                  ,LAWRENCE,0,0,"2,133",,,,,,,,,
01400,ALABAMA                  ,LEE,0,0,0,,,,,,,,,
01410,ALABAMA                  ,LIMESTONE,"16,768","14,794","29,440",,,,,,,,,
01420,ALABAMA                  ,LOWNDES,0,0,0,,,,,,,,,
01430,ALABAMA                  ,MACON,0,0,"11,854",,,,,,,,,
01440,ALABAMA                  ,MADISON,"135,141","124,546","30,610",,,,,,,,,
01450,ALABAMA                  ,MARENGO,0,0,0,,,,,,,,,
01460,ALABAMA                  ,MARION,"210,191","205,419","51,479",,,,,,,,,
01470,ALABAMA                  ,MARSHALL,"16,948","14,596","1,290",,,,,,,,,
01480,ALABAMA                  ,MOBILE,"56,884","55,315","9,521",,,,,,,,,
01490,ALABAMA                  ,MONROE,0,0,0,,,,,,,,,
01500,ALABAMA                  ,MONTGOMERY,"53,360","45,004","16,748",,,,,,,,,
01510,ALABAMA                  ,MORGAN,0,0,572,,,,,,,,,
01520,ALABAMA                  ,PERRY,0,0,0,,,,,,,,,
01530,ALABAMA                  ,PICKENS,0,0,804,,,,,,,,,
01540,ALABAMA                  ,PIKE,0,0,0,,,,,,,,,
01550,ALABAMA                  ,RANDOLPH,0,0,0,,,,,,,,,
01560,ALABAMA                  ,RUSSELL,0,0,"1,627",,,,,,,,,
01570,ALABAMA                  ,ST. CLAIR,"107,487","99,820","10,299",,,,,,,,,
01580,ALABAMA                  ,SHELBY,"156,585","139,221","81,775",,,,,,,,,
01590,ALABAMA                  ,SUMTER,"7,196","6,293","1,093",,,,,,,,,
01600,ALABAMA                  ,TALLADEGA,0,0,0,,,,,,,,,
01610,ALABAMA                  ,TALLAPOOSA,0,0,0,,,,,,,,,
01620,ALABAMA                  ,TUSCALOOSA,"164,390","147,068","46,338",,,,,,,,,
01630,ALABAMA                  ,WALKER,"1,984,559","1,823,949","695,712",,,,,,,,,
01640,ALABAMA                  ,WASHINGTON,0,0,0,,,,,,,,,
01650,ALABAMA                  ,WILCOX,0,0,0,,,,,,,,,
01660,ALABAMA                  ,WINSTON,"17,540","15,179","9,582",,,,,,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,0,0,0,,,,,,,,,
02020,ALASKA                   ,ANCHORAGE,"16,517","14,033","6,106",,,,,,,,,
02040,ALASKA                   ,BARROW DIVISION,0,0,0,,,,,,,,,
02050,ALASKA                   ,BETHEL,0,0,0,,,,,,,,,
02060,ALASKA                   ,BRISTOL BAY,0,0,0,,,,,,,,,
02070,ALASKA                   ,DILLINGHAM,0,0,0,,,,,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,0,0,"2,548",,,,,,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,0,0,949,,,,,,,,,
02100,ALASKA                   ,HAINES,0,0,0,,,,,,,,,
02110,ALASKA                   ,JUNEAU,0,0,0,,,,,,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,0,0,"1,398",,,,,,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,0,0,162,,,,,,,,,
02140,ALASKA                   ,KOBUK,0,0,0,,,,,,,,,
02150,ALASKA                   ,KODIAK ISLAND,0,0,0,,,,,,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,0,0,0,,,,,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"53,952","50,376","19,533",,,,,,,,,
02180,ALASKA                   ,NOME,0,0,0,,,,,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,0,0,0,,,,,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,0,0,0,,,,,,,,,
02210,ALASKA                   ,SEWARD,0,0,0,,,,,,,,,
02220,ALASKA                   ,SITKA,0,0,0,,,,,,,,,
02230,ALASKA                   ,SKAGWAY,0,0,0,,,,,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,0,0,0,,,,,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,0,0,0,,,,,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,0,0,"15,207",,,,,,,,,
02270,ALASKA                   ,WADE HAMPTON,0,0,0,,,,,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,0,0,0,,,,,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,0,0,0,,,,,,,,,
03000,ARIZONA                  ,APACHE,0,0,0,,,,,,,,,
03010,ARIZONA                  ,COCHISE,"21,796","19,219","48,175",,,,,,,,,
03020,ARIZONA                  ,COCONINO,"40,094","34,768","43,459",,,,,,,,,
03030,ARIZONA                  ,GILA,"46,577","41,724","11,166",,,,,,,,,
03040,ARIZONA                  ,GRAHAM,0,0,404,,,,,,,,,
03050,ARIZONA                  ,GREENLEE,0,0,0,,,,,,,,,
03055,ARIZONA                  ,LA PAZ,"213,630","201,619","57,538",,,,,,,,,
03060,ARIZONA                  ,MARICOPA,"1,512,855","1,364,446","906,983",,,,,,,,,
03070,ARIZONA                  ,MOHAVE,"389,489","355,191","280,096",,,,,,,,,
03080,ARIZONA                  ,NAVAJO,"332,173","300,535","260,570",,,,,,,,,
03090,ARIZONA                  ,PIMA,"291,364","257,791","227,893",,,,,,,,,
03100,ARIZONA                  ,PINAL,"281,801","243,969","199,538",,,,,,,,,
03110,ARIZONA                  ,SANTA CRUZ,0,0,0,,,,,,,,,
03120,ARIZONA                  ,YAVAPAI,"298,074","274,406","145,340",,,,,,,,,
03130,ARIZONA                  ,YUMA,"221,862","207,740","148,819",,,,,,,,,
04000,ARKANSAS                 ,ARKANSAS,0,0,0,,,,,,,,,
04010,ARKANSAS                 ,ASHLEY,0,0,"3,814",,,,,,,,,
04020,ARKANSAS                 ,BAXTER,"294,186","285,679","77,443",,,,,,,,,
04030,ARKANSAS                 ,BENTON,"108,980","105,186","165,579",,,,,,,,,
04040,ARKANSAS                 ,BOONE,"13,107","11,523","2,466",,,,,,,,,
04050,ARKANSAS                 ,BRADLEY,0,0,0,,,,,,,,,
04060,ARKANSAS                 ,CALHOUN,0,0,0,,,,,,,,,
