DISABLED -- REPRICING ADJUSTMENTS TO THE 2007-2011 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,Part B Reimbursement Adjustment 2007,Part B Reimbursement Adjustment 2008,Part B Reimbursement Adjustment 2009,Part B Reimbursement Adjustment 2010,Part B Reimbursement Adjustment 2011,,,,,
01000,ALABAMA                  ,AUTAUGA,"-6,823","-14,592","-20,423","-23,470","-26,190",,,,,
01010,ALABAMA                  ,BALDWIN,"-58,970","-79,966","-81,351","-75,830","-71,830",,,,,
01020,ALABAMA                  ,BARBOUR,"10,060","10,817","1,605","5,969","4,241",,,,,
01030,ALABAMA                  ,BIBB,"-8,094","-6,518","-5,389","-5,774","-7,390",,,,,
01040,ALABAMA                  ,BLOUNT,"-16,827","-17,002","-12,338","-6,803","-5,959",,,,,
01050,ALABAMA                  ,BULLOCK,-506,"-1,195","-2,063","-3,648","-3,310",,,,,
01060,ALABAMA                  ,BUTLER,"-17,851","-23,602","-21,235","-19,179","-21,751",,,,,
01070,ALABAMA                  ,CALHOUN,"-98,458","-107,208","-92,918","-52,988","-84,600",,,,,
01080,ALABAMA                  ,CHAMBERS,"-18,789","-27,863","-24,550","-37,887","-44,088",,,,,
01090,ALABAMA                  ,CHEROKEE,"-7,437","-11,961","-11,236","-7,622","5,714",,,,,
01100,ALABAMA                  ,CHILTON,"-11,241","-15,114","-8,084","-5,424","-5,711",,,,,
01110,ALABAMA                  ,CHOCTAW,"-7,860","-8,157","-10,397","-17,226","-12,280",,,,,
01120,ALABAMA                  ,CLARKE,"-16,153","-18,132","-18,100","-17,565","-19,631",,,,,
01130,ALABAMA                  ,CLAY,"-10,702","-10,867","-10,954","-8,357","-11,416",,,,,
01140,ALABAMA                  ,CLEBURNE,"-11,793","-10,718","-10,465","-5,953","-8,614",,,,,
01150,ALABAMA                  ,COFFEE,"-11,693","-11,457","-22,855","-20,881","-11,548",,,,,
01160,ALABAMA                  ,COLBERT,"-34,500","-32,592","-52,229","-59,753","-63,177",,,,,
01170,ALABAMA                  ,CONECUH,"-15,713","-16,374","-15,360","-11,525","-13,923",,,,,
01180,ALABAMA                  ,COOSA,"-2,967","-15,331","-16,448","-14,955","-14,454",,,,,
01190,ALABAMA                  ,COVINGTON,"-27,913","-25,139","-31,514","-31,166","-25,485",,,,,
01200,ALABAMA                  ,CRENSHAW,"-6,655","-6,834","-9,806","-9,371","-9,571",,,,,
01210,ALABAMA                  ,CULLMAN,"-61,979","-44,501","-43,574","-30,801","-25,893",,,,,
01220,ALABAMA                  ,DALE,"-1,187","-4,662","-36,351","-32,011","-16,993",,,,,
01230,ALABAMA                  ,DALLAS,"-9,209","-4,729","-12,567","-23,559","-17,461",,,,,
01240,ALABAMA                  ,DEKALB,"-81,557","-117,151","-110,589","-93,727","-49,801",,,,,
01250,ALABAMA                  ,ELMORE,"-10,040","-24,019","-31,047","-39,574","-43,059",,,,,
01260,ALABAMA                  ,ESCAMBIA,"-23,989","-37,948","-41,272","-35,440","-32,813",,,,,
01270,ALABAMA                  ,ETOWAH,"-4,226","-4,398","-2,451","-13,872","35,549",,,,,
01280,ALABAMA                  ,FAYETTE,"-12,347","-5,268",946,"1,547",-942,,,,,
01290,ALABAMA                  ,FRANKLIN,"-23,429","-24,034","-26,672","-36,256","-31,683",,,,,
01300,ALABAMA                  ,GENEVA,"4,186","1,683","-16,584","-14,170","-2,270",,,,,
