DISABLED -- REPRICING ADJUSTMENTS TO THE 2007-2011 PHYSICIAN REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT GEOGRAPHIC PRACTICE COST INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,Part B Reimbursement Adjustment 2007,Part B Reimbursement Adjustment 2008,Part B Reimbursement Adjustment 2009,Part B Reimbursement Adjustment 2010,Part B Reimbursement Adjustment 2011,,,,,
01000,ALABAMA                  ,AUTAUGA,"6,353","9,659","13,378","-27,135","-34,596",,,,,
01010,ALABAMA                  ,BALDWIN,"21,303","37,390","51,805","-120,242","-144,045",,,,,
01020,ALABAMA                  ,BARBOUR,"3,185","6,362","10,695","-24,020","-28,611",,,,,
01030,ALABAMA                  ,BIBB,"2,486","6,247","9,124","-20,237","-26,061",,,,,
01040,ALABAMA                  ,BLOUNT,"2,873","7,310","11,791","-28,257","-30,726",,,,,
01050,ALABAMA                  ,BULLOCK,"2,642","2,035","3,171","-8,040","-9,178",,,,,
01060,ALABAMA                  ,BUTLER,"1,713","6,105","10,399","-21,609","-23,828",,,,,
01070,ALABAMA                  ,CALHOUN,"17,188","42,215","72,642","-157,398","-192,162",,,,,
01080,ALABAMA                  ,CHAMBERS,"5,142","12,240","20,066","-42,078","-50,436",,,,,
01090,ALABAMA                  ,CHEROKEE,"2,901","9,162","14,156","-28,945","-32,117",,,,,
01100,ALABAMA                  ,CHILTON,"4,707","10,505","14,320","-30,030","-35,919",,,,,
01110,ALABAMA                  ,CHOCTAW,"5,127","6,453","5,515","-21,188","-26,469",,,,,
01120,ALABAMA                  ,CLARKE,"2,455","7,316","12,173","-24,943","-29,905",,,,,
01130,ALABAMA                  ,CLAY,"2,377","5,130","7,767","-17,047","-21,021",,,,,
01140,ALABAMA                  ,CLEBURNE,916,"4,894","8,289","-15,431","-19,674",,,,,
01150,ALABAMA                  ,COFFEE,"5,113","12,877","18,785","-38,738","-49,742",,,,,
01160,ALABAMA                  ,COLBERT,"13,604","31,454","41,492","-94,269","-104,329",,,,,
01170,ALABAMA                  ,CONECUH,"6,510","6,586","8,691","-16,701","-24,353",,,,,
01180,ALABAMA                  ,COOSA,"2,223","5,446","8,147","-17,533","-21,840",,,,,
01190,ALABAMA                  ,COVINGTON,"10,587","18,901","25,826","-49,349","-56,934",,,,,
