DISABLED -- REPRICING ADJUSTMENTS TO THE 2007-2011 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,Part A Reimbursement Adjustment 2007,Part A Reimbursement Adjustment 2008,Part A Reimbursement Adjustment 2009,Part A Reimbursement Adjustment 2010,Part A Reimbursement Adjustment 2011,,,,,
01000,ALABAMA                  ,AUTAUGA,"-2,524","-4,502","-3,469","-7,606","-6,367",,,,,
01010,ALABAMA                  ,BALDWIN,"-33,233","-27,836","-31,012","-14,413","-16,427",,,,,
01020,ALABAMA                  ,BARBOUR,"-6,418","-9,935","-8,415","-5,335","-4,976",,,,,
01030,ALABAMA                  ,BIBB,"-1,078",-780,-607,-551,-526,,,,,
01040,ALABAMA                  ,BLOUNT,"-6,491","-3,020","-2,786","-2,335",80,,,,,
01050,ALABAMA                  ,BULLOCK,"-2,275","-1,579","-1,500","-2,245","-1,517",,,,,
01060,ALABAMA                  ,BUTLER,"-5,259","-8,631","-4,660","-3,039","-5,512",,,,,
01070,ALABAMA                  ,CALHOUN,"-22,069","-25,644","-22,580","-16,234","-37,307",,,,,
01080,ALABAMA                  ,CHAMBERS,"-6,558","-5,832","-4,430","-4,047","-3,591",,,,,
01090,ALABAMA                  ,CHEROKEE,"-2,976","-6,504","-5,048","-3,049","-1,278",,,,,
01100,ALABAMA                  ,CHILTON,"-2,875","-3,349","-2,335",-827,"-1,540",,,,,
01110,ALABAMA                  ,CHOCTAW,"-3,733","-2,259","-2,047","-1,540","-2,004",,,,,
01120,ALABAMA                  ,CLARKE,"-5,285","-3,608","-9,653","-5,430","-2,050",,,,,
01130,ALABAMA                  ,CLAY,"-2,535","-2,448","-1,747","-2,334","-1,430",,,,,
01140,ALABAMA                  ,CLEBURNE,"-3,350","-2,512","-3,567","-1,267","-1,378",,,,,
01150,ALABAMA                  ,COFFEE,"-8,485","-5,147","-6,819","-2,490","-2,307",,,,,
01160,ALABAMA                  ,COLBERT,"-6,644","-3,838","-13,108","-16,349","-22,012",,,,,
01170,ALABAMA                  ,CONECUH,"-4,469","-4,494","-7,267","-3,667","-4,318",,,,,
01180,ALABAMA                  ,COOSA,"-4,250","-2,403","-2,318","-2,138","-2,145",,,,,
01190,ALABAMA                  ,COVINGTON,"-8,482","-7,078","-9,207","-6,231","-5,631",,,,,
01200,ALABAMA                  ,CRENSHAW,"-4,093","-4,145","-5,112","-3,219","-2,745",,,,,
01210,ALABAMA                  ,CULLMAN,"-16,082","-18,745","-20,137","-10,388","-11,999",,,,,
01220,ALABAMA                  ,DALE,"-15,018","-6,877","-7,654","-9,044","-6,616",,,,,
01230,ALABAMA                  ,DALLAS,"-12,906","-17,439","-17,201","-10,370","-10,979",,,,,
01240,ALABAMA                  ,DEKALB,"-14,260","-16,380","-12,827","-8,604","-7,497",,,,,
01250,ALABAMA                  ,ELMORE,"-2,852","-3,875","-6,854","-16,980","-13,899",,,,,
01260,ALABAMA                  ,ESCAMBIA,"-6,388","-6,372","-13,722","-9,962","-8,262",,,,,
01270,ALABAMA                  ,ETOWAH,"-26,557","-31,262","-22,608","-20,932","27,371",,,,,
01280,ALABAMA                  ,FAYETTE,-664,-350,"-1,172","-1,871","-1,387",,,,,
01290,ALABAMA                  ,FRANKLIN,"-7,880","-5,038","-7,594","-6,659","-5,270",,,,,
01300,ALABAMA                  ,GENEVA,"-4,186",183,"-2,147","-5,619","-2,766",,,,,
01310,ALABAMA                  ,GREENE,77,"-1,052",-101,"-1,100","-1,407",,,,,
01320,ALABAMA                  ,HALE,399,"2,043",-156,"-3,357","-2,916",,,,,
01330,ALABAMA                  ,HENRY,"-1,465",-173,-731,-323,-929,,,,,
01340,ALABAMA                  ,HOUSTON,"-2,925","-4,073","-8,627","-7,292","-3,911",,,,,
01350,ALABAMA                  ,JACKSON,"-6,066","-9,702","-5,743","-6,674","-7,590",,,,,
01360,ALABAMA                  ,JEFFERSON,"-108,476","-112,884","-77,543","-21,625","-30,655",,,,,
01370,ALABAMA                  ,LAMAR,"-5,946","-6,017","-5,833","-3,863","-3,734",,,,,
01380,ALABAMA                  ,LAUDERDALE,"-8,478","-3,178","-13,635","-24,976","-30,656",,,,,
01390,ALABAMA                  ,LAWRENCE,"-10,591","-7,784","-5,783","-8,929","-5,322",,,,,
01400,ALABAMA                  ,LEE,"-11,118","-10,541","-4,679","-7,497",-323,,,,,
01410,ALABAMA                  ,LIMESTONE,"-7,635","-16,067","-8,435","-13,859","-11,198",,,,,
01420,ALABAMA                  ,LOWNDES,-572,"-1,706",-800,"-1,024","-1,277",,,,,
01430,ALABAMA                  ,MACON,"-3,658","-4,418","-7,225","-6,596","-4,334",,,,,
01440,ALABAMA                  ,MADISON,"-48,627","-49,938","-53,822","-64,164","-84,251",,,,,
01450,ALABAMA                  ,MARENGO,"-3,302","-1,920","-2,364","-2,114","-2,438",,,,,
01460,ALABAMA                  ,MARION,"-3,320","-4,676","-4,905","-4,754","-4,514",,,,,
01470,ALABAMA                  ,MARSHALL,"-24,201","-17,652","-23,546","-20,086","-16,489",,,,,
01480,ALABAMA                  ,MOBILE,"-76,486","-103,409","-78,161","-67,375","-106,924",,,,,
01490,ALABAMA                  ,MONROE,"-7,246","-7,590","-4,691","-2,210","-4,613",,,,,
