HHA Wage Indices by Fiscal Year,,,,,,,,,,,
SSACD,State,County,CBSA Code,Wage 2009,Wage 2010,Wage 2011,Wage 2012,Wage 2013,Wage 2014,Wage 2015,
01020,AL,BARBOUR,01,0.7587,0.7327,0.738,0.726,0.7113,0.7175,0.6939,
01050,AL,BULLOCK,01,0.7587,0.7327,0.738,0.726,0.7113,0.7175,0.6939,
01060,AL,BUTLER,01,0.7587,0.7327,0.738,0.726,0.7113,0.7175,0.6939,
01080,AL,CHAMBERS,01,0.7587,0.7327,0.738,0.726,0.7113,0.7175,0.6939,
01090,AL,CHEROKEE,01,0.7587,0.7327,0.738,0.726,0.7113,0.7175,0.6939,
01110,AL,CHOCTAW,01,0.7587,0.7327,0.738,0.726,0.7113,0.7175,0.6939,
01120,AL,CLARKE,01,0.7587,0.7327,0.738,0.726,0.7113,0.7175,0.6939,
01130,AL,CLAY,01,0.7587,0.7327,0.738,0.726,0.7113,0.7175,0.6939,
01140,AL,CLEBURNE,01,0.7587,0.7327,0.738,0.726,0.7113,0.7175,0.6939,
01150,AL,COFFEE,01,0.7587,0.7327,0.738,0.726,0.7113,0.7175,0.6939,
01170,AL,CONECUH,01,0.7587,0.7327,0.738,0.726,0.7113,0.7175,0.6939,
01180,AL,COOSA,01,0.7587,0.7327,0.738,0.726,0.7113,0.7175,0.6939,
01190,AL,COVINGTON,01,0.7587,0.7327,0.738,0.726,0.7113,0.7175,0.6939,
01200,AL,CRENSHAW,01,0.7587,0.7327,0.738,0.726,0.7113,0.7175,0.6939,
01210,AL,CULLMAN,01,0.7587,0.7327,0.738,0.726,0.7113,0.7175,0.6939,
01220,AL,DALE,01,0.7587,0.7327,0.738,0.726,0.7113,0.7175,0.6939,
01230,AL,DALLAS,01,0.7587,0.7327,0.738,0.726,0.7113,0.7175,0.6939,
01240,AL,DE KALB,01,0.7587,0.7327,0.738,0.726,0.7113,0.7175,0.6939,
01260,AL,ESCAMBIA,01,0.7587,0.7327,0.738,0.726,0.7113,0.7175,0.6939,
01280,AL,FAYETTE,01,0.7587,0.7327,0.738,0.726,0.7113,0.7175,0.6939,
01290,AL,FRANKLIN,01,0.7587,0.7327,0.738,0.726,0.7113,0.7175,0.6939,
