SSA Code,State,County,Provider Number,CBSA 2015,IPPS Provider  2009,IPPS Provider  2010 A,IPPS Provider  2010 B,IPPS Provider  2011,IPPS Provider  2012,IPPS Provider  2013,IPPS Provider  2015
01000,AL,AUTAUGA,010108,33860,0.8302,0.8459,0.8459,0.8579,0.8235,0.7798,0.7597
01010,AL,BALDWIN,010083,19300,0.8084,0.8068,0.8068,0.7981,0.7876,0.7644,0.7701
01010,AL,BALDWIN,010129,19300,0.7752,0.7523,0.7523,0.7589,0.7439,0.7224,0.7385
01010,AL,BALDWIN,010100,19300,0.8084,0.8068,0.8068,0.7981,0.7876,0.7644,0.7701
01020,AL,BARBOUR,010069,NA,0.7618,0.7389,0.7389,0.7436,0.878,0.8507,0.6874
01030,AL,BIBB,010058,13820,0.8754,0.8512,0.8512,0.8587,0.8404,0.8458,0.8128
01040,AL,BLOUNT,010050,13820,0.8754,0.8512,0.8512,0.8587,0.8404,0.8458,0.8128
01050,AL,BULLOCK,010110,NA,0.7833,0.7604,0.7604,0.7886,0.7736,0.7521,0.6996
01060,AL,BUTLER,010047,NA,0.7745,0.7516,0.7516,0.7702,0.7552,0.7337,0.6946
01060,AL,BUTLER,010150,NA,0.8464,0.7516,0.8454,0.7702,0.7552,0.7337,0.7597
01070,AL,CALHOUN,010146,11500,0.8025,0.765,0.765,0.7864,0.7975,0.7485,0.7393
01070,AL,CALHOUN,010078,11500,0.8025,0.765,0.765,0.7864,0.7975,0.7485,0.7393
01070,AL,CALHOUN,010038,11500,0.8025,0.765,0.765,0.7864,0.7975,0.7485,0.7393
01080,AL,CHAMBERS,010025,NA,0.8464,0.8454,0.8454,0.8567,0.7675,0.7355,0.8163
01090,AL,CHEROKEE,010022,NA,0.9739,0.9581,0.9581,0.9522,0.878,0.9474,0.9315
01100,AL,CHILTON,010043,13820,0.8754,0.8512,0.8512,0.8587,0.8404,0.8458,0.8128
01120,AL,CLARKE,010128,NA,0.7664,0.7435,0.7435,0.7491,0.7341,0.7126,0.6929
01120,AL,CLARKE,010091,NA,0.7664,0.7435,0.7435,0.7491,0.7341,0.7126,0.6929
01130,AL,CLAY,010073,NA,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.6874
01150,AL,COFFEE,010027,NA,0.7644,0.7415,0.7415,0.7462,0.7286,0.7102,0.6945
01150,AL,COFFEE,010049,NA,0.7644,0.7415,0.7415,0.7462,0.7286,0.7102,0.6945
01160,AL,COLBERT,010157,22520,0.7878,0.7932,0.7932,0.8112,0.773,0.7477,0.7325
01160,AL,COLBERT,010019,22520,0.7878,0.7932,0.7932,0.8112,0.773,0.7477,0.7325
01170,AL,CONECUH,010148,NA,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.6874
01190,AL,COVINGTON,010066,NA,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.6874
01190,AL,COVINGTON,010007,NA,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.6874
01190,AL,COVINGTON,010036,NA,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.6874
01200,AL,CRENSHAW,010008,NA,0.7792,0.7563,0.7563,0.7801,0.7651,0.7436,0.6973
01210,AL,CULLMAN,010035,NA,0.8632,0.8512,0.8512,0.8409,0.847,0.8295,0.8212
01220,AL,DALE,010021,NA,0.767,0.7441,0.7441,0.7488,0.7286,0.7133,0.7015
01230,AL,DALLAS,010118,NA,0.8302,0.8512,0.8512,0.8409,0.8235,0.8301,0.8061
01240,AL,DE KALB,010012,NA,0.9489,0.8665,0.8665,0.7613,0.7463,0.7248,0.7091
01250,AL,ELMORE,010097,33860,0.8302,0.8459,0.8459,0.8579,0.8235,0.7798,0.7597
01250,AL,ELMORE,010034,33860,0.8302,0.8459,0.8459,0.8579,0.8235,0.7798,0.7597
01260,AL,ESCAMBIA,010099,NA,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.6874
01260,AL,ESCAMBIA,010169,NA,,,,,,0.7071,0.6874
01270,AL,ETOWAH,010040,23460,0.8022,0.8411,0.8411,0.7497,0.8186,0.8301,0.8128
01270,AL,ETOWAH,010046,23460,0.8022,0.8411,0.8411,0.8409,0.8404,0.8301,0.7404
01280,AL,FAYETTE,010045,NA,0.784,0.7611,0.7611,0.7811,0.7661,0.8152,0.8061
