AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,,,,,
01000,ALABAMA                  ,AUTAUGA,"-537,715","-656,960","-637,225","-394,728","-88,799",,,,,,,,,,,
01010,ALABAMA                  ,BALDWIN,"-1,210,613","-1,083,746","-900,903","-506,583","290,110",,,,,,,,,,,
01020,ALABAMA                  ,BARBOUR,"-218,911","-201,417","-157,790","14,684","-105,054",,,,,,,,,,,
01030,ALABAMA                  ,BIBB,"-180,778","-164,171","-178,531","-116,331","-77,572",,,,,,,,,,,
01040,ALABAMA                  ,BLOUNT,"-435,553","-303,599","-295,516","-217,747","-165,752",,,,,,,,,,,
01050,ALABAMA                  ,BULLOCK,"-92,920","-100,676","-78,349","-53,713","-14,900",,,,,,,,,,,
01060,ALABAMA                  ,BUTLER,"-501,017","-413,945","-355,590","-215,722","-26,983",,,,,,,,,,,
01070,ALABAMA                  ,CALHOUN,"-1,919,753","-1,178,955","-1,474,557","-1,456,322","-480,654",,,,,,,,,,,
01080,ALABAMA                  ,CHAMBERS,"-305,773","-313,674","-359,919","-70,523","96,514",,,,,,,,,,,
01090,ALABAMA                  ,CHEROKEE,"-210,456","-185,072","2,866","-25,235","-117,653",,,,,,,,,,,
01100,ALABAMA                  ,CHILTON,"-428,370","-278,021","-305,993","-170,905","-170,064",,,,,,,,,,,
01110,ALABAMA                  ,CHOCTAW,"-151,173","-181,774","-171,765","-151,423","-85,230",,,,,,,,,,,
01120,ALABAMA                  ,CLARKE,"-312,891","-266,518","-275,189","-201,158","-11,993",,,,,,,,,,,
01130,ALABAMA                  ,CLAY,"-306,844","-206,333","-182,493","-150,222","-82,870",,,,,,,,,,,
01140,ALABAMA                  ,CLEBURNE,"-211,585","-114,398","-165,698","-117,857","-49,109",,,,,,,,,,,
01150,ALABAMA                  ,COFFEE,"-676,028","-563,387","-402,163",830,"-215,467",,,,,,,,,,,
01160,ALABAMA                  ,COLBERT,"-791,264","-891,824","-972,540","-507,905","-189,031",,,,,,,,,,,
01170,ALABAMA                  ,CONECUH,"-265,141","-220,508","-195,611","-123,914","-40,424",,,,,,,,,,,
01180,ALABAMA                  ,COOSA,"-201,696","-164,762","-148,168","-73,074","-51,862",,,,,,,,,,,
01190,ALABAMA                  ,COVINGTON,"-818,872","-744,081","-569,872","-224,106","-223,893",,,,,,,,,,,
01200,ALABAMA                  ,CRENSHAW,"-283,173","-279,348","-260,126","-165,005","-70,670",,,,,,,,,,,
01210,ALABAMA                  ,CULLMAN,"-950,286","-650,529","-636,011","-423,332","-218,478",,,,,,,,,,,
01220,ALABAMA                  ,DALE,"-820,026","-724,040","-380,677","169,694","-277,046",,,,,,,,,,,
01230,ALABAMA                  ,DALLAS,"-262,142","-282,998","-286,702","-188,907","-98,230",,,,,,,,,,,
01240,ALABAMA                  ,DEKALB,"-366,266","-409,001","-273,850","-243,187","-140,399",,,,,,,,,,,
01250,ALABAMA                  ,ELMORE,"-942,298","-1,232,925","-1,110,786","-750,784","-207,216",,,,,,,,,,,
01260,ALABAMA                  ,ESCAMBIA,"-501,276","-379,564","-348,261","-202,928","45,761",,,,,,,,,,,
01270,ALABAMA                  ,ETOWAH,"-1,147,970","-1,518,616","-746,338","-1,234,097","-1,063,961",,,,,,,,,,,
01280,ALABAMA                  ,FAYETTE,"-52,752","-70,851","-99,153","-46,041","-35,638",,,,,,,,,,,
01290,ALABAMA                  ,FRANKLIN,"-392,504","-451,964","-523,976","-243,689","-58,783",,,,,,,,,,,
01300,ALABAMA                  ,GENEVA,"-325,649","-348,863","-209,976","89,781","-161,465",,,,,,,,,,,
01310,ALABAMA                  ,GREENE,"-13,439","-21,762","-32,631","-5,134","27,913",,,,,,,,,,,
01320,ALABAMA                  ,HALE,"-117,494","-166,505","-206,431","-128,296","-22,924",,,,,,,,,,,
01330,ALABAMA                  ,HENRY,"-245,048","-232,164","-93,983","92,719","-111,957",,,,,,,,,,,
01340,ALABAMA                  ,HOUSTON,"-1,186,951","-1,204,533","-624,242","417,426","-616,890",,,,,,,,,,,
01350,ALABAMA                  ,JACKSON,"-399,924","-414,969","-436,286","-190,446","72,231",,,,,,,,,,,
01360,ALABAMA                  ,JEFFERSON,"-5,624,323","-4,074,574","-4,211,052","-2,980,056","-2,876,356",,,,,,,,,,,
01370,ALABAMA                  ,LAMAR,"-107,402","-148,091","-135,514","-74,277","-51,070",,,,,,,,,,,
01380,ALABAMA                  ,LAUDERDALE,"-1,216,387","-1,410,447","-1,497,557","-760,990","-316,375",,,,,,,,,,,
01390,ALABAMA                  ,LAWRENCE,"-629,702","-575,127","-587,943","-348,140","-28,020",,,,,,,,,,,
01400,ALABAMA                  ,LEE,"-646,841","-602,246","-857,146","-974,913","-439,799",,,,,,,,,,,
01410,ALABAMA                  ,LIMESTONE,"-684,033","-661,919","-700,450","-390,619","97,927",,,,,,,,,,,
01420,ALABAMA                  ,LOWNDES,"-141,890","-139,898","-139,508","-70,236","-16,202",,,,,,,,,,,
01430,ALABAMA                  ,MACON,"-217,959","-227,325","-279,425","-214,039","-61,801",,,,,,,,,,,
01440,ALABAMA                  ,MADISON,"-2,430,147","-2,550,733","-2,792,176","-1,337,036","457,733",,,,,,,,,,,
01450,ALABAMA                  ,MARENGO,"-113,614","-120,173","-140,867","-98,788","-35,215",,,,,,,,,,,
01460,ALABAMA                  ,MARION,"-282,624","-263,402","-245,503","-117,304","-110,007",,,,,,,,,,,
01470,ALABAMA                  ,MARSHALL,"-1,299,888","-1,214,319","-1,128,827","-584,001","-153,652",,,,,,,,,,,
01480,ALABAMA                  ,MOBILE,"-1,872,217","-1,896,806","-2,092,434","-1,820,610","300,480",,,,,,,,,,,
01490,ALABAMA                  ,MONROE,"-103,612","-96,916","-113,271","-106,950","18,135",,,,,,,,,,,
01500,ALABAMA                  ,MONTGOMERY,"-2,562,408","-3,205,344","-3,159,256","-1,816,278","-457,080",,,,,,,,,,,
01510,ALABAMA                  ,MORGAN,"-3,218,842","-3,092,863","-2,876,569","-1,960,034","57,207",,,,,,,,,,,
01520,ALABAMA                  ,PERRY,"-57,554","-61,396","-75,457","-53,666","-14,443",,,,,,,,,,,
01530,ALABAMA                  ,PICKENS,"-99,263","-175,620","-193,336","-103,088","-30,149",,,,,,,,,,,
01540,ALABAMA                  ,PIKE,"-619,651","-704,830","-661,931","-373,472","-217,269",,,,,,,,,,,
01550,ALABAMA                  ,RANDOLPH,"-197,081","-158,560","-199,819","-180,344","-104,056",,,,,,,,,,,
01560,ALABAMA                  ,RUSSELL,"-652,131","-616,860","-775,543","-677,608","-428,697",,,,,,,,,,,
01570,ALABAMA                  ,ST. CLAIR,"-602,805","-444,843","-452,885","-355,691","-341,896",,,,,,,,,,,
01580,ALABAMA                  ,SHELBY,"-928,534","-654,924","-700,950","-506,484","-496,154",,,,,,,,,,,
01590,ALABAMA                  ,SUMTER,"-97,930","-154,374","-123,023","-111,632","-51,379",,,,,,,,,,,
01600,ALABAMA                  ,TALLADEGA,"-1,455,808","-1,205,977","-1,021,048","-532,505","-328,119",,,,,,,,,,,
01610,ALABAMA                  ,TALLAPOOSA,"-641,923","-569,530","-579,984","-469,155","-230,072",,,,,,,,,,,
01620,ALABAMA                  ,TUSCALOOSA,"-892,397","-1,558,381","-1,672,951","-1,124,952","-158,406",,,,,,,,,,,
01630,ALABAMA                  ,WALKER,"-1,073,810","-799,050","-827,491","-582,932","-527,526",,,,,,,,,,,
01640,ALABAMA                  ,WASHINGTON,"-127,841","-116,617","-128,571","-139,047","14,661",,,,,,,,,,,
01650,ALABAMA                  ,WILCOX,"-95,404","-72,526","-117,919","-74,453","-8,339",,,,,,,,,,,
01660,ALABAMA                  ,WINSTON,"-312,082","-248,786","-240,594","-162,313","-124,223",,,,,,,,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,"6,971","7,231","3,732",788,73,,,,,,,,,,,
02020,ALASKA                   ,ANCHORAGE,"3,116,562","2,702,697","1,301,095","870,473","452,071",,,,,,,,,,,
02040,ALASKA                   ,BARROW DIVISION,"7,426","12,723","8,218",-534,"-1,059",,,,,,,,,,,
02050,ALASKA                   ,BETHEL,"28,086","20,327","5,701","10,722","2,301",,,,,,,,,,,
02060,ALASKA                   ,BRISTOL BAY,"25,495","20,602","19,067","8,111","9,815",,,,,,,,,,,
02070,ALASKA                   ,DILLINGHAM,"11,657","7,729","6,171","2,548","7,200",,,,,,,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,"28,722","27,716","8,164","6,791","3,449",,,,,,,,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"319,923","242,718","115,387","107,422","36,082",,,,,,,,,,,
02100,ALASKA                   ,HAINES,"25,049","13,425","14,789","13,253","2,760",,,,,,,,,,,
02110,ALASKA                   ,JUNEAU,"97,480","114,586","66,216","44,601","25,040",,,,,,,,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"535,998","440,606","217,254","139,388","50,962",,,,,,,,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,"32,265","40,827","17,067","14,117",-670,,,,,,,,,,,
02140,ALASKA                   ,KOBUK,"18,178","39,732","4,651","4,220","1,230",,,,,,,,,,,
02150,ALASKA                   ,KODIAK ISLAND,"34,392","49,194","12,897","12,450","13,013",,,,,,,,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,"4,291","6,060","4,025",147,"1,400",,,,,,,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"503,577","455,945","167,121","116,088","72,223",,,,,,,,,,,
02180,ALASKA                   ,NOME,"46,986","12,993","5,789","11,845","-3,505",,,,,,,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,"1,821",-836,"3,164","2,629","1,319",,,,,,,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,"6,789","5,565","3,916","4,742","1,601",,,,,,,,,,,
02210,ALASKA                   ,SEWARD,"96,613","34,308","28,772","15,916","6,908",,,,,,,,,,,
02220,ALASKA                   ,SITKA,"37,996","38,254","17,921","27,779","2,112",,,,,,,,,,,
02230,ALASKA                   ,SKAGWAY,"13,595","15,080","14,400","6,912",821,,,,,,,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,"49,588","21,124","8,245","6,963","8,320",,,,,,,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,"11,513","6,988",392,"1,291",168,,,,,,,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,"75,468","58,177","34,479","18,148","6,513",,,,,,,,,,,
02270,ALASKA                   ,WADE HAMPTON,"20,540","11,477","4,835","4,245","-2,350",,,,,,,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,"31,469","26,098","26,076","11,092","4,461",,,,,,,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,"21,327","18,151","5,751","6,690","2,476",,,,,,,,,,,
03000,ARIZONA                  ,APACHE,"56,810","-12,309","-21,263","-31,275","-93,297",,,,,,,,,,,
03010,ARIZONA                  ,COCHISE,"-377,506","-772,845","-608,125","-870,120","-1,621,512",,,,,,,,,,,
03020,ARIZONA                  ,COCONINO,"65,727","-19,905","-18,222","-10,652","-34,052",,,,,,,,,,,
03030,ARIZONA                  ,GILA,"338,867","-41,347","-39,741","-86,155","-234,405",,,,,,,,,,,
03040,ARIZONA                  ,GRAHAM,"-34,055","-113,875","-87,909","-130,168","-187,345",,,,,,,,,,,
03050,ARIZONA                  ,GREENLEE,"-18,841","-35,699","-31,069","-52,441","-88,378",,,,,,,,,,,
03055,ARIZONA                  ,LA PAZ,"54,747","-3,714","19,605","38,463","-16,961",,,,,,,,,,,
03060,ARIZONA                  ,MARICOPA,"3,395,252","-4,339,622","-3,048,196","-2,606,274","-7,259,591",,,,,,,,,,,
03070,ARIZONA                  ,MOHAVE,"-457,584","-1,487,944","-1,121,105","-705,200","-278,115",,,,,,,,,,,
03080,ARIZONA                  ,NAVAJO,"57,990","-33,254","-41,969","-57,892","-169,414",,,,,,,,,,,
03090,ARIZONA                  ,PIMA,"-666,500","-3,180,053","-2,157,987","-4,147,600","-9,724,459",,,,,,,,,,,
03100,ARIZONA                  ,PINAL,"396,221","-259,086","-74,790","-70,532","-710,787",,,,,,,,,,,
03110,ARIZONA                  ,SANTA CRUZ,"-68,226","-155,586","-119,067","-138,008","-307,864",,,,,,,,,,,
03120,ARIZONA                  ,YAVAPAI,"516,374","805,362","-3,528,264","-3,166,129","-1,727,049",,,,,,,,,,,
03130,ARIZONA                  ,YUMA,"289,095","248,439","233,476","248,968","89,030",,,,,,,,,,,
04000,ARKANSAS                 ,ARKANSAS,"-177,418","-130,126","-116,507","-97,163","-79,954",,,,,,,,,,,
04010,ARKANSAS                 ,ASHLEY,"-87,481","-91,373","-111,273","-98,967","-64,891",,,,,,,,,,,
04020,ARKANSAS                 ,BAXTER,"-71,042","-56,063","-49,973","-67,481","-45,705",,,,,,,,,,,
04030,ARKANSAS                 ,BENTON,"-694,875","112,325","113,865","-1,115,808","-1,043,715",,,,,,,,,,,
04040,ARKANSAS                 ,BOONE,"-79,417","-38,581","-40,940","-137,184","-121,003",,,,,,,,,,,
04050,ARKANSAS                 ,BRADLEY,"-89,848","-72,139","-63,149","-58,093","-48,492",,,,,,,,,,,
04060,ARKANSAS                 ,CALHOUN,"-28,873","-24,469","-15,668","-14,647","-12,668",,,,,,,,,,,
04070,ARKANSAS                 ,CARROLL,"-58,740","2,985","-20,188","-120,360","-109,094",,,,,,,,,,,
04080,ARKANSAS                 ,CHICOT,"-43,430","-33,011","-51,109","-30,323","-25,113",,,,,,,,,,,
04090,ARKANSAS                 ,CLARK,"-151,449","-141,742","-161,423","-129,951","-76,727",,,,,,,,,,,
04100,ARKANSAS                 ,CLAY,"-102,469","-88,895","-66,913","-22,848","2,452",,,,,,,,,,,
04110,ARKANSAS                 ,CLEBURNE,"-204,183","-155,555","-156,350","-128,485","-89,887",,,,,,,,,,,
04120,ARKANSAS                 ,CLEVELAND,"-32,988","-30,358","-21,982","-29,550","-20,571",,,,,,,,,,,
04130,ARKANSAS                 ,COLUMBIA,"-95,864","-73,920","-65,442","-79,863","-39,257",,,,,,,,,,,
04140,ARKANSAS                 ,CONWAY,"-128,797","-127,140","-128,880","-110,238","-86,199",,,,,,,,,,,
04150,ARKANSAS                 ,CRAIGHEAD,"-271,814","-232,202","-162,195","9,483","86,362",,,,,,,,,,,
04160,ARKANSAS                 ,CRAWFORD,"164,396","84,022","347,561","356,132","146,176",,,,,,,,,,,
04170,ARKANSAS                 ,CRITTENDEN,"-345,021","-335,088","-322,114","-207,122","-40,098",,,,,,,,,,,
04180,ARKANSAS                 ,CROSS,"-65,705","-76,692","-58,168","-38,618","2,390",,,,,,,,,,,
04190,ARKANSAS                 ,DALLAS,"-46,382","-46,517","-51,982","-37,981","-26,540",,,,,,,,,,,
04200,ARKANSAS                 ,DESHA,"-61,283","-48,444","-48,382","-40,710","-32,280",,,,,,,,,,,
04210,ARKANSAS                 ,DREW,"-74,625","-64,527","-58,087","-72,121","-49,506",,,,,,,,,,,
04220,ARKANSAS                 ,FAULKNER,"-578,719","-489,742","-448,174","-466,544","-368,778",,,,,,,,,,,
04230,ARKANSAS                 ,FRANKLIN,"120,174","138,409","187,875","198,467","135,068",,,,,,,,,,,
04240,ARKANSAS                 ,FULTON,"-18,702","-12,724","-9,012","-12,948","-8,307",,,,,,,,,,,
04250,ARKANSAS                 ,GARLAND,"-1,745,840","-1,717,340","-1,903,603","-1,461,642","-474,741",,,,,,,,,,,
04260,ARKANSAS                 ,GRANT,"-163,861","-141,580","-130,736","-113,402","-71,231",,,,,,,,,,,
