AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 PHYSICIAN REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT GEOGRAPHIC PRACTICE COST INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,
01000,ALABAMA                  ,AUTAUGA,"125,220","-115,174","-132,335","78,544","72,324",,,,,
01010,ALABAMA                  ,BALDWIN,"654,052","-642,250","-712,973","314,123","324,709",,,,,
01020,ALABAMA                  ,BARBOUR,"75,770","-68,119","-82,130","44,988","43,387",,,,,
01030,ALABAMA                  ,BIBB,"50,403","-44,987","-46,261","33,166","31,254",,,,,
01040,ALABAMA                  ,BLOUNT,"112,450","-92,808","-101,549","68,644","67,397",,,,,
01050,ALABAMA                  ,BULLOCK,"19,426","-20,111","-18,041","12,030","10,575",,,,,
01060,ALABAMA                  ,BUTLER,"70,891","-62,075","-64,165","44,014","39,746",,,,,
01070,ALABAMA                  ,CALHOUN,"502,773","-395,532","-432,824","291,941","290,694",,,,,
01080,ALABAMA                  ,CHAMBERS,"109,963","-90,527","-93,164","58,883","58,256",,,,,
01090,ALABAMA                  ,CHEROKEE,"68,348","-73,954","-88,231","31,499","27,427",,,,,
01100,ALABAMA                  ,CHILTON,"111,385","-86,170","-99,390","61,048","59,303",,,,,
01110,ALABAMA                  ,CHOCTAW,"16,270","-86,147","-100,264","-2,204","-1,172",,,,,
01120,ALABAMA                  ,CLARKE,"82,378","-75,494","-82,929","47,935","47,249",,,,,
01130,ALABAMA                  ,CLAY,"56,483","-45,122","-42,874","30,875","31,025",,,,,
01140,ALABAMA                  ,CLEBURNE,"46,696","-38,230","-44,590","23,573","22,516",,,,,
01150,ALABAMA                  ,COFFEE,"185,026","-155,039","-175,517","105,723","102,970",,,,,
01160,ALABAMA                  ,COLBERT,"275,206","-229,704","-254,207","145,481","137,477",,,,,
01170,ALABAMA                  ,CONECUH,"43,409","-49,049","-47,410","18,965","20,942",,,,,
01180,ALABAMA                  ,COOSA,"46,359","-38,141","-39,293","24,803","25,496",,,,,
01190,ALABAMA                  ,COVINGTON,"179,589","-171,018","-193,579","80,763","84,156",,,,,
01200,ALABAMA                  ,CRENSHAW,"46,439","-45,793","-47,980","27,481","28,342",,,,,
01210,ALABAMA                  ,CULLMAN,"324,521","-271,543","-326,988","183,543","177,776",,,,,
01220,ALABAMA                  ,DALE,"213,563","-177,081","-193,819","120,076","117,049",,,,,
01230,ALABAMA                  ,DALLAS,"165,102","-133,579","-140,815","84,866","81,588",,,,,
01240,ALABAMA                  ,DEKALB,"203,860","-188,611","-200,616","112,456","111,460",,,,,
01250,ALABAMA                  ,ELMORE,"217,827","-210,614","-222,705","138,552","133,665",,,,,
01260,ALABAMA                  ,ESCAMBIA,"87,172","-129,679","-152,720","7,276","8,079",,,,,
01270,ALABAMA                  ,ETOWAH,"398,639","-319,376","-350,508","249,248","244,995",,,,,
01280,ALABAMA                  ,FAYETTE,"54,340","-44,883","-51,991","36,941","34,928",,,,,
01290,ALABAMA                  ,FRANKLIN,"138,265","-122,009","-121,718","70,099","64,380",,,,,
01300,ALABAMA                  ,GENEVA,"112,690","-100,067","-111,783","66,794","61,382",,,,,
01310,ALABAMA                  ,GREENE,"33,328","-25,453","-24,121","17,502","16,586",,,,,
01320,ALABAMA                  ,HALE,"60,090","-49,723","-57,279","36,993","38,455",,,,,
