"AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES 
NOTE 1:  For the months of January to September in 2013, 75% of disproportionate share (DSH)  reimbursements have been repriced to FY 2015 Uncompensated Care (UCP) rules. 
NOTE 2:  For the months of October to December in 2013, the UCP reimbursements (which were made in place of 75% DSH)  have been repriced to FY 2015 UCP rules. 
",,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,
,,,,,,,January to September,October to December,,,,,,
01000,ALABAMA                  ,AUTAUGA,"-380,279","-462,184","-405,760","-349,286","-171,058","-28,796",,,,,,
01010,ALABAMA                  ,BALDWIN,"-279,883","-171,131","-423,568","-722,859","-265,839","-66,720",,,,,,
01020,ALABAMA                  ,BARBOUR,"-196,920","-168,438","-253,041","-284,605","-140,390","-31,978",,,,,,
01030,ALABAMA                  ,BIBB,"-116,568","-99,983","-91,247","-114,684","-129,435","-17,927",,,,,,
01040,ALABAMA                  ,BLOUNT,"-83,256","-33,220","-55,348","-100,704","-77,152","-30,985",,,,,,
01050,ALABAMA                  ,BULLOCK,"-101,721","-89,224","-32,552","-31,422","-38,192","-10,086",,,,,,
01060,ALABAMA                  ,BUTLER,"-561,810","-465,683","-416,461","-400,719","-207,766","-17,196",,,,,,
01070,ALABAMA                  ,CALHOUN,"-1,288,871","-1,110,914","-1,120,679","-1,265,875","-953,045","-182,054",,,,,,
01080,ALABAMA                  ,CHAMBERS,"-525,030","-532,211","-623,379","-503,297","-321,186","-48,031",,,,,,
01090,ALABAMA                  ,CHEROKEE,"-154,097","-209,123","-255,302","-295,809","-173,166","-36,937",,,,,,
01100,ALABAMA                  ,CHILTON,"-67,276","-102,573","-60,020","-41,418","-64,656","-36,432",,,,,,
01110,ALABAMA                  ,CHOCTAW,"-163,631","-169,009","-162,021","-148,663","-131,963","-31,289",,,,,,
01120,ALABAMA                  ,CLARKE,"-3,399","44,296","18,282","42,011","63,127","-19,388",,,,,,
01130,ALABAMA                  ,CLAY,"62,093","57,944","11,569","-23,690","-66,085","11,379",,,,,,
01140,ALABAMA                  ,CLEBURNE,"-163,065","-144,856","-133,743","-188,887","-102,179","-23,199",,,,,,
01150,ALABAMA                  ,COFFEE,"-285,357","-314,557","-284,460","-240,993","-169,364","-12,227",,,,,,
01160,ALABAMA                  ,COLBERT,"-524,913","-519,769","-721,351","-713,182","-418,368","-81,164",,,,,,
01170,ALABAMA                  ,CONECUH,"-189,014","-181,897","-151,331","-125,010","-111,448","-8,665",,,,,,
01180,ALABAMA                  ,COOSA,"-145,453","-142,478","-151,835","-109,775","-81,436","-10,615",,,,,,
01190,ALABAMA                  ,COVINGTON,"-827,704","-795,802","-758,303","-688,423","-532,964","-50,373",,,,,,
01200,ALABAMA                  ,CRENSHAW,"-310,714","-329,032","-286,758","-246,894","-155,837","-6,861",,,,,,
01210,ALABAMA                  ,CULLMAN,"-1,122,587","-1,126,175","-1,272,312","-1,272,478","-924,544","-45,025",,,,,,
01220,ALABAMA                  ,DALE,"-382,247","-406,021","-454,184","-315,661","-241,212","-40,147",,,,,,
01230,ALABAMA                  ,DALLAS,"-1,834,494","-1,801,447","-2,006,134","-1,463,492","-1,069,645","-33,979",,,,,,
01240,ALABAMA                  ,DEKALB,"-139,739","-292,706","-302,209","-430,806","-309,417","-72,930",,,,,,
01250,ALABAMA                  ,ELMORE,"-710,011","-785,138","-563,697","-591,791","-403,218","-59,496",,,,,,
01260,ALABAMA                  ,ESCAMBIA,"-197,922","-101,625","-114,469","-185,038","-149,478","-6,634",,,,,,
01270,ALABAMA                  ,ETOWAH,"-243,118","-387,288","-465,077","-773,481","-642,748","-239,464",,,,,,
01280,ALABAMA                  ,FAYETTE,"-149,668","-135,683","-163,772","-228,365","-177,947","-18,315",,,,,,
01290,ALABAMA                  ,FRANKLIN,"-405,274","-403,739","-483,117","-474,089","-238,936","-60,988",,,,,,
01300,ALABAMA                  ,GENEVA,"-307,387","-245,200","-335,813","-215,360","-141,314","-27,539",,,,,,
01310,ALABAMA                  ,GREENE,"-110,331","-52,786","-14,306","-74,819","-81,889","-15,154",,,,,,
01320,ALABAMA                  ,HALE,"-187,150","-162,522","-111,133","-199,840","-222,885","-27,052",,,,,,
01330,ALABAMA                  ,HENRY,"-154,130","-170,653","-190,005","-138,748","-123,786","-22,055",,,,,,
01340,ALABAMA                  ,HOUSTON,"-678,089","-794,730","-814,723","-739,970","-638,934","-126,953",,,,,,
01350,ALABAMA                  ,JACKSON,"-477,417","-576,537","-651,582","-525,871","-391,429","-118,486",,,,,,
01360,ALABAMA                  ,JEFFERSON,"1,525,098","1,662,960","1,175,575","689,616","287,742","-425,638",,,,,,
01370,ALABAMA                  ,LAMAR,"-218,738","-259,558","-212,898","-272,995","-209,107","-26,443",,,,,,
01380,ALABAMA                  ,LAUDERDALE,"-489,504","-655,953","-766,406","-654,356","-550,147","-173,713",,,,,,
01390,ALABAMA                  ,LAWRENCE,"-350,258","-326,923","-346,690","-302,709","-215,224","-41,607",,,,,,
01400,ALABAMA                  ,LEE,"-647,987","-587,304","-802,076","-1,010,852","-623,622","-106,107",,,,,,
01410,ALABAMA                  ,LIMESTONE,"-501,911","-651,526","-709,375","-702,600","-527,540","-101,911",,,,,,
01420,ALABAMA                  ,LOWNDES,"-141,394","-123,003","-141,330","-61,046","-69,876","-7,745",,,,,,
01430,ALABAMA                  ,MACON,"-193,142","-149,823","-205,517","-203,699","-107,848","-15,017",,,,,,
01440,ALABAMA                  ,MADISON,"-793,469","-2,009,767","-2,311,274","-2,079,734","-1,484,880","-400,545",,,,,,
01450,ALABAMA                  ,MARENGO,"-30,403","-26,707","16,207","-77,947","-52,197","-22,929",,,,,,
01460,ALABAMA                  ,MARION,"-355,792","-378,496","-263,615","-302,657","-181,913","-41,565",,,,,,
01470,ALABAMA                  ,MARSHALL,"-298,353","-636,597","-663,285","-1,643,495","-1,225,258","-132,654",,,,,,
01480,ALABAMA                  ,MOBILE,"792,345","763,075","254,087","543,275","485,017","-391,022",,,,,,
01490,ALABAMA                  ,MONROE,"-52,007","-114,392","-83,163","-98,760","-35,418",0,,,,,,
01500,ALABAMA                  ,MONTGOMERY,"-1,493,517","-1,797,331","-1,444,565","-1,068,340","-671,506","-4,840",,,,,,
01510,ALABAMA                  ,MORGAN,"-1,016,188","-899,367","-852,841","-1,217,835","-867,868","-197,549",,,,,,
01520,ALABAMA                  ,PERRY,"-236,791","-265,885","-280,282","-189,307","-224,123","-180,721",,,,,,
01530,ALABAMA                  ,PICKENS,"-151,597","-199,683","-140,916","-206,947","-310,332","-10,929",,,,,,
01540,ALABAMA                  ,PIKE,"-364,817","-474,390","-406,890","-300,343","-203,455","-23,712",,,,,,
01550,ALABAMA                  ,RANDOLPH,"-266,380","-231,823","-294,297","-238,293","-220,388","-22,171",,,,,,
01560,ALABAMA                  ,RUSSELL,"-81,067","12,370","-199,988","-2,866","-41,211","-22,103",,,,,,
01570,ALABAMA                  ,ST. CLAIR,"159,478","133,289","71,682","46,252","33,946","-133,410",,,,,,
01580,ALABAMA                  ,SHELBY,"72,669","53,529","-16,802","-48,242","-58,152","-40,587",,,,,,
01590,ALABAMA                  ,SUMTER,"-96,618","-130,610","-88,569","-126,775","-40,305","-94,445",,,,,,
01600,ALABAMA                  ,TALLADEGA,"-811,067","-798,820","-793,950","-697,179","-503,704","-12,247",,,,,,
01610,ALABAMA                  ,TALLAPOOSA,"-690,018","-566,330","-665,221","-742,468","-526,066","-66,021",,,,,,
01620,ALABAMA                  ,TUSCALOOSA,"-1,124,872","-1,050,897","-521,732","-1,782,381","-1,906,286","-52,716",,,,,,
01630,ALABAMA                  ,WALKER,"-411,450","-401,524","-515,416","-730,851","-492,817","-161,730",,,,,,
01640,ALABAMA                  ,WASHINGTON,"25,235","-1,500","-10,899","17,933","1,723","-67,287",,,,,,
01650,ALABAMA                  ,WILCOX,"-187,031","-152,978","-288,048","-179,660","-100,001","-19,461",,,,,,
01660,ALABAMA                  ,WINSTON,"-400,728","-376,595","-350,822","-400,850","-243,375","-5,479",,,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,"-33,834","-63,573","-62,053","-78,223","-48,522","-17,992",,,,,,
02020,ALASKA                   ,ANCHORAGE,"-1,700,130","-2,288,903","-2,557,152","-2,915,396","-2,332,596",6,,,,,,
02040,ALASKA                   ,BARROW DIVISION,"-121,550","-130,141","-118,881","-92,122","-89,424",-869,,,,,,
02050,ALASKA                   ,BETHEL,"-80,964","-78,641","-11,597","-36,332","-2,930","-8,622",,,,,,
02060,ALASKA                   ,BRISTOL BAY,"-18,001","-64,056","-46,319","-35,572","-62,383","-562,063",,,,,,
02070,ALASKA                   ,DILLINGHAM,"-46,801","-62,298","-106,021","-151,427","-78,545","-3,290",,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,"-39,832","-33,027","-19,020","-23,658","-29,602","-9,957",,,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"-232,674","-318,333","-316,378","-360,433","-234,268","7,159",,,,,,
02100,ALASKA                   ,HAINES,"-14,917","-52,729","-34,959","-37,564","-16,074","-6,253",,,,,,
02110,ALASKA                   ,JUNEAU,"-139,972","-133,133","-150,113","-133,231","-164,049","-6,940",,,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"-359,871","-481,186","-519,143","-446,520","-334,254","-4,944",,,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,"-91,074","-116,483","-142,895","-151,754","-80,846","-34,321",,,,,,
02140,ALASKA                   ,KOBUK,"-119,803","-150,513","-111,124","-101,497","-48,498","-2,287",,,,,,
02150,ALASKA                   ,KODIAK ISLAND,"-42,428","-74,325","-46,332","-54,859","-58,070","-11,421",,,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,"-20,335","-15,257","-61,954","-28,217","-7,361","-54,761",,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"-337,271","-422,318","-422,323","-411,984","-434,166",-233,,,,,,
02180,ALASKA                   ,NOME,"-147,163","-165,613","-149,655","-190,536","-57,049","-8,629",,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,"-14,349","-46,563","-50,442","-69,974","-20,181","-7,915",,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,"-29,099","-43,249","-27,600","-32,342","-12,613",-70,,,,,,
02210,ALASKA                   ,SEWARD,"-53,200","-35,318","-39,087","-75,189","-39,611","-5,393",,,,,,
02220,ALASKA                   ,SITKA,"-61,810","-57,042","-88,850","-87,502","-46,065",-499,,,,,,
02230,ALASKA                   ,SKAGWAY,"-32,542","-49,701","-53,998","-31,146","-20,193","-64,613",,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,"-35,553","-22,839","-25,829","-27,498","-48,729","-14,637",,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,"-10,435","-13,820","-3,888","-22,828","-2,109","-1,578",,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,"-51,750","-52,022","-100,638","-72,487","-53,997",-629,,,,,,
02270,ALASKA                   ,WADE HAMPTON,86,"-70,157","-16,511","9,846","-50,309","-2,127",,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,"-55,719","-54,481","-64,520","-41,066","-66,141","-7,178",,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,"-40,212","-46,488","-46,326","-45,856","-47,788","-7,018",,,,,,
03000,ARIZONA                  ,APACHE,"514,015","472,336","490,737","692,796","327,856","-4,457",,,,,,
03010,ARIZONA                  ,COCHISE,"-1,038,031","-911,909","-1,085,766","-1,378,791","-658,405","-1,734",,,,,,
03020,ARIZONA                  ,COCONINO,"72,677","-2,625","96,276","79,767","142,851","-2,476",,,,,,
03030,ARIZONA                  ,GILA,"-925,416","-826,634","-893,713","-857,840","-493,515","-12,610",,,,,,
03040,ARIZONA                  ,GRAHAM,"-174,148","-149,863","-131,709","-236,890","-102,339",94,,,,,,
03050,ARIZONA                  ,GREENLEE,"-56,975","-39,260","-60,254","-52,713","-40,763","-4,216",,,,,,
03055,ARIZONA                  ,LA PAZ,"-205,084","-262,253","-293,902","-352,307","-178,153","-6,921",,,,,,
03060,ARIZONA                  ,MARICOPA,"-1,283,681","-5,508,381","-9,008,707","-9,695,568","-4,420,727",0,,,,,,
03070,ARIZONA                  ,MOHAVE,"-1,906,321","-2,300,154","-2,368,318","-2,262,138","-1,183,031","-267,239",,,,,,
03080,ARIZONA                  ,NAVAJO,"21,703","104,001","34,849","109,108","129,343","-259,869",,,,,,
03090,ARIZONA                  ,PIMA,"-4,580,573","-4,058,713","-3,526,147","-4,727,128","-1,985,576","-50,403",,,,,,
03100,ARIZONA                  ,PINAL,"-933,122","-1,541,899","-2,002,448","-1,996,706","-968,537","-136,508",,,,,,
03110,ARIZONA                  ,SANTA CRUZ,"-172,930","-188,131","-189,250","-225,532","-147,651","-38,050",,,,,,
03120,ARIZONA                  ,YAVAPAI,"-124,030","-2,118,478","-2,575,944","-1,766,928","-764,254","-6,746",,,,,,
03130,ARIZONA                  ,YUMA,"-450,175","-403,850","-734,586","-580,072","-359,889","-49,520",,,,,,
04000,ARKANSAS                 ,ARKANSAS,"-336,257","-326,030","-273,874","-234,787","-154,703","-4,931,562",,,,,,
04010,ARKANSAS                 ,ASHLEY,"-134,276","-185,360","-138,874","-157,496","-110,068","-308,896",,,,,,
04020,ARKANSAS                 ,BAXTER,"-434,615","-439,922","-552,228","-366,746","-203,450","-109,557",,,,,,
04030,ARKANSAS                 ,BENTON,"-681,644","-571,307","-597,141","-480,402","-174,558","-1,501,576",,,,,,
04040,ARKANSAS                 ,BOONE,"-500,682","-508,017","-585,126","-640,208","-418,959","-356,222",,,,,,
04050,ARKANSAS                 ,BRADLEY,"-54,613","-74,553","-68,054","-75,277","-69,539","-42,506",,,,,,
04060,ARKANSAS                 ,CALHOUN,"-19,547","-34,429","-25,182","-23,702","-19,964","-201,527",,,,,,
04070,ARKANSAS                 ,CARROLL,"-99,698","-132,233","-140,469","-131,638","-85,430","-82,285",,,,,,
04080,ARKANSAS                 ,CHICOT,"-163,804","-154,363","-128,177","-126,934","-101,921",-423,,,,,,
04090,ARKANSAS                 ,CLARK,"-157,316","-136,091","-167,856","-147,180","-116,011","-23,578",,,,,,
04100,ARKANSAS                 ,CLAY,"-336,752","-365,832","-392,366","-361,601","-205,302","-19,083",,,,,,
04110,ARKANSAS                 ,CLEBURNE,"-387,887","-366,437","-409,927","-381,569","-223,313","-47,115",,,,,,
04120,ARKANSAS                 ,CLEVELAND,"-25,489","-34,990","-13,721","-31,909","-19,181","-59,563",,,,,,
04130,ARKANSAS                 ,COLUMBIA,"-254,502","-288,380","-297,853","-189,719","-129,668","-58,626",,,,,,
04140,ARKANSAS                 ,CONWAY,"-156,122","-217,009","-181,891","-187,870","-183,808","-12,751",,,,,,
04150,ARKANSAS                 ,CRAIGHEAD,"-1,327,448","-1,231,516","-1,116,070","-1,110,176","-760,647","-3,053",,,,,,
04160,ARKANSAS                 ,CRAWFORD,"-444,435","-459,871","-360,432","-296,276","-244,883","-19,217",,,,,,
04170,ARKANSAS                 ,CRITTENDEN,"-901,145","-845,208","-896,010","-766,337","-537,152","-15,784",,,,,,
04180,ARKANSAS                 ,CROSS,"-185,926","-218,405","-162,957","-168,077","-119,428","-22,946",,,,,,
04190,ARKANSAS                 ,DALLAS,"-49,333","-52,720","-71,851","-56,603","-58,276","-24,803",,,,,,
04200,ARKANSAS                 ,DESHA,"-66,709","-59,271","-65,100","-81,784","-32,387","-41,897",,,,,,
04210,ARKANSAS                 ,DREW,"-133,738","-107,542","-102,583","-122,764","-55,108","-5,678",,,,,,
04220,ARKANSAS                 ,FAULKNER,"-530,640","-503,043","-461,367","-622,499","-440,231","-20,701",,,,,,
04230,ARKANSAS                 ,FRANKLIN,"-102,320","-124,546","-96,200","-91,228","-70,075","-26,583",,,,,,
04240,ARKANSAS                 ,FULTON,"-147,357","-134,260","-143,097","-147,922","-81,558","-104,654",,,,,,
04250,ARKANSAS                 ,GARLAND,"-1,411,013","-1,052,796","-1,555,582","-1,078,815","-564,696","-81,245",,,,,,
04260,ARKANSAS                 ,GRANT,"-134,894","-121,736","-150,164","-138,974","-77,125","-90,049",,,,,,
04270,ARKANSAS                 ,GREENE,"-798,162","-799,231","-782,212","-658,418","-400,327","-26,551",,,,,,
04280,ARKANSAS                 ,HEMPSTEAD,"-85,233","-137,316","-137,960","-217,585","-150,342","-3,565",,,,,,
04290,ARKANSAS                 ,HOT SPRING,"-338,228","-295,167","-423,906","-251,729","-226,057","-14,044",,,,,,
04300,ARKANSAS                 ,HOWARD,"-96,876","-86,776","-158,434","-128,904","-104,313","-7,318",,,,,,
04310,ARKANSAS                 ,INDEPENDENCE,"-765,479","-1,164,600","-1,194,649","-949,960","-671,785","-114,483",,,,,,
04320,ARKANSAS                 ,IZARD,"-168,896","-247,386","-254,374","-214,424","-164,166","-19,707",,,,,,
04330,ARKANSAS                 ,JACKSON,"-355,823","-407,447","-292,647","-292,472","-180,463","-13,613",,,,,,
04340,ARKANSAS                 ,JEFFERSON,"-187,836","-162,980","-248,623","-212,858","-162,595","-175,909",,,,,,
04350,ARKANSAS                 ,JOHNSON,"-220,005","-248,181","-241,182","-210,340","-125,849","-19,069",,,,,,
04360,ARKANSAS                 ,LAFAYETTE,"-117,318","-78,518","-106,672","-77,849","-82,748","-44,333",,,,,,
