"AGED -- 2013 REIMBURSEMENT FOR COST CONTRACTS 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,
CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A REIMBURSEMENT W/O IME/DSH/GME,PART B TOTAL REIMBURSEMENT,,,,,,
01000,ALABAMA,AUTAUGA,0,0,0,,,,,,
01010,ALABAMA,BALDWIN,"14,415","13,321","28,515",,,,,,
01020,ALABAMA,BARBOUR,922,922,"1,679",,,,,,
01030,ALABAMA,BIBB,"83,862","79,805","51,575",,,,,,
01040,ALABAMA,BLOUNT,"86,455","82,676","31,540",,,,,,
01050,ALABAMA,BULLOCK,0,0,0,,,,,,
01060,ALABAMA,BUTLER,0,0,0,,,,,,
01070,ALABAMA,CALHOUN,0,0,0,,,,,,
01080,ALABAMA,CHAMBERS,0,0,0,,,,,,
01090,ALABAMA,CHEROKEE,0,0,0,,,,,,
01100,ALABAMA,CHILTON,0,0,"10,451",,,,,,
01110,ALABAMA,CHOCTAW,0,0,0,,,,,,
01120,ALABAMA,CLARKE,0,0,0,,,,,,
01130,ALABAMA,CLAY,0,0,0,,,,,,
01140,ALABAMA,CLEBURNE,0,0,0,,,,,,
01150,ALABAMA,COFFEE,0,0,0,,,,,,
01160,ALABAMA,COLBERT,0,0,0,,,,,,
01170,ALABAMA,CONECUH,0,0,0,,,,,,
01180,ALABAMA,COOSA,0,0,0,,,,,,
01190,ALABAMA,COVINGTON,0,0,"2,497",,,,,,
01200,ALABAMA,CRENSHAW,0,0,172,,,,,,
01210,ALABAMA,CULLMAN,"101,776","97,342","27,005",,,,,,
01220,ALABAMA,DALE,0,0,0,,,,,,
01230,ALABAMA,DALLAS,"22,175","19,991",0,,,,,,
01240,ALABAMA,DE KALB,"7,297","6,447","5,892",,,,,,
01250,ALABAMA,ELMORE,"49,775","45,391","37,414",,,,,,
01260,ALABAMA,ESCAMBIA,0,0,645,,,,,,
01270,ALABAMA,ETOWAH,"32,608","31,091","3,868",,,,,,
01280,ALABAMA,FAYETTE,"83,343","65,859","7,739",,,,,,
01290,ALABAMA,FRANKLIN,0,0,0,,,,,,
01300,ALABAMA,GENEVA,0,0,0,,,,,,
01310,ALABAMA,GREENE,0,0,0,,,,,,
01320,ALABAMA,HALE,0,0,378,,,,,,
01330,ALABAMA,HENRY,0,0,0,,,,,,
01340,ALABAMA,HOUSTON,0,0,0,,,,,,
01350,ALABAMA,JACKSON,0,0,863,,,,,,
01360,ALABAMA,JEFFERSON,"1,993,169","1,808,463","497,976",,,,,,
01370,ALABAMA,LAMAR,0,0,0,,,,,,
01380,ALABAMA,LAUDERDALE,"35,538","35,212","2,275",,,,,,
01390,ALABAMA,LAWRENCE,"22,321","20,248","3,449",,,,,,
01400,ALABAMA,LEE,"10,857","9,620",48,,,,,,
01410,ALABAMA,LIMESTONE,0,0,"1,169",,,,,,
01420,ALABAMA,LOWNDES,0,0,0,,,,,,
01430,ALABAMA,MACON,0,0,0,,,,,,
01440,ALABAMA,MADISON,"21,024","18,913","29,904",,,,,,
01450,ALABAMA,MARENGO,0,0,0,,,,,,
01460,ALABAMA,MARION,"199,522","193,986","33,071",,,,,,
01470,ALABAMA,MARSHALL,"43,311","42,829","6,024",,,,,,
01480,ALABAMA,MOBILE,0,0,"3,585",,,,,,
01490,ALABAMA,MONROE,"35,021","34,246","1,251",,,,,,
01500,ALABAMA,MONTGOMERY,"48,929","44,820","54,243",,,,,,
01510,ALABAMA,MORGAN,"52,308","52,040","6,747",,,,,,
01520,ALABAMA,PERRY,0,0,0,,,,,,
01530,ALABAMA,PICKENS,0,0,301,,,,,,
01540,ALABAMA,PIKE,0,0,0,,,,,,
01550,ALABAMA,RANDOLPH,0,0,0,,,,,,
01560,ALABAMA,RUSSELL,0,0,0,,,,,,
01570,ALABAMA,ST. CLAIR,"52,789","51,712","3,633",,,,,,
01580,ALABAMA,SHELBY,"208,885","199,133","45,044",,,,,,
01590,ALABAMA,SUMTER,0,0,"2,034",,,,,,
01600,ALABAMA,TALLADEGA,"15,088","14,069","5,049",,,,,,
01610,ALABAMA,TALLAPOOSA,0,0,0,,,,,,
01620,ALABAMA,TUSCALOOSA,"159,662","143,449","47,158",,,,,,
01630,ALABAMA,WALKER,"1,579,729","1,440,785","439,515",,,,,,
01640,ALABAMA,WASHINGTON,0,0,0,,,,,,
01650,ALABAMA,WILCOX,0,0,0,,,,,,
01660,ALABAMA,WINSTON,"103,820","102,050","18,937",,,,,,
02010,ALASKA,ALEUTIANS ISLANDS,0,0,0,,,,,,
02020,ALASKA,ANCHORAGE,"14,266","10,279","33,493",,,,,,
02040,ALASKA,BARROW DIVISION,0,0,0,,,,,,
02050,ALASKA,BETHEL,0,0,0,,,,,,
02060,ALASKA,BRISTOL BAY BOROUGH,0,0,0,,,,,,
02070,ALASKA,DILLINGHAM,0,0,0,,,,,,
02080,ALASKA,CORDOVA-MC CARTHY,0,0,"3,119",,,,,,
02090,ALASKA,FAIRBANKS NORTH STAR,"20,152","19,362","2,779",,,,,,
02100,ALASKA,HAINES,0,0,0,,,,,,
02110,ALASKA,JUNEAU,0,0,0,,,,,,
02120,ALASKA,KENAI-COOK INLET DIVISION,0,0,171,,,,,,
02130,ALASKA,KETCHIKAN GATEWAY,0,0,0,,,,,,
02140,ALASKA,KOBUK,0,0,0,,,,,,
02150,ALASKA,KODIAK ISLAND BOROUGH,0,0,0,,,,,,
02160,ALASKA,KUSKOKWIN,0,0,0,,,,,,
