"AGED - HOSPICE - 2013 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
01000,ALABAMA,AUTAUGA,"4,837","2,309,684",40,"2,309,684",40,0,0,0,"4,472",0,0
01010,ALABAMA,BALDWIN,"24,264","10,956,863",38,"10,956,864",38,0,0,0,"22,512",0,0
01020,ALABAMA,BARBOUR,"3,224","1,867,610",48,"1,867,611",48,0,0,0,"3,060",0,0
01030,ALABAMA,BIBB,"1,997","1,127,056",47,"1,127,056",47,0,0,0,"1,882",0,0
01040,ALABAMA,BLOUNT,"4,170","2,600,341",52,"2,600,341",52,0,0,0,"3,837",0,0
01050,ALABAMA,BULLOCK,828,"435,961",44,"435,961",44,0,0,0,773,0,0
01060,ALABAMA,BUTLER,"2,861","3,018,258",88,"3,018,258",88,0,0,0,"2,760",0,0
01070,ALABAMA,CALHOUN,"17,038","9,253,181",45,"9,253,182",45,0,0,0,"15,827",0,0
01080,ALABAMA,CHAMBERS,"4,971","2,319,389",39,"2,319,389",39,0,0,0,"4,760",0,0
01090,ALABAMA,CHEROKEE,"3,181","1,813,681",48,"1,813,681",48,0,0,0,"3,030",0,0
01100,ALABAMA,CHILTON,"3,335","3,203,104",80,"3,203,104",80,0,0,0,"3,127",0,0
01110,ALABAMA,CHOCTAW,"2,234","2,808,861",105,"2,808,861",105,0,0,0,"2,204",0,0
01120,ALABAMA,CLARKE,"3,658","3,482,919",79,"3,482,919",79,0,0,0,"3,507",0,0
01130,ALABAMA,CLAY,"2,068","654,590",26,"654,589",26,0,0,0,"1,985",0,0
01140,ALABAMA,CLEBURNE,"2,089","1,536,157",61,"1,536,157",61,0,0,0,"1,972",0,0
01150,ALABAMA,COFFEE,"6,562","4,054,861",51,"4,054,861",51,0,0,0,"6,255",0,0
01160,ALABAMA,COLBERT,"8,512","5,507,501",54,"5,507,502",54,0,0,0,"8,237",0,0
01170,ALABAMA,CONECUH,"1,962","1,080,038",46,"1,080,038",46,0,0,0,"1,884",0,0
