"AGED -- PUERTO RICO 2013 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE 
BENEFICIARIES ENROLLED IN PART A AND/OR PART B 
REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,,,,,,,,
STATE,CODE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,,,,,,
40010,PUERTO RICO              ,ADJUNTAS,841,"887,918",87.93,"752,071",74.48,"31,813","34,565","69,467",173,"463,393",223.21,1.021,,,,,,
40020,PUERTO RICO              ,AGUADA,"1,596","1,224,174",63.92,"1,129,756",58.99,"27,823","43,922","22,671",463,"994,823",178.76,0.847,,,,,,
40030,PUERTO RICO              ,AGUADILLA,"3,032","3,042,167",83.61,"2,777,232",76.32,"64,967","154,605","45,362","1,079","2,396,051",185.04,0.904,,,,,,
40040,PUERTO RICO              ,AGUAS BUENAS,968,"902,452",77.62,"866,534",74.53,"4,297","27,533","4,086",256,"487,853",158.65,0.913,,,,,,
40050,PUERTO RICO              ,AIBONITO,"1,145","1,544,259",112.30,"1,440,612",104.76,"11,354","84,253","8,039",398,"928,122",194.25,0.936,,,,,,
40060,PUERTO RICO              ,ANASCO,"1,021","1,110,817",90.58,"1,028,473",83.87,"35,595","17,191","29,557",258,"592,427",191.35,0.966,,,,,,
40070,PUERTO RICO              ,ARECIBO,"4,994","4,958,106",82.72,"4,594,506",76.65,"65,533","254,504","43,561","1,450","3,277,745",188.35,0.923,,,,,,
40080,PUERTO RICO              ,ARROYO,737,"454,584",51.35,"418,116",47.23,"10,507","17,658","8,302",190,"371,294",162.21,0.948,,,,,,
40090,PUERTO RICO              ,BARCELONETA,"1,551","1,275,602",68.51,"1,182,966",63.54,"24,690","56,279","11,665",395,"839,658",176.77,0.994,,,,,,
40100,PUERTO RICO              ,BARRANQUITAS,"1,119","1,119,399",83.34,"1,049,743",78.16,"5,978","56,660","7,016",262,"509,140",161.53,0.944,,,,,,
40110,PUERTO RICO              ,BAYAMON,"9,290","9,606,581",86.17,"9,063,524",81.30,"142,923","268,970","131,163","4,597","11,746,058",212.90,1.009,,,,,,
40120,PUERTO RICO              ,CABO ROJO,"2,278","2,066,029",75.56,"1,881,813",68.82,"63,546","38,680","81,989",875,"1,929,179",183.63,0.922,,,,,,
40130,PUERTO RICO              ,CAGUAS,"6,629","6,808,975",85.58,"6,514,757",81.89,"49,147","206,019","39,051","2,858","6,794,660",198.11,0.970,,,,,,
40140,PUERTO RICO              ,CAMUY,"1,146","996,000",72.37,"919,607",66.82,"9,019","55,104","12,269",276,"606,002",182.53,0.907,,,,,,
40145,PUERTO RICO              ,CANOVANAS,7,0,0.00,0,0.00,0,0,0,1,0,0.00,0.872,,,,,,
40150,PUERTO RICO              ,CAROLINA,"6,235","5,274,946",70.50,"4,775,973",63.83,"156,031","145,967","196,974","3,196","7,806,470",203.54,0.965,,,,,,
40160,PUERTO RICO              ,CATANO,"2,542","2,267,171",74.30,"2,106,133",69.02,"44,018","80,613","36,406","1,051","2,214,846",175.48,0.902,,,,,,
40170,PUERTO RICO              ,CAYEY,"2,504","2,242,516",74.61,"2,102,332",69.94,"30,099","89,754","20,329",856,"1,910,942",185.91,0.927,,,,,,
40180,PUERTO RICO              ,CEIBA,588,"345,361",48.93,"325,459",46.11,"2,136","13,409","4,355",239,"486,108",169.49,0.968,,,,,,
40190,PUERTO RICO              ,CIALES,806,"521,508",53.86,"478,690",49.44,"15,820","23,119","3,877",179,"512,705",238.46,1.079,,,,,,
40200,PUERTO RICO              ,CIDRA,"1,349","1,024,771",63.29,"936,961",57.87,"23,679","49,087","15,043",411,"966,449",195.60,0.904,,,,,,
