DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 REIMSBURSEMENT DATA FOR FEE-FOR-SERVICE DURABLE MEDICAL EQUIPMENT,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,,
01000,ALABAMA                  ,AUTAUGA,0,0,0,-42,0,,,,,,,,
01010,ALABAMA                  ,BALDWIN,0,0,-43,0,0,,,,,,,,
01020,ALABAMA                  ,BARBOUR,0,0,0,0,0,,,,,,,,
01030,ALABAMA                  ,BIBB,"-40,119","-33,435","-31,916","-32,706","-17,506",,,,,,,,
01040,ALABAMA                  ,BLOUNT,"-43,255","-54,406","-44,805","-57,202","-33,018",,,,,,,,
01050,ALABAMA                  ,BULLOCK,0,-43,0,0,0,,,,,,,,
01060,ALABAMA                  ,BUTLER,0,0,0,0,0,,,,,,,,
01070,ALABAMA                  ,CALHOUN,-737,-182,"-1,446","-2,355",-611,,,,,,,,
01080,ALABAMA                  ,CHAMBERS,0,0,0,0,0,,,,,,,,
01090,ALABAMA                  ,CHEROKEE,0,0,0,0,0,,,,,,,,
01100,ALABAMA                  ,CHILTON,"-44,816","-46,453","-54,016","-49,326","-22,079",,,,,,,,
01110,ALABAMA                  ,CHOCTAW,-187,0,0,0,0,,,,,,,,
01120,ALABAMA                  ,CLARKE,-391,-650,-130,-183,0,,,,,,,,
01130,ALABAMA                  ,CLAY,0,0,0,0,0,,,,,,,,
01140,ALABAMA                  ,CLEBURNE,0,0,0,0,0,,,,,,,,
01150,ALABAMA                  ,COFFEE,0,0,0,0,0,,,,,,,,
01160,ALABAMA                  ,COLBERT,0,0,0,0,0,,,,,,,,
01170,ALABAMA                  ,CONECUH,0,0,0,0,0,,,,,,,,
01180,ALABAMA                  ,COOSA,0,0,0,0,0,,,,,,,,
01190,ALABAMA                  ,COVINGTON,0,0,0,0,0,,,,,,,,
01200,ALABAMA                  ,CRENSHAW,0,0,0,0,0,,,,,,,,
01210,ALABAMA                  ,CULLMAN,0,0,0,0,0,,,,,,,,
01220,ALABAMA                  ,DALE,0,0,0,0,0,,,,,,,,
01230,ALABAMA                  ,DALLAS,-600,"-1,464","-1,256","-2,505","-2,307",,,,,,,,
01240,ALABAMA                  ,DEKALB,0,-404,-380,0,0,,,,,,,,
